date_start,date_end,event
2000-01-01,,Деноминация белорусского рубля
2000-01-01,,"Нерабочий день в иране из-за ""проблемы 2000"""
2000-01-02,,Крушение украинского сухогруза «тикси». судно было с грузом зерна на борту и потерпело крушение на траверсе мыса джубга около туапсе
2000-01-03,,Обстрел российского посольства в ливане из гранотомета.
2000-01-03,,На парламенских выборах в хорватии победили коалиции социал-демократов и социал-либералов вместе с блоком из четырех других партий
2000-01-09,,Переизбрание ислама каримова президентом республики узбекистан
2000-01-09,,"Проведение повторных выборов глав регионов (в московской, в тверской и в новосибирской областях)"
2000-01-09,,Прорыв боевиков в шали и аргун.
2000-01-10,,Крушение авиалайнера в швейцарии. самолет марки saab340 принадлежал авиокомпании crossair. авиакатастрофа произошла у деревни нассенвиль в нидерхасли. погибли 10 человек - 7 пассажиров и 3 члена экипажа.
2000-01-10,,"Демонстрация более 100000 израильтян против возвращения голанских высот в тель-авиве, сирия."
2000-01-10,,"Объявление компаний ""aol"" и ""time warner"" о планах слияния с компанией ""aol time warner""."
2000-01-13,,"Вынесение приговора ""слоновской опг"""
2000-01-14,,На посте президента гватемалы назначен альфонсо портильо кабрера.
2000-01-15,,"Убийство сербского военного и политического деятеля, участника югославских войн желько ражнатовича в холле белградского отеля «интерконтиненталь»."
2000-01-16,,Первый тур президентских выборов в финляндии.
2000-01-16,,Во 2-м туре президентских выборов в чили избран кандидат от коалиции партий за демократию рикардо лагос.
2000-01-17,,Лидер афганского движения «талибан» мулла мухаммед омар сообщил о признании чечни независимым государством.
2000-01-18,,Вхождение в атмосферу земли метиорита массой более 150 тонн и диаметром около 5 метров. его обломки упали в районе озера тагиш и были разбросаны на территории длиной 16 км и шириной 3 км.
2000-01-20,2000-01-27,Перепись населения в таджикистане
2000-01-21,,Начало военного переворота в эквадоре. президент хамиль мауда был свергнут.
2000-01-22,,В эквадоре густаво набоа бехарно был приведен к президентской присяге.
2000-01-21,,"1 февраля - раскол верховной рады украины. большинство депутатов (255) переходят в группу ""украинский дом"". избрание председателем верховной рады украины ивана плюща."
2000-01-24,,"Победа в первом туре степана месича на президентских выборах в хорватии (56,01 %)"
2000-01-24,,Захват больницы в западном таиланде десятью бирманскими мятежниками из движения «армия бога» (до 2000 заложников). на следующий день силы безопасности таиланда взяли больницу штурмом.
2000-01-25,,Крушение поезда на веребьинском обходе главного хода октябрьской железной дороги в результате столкновения пассажирского поезда с грузовым.
2000-01-26,,"Вступление в силу договора о создании союзного государства, подписанного президентами российской федерации и беларуси 8 декабря 1999 года. первое заседание высшего государственного совета союзного государства в москве."
2000-01-27,,Назначение ивицы рачана новым премьер-министром хорватии.
2000-01-30,,"Катастрофа a310 под абиджаном, погибло 169 человек."
2000-01-30,,Выброс в дунай более 100 тыс. кубометров тяжёлых металлов на заводе румыно-австралийской компании «аурул». в результате аварии было выловлено более 100 тонн мёртвой рыбы.
2000-01-31,,"Падение авиалайнера «mcdonnell douglas md-83» авиакомпании «alaska airlines» рейса as 261 по маршруту пуэрто-вальярта—сан-франциско—сиэтл при подлёте к сан-франциско в 4,5 километрах от побережья острова анакапа (калифорния). погибли все находившиеся на его борту 88 человек — 83 пассажира и 5 членов экипажа."
2000-02-06,,Штурм национального автономного университета мексики и арест более 600 студентов.
2000-02-06,,"Избрание во втором туре президентских выборов в финляндии президентом социал-демократа тарья халонен (51,6 % голосов)."
