id,date_start,date_end,event
00dc6acf-fc00-482a-968c-7cce8d4f5438,2000-01-01,,Деноминация белорусского рубля;
00dc6acf-fc00-4057-afdb-327b500359f6,2000-01-01,,"В связи с «проблемой-2000», в Иране объявлен нерабочий день;"
00dc6acf-fc00-465f-8ed3-e93302fd57b9,2000-01-01,,"Вступление в силу закона в Великобритании, согласно которому вес всех продуктов, имеющихся в продаже, обозначается в метрической системе, а не в традиционных для страны унциях и фунтах."
00dc6ff6-7800-4b0b-8f50-960bb06325fa,2000-01-02,,"крушение украинского сухогруза типа «река-море» «Тикси» (порт приписки Николаев, под флагом Камбоджи) с грузом зерна на борту на траверсе мыса Джубга около Туапсе. Во время шторма судно разломилось пополам, экипажу удалось высадиться на плоты. Один человек погиб."
00dc751c-7400-42a6-b4e7-ed2bd30dc331,2000-01-03,,"Обстрел из гранатомёта территории российского посольства в Ливане, Бейрут;"
00dc751c-7400-4970-a373-2172852c9064,2000-01-03,,"Победа коалиции социал-демократов-социал-либералов, вместе с блоком из четырёх других партий (во главе с Крестьянской партией) на парламентских выборах в Хорватии, набравших две трети голосов в парламенте, что в дальнейшем позволило изменить конституцию и превратить республику из полу-президентской в парламентскую."
00dc8edc-7000-45fd-ae59-ec1bd132a188,2000-01-08,,первая Рождественская литургия в Храме Христа Спасителя. Литургию отслужил Патриарх Московский и всея Руси Алексий II.
00dc9402-fc00-4a9a-a7a3-0b0457ebc800,2000-01-09,,"Переизбрание Ислама Каримова президентом Республики Узбекистан (91,9 % голосов избирателей);"
00dc9402-fc00-4d4e-9b1a-7ca75a3912fd,2000-01-09,,"Проведение в трёх субъектах России повторных выборов глав регионов. Губернатором Московской области избран генерал Борис Громов («Отечество»)(48 %); губернатором Тверской области переизбран Владимир Платов («Единство»)(46,5 %); губернатором Новосибирской области избран мэр Новосибирска Виктор Толоконский (44,3 %);"
00dc9402-fc00-467e-a8d1-2b2392c71163,2000-01-09,,"Вторая чеченская война: прорыв боевиков в Шали и Аргун. Контроль федеральных сил над Шали был восстановлен 11 января, над Аргуном — 13 января."
00dc9928-f800-411a-a341-99588f9a8ffe,2000-01-10,,Крушение авиалайнера «Saab 340» авиакомпании «Crossair» у деревни Нассенвиль в Нидерхасли (Швейцария). Погибли все находившиеся на его борту 10 человек — 7 пассажиров и 3 члена экипажа;
00dc9928-f800-419b-9b7c-533fac01aa45,2000-01-10,,"Демонстрация более 100 000 израильтян против возвращения Голанских высот в Тель-Авиве, Сирия;"
00dc9928-f800-4a50-8f47-2244924f1f85,2000-01-10,,Объявление компаний «AOL» и «Time Warner» о планах слияния с компанией «AOL Time Warner».
00dca89b-fc00-43ff-979f-60634404fe42,2000-01-13,,вынесение приговора членам одной из самых жестоких ОПГ новейшей криминальной истории России — «Слоновской ОПГ».
00dcadc2-7800-4df0-a5ed-c7714eb80323,2000-01-14,,на пост президента Гватемалы назначен Альфонсо Портильо Кабрера.
00dcb2e8-f400-4c86-bdfa-4e5c45c0fbef,2000-01-15,,"убийство сербского военного и политического деятеля, участника Югославских войн Желько Ражнатовича в холле белградского отеля «Интерконтиненталь»."
00dcb80f-7000-42dd-96b2-ab6d7320c74d,2000-01-16,,Первый тур президентских выборов в Финляндии;
00dcb80f-7000-478e-a053-7d607b52ae7d,2000-01-16,,Во 2-м туре президентских выборов в Чили избран кандидат от Коалиции партий за демократию Рикардо Лагос (51 % голосов избирателей).
00dcbd35-7c00-4361-a917-b4883adeb40b,2000-01-17,,лидер афганского движения «Талибан» мулла Мухаммед Омар сообщил о признании Чечни независимым государством. Это стало первым и единственным признанием суверенитета Чечни.
00dcc25b-f800-4a69-85d1-d92eac1f257c,2000-01-18,,"в 8:43 жители канадской территории Юкон, части Аляски и Северо-Западных территорий видели вхождение в атмосферу Земли метеорита массой более 150 тонн и диаметром около 5 метров. Его обломки упали в районе озера Тагиш и были разбросаны на территории длиной 16 км и шириной 3 км. Позже было собрано около пятисот осколков метеорита. Изучением метеорита занимались учёные университета Калгари, университета Западного Онтарио и NASA (по своему составу он относится к H-хондритам)."
00dcdeae-f200-4e51-8832-fddbde4bd94f,2000-01-20,2000-01-27,проведение в Таджикистане переписи населения.
00dcd1ce-fc00-464b-ba8b-a832e9819eb5,2000-01-21,,"начало народных волнений в Эквадоре, перешедших в военный переворот и свержение президента Хамиля Мауада. 22 января вице-президент Густаво Нобоа Бехарано был приведён к президентской присяге."
00dcee21-f600-4727-9c28-5f66db325264,2000-01-21,2000-02-01,"раскол Верховной Рады Украины, при котором большинство (255 депутатов) переходят в группу «Украинский дом», избрание председателем Верховной Рады Украины Ивана Плюща."
00dce141-f000-450f-8834-b650f46bcc26,2000-01-24,,"Победа в первом туре Степана Месича на президентских выборах в Хорватии (56,01 %);"
00dce141-f000-422e-af2d-883d29d8b4c7,2000-01-24,,Захват больницы в западном Таиланде десятью бирманскими мятежниками из движения «Армия Бога» (до 2000 заложников). На следующий день силы безопасности Таиланда взяли больницу штурмом.
00dce141-f000-40e7-9fb5-3d01aabf2670,2000-01-24,,В ночь с 25 на 26 января — крушение поезда на Веребьинском обходе главного хода Октябрьской железной дороги в результате столкновения пассажирского поезда с грузовым.
00dceb8e-f800-4707-b57d-06c361a7a292,2000-01-26,,"вступление в силу Договора о создании Союзного государства, подписанного президентами Российской Федерации и Беларуси 8 декабря 1999 года. Первое заседание Высшего Государственного совета Союзного государства в Москве."
00dcf0b5-7400-44b7-8791-cc5157a88c48,2000-01-27,,назначение Ивицы Рачана новым премьер-министром Хорватии.
00dd0028-7800-41c9-80e6-2c014975b858,2000-01-30,,"Катастрофа A310 под Абиджаном, погибло 169 человек;"
00dd0028-7800-4c66-bc98-e842e38089ec,2000-01-30,,"Выброс в Дунай более 100 тыс. кубометров тяжёлых металлов на заводе румыно-австралийской компании «Аурул». В результате аварии было выловлено более 100 тонн мёртвой рыбы, а катастрофу окрестили «вторым Чернобылем»."
00dd054e-7400-43ab-9830-f601d9a74a73,2000-01-31,,"падение авиалайнера «McDonnell Douglas MD-83» авиакомпании «Alaska Airlines» рейса AS 261 по маршруту Пуэрто-Вальярта—Сан-Франциско—Сиэтл при подлёте к Сан-Франциско в 4,5 километрах от побережья острова Анакапа (Калифорния). Погибли все находившиеся на его борту 88 человек — 83 пассажира и 5 членов экипажа."
00dd2434-fc00-4748-835e-5d7ee2e84594,2000-02-06,,"Штурм Национального автономного университета Мексики полицией и арест более 600 студентов, забаррикадировавшихся там после девяти месяцев противостояния, возникшего из-за решения руководства университета поднять плату за обучение. Пострадавших нет;"
00dd2434-fc00-46af-8412-13deb45837a1,2000-02-06,,"Избрание во втором туре президентских выборов в Финляндии президентом социал-демократа Тарья Халонен (51,6 % голосов);"
00dd2434-fc00-4662-b656-85799c90e762,2000-02-06,,Вторая чеченская война: Взятие Грозного российской армией. Объявление исполняющего обязанности Президента РФ Владимира Путина о завершении операции по освобождению Грозного;
00dd2434-fc00-4c44-af05-89f02fc8326f,2000-02-06,,"Железнодорожная авария ночного экспресса Амстердам-Базель под Кёльном. 9 погибших, 149 раненых."
00dd295a-f800-4f4c-85dc-5293fe16cb86,2000-02-07,,"Взрыв трёх зарядов (каждый мощностью около 400 граммов тротила) в центре Душанбе (Таджикистан) недалеко от здания государственного налогового комитета, между гостиницей «Авесто» (где размещается российское посольство) и культурным центром Кохи Вахдат, а также у жилого многоэтажного дома в центре города;"
00dd295a-f800-41b0-8521-50e9a6016e92,2000-02-07,,Убийство министра обороны Союзной Республики Югославии Павле Булатовича в ресторане футбольного клуба «Рад» в Белграде. Стрелявший находился вблизи футбольного стадиона;
00dd295a-f800-4f44-bf49-14c7e80c9dec,2000-02-07,,"Победа Степана Месича во втором туре президентских выборов в Хорватии (56,01 % голосов)."
00dd2e81-7400-4012-a479-8fbdce042547,2000-02-08,,Взрыв жилого дома по улице Артёмовской в Хабаровске. Погибло 13 человек
00dd2e81-7400-48bb-a33a-9596fe43b978,2000-02-08,,Победа Константиноса Стефанопулоса на президентских выборах в Греции.
00dd3df4-7800-48aa-869d-c38c87ab15d9,2000-02-11,,"97-й старт «STS-99» по программе «Спейс шаттл». 14-й полёт шаттла «Индевор». Экипаж — Кевин Крегель, Доминик Гори, Герхард Тиле (Германия), Джанет Каванди, Дженис Восс, Мамору Мори (Япония). Основная задача полёта — радиолокационная топографическая."
00dd45ad-f200-4b9a-98a2-613206e61052,2000-02-12,2000-02-13,"в Зимбабве граждане на референдуме отказываются от представленной правительством новой конституции, которая дала бы президенту Мугабе возможность выставлять свою кандидатуру на 2 следующих срока и давал правительству право забирать без всякой компенсации фермы у белых фермеров и передавать их чёрным фермерам в рамках земельной реформы."
00dd4841-7000-4507-a199-e5f1f3e05478,2000-02-13,,образование серьёзных торнадо и гроз на юго-западе штата Джорджия (США). Минимум 22 погибших и 100 раненых.
00dd57b4-7400-4c76-ab97-6d81210ea6cd,2000-02-16,,"крушение грузового самолёта «Douglas DC-8-71F» компании «Emery Worldwide» вблизи Ранчо-Кордова (Калифорния, США). Погибло 3 человека."
00dd6200-fc00-4101-9068-e7863527fc88,2000-02-16,2000-02-20,проведение зимних Игр Доброй воли в Лейк-Плэсиде.
00dd5cda-f000-4372-a77f-26910e423d5e,2000-02-17,,выход «Microsoft Windows 2000».
00dd6200-fc00-46df-8b22-bb7206abbafe,2000-02-18,,Назначение Владимира Ермошина премьер-министром Республики Беларусь.
00dd6200-fc00-4121-9c5b-6568c693ae9d,2000-02-18,,В первом туре парламентских выборов в Иране большой перевес в парламенте получают сторонники президента Мохаммада Хатами.
00dd6c4d-f400-493f-a39d-8b95e025b6a8,2000-02-20,,проведение первого тура парламентских выборов в Кыргызстане.
00dd769a-7c00-4813-a7fb-c589eabc645e,2000-02-22,,Отмена смертной казни на Украине;
00dd769a-7c00-4df7-b4d3-f4757f5f75be,2000-02-22,,Открытие Центра культурных связей с Россией в Туркменском государственном университете имени Махтумкули.
00dd88a0-fe00-4253-b3e9-a08568d85f42,2000-02-22,2000-02-29,"Вторая чеченская война: Сражение за Шатой: Взятие федеральными войсками Шатой. А. Масхадов, Хаттаб и Ш. Басаев снова ушли из окружения. Первый заместитель командующего объединённой группировкой федеральных сил генерал-полковник Геннадий Трошев объявил об окончании полномасштабной войсковой операции в Чечне."
00dd7bc0-f800-4df7-a896-94ef6b0cda97,2000-02-23,,нападение на генконсульство РФ в Познани (Польша).
00dd860d-7000-466e-bc56-eb4e7697cf97,2000-02-25,,убийство Виктории Климби в Лондоне. Восьмилетняя ивуарийская девочка подверглась пыткам и была убита собственными опекунами. Публичное расследование её смерти стало поводом для серьёзных изменений в политике по защите детей в Великобритании.
00dd905a-7800-456f-986b-4d02ea5889e4,2000-02-27,,проведение первого тура парламентских выборов в Таджикистане.
00dd9d3a-7e00-4f7d-b687-a2b75ef0fe46,2000-02-29,2000-03-01,Вторая чеченская война: гибель 6-й роты 2-го батальона 104-го парашютно-десантного полка 76-й дивизии ВДВ в бою за высоту 776.
00dd528d-f800-4e00-b4d9-79c3804ac606,2000-02-01,2000-02-29,"возникновение сильных наводнений, вызванных проливными дождями, в Мозамбике. Погибло более 700 человек."
00dd9fcd-7c00-48f1-8170-3538919c1668,2000-03-01,,Вступление Хорхе Батлье Ибаньес на пост президента Уругвая;
00dd9fcd-7c00-48df-9ca8-b8655b573e8f,2000-03-01,,Вступление в силу новой Конституции Финляндии.
00dda4f3-f800-495f-8bd6-5721ed296266,2000-03-02,,Вторая чеченская война: большие потери Сергиево-Посадского ОМОНа (22 убито и более 30 ранено) в результате «дружественного огня».
00ddaf40-7000-4d7e-9b93-81feba5336c6,2000-03-04,,"Sony выпустила игровую приставку 6-го поколения «PlayStation 2», ставшую наиболее быстро продаваемой и самой популярной игровой консолью в истории."
00ddb466-fc00-4529-b73d-12cac5539ec9,2000-03-05,,британские учёные впервые в мире провели успешную операцию по клонированию свиней.
00dddb06-7e00-4816-afbb-a94591b19193,2000-03-05,2000-03-20,Вторая чеченская война: Село Комсомольское освобождено от боевиков федеральными войсками.
00ddc3d9-f000-41dc-bb49-d2270d020918,2000-03-08,,в результате столкновения двух поездов токийского метро на линии «Хибия» близ станции «Нака-Мэгуро» погибли 5 и ранены 63 человека.
00ddc900-7c00-41b4-afe9-b9235f5ecd5d,2000-03-09,,в результате авиационной катастрофы близ Шереметьево погибли журналист Артём Боровик и мультимиллионер Зия Бажаев.
00ddd34c-f400-48b9-be22-2466f23dce07,2000-03-11,,"Состоялся учредительный съезд РОСДП, председателем партии стал экс-президент СССР Михаил Горбачёв;"
00ddd34c-f400-4c73-a9be-3911b4359bda,2000-03-11,,При взрыве в шахте «Баракова» в Краснодоне погиб 81 шахтёр. Самые тяжёлые последствия от аварии на Украине за 20 лет.
00ddd873-7000-4e22-a308-e334ed794b9b,2000-03-12,,"Вторая чеченская война: в посёлке Новогрозненский сотрудниками ФСБ захвачен и доставлен в Москву террорист Салман Радуев, впоследствии осуждённый к пожизненному лишению свободы и скончавшийся в местах заключения;"
00ddd873-7000-40e7-b3fd-b89fabe7f654,2000-03-12,,В Таджикистане состоялся второй тур парламентских выборов. Народно-демократическая партия Таджикистана Президента Эмомали Рахмона одержала победу;
00ddd873-7000-47c8-a67e-c703c9be8899,2000-03-12,,"В Кыргызстане состоялся второй тур парламентских выборов. Наибольшее количество голосов получили партия коммунистов Кыргызстана, пропрезидентская Демократическая партия женщин Кыргызстана и Союз демократических сил, объединяющий Социал-демократическую партию Кыргызстана, партию экономического возрождения и партию Биримдык;"
00ddd873-7000-4d27-92cc-f8c8d5009f4a,2000-03-12,,"На парламентских выборах в Испании победу одержала правая Народная партия, получив 44,52 % голосов и 183 из 350 мест в Конгрессе депутатов, Хосе Мария Аснар остался на посту премьер-министра."
00dde7e6-7400-4b10-abf4-597980fa16e4,2000-03-15,,"в Минске прошло массовое шествие — «Марш Свободы» в защиту независимости, прав человека и демократии Беларуси, а также против углубления российско-белорусской интеграции."
00ddf232-fc00-47a5-99eb-1b5944be17be,2000-03-17,,в округе Канунгу (Уганда) члены религиозной секты «Восстановление десяти господних заповедей» совершили акцию массового самосожжения: погибло около 600 человек.
00ddf759-7800-4b42-9733-8ed1052ca740,2000-03-18,,"на президентских выборах на Тайване победил Чэнь Шуйбянь (Демократическая прогрессивная партия, 39,3 % голосов)."
00de06cc-7c00-4c10-b79f-4ac232b88e53,2000-03-21,,"убийство православного священника в Эвенкии: 27-летний преступник Руслан Любецкий убил иеромонаха Григория (Яковлева) самодельным шилом, отрезал ему голову перочинным ножом и поместил её на церковный алтарь."
00de163f-f000-47f8-8780-ebd06bdcb241,2000-03-24,,"в Женеве (Швейцария) на конференции ООН по разоружению Россия выступила с инициативой подписать международный договор, запрещающий испытание, размещение и использование в космосе любых систем вооружений."
00de1b65-fc00-4e0b-9e5a-17f098def6e0,2000-03-25,,начало Первого Всероссийского фестиваля японской анимации в Воронеже.
00de208c-7800-4a71-a631-540a28239fc6,2000-03-26,,Выборы президента России. Абсолютное большинство голосов в первом туре набрал В. В. Путин
00de208c-7800-49a3-91d7-fbaa5cd44c84,2000-03-26,,"В семи субъектах России прошли выборы глав регионов, в двух субъектах прошли референдумы. Губернатором Кировской области переизбран Владимир Сергеенков (58,3 %); губернатором Мурманской области переизбран Юрий Евдокимов (86,7 %); губернатором Саратовской области переизбран Дмитрий Аяцков (67,3 %); губернатором Еврейской автономной области переизбран Николай Волков (56,7 %); в Ханты-Мансийском автономном округе переизбран Александр Филипенко (90,8 %); в Ямало-Ненецком автономном округе переизбран Юрий Неелов (87,9 %). На референдуме в Карелии большинство проголосовало за введение поста главы Республики и превращении парламента в однопалатный; на референдум в Удмуртской Республике большинство проголосовало за введение поста президента"
00de208c-7800-4944-99a2-55173a89030e,2000-03-26,,В Женеве состоялась встреча президента США Билла Клинтона и президента Сирии Хафеза Асада. В ходе 4-часовых переговоров не удалось достичь соглашения о возобновлении израильско-сирийских переговоров.
00de2fff-7c00-4548-987d-1bbd21e5643a,2000-03-29,,Вторая чеченская война: гибель подразделения пермского ОМОНа у селения Джани-Ведено. Погибло более 40 человек.
00de3a4c-7400-4073-8d76-b67eea96e0c8,2000-03-31,,в Эстонии прошла перепись населения.
00de3f72-7000-409a-805e-9b33686be400,2000-04-01,,В США прошла перепись населения;
00de3f72-7000-4c93-bf6e-a4fa1f692bee,2000-04-01,,Премьер-министр Японии Кэйдзо Обути перенёс инсульт и впал в кому.
00de4ee5-7400-40a9-ac49-85684191c3b4,2000-04-04,,Старт космического корабля «Союз ТМ-30». Экипаж — С. В. Залётин и А. Ю. Калери
00de4ee5-7400-4144-b967-b1606f79faf4,2000-04-04,,Федеральный суд США признал корпорацию «Майкрософт» виновной в нарушении антимонопольного законодательства.
00de540b-f000-4582-8945-a0d316c9498f,2000-04-05,,премьер-министром Японии избран Ёсиро Мори.
00de5e58-f800-4a57-ba1b-f9ee48f90789,2000-04-07,,"вооружённые силы США нанесли ракетно-бомбовый удар по населённым пунктам Ирака, в результате погибли 14 человек и 19 получили ранения."
00de637e-f400-4478-80ca-8ff50d68c7fa,2000-04-08,,"в Боснии и Герцеговине прошли муниципальные выборы. Умеренные силы победили националистов только в мусульманских городах. В большинстве хорватских районов одержало победу националистическое Хорватское демократическое сообщество, а в Республике Сербской — радикальная Сербская демократическая партия."
00de68a5-7000-4559-865c-16233f4b61de,2000-04-09,,"Эдуард Шеварднадзе переизбран президентом Республики Грузия, получив более 82 % голосов избирателей, принявших участие в выборах;"
00de68a5-7000-4c91-b0f6-77073120b8df,2000-04-09,,"На президентских выборах в Перу Альберто Фухимори получил 49,9 % голосов и вышел во 2-й тур, ведущий кандидат оппозиции — лидер блока «Возможное Перу» Алехандро Толедо — 40,2 %. Правительственный блок «Перу-2000» получил 52 места в парламенте из 120. Оппозиция обвинила власти в подтасовке, А. Толедо призвал к демонстрациям и маршам протеста, которые были разогнаны силой;"
00de68a5-7000-4319-9886-357936bb6b7f,2000-04-09,,"На парламентских выборах в Греции победило правящее Всегреческое социалистическое движение (43,79 % голосов, 158 из 300 мест в парламенте), правительство в третий раз возглавил Костас Симитис."
00de7818-7400-4c44-99ff-7d975c81363c,2000-04-12,,"Российская космическая корпорация «Энергия» продала американской компании «Space Hub» эксклюзивные права на использование архива кинодокументов, который содержал информацию обо всех космических исследованиях и программах, осуществлённых СССР, а затем Россией."
00de7d3e-f000-411e-b9d0-dac2e65ca359,2000-04-13,,"Россия и Германия подписали договор о проведении обмена произведениями искусства, вывезенными обеими сторонами во время Второй мировой войны."
00de8265-7c00-478c-85a5-e157318f85ce,2000-04-14,,"Государственная Дума РФ приняла решение о ратификации российско-американского договора СНВ-2, предполагавшего дальнейшее сокращение стратегических наступательных вооружений обеих стран"
00de8265-7c00-49e7-afc0-131d246ad467,2000-04-14,,На первой большой демонстрации оппозиции в 2000 году около 100 000 человек в Белграде протестуют против президента Слободана Милошевича и выступают за досрочные выборы.
00de8cb1-f400-4ec0-900b-c478f2c9c1d6,2000-04-16,,"Состоялся всеукраинский референдум. Более 80 % избирателей, принявших участие в голосовании, высказались за создание двухпалатного парламента, сокращение числа депутатов с 450 до 300, ликвидацию депутатской неприкосновенности, право Президента досрочно прекращать полномочия Верховной рады, если последняя в течение одного месяца не сможет сформировать парламентское большинство или в течение трёх месяцев не сможет утвердить подготовленный и представленный в установленном порядке Кабинетом Министров проект государственного бюджета. Однако решения референдума так и не были воплощены в жизнь;"
00de96fe-7c00-4a67-a121-d2dff896eeea,2000-04-18,,Владимир Путин высказался против создания в США национальной системы ПРО.
