effective_date,rate_pct,rate_type
2013-09-17,5.5,key
2014-03-03,7,key
2014-04-28,7.5,key
2014-07-28,8,key
2014-11-05,9.5,key
2014-12-12,10.5,key
2014-12-16,17,key
2015-02-02,15,key
2015-03-16,14,key
2015-05-05,12.5,key
2015-06-16,11.5,key
2015-08-03,11,key
2016-06-14,10.5,key
2016-09-19,10,key
2017-03-27,9.75,key
2017-05-02,9.25,key
2017-06-19,9,key
2017-09-18,8.5,key
2017-10-30,8.25,key
2017-12-18,7.75,key
2018-02-12,7.5,key
2018-03-26,7.25,key
2018-09-17,7.5,key
2018-12-17,7.75,key
2019-06-17,7.5,key
2019-07-29,7.25,key
2019-09-09,7,key
2019-10-28,6.5,key
2019-12-16,6.25,key
2020-02-10,6,key
2020-04-27,5.5,key
2020-06-22,4.5,key
2020-07-27,4.25,key
2021-03-22,4.5,key
2021-04-26,5,key
2021-06-15,5.5,key
2021-07-26,6.5,key
2021-09-13,6.75,key
2021-10-25,7.5,key
2021-12-20,8.5,key
2022-02-14,9.5,key
2022-02-28,20,key
2022-04-11,17,key
2022-05-04,14,key
2022-05-27,11,key
2022-06-14,9.5,key
2022-07-25,8,key
2022-09-19,7.5,key
2023-07-24,8.5,key
2023-08-15,12,key
2023-09-18,13,key
2023-10-30,15,key
2023-12-18,16,key
2024-07-29,18,key
2024-09-16,19,key
2024-10-28,21,key
2025-06-09,20,key
2025-07-28,18,key
2025-09-15,17,key
2025-10-27,16.5,key
2025-12-22,16,key
2026-02-16,15.5,key
2026-03-23,15,key
2026-04-27,14.5,key
