<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
BSPB;D;20080319;000000;122;122;118.9;120.98;372;0
BSPB;D;20080320;000000;121.99;121.99;119;119;654;0
BSPB;D;20080321;000000;119;119;118.85;119;24;0
BSPB;D;20080324;000000;120;120;120;120;1;0
BSPB;D;20080325;000000;120;121;114.8;119;6317;0
BSPB;D;20080326;000000;121.48;121.5;115.86;121.5;956;0
BSPB;D;20080327;000000;114.04;118.79;90.03;113.35;12021;0
BSPB;D;20080328;000000;95.02;118;95.02;114;2150;0
BSPB;D;20080331;000000;114.01;114.01;111.46;111.46;8;0
BSPB;D;20080401;000000;102.08;115.5;102.08;115.5;12;0
BSPB;D;20080402;000000;114;115;112.1;115;2144;0
BSPB;D;20080403;000000;113;114;111.02;112.85;1071;0
BSPB;D;20080404;000000;115;115;112.01;112.01;2;0
BSPB;D;20080407;000000;113.26;114.99;113;113.8;1651;0
BSPB;D;20080408;000000;114.5;114.5;110.57;114.5;14;0
BSPB;D;20080409;000000;103.02;114;103.02;113.99;8;0
BSPB;D;20080410;000000;113.5;124;105.8;115.5;2558;0
BSPB;D;20080411;000000;115;115;114;114;269;0
BSPB;D;20080414;000000;117.36;117.36;112.58;115.99;5;0
BSPB;D;20080415;000000;115;117;115;116;6989;0
BSPB;D;20080416;000000;119;119;119;119;10170;0
BSPB;D;20080417;000000;119.9;121;119.5;119.5;1428;0
BSPB;D;20080418;000000;110.52;124.24;110.52;122;4004;0
BSPB;D;20080421;000000;122.21;123.1;122.21;123;7515;0
BSPB;D;20080422;000000;124;128;124;125;8086;0
BSPB;D;20080423;000000;126;126;126;126;823;0
BSPB;D;20080424;000000;122.67;122.67;122.5;122.5;9;0
BSPB;D;20080425;000000;134.99;135;125;132;10757;0
BSPB;D;20080428;000000;132;132.3;130.5;132.3;5699;0
BSPB;D;20080429;000000;132.75;137;132.75;134;2263;0
BSPB;D;20080430;000000;132.5;136;132.5;135;349;0
BSPB;D;20080504;000000;135.4;138;135.4;138;2466;0
BSPB;D;20080505;000000;139.59;140;134.77;139.01;2743;0
BSPB;D;20080506;000000;141.78;142.5;139.01;142.5;69;0
BSPB;D;20080507;000000;144.49;144.5;142.99;142.99;299;0
BSPB;D;20080512;000000;141.5;142;141.5;142;144;0
BSPB;D;20080513;000000;142.75;143.4;142.75;143.4;211;0
BSPB;D;20080514;000000;144.8;144.8;140;142;1072;0
BSPB;D;20080515;000000;141.9;141.9;141.9;141.9;2;0
BSPB;D;20080516;000000;141.5;141.7;141.5;141.7;1105;0
BSPB;D;20080519;000000;142.48;149.24;141.5;149.24;7410;0
BSPB;D;20080520;000000;148;148;143;145;1502;0
BSPB;D;20080521;000000;148;148;142.5;143.09;880;0
BSPB;D;20080522;000000;143;143;143;143;1;0
BSPB;D;20080523;000000;144.85;144.85;142.5;142.5;6;0
BSPB;D;20080526;000000;142.5;142.75;142.5;142.75;926;0
BSPB;D;20080527;000000;143.5;143.5;142.75;143.4;1238;0
BSPB;D;20080528;000000;144.6;144.61;144.2;144.2;56;0
BSPB;D;20080529;000000;144.3;147;144.3;147;436;0
BSPB;D;20080530;000000;146.31;148.99;145;148.5;11060;0
BSPB;D;20080602;000000;148.78;150;148.77;149.6;812;0
BSPB;D;20080603;000000;150.46;150.5;145;148;1416;0
BSPB;D;20080604;000000;150;151.5;149;151.5;5257;0
BSPB;D;20080605;000000;151.7;199.11;151.7;169.98;13803;0
BSPB;D;20080606;000000;200;200;169.05;173.5;9741;0
BSPB;D;20080607;000000;175;175;165;174.15;1432;0
BSPB;D;20080609;000000;189.15;189.15;146.15;174.45;1783;0
BSPB;D;20080610;000000;180;180;168.1;173.94;1991;0
BSPB;D;20080611;000000;169.51;172;167.06;172;9685;0
BSPB;D;20080616;000000;178;178;171.01;173;2140;0
BSPB;D;20080617;000000;177.49;177.49;171.5;173;1212;0
BSPB;D;20080618;000000;180;180;170;170;2287;0
BSPB;D;20080619;000000;169.99;172.2;169;171.99;829;0
BSPB;D;20080620;000000;171;174;169;169;1105;0
BSPB;D;20080623;000000;172.95;172.95;163.8;168.75;1669;0
BSPB;D;20080624;000000;172.5;172.5;158.01;168.99;2842;0
BSPB;D;20080625;000000;172.25;172.25;163;167.5;3387;0
BSPB;D;20080626;000000;167.28;168.9;166.01;166.01;627;0
BSPB;D;20080627;000000;166;170.6;166;170.6;138;0
BSPB;D;20080630;000000;169;169;165;165;640;0
BSPB;D;20080701;000000;165;167;164;165;282;0
BSPB;D;20080702;000000;164.67;165.5;164.67;165.5;502;0
BSPB;D;20080703;000000;168.31;168.31;125.25;160.85;4265;0
BSPB;D;20080704;000000;160;161.5;160;161.5;809;0
BSPB;D;20080707;000000;162;165;162;162;4579;0
BSPB;D;20080708;000000;168.8;168.8;162;162;52;0
BSPB;D;20080709;000000;160.01;160.01;157.47;160;1103;0
BSPB;D;20080710;000000;155;159;155;159;3202;0
BSPB;D;20080711;000000;159;160;157.05;157.05;23759;0
BSPB;D;20080714;000000;153;157;153;157;209;0
BSPB;D;20080715;000000;152;152;142.5;142.5;3220;0
BSPB;D;20080716;000000;143.1;143.1;141.37;141.37;2335;0
BSPB;D;20080717;000000;148.44;148.44;141.37;148.43;3002;0
BSPB;D;20080718;000000;141;141;122;137;1923;0
