<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
CBOM;D;20150622;000000;0;0;0;0;0;0
CBOM;D;20150623;000000;0;0;0;0;0;0
CBOM;D;20150624;000000;0;0;0;0;0;0
CBOM;D;20150625;000000;0;0;0;0;0;0
CBOM;D;20150626;000000;0;0;0;0;0;0
CBOM;D;20150629;000000;0;0;0;0;0;0
CBOM;D;20150630;000000;0;0;0;0;0;0
CBOM;D;20150701;000000;3.627;3.74;3.624;3.68;22000500;0
CBOM;D;20150702;000000;3.8;3.8;3.624;3.6455;27706400;0
CBOM;D;20150703;000000;3.725;3.725;3.6315;3.637;38211300;0
CBOM;D;20150706;000000;3.6405;3.67;3.64;3.67;8407400;0
CBOM;D;20150707;000000;3.8;3.8;3.631;3.631;30483800;0
CBOM;D;20150708;000000;3.6205;3.66;3.6205;3.649;40402100;0
CBOM;D;20150709;000000;3.625;3.65;3.625;3.65;34680400;0
CBOM;D;20150710;000000;3.8;3.8;3.632;3.65;26880300;0
CBOM;D;20150713;000000;3.698;3.698;3.642;3.6545;35973700;0
CBOM;D;20150714;000000;3.645;3.6585;3.6415;3.6525;53277400;0
CBOM;D;20150715;000000;3.626;3.656;3.62;3.656;39678800;0
CBOM;D;20150716;000000;3.6395;3.683;3.639;3.676;29569700;0
CBOM;D;20150717;000000;3.671;3.6745;3.669;3.669;1965400;0
CBOM;D;20150720;000000;3.6625;3.664;3.656;3.6625;21393200;0
CBOM;D;20150721;000000;3.671;3.677;3.66;3.677;24115300;0
CBOM;D;20150722;000000;3.673;3.6745;3.67;3.67;20346500;0
CBOM;D;20150723;000000;3.673;3.677;3.673;3.677;18397000;0
CBOM;D;20150724;000000;3.6685;3.6765;3.6685;3.67;7360700;0
CBOM;D;20150727;000000;3.621;3.687;3.621;3.6745;4616200;0
CBOM;D;20150728;000000;3.6655;3.6655;3.6605;3.6605;18695500;0
CBOM;D;20150729;000000;3.6635;3.6645;3.655;3.655;9490200;0
CBOM;D;20150730;000000;3.6655;3.672;3.655;3.672;8562700;0
CBOM;D;20150731;000000;3.675;3.675;3.67;3.6745;16101500;0
CBOM;D;20150803;000000;3.67;3.67;3.6565;3.6595;574500;0
