<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
CNRU;D;20211105;0;1250.6;1280.0;1205.2;1271.4;371313;0
CNRU;D;20211108;0;1300.0;1339.6;1100.0;1228.6;323096;0
CNRU;D;20211109;0;1225.0;1226.2;1075.0;1107.0;306534;0
CNRU;D;20211110;0;1115.6;1145.0;1067.0;1134.8;186898;0
CNRU;D;20211111;0;1144.8;1158.0;1078.2;1090.0;249706;0
CNRU;D;20211112;0;1095.6;1148.0;1095.6;1106.0;121654;0
CNRU;D;20211115;0;1128.6;1136.0;1083.6;1096.2;81049;0
CNRU;D;20211116;0;1107.0;1123.8;1096.4;1102.6;26044;0
CNRU;D;20211117;0;1111.4;1115.4;1095.0;1106.2;39967;0
CNRU;D;20211118;0;1106.8;1130.0;1088.0;1098.2;36040;0
CNRU;D;20211119;0;1093.0;1109.0;1074.8;1095.2;39566;0
CNRU;D;20211122;0;1107.0;1107.0;1053.0;1095.6;65774;0
CNRU;D;20211123;0;1099.8;1132.0;1055.0;1115.8;42071;0
CNRU;D;20211124;0;1124.8;1165.0;1071.0;1125.8;78440;0
CNRU;D;20211125;0;1126.2;1137.2;1095.6;1103.0;10800;0
CNRU;D;20211126;0;1105.0;1136.6;1090.2;1114.0;32689;0
CNRU;D;20211129;0;1100.0;1190.0;1100.0;1124.0;50290;0
CNRU;D;20211130;0;1128.0;1189.8;1114.2;1183.4;49974;0
CNRU;D;20211201;0;1190.0;1200.0;1121.0;1196.8;204196;0
CNRU;D;20211202;0;1199.6;1220.0;1153.8;1210.0;54837;0
CNRU;D;20211203;0;1218.8;1218.8;1152.0;1180.6;22293;0
CNRU;D;20211206;0;1161.0;1199.6;1075.0;1107.2;73035;0
CNRU;D;20211207;0;1107.0;1139.0;1070.0;1086.4;22539;0
CNRU;D;20211208;0;1101.2;1107.0;1037.2;1039.0;21922;0
CNRU;D;20211209;0;1048.0;1080.0;981.4;982.0;54209;0
CNRU;D;20211210;0;980.2;998.6;914.0;927.6;71339;0
CNRU;D;20211213;0;964.0;979.0;901.6;910.0;69579;0
CNRU;D;20211214;0;902.0;944.2;852.0;881.4;32577;0
CNRU;D;20211215;0;881.6;916.8;870.4;896.0;10963;0
CNRU;D;20211216;0;896.8;1003.0;896.2;992.8;40508;0
CNRU;D;20211217;0;1022.0;1090.0;950.0;951.8;128536;0
CNRU;D;20211220;0;912.0;978.6;879.8;883.2;36112;0
CNRU;D;20211221;0;894.6;932.2;891.0;911.2;28736;0
CNRU;D;20211222;0;928.8;1045.0;909.4;991.2;24187;0
CNRU;D;20211223;0;987.8;1025.0;957.6;981.2;14277;0
CNRU;D;20211224;0;991.4;997.8;961.0;978.6;3707;0
CNRU;D;20211227;0;998.0;998.0;932.6;970.4;54662;0
CNRU;D;20211228;0;931.0;988.4;913.4;980.6;77091;0
CNRU;D;20211229;0;954.0;1007.8;939.0;1000.6;26824;0
CNRU;D;20211230;0;1019.8;1090.0;993.8;1053.2;45742;0
CNRU;D;20220103;0;1080.0;1080.0;965.0;971.2;34300;0
CNRU;D;20220104;0;974.8;991.0;880.4;907.6;74940;0
CNRU;D;20220105;0;912.2;958.0;852.4;877.6;82012;0
CNRU;D;20220106;0;884.0;916.0;805.0;816.8;67348;0
CNRU;D;20220110;0;812.0;830.0;752.6;773.6;89035;0
CNRU;D;20220111;0;775.0;817.4;752.4;762.8;81490;0
CNRU;D;20220112;0;779.8;810.0;764.0;803.8;35063;0
CNRU;D;20220113;0;817.0;818.0;755.0;765.0;33817;0
CNRU;D;20220114;0;770.8;773.2;711.0;727.2;51274;0
CNRU;D;20220117;0;737.4;754.8;710.0;731.8;21886;0
CNRU;D;20220118;0;725.0;741.8;655.0;668.6;25622;0
CNRU;D;20220119;0;661.4;672.8;590.4;601.0;81598;0
CNRU;D;20220120;0;606.0;629.8;562.2;571.4;87988;0
CNRU;D;20220121;0;586.2;586.2;514.0;538.6;42459;0
CNRU;D;20220124;0;562.8;562.8;480.0;489.6;52492;0
CNRU;D;20220125;0;497.2;513.0;458.8;465.2;48616;0
CNRU;D;20220126;0;478.0;495.0;454.4;455.4;96209;0
CNRU;D;20220127;0;474.0;499.8;446.0;490.0;137330;0
CNRU;D;20220128;0;490.0;568.0;484.8;526.4;78473;0
CNRU;D;20220131;0;530.0;679.8;510.8;645.8;155447;0
CNRU;D;20220201;0;675.6;775.0;650.2;689.8;228893;0
CNRU;D;20220202;0;710.0;736.0;666.4;718.8;134170;0
CNRU;D;20220203;0;656.8;705.0;656.8;678.2;92531;0
CNRU;D;20220204;0;702.4;702.4;647.2;685.6;48447;0
CNRU;D;20220207;0;685.0;705.0;609.8;648.0;56987;0
CNRU;D;20220208;0;690.0;709.0;629.0;697.2;50385;0
CNRU;D;20220209;0;700.0;725.0;660.8;694.0;78698;0
CNRU;D;20220210;0;696.0;709.6;674.0;698.0;62370;0
CNRU;D;20220211;0;687.0;700.0;622.6;634.2;36928;0
CNRU;D;20220214;0;635.2;673.0;611.0;652.6;32989;0
CNRU;D;20220215;0;650.0;692.0;643.4;667.4;37530;0
CNRU;D;20220216;0;680.0;705.0;655.0;660.2;56660;0
CNRU;D;20220217;0;657.0;659.2;613.0;619.6;30226;0
CNRU;D;20220218;0;638.6;645.0;569.4;614.2;37107;0
CNRU;D;20220221;0;620.2;650.0;440.0;513.8;146621;0
CNRU;D;20220222;0;480.0;549.8;411.0;514.2;136325;0
CNRU;D;20220224;0;463.8;485.4;318.4;410.0;129299;0
CNRU;D;20220225;0;319.0;468.0;319.0;345.0;111780;0
CNRU;D;20220330;0;382.6;532.6;360.0;400.0;182982;0
CNRU;D;20220331;0;420.0;450.0;400.0;442.0;90986;0
CNRU;D;20220401;0;449.0;560.0;438.0;440.0;248124;0
CNRU;D;20220404;0;465.0;496.0;405.8;418.0;300994;0
CNRU;D;20220405;0;433.0;433.0;367.0;375.0;456520;0
CNRU;D;20220406;0;360.0;417.0;355.2;395.2;262422;0
CNRU;D;20220407;0;396.4;423.8;396.4;403.0;105788;0
CNRU;D;20220408;0;413.2;414.4;383.0;395.6;49171;0
CNRU;D;20220411;0;396.2;408.0;383.8;389.0;32456;0
CNRU;D;20220412;0;387.0;399.6;370.0;376.4;41560;0
CNRU;D;20220413;0;376.4;385.0;371.0;375.2;21369;0
CNRU;D;20220414;0;375.4;380.4;363.0;364.8;29922;0
CNRU;D;20220415;0;365.0;369.8;350.0;355.2;18394;0
CNRU;D;20220418;0;357.0;365.8;332.0;336.4;23380;0
CNRU;D;20220419;0;335.4;336.0;301.2;326.0;43575;0
CNRU;D;20220420;0;339.0;340.0;312.6;327.6;28424;0
CNRU;D;20220421;0;327.6;335.2;300.0;309.0;61240;0
CNRU;D;20220422;0;314.8;314.8;288.0;294.4;36339;0
CNRU;D;20220425;0;294.0;305.0;258.2;290.4;73678;0
CNRU;D;20220426;0;309.0;318.6;289.0;312.0;41323;0
CNRU;D;20220427;0;313.0;335.0;312.0;330.0;25902;0
CNRU;D;20220428;0;362.0;362.0;333.0;340.0;31998;0
CNRU;D;20220429;0;344.8;357.0;340.0;341.2;23536;0
CNRU;D;20220504;0;360.0;360.0;320.4;339.2;12757;0
CNRU;D;20220505;0;322.8;345.8;322.8;339.0;7273;0
CNRU;D;20220506;0;320.8;342.6;320.8;330.0;9503;0
CNRU;D;20220511;0;316.0;340.0;316.0;328.0;10844;0
CNRU;D;20220512;0;330.0;330.0;310.0;314.0;15371;0
CNRU;D;20220513;0;303.0;318.0;302.4;305.0;7254;0
CNRU;D;20220516;0;300.0;317.6;300.0;315.0;6276;0
CNRU;D;20220517;0;330.0;345.0;313.2;333.8;12537;0
CNRU;D;20220518;0;338.0;344.8;334.2;342.4;9897;0
CNRU;D;20220519;0;342.0;342.0;332.4;340.4;6173;0
CNRU;D;20220520;0;343.8;343.8;310.0;320.4;20879;0
CNRU;D;20220523;0;300.0;331.2;300.0;304.0;10423;0
CNRU;D;20220524;0;300.0;314.8;290.0;292.8;9653;0
CNRU;D;20220525;0;292.8;306.0;289.8;294.6;18242;0
CNRU;D;20220526;0;295.0;319.8;295.0;300.8;33912;0
