<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FEES;D;20080716;000000;0.43;0.43;0.347;0.354;290586300;0
FEES;D;20080717;000000;0.36;0.375;0.352;0.369;290995400;0
FEES;D;20080718;000000;0.381;0.381;0.353;0.355;90937700;0
FEES;D;20080721;000000;0.356;0.363;0.345;0.348;74726200;0
FEES;D;20080722;000000;0.349;0.349;0.328;0.331;86837500;0
FEES;D;20080723;000000;0.338;0.338;0.31;0.312;93586600;0
FEES;D;20080724;000000;0.31;0.31;0.297;0.3;96373900;0
FEES;D;20080725;000000;0.295;0.295;0.264;0.288;142246800;0
FEES;D;20080728;000000;0.288;0.303;0.277;0.281;100047900;0
FEES;D;20080729;000000;0.28;0.294;0.266;0.28;139196700;0
FEES;D;20080730;000000;0.287;0.308;0.281;0.293;325489100;0
FEES;D;20080731;000000;0.304;0.315;0.294;0.305;237038300;0
FEES;D;20080801;000000;0.304;0.335;0.3;0.332;388938700;0
FEES;D;20080804;000000;0.329;0.35;0.311;0.32;273084500;0
FEES;D;20080805;000000;0.32;0.325;0.3;0.305;140700600;0
FEES;D;20080806;000000;0.307;0.318;0.297;0.309;111753900;0
FEES;D;20080807;000000;0.309;0.334;0.309;0.331;274254500;0
FEES;D;20080808;000000;0.331;0.347;0.322;0.323;293520600;0
FEES;D;20080811;000000;0.323;0.326;0.298;0.305;383736500;0
FEES;D;20080812;000000;0.307;0.347;0.304;0.344;408485000;0
FEES;D;20080813;000000;0.345;0.362;0.33;0.348;483549600;0
FEES;D;20080814;000000;0.352;0.373;0.346;0.356;714590600;0
FEES;D;20080815;000000;0.363;0.378;0.357;0.374;716141600;0
FEES;D;20080818;000000;0.375;0.382;0.369;0.374;127378000;0
FEES;D;20080819;000000;0.369;0.37;0.34;0.351;359493300;0
FEES;D;20080820;000000;0.35;0.357;0.343;0.348;124053300;0
FEES;D;20080821;000000;0.35;0.35;0.333;0.344;132519900;0
FEES;D;20080822;000000;0.344;0.344;0.332;0.335;55341300;0
FEES;D;20080825;000000;0.332;0.34;0.3;0.308;113906600;0
FEES;D;20080826;000000;0.3;0.306;0.281;0.296;251311200;0
FEES;D;20080827;000000;0.3;0.309;0.289;0.3;137140700;0
FEES;D;20080828;000000;0.307;0.324;0.298;0.311;289079500;0
FEES;D;20080829;000000;0.312;0.332;0.303;0.33;248594900;0
FEES;D;20080901;000000;0.326;0.334;0.323;0.329;96645400;0
FEES;D;20080902;000000;0.32;0.331;0.316;0.33;69063100;0
FEES;D;20080903;000000;0.33;0.33;0.319;0.326;117387400;0
FEES;D;20080904;000000;0.325;0.336;0.313;0.32;288422500;0
FEES;D;20080905;000000;0.31;0.316;0.274;0.305;352187000;0
FEES;D;20080908;000000;0.31;0.318;0.297;0.301;139672900;0
FEES;D;20080909;000000;0.297;0.298;0.27;0.27;88892800;0
FEES;D;20080910;000000;0.27;0.274;0.233;0.254;355779700;0
FEES;D;20080911;000000;0.26;0.26;0.232;0.235;196915300;0
FEES;D;20080912;000000;0.232;0.25;0.218;0.229;575987500;0
FEES;D;20080915;000000;0.215;0.226;0.196;0.199;223058500;0
FEES;D;20080916;000000;0.194;0.194;0.125;0.141;795772100;0
FEES;D;20080917;000000;0.156;0.16;0.11;0.118;182426600;0
FEES;D;20080918;000000;0;0;0;0;0;0
FEES;D;20080919;000000;0.133;0.179;0.133;0.175;499997300;0
FEES;D;20080922;000000;0.187;0.21;0.167;0.187;757091600;0
FEES;D;20080923;000000;0.184;0.19;0.17;0.184;634490400;0
FEES;D;20080924;000000;0.183;0.19;0.176;0.185;277680700;0
FEES;D;20080925;000000;0.183;0.19;0.176;0.185;180624800;0
FEES;D;20080926;000000;0.181;0.185;0.177;0.177;84850800;0
FEES;D;20080929;000000;0.178;0.18;0.162;0.165;174849000;0
FEES;D;20080930;000000;0.152;0.162;0.14;0.156;957063500;0
FEES;D;20081001;000000;0.156;0.169;0.146;0.147;533388100;0
FEES;D;20081002;000000;0.149;0.151;0.131;0.15;451941200;0
FEES;D;20081003;000000;0.142;0.145;0.134;0.144;181611700;0
