<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FLOT;D;20201007;000000;105;105;91.56;100.5;107924250;0
FLOT;D;20201008;000000;100.5;101;98.3;100.5;11659760;0
FLOT;D;20201009;000000;100.5;103.29;100.13;103;31768490;0
FLOT;D;20201012;000000;103.48;104.5;103.01;103.55;12910790;0
FLOT;D;20201013;000000;103.88;103.92;102.12;103.2;5578480;0
FLOT;D;20201014;000000;103.39;103.39;102.5;103;1722660;0
FLOT;D;20201015;000000;103;103;100.06;100.26;4051740;0
FLOT;D;20201016;000000;100.88;101.93;100.06;100.47;1968440;0
FLOT;D;20201019;000000;100.65;101.25;100.27;100.4;711900;0
FLOT;D;20201020;000000;100.4;100.54;100;100.07;2069910;0
FLOT;D;20201021;000000;100.14;100.48;98.4;98.59;2769680;0
FLOT;D;20201022;000000;98.5;98.5;95.5;96.5;4005500;0
FLOT;D;20201023;000000;96.5;96.71;95.6;96.31;1920230;0
FLOT;D;20201026;000000;96.16;99.57;95.51;99.1;2361110;0
FLOT;D;20201027;000000;99.1;99.53;97.95;98.6;2017230;0
FLOT;D;20201028;000000;96.7;98.59;95.5;97.3;2414320;0
FLOT;D;20201029;000000;97.3;98.4;97;97.89;662250;0
FLOT;D;20201030;000000;98.1;98.2;97;98.09;434390;0
FLOT;D;20201102;000000;98.15;98.35;97;97.96;698010;0
FLOT;D;20201103;000000;98.14;98.34;97.25;97.31;724480;0
FLOT;D;20201105;000000;97.6;98.43;97.5;97.55;954780;0
FLOT;D;20201106;000000;97.8;97.8;96.56;97.03;803300;0
FLOT;D;20201109;000000;97.07;97.86;96.65;96.65;1474070;0
FLOT;D;20201110;000000;96.97;97;96.5;96.8;1007000;0
FLOT;D;20201111;000000;97;97.72;96.56;96.67;847030;0
FLOT;D;20201112;000000;97.05;97.48;96.52;96.57;911950;0
FLOT;D;20201113;000000;96.52;96.9;96.51;96.59;1004620;0
FLOT;D;20201116;000000;96.89;98.47;96.66;97.7;2159810;0
FLOT;D;20201117;000000;98.01;100.87;97.7;97.77;7456310;0
FLOT;D;20201118;000000;97.77;99.29;95.9;95.98;5666060;0
FLOT;D;20201119;000000;96.2;97;96;96.9;1210850;0
FLOT;D;20201120;000000;97;99;96.68;97.51;1333230;0
FLOT;D;20201123;000000;97.55;98.27;97.3;97.52;662600;0
FLOT;D;20201124;000000;97.52;97.89;97.11;97.31;712780;0
FLOT;D;20201125;000000;97.3;97.73;97.01;97.45;908280;0
FLOT;D;20201126;000000;97.45;97.69;97.01;97.41;826740;0
FLOT;D;20201127;000000;97.41;97.71;97.01;97.19;512520;0
FLOT;D;20201130;000000;97.47;97.47;96.27;96.29;1170450;0
FLOT;D;20201201;000000;96.5;97.17;96.41;96.9;1009380;0
FLOT;D;20201202;000000;96.9;97;96.57;96.75;1264290;0
FLOT;D;20201203;000000;97;97.06;96.75;96.95;1050410;0
FLOT;D;20201204;000000;97;97.43;96.76;96.98;754020;0
FLOT;D;20201207;000000;97.2;97.2;96.1;96.16;1553230;0
FLOT;D;20201208;000000;96.2;96.79;96.01;96.11;1063620;0
FLOT;D;20201209;000000;96.68;96.68;96.05;96.1;1072180;0
FLOT;D;20201210;000000;96.1;96.24;95.77;95.89;1122130;0
FLOT;D;20201211;000000;95.71;96.04;95.69;95.76;912870;0
FLOT;D;20201214;000000;95.8;96.1;95.02;95.02;1598660;0
FLOT;D;20201215;000000;95.55;95.72;94.5;94.85;1494110;0
FLOT;D;20201216;000000;95;95.02;94.31;94.48;986780;0
FLOT;D;20201217;000000;94.7;94.93;93.26;93.69;1788680;0
FLOT;D;20201218;000000;94;94;92.98;93.45;1820280;0
FLOT;D;20201221;000000;93.6;93.69;92.55;92.57;1361160;0
FLOT;D;20201222;000000;92.57;93.02;92.05;92.7;1975480;0
FLOT;D;20201223;000000;93;93.18;91.6;92;3347940;0
FLOT;D;20201224;000000;92.08;92.38;90.16;90.9;3058570;0
FLOT;D;20201225;000000;90.53;92.87;90;92;2889090;0
FLOT;D;20201228;000000;92.5;92.63;90.45;90.61;4751650;0
FLOT;D;20201229;000000;90.95;91.18;90.51;90.54;2015250;0
FLOT;D;20201230;000000;90.51;91.37;90.09;90.58;2719270;0
FLOT;D;20210104;000000;90.7;92.65;90.7;92.1;1343420;0
FLOT;D;20210105;000000;92.1;93.58;91.81;93.58;2181120;0
FLOT;D;20210106;000000;93.9;94.5;93.13;93.3;2793320;0
FLOT;D;20210108;000000;93.58;94.85;93.5;93.5;3100240;0
FLOT;D;20210111;000000;93.5;94.33;93.16;93.59;2063830;0
FLOT;D;20210112;000000;93.6;94.2;92;92.27;1592430;0
FLOT;D;20210113;000000;92.46;93.33;92.3;92.6;2677400;0
FLOT;D;20210114;000000;92.99;92.99;92.41;92.49;666870;0
FLOT;D;20210115;000000;92.6;92.79;88.56;91.35;2268600;0
FLOT;D;20210118;000000;91.49;92;91.4;92;498290;0
FLOT;D;20210119;000000;92.45;92.68;91.41;91.42;855960;0
FLOT;D;20210120;000000;92.18;92.39;91.5;91.62;991490;0
FLOT;D;20210121;000000;92.48;92.48;91.02;91.42;1216730;0
FLOT;D;20210122;000000;91.84;91.94;90.32;91.04;2241980;0
FLOT;D;20210125;000000;91;91.77;90.8;90.84;1120160;0
FLOT;D;20210126;000000;90.9;91.31;90.7;90.89;854610;0
FLOT;D;20210127;000000;91.23;91.24;90.57;90.69;946520;0
FLOT;D;20210128;000000;90.9;91.7;90.62;91.4;1216890;0
FLOT;D;20210129;000000;91.39;92;91.02;91.52;1181390;0
FLOT;D;20210201;000000;91.52;92;91.28;91.5;920750;0
