<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GCHE;D;20080408;000000;0;0;0;0;0;0
GCHE;D;20080409;000000;0;0;0;0;0;0
GCHE;D;20080410;000000;0;0;0;0;0;0
GCHE;D;20080411;000000;0;0;0;0;0;0
GCHE;D;20080414;000000;0;0;0;0;0;0
GCHE;D;20080415;000000;0;0;0;0;0;0
GCHE;D;20080416;000000;0;0;0;0;0;0
GCHE;D;20080417;000000;0;0;0;0;0;0
GCHE;D;20080418;000000;0;0;0;0;0;0
GCHE;D;20080421;000000;0;0;0;0;0;0
GCHE;D;20080422;000000;0;0;0;0;0;0
GCHE;D;20080423;000000;0;0;0;0;0;0
GCHE;D;20080424;000000;0;0;0;0;0;0
GCHE;D;20080425;000000;0;0;0;0;0;0
GCHE;D;20080428;000000;0;0;0;0;0;0
GCHE;D;20080429;000000;0;0;0;0;0;0
GCHE;D;20080430;000000;0;0;0;0;0;0
GCHE;D;20080504;000000;0;0;0;0;0;0
GCHE;D;20080505;000000;0;0;0;0;0;0
GCHE;D;20080506;000000;0;0;0;0;0;0
GCHE;D;20080507;000000;0;0;0;0;0;0
GCHE;D;20080512;000000;0;0;0;0;0;0
GCHE;D;20080513;000000;0;0;0;0;0;0
GCHE;D;20080514;000000;0;0;0;0;0;0
GCHE;D;20080515;000000;0;0;0;0;0;0
GCHE;D;20080516;000000;0;0;0;0;0;0
GCHE;D;20080519;000000;569;570;568.5;569.5;15000;0
GCHE;D;20080520;000000;0;0;0;0;0;0
GCHE;D;20080521;000000;0;0;0;0;0;0
GCHE;D;20080522;000000;0;0;0;0;0;0
GCHE;D;20080523;000000;0;0;0;0;0;0
GCHE;D;20080526;000000;0;0;0;0;0;0
GCHE;D;20080527;000000;0;0;0;0;0;0
GCHE;D;20080528;000000;0;0;0;0;0;0
GCHE;D;20080529;000000;654.44;654.44;600;600;8;0
GCHE;D;20080530;000000;600;600;600;600;2;0
GCHE;D;20080602;000000;600;600;600;600;3;0
GCHE;D;20080603;000000;550;565;550;565;20;0
GCHE;D;20080604;000000;550;560;550;560;6;0
GCHE;D;20080605;000000;0;0;0;0;0;0
GCHE;D;20080606;000000;0;0;0;0;0;0
GCHE;D;20080607;000000;0;0;0;0;0;0
GCHE;D;20080609;000000;0;0;0;0;0;0
GCHE;D;20080610;000000;570;570;570;570;8;0
GCHE;D;20080611;000000;568.5;569.5;568.5;569.5;6000;0
GCHE;D;20080616;000000;0;0;0;0;0;0
GCHE;D;20080617;000000;560;560;560;560;35;0
GCHE;D;20080618;000000;565;565;565;565;19;0
GCHE;D;20080619;000000;525.01;525.01;525;525;32;0
GCHE;D;20080620;000000;546.02;546.02;510;510;11;0
GCHE;D;20080623;000000;539.99;559.99;539.99;539.99;1074;0
GCHE;D;20080624;000000;0;0;0;0;0;0
GCHE;D;20080625;000000;0;0;0;0;0;0
GCHE;D;20080626;000000;560;560;549.5;550;2005;0
GCHE;D;20080627;000000;0;0;0;0;0;0
GCHE;D;20080630;000000;0;0;0;0;0;0
GCHE;D;20080701;000000;0;0;0;0;0;0
GCHE;D;20080702;000000;0;0;0;0;0;0
GCHE;D;20080703;000000;0;0;0;0;0;0
GCHE;D;20080704;000000;0;0;0;0;0;0
GCHE;D;20080707;000000;620;620;620;620;15;0
GCHE;D;20080708;000000;0;0;0;0;0;0
GCHE;D;20080709;000000;450;450;450;450;15;0
GCHE;D;20080710;000000;0;0;0;0;0;0
GCHE;D;20080711;000000;0;0;0;0;0;0
GCHE;D;20080714;000000;0;0;0;0;0;0
GCHE;D;20080715;000000;0;0;0;0;0;0
GCHE;D;20080716;000000;0;0;0;0;0;0
GCHE;D;20080717;000000;0;0;0;0;0;0
GCHE;D;20080718;000000;561;561;561;561;2700;0
GCHE;D;20080721;000000;625;650;625;650;11;0
GCHE;D;20080722;000000;757.35;757.35;653;757.35;9;0
GCHE;D;20080723;000000;757.35;757.35;480;490;978;0
GCHE;D;20080724;000000;500;611.9;500;540;444;0
GCHE;D;20080725;000000;0;0;0;0;0;0
GCHE;D;20080728;000000;500;550;500;550;35;0
GCHE;D;20080729;000000;567.97;567.97;557;557;2;0
GCHE;D;20080730;000000;0;0;0;0;0;0
GCHE;D;20080731;000000;527;527;527;527;63;0
GCHE;D;20080801;000000;500;500;500;500;33;0
GCHE;D;20080804;000000;505;505;500;500;168;0
GCHE;D;20080805;000000;450;450;450;450;57;0
GCHE;D;20080806;000000;450;450;450;450;50;0
GCHE;D;20080807;000000;450;472.83;450;460;62;0
GCHE;D;20080808;000000;452;452;452;452;1;0
GCHE;D;20080811;000000;452;452;450;450;4;0
GCHE;D;20080812;000000;490;490;480.55;480.55;3;0
GCHE;D;20080813;000000;0;0;0;0;0;0
GCHE;D;20080814;000000;0;0;0;0;0;0
GCHE;D;20080815;000000;0;0;0;0;0;0
GCHE;D;20080818;000000;480;480;480;480;10;0
GCHE;D;20080819;000000;490;490;490;490;9;0
GCHE;D;20080820;000000;0;0;0;0;0;0
GCHE;D;20080821;000000;490;490;451;490;251;0
GCHE;D;20080822;000000;0;0;0;0;0;0
GCHE;D;20080825;000000;450.01;450.1;450;450;40;0
GCHE;D;20080826;000000;420;420;420;420;300;0
GCHE;D;20080827;000000;420;420;420;420;5;0
GCHE;D;20080828;000000;420;450;420;450;210;0
GCHE;D;20080829;000000;450;450;450;450;1;0
GCHE;D;20080901;000000;0;0;0;0;0;0
GCHE;D;20080902;000000;0;0;0;0;0;0
GCHE;D;20080903;000000;450;450;450;450;500;0
GCHE;D;20080904;000000;0;0;0;0;0;0
GCHE;D;20080905;000000;0;0;0;0;0;0
GCHE;D;20080908;000000;0;0;0;0;0;0
GCHE;D;20080909;000000;450;450;450;450;1;0
GCHE;D;20080910;000000;400;400;400;400;500;0
GCHE;D;20080911;000000;400;400;400;400;1100;0
GCHE;D;20080912;000000;400;450;400;405;7377;0
GCHE;D;20080915;000000;400;401;350.01;350.01;812;0
GCHE;D;20080916;000000;365;365;350;350;102;0
GCHE;D;20080917;000000;375;375;375;375;2;0
GCHE;D;20080918;000000;0;0;0;0;0;0
GCHE;D;20080919;000000;375;375;300;375;137;0
GCHE;D;20080922;000000;375;375;350;350;57;0
GCHE;D;20080923;000000;0;0;0;0;0;0
