<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GMKN;D;20061226;000000;3675.06;3983.95;3675.06;3951;168395;0
GMKN;D;20061227;000000;3962.2;4039;3940.12;4037;289661;0
GMKN;D;20061228;000000;4047.49;4104.96;4027.2;4099.45;456913;0
GMKN;D;20061229;000000;4099;4120;4078;4080;222213;0
GMKN;D;20070109;000000;3899;3899;3750;3755;814300;0
GMKN;D;20070110;000000;3760;3825;3657;3722.94;869094;0
GMKN;D;20070111;000000;3730;3907.98;3711;3907.98;1234431;0
GMKN;D;20070112;000000;3900;3947;3855;3867.01;1005730;0
GMKN;D;20070115;000000;3920;4117;3913;4114.99;1403994;0
GMKN;D;20070116;000000;4109.99;4200;4056;4075;1704075;0
GMKN;D;20070117;000000;4070;4160;4025.01;4065.01;1262476;0
GMKN;D;20070118;000000;4140;4264.2;4136;4218;1905889;0
GMKN;D;20070119;000000;4212.93;4244;4162.1;4228.99;1138523;0
GMKN;D;20070122;000000;4280;4374.4;4280;4340.03;1287475;0
GMKN;D;20070123;000000;4349.99;4399;4325;4360;845154;0
GMKN;D;20070124;000000;4410;4424.98;4331;4369.99;1092029;0
GMKN;D;20070125;000000;4399;4429.97;4322;4353;944126;0
GMKN;D;20070126;000000;4335.53;4364.2;4275.7;4289.99;583480;0
GMKN;D;20070129;000000;4320.5;4375;4280.16;4305;837652;0
GMKN;D;20070130;000000;4271.01;4330.01;4250;4324;844829;0
GMKN;D;20070131;000000;4367;4407.78;4339.13;4399.99;1107567;0
GMKN;D;20070201;000000;4430;4660;4430;4660;2216538;0
GMKN;D;20070202;000000;4672.5;4799.8;4590;4684;3066836;0
GMKN;D;20070205;000000;4712.01;4794.89;4681.2;4755.09;2089422;0
GMKN;D;20070206;000000;4760;4865;4740.03;4799.99;1715525;0
GMKN;D;20070207;000000;4820;4839.99;4750.01;4807.99;1016587;0
GMKN;D;20070208;000000;4772;4788.9;4646.46;4656;1138004;0
GMKN;D;20070209;000000;4710;4779;4675;4708.9;845969;0
GMKN;D;20070212;000000;4670;4786;4480;4486;1959888;0
