<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
НорНик;D;20020108;000000;509;513;500;509.98;1295;0
НорНик;D;20020109;000000;507.27;512.89;480;500;2420;0
НорНик;D;20020110;000000;500;500;490;500;1643;0
НорНик;D;20020111;000000;500;520;500;516.1;4698;0
НорНик;D;20020114;000000;515;515;500;500;5233;0
НорНик;D;20020115;000000;490;504.46;490;500.62;1241;0
НорНик;D;20020116;000000;500;502.5;500;500;2320;0
НорНик;D;20020117;000000;495;502.02;495;502;1877;0
НорНик;D;20020118;000000;500;505;490.02;490.02;1894;0
НорНик;D;20020121;000000;495;495;489;491;239;0
НорНик;D;20020122;000000;495;510;495;508;4262;0
НорНик;D;20020123;000000;500;500;490;490;1252;0
НорНик;D;20020124;000000;475;488;462;462;1881;0
НорНик;D;20020125;000000;459.5;465;451;451;374;0
НорНик;D;20020128;000000;446;463;445.5;460.5;397;0
НорНик;D;20020129;000000;471.5;497;471;495;1874;0
НорНик;D;20020130;000000;475;480;473;473;404;0
НорНик;D;20020131;000000;480.01;487;480;485;494;0
НорНик;D;20020201;000000;501;510.49;495;500;10482;0
НорНик;D;20020204;000000;500;505;490;490;426;0
НорНик;D;20020205;000000;494;494;490;490;88;0
НорНик;D;20020206;000000;490;504;490;502;531;0
НорНик;D;20020207;000000;502;525.25;502;525;2170;0
НорНик;D;20020208;000000;528;554;528;535;2476;0
НорНик;D;20020211;000000;537;545;536;536;1643;0
НорНик;D;20020212;000000;559;559;534;543;2263;0
НорНик;D;20020213;000000;520;540;520;540;811;0
НорНик;D;20020214;000000;535.12;541;533;541;93;0
НорНик;D;20020215;000000;540;541;537;540;1445;0
НорНик;D;20020218;000000;540;546;540;545;648;0
НорНик;D;20020219;000000;548;559;546.01;553;1695;0
НорНик;D;20020220;000000;543.51;545;536;536;90;0
НорНик;D;20020221;000000;545;559;542.01;558;1199;0
НорНик;D;20020222;000000;560;600;560;597;3318;0
НорНик;D;20020226;000000;600;625;600;610;1612;0
НорНик;D;20020227;000000;617;617;600.01;605;937;0
НорНик;D;20020228;000000;615;615;602;607;904;0
НорНик;D;20020301;000000;615;630;613;614.01;822;0
НорНик;D;20020304;000000;630;634;610;619;924;0
НорНик;D;20020305;000000;608;615;607;607;425;0
НорНик;D;20020306;000000;600;610;591.01;610;1094;0
НорНик;D;20020307;000000;620;627.76;618;625;1171;0
НорНик;D;20020311;000000;629.9;630;621;621;319;0
НорНик;D;20020312;000000;624.14;624.14;618;618;249;0
НорНик;D;20020313;000000;610.01;650;610.01;630;1280;0
НорНик;D;20020314;000000;632;640;630;636;1722;0
НорНик;D;20020315;000000;645;650;639;648;2263;0
НорНик;D;20020318;000000;655;670;655;665;2614;0
НорНик;D;20020319;000000;660;675;653;675;1375;0
НорНик;D;20020320;000000;660;665;648.75;650;856;0
НорНик;D;20020321;000000;666;680;656.01;670;505;0
НорНик;D;20020322;000000;670;700;660;665;3077;0
НорНик;D;20020325;000000;675;683;660.03;660.03;1265;0
НорНик;D;20020326;000000;661;661;650;657;699;0
НорНик;D;20020327;000000;660;666;650;660;3649;0
НорНик;D;20020328;000000;666.66;674;665;674;1905;0
НорНик;D;20020329;000000;674;674;670;670;193;0
НорНик;D;20020401;000000;674;675;670;674;265;0
НорНик;D;20020402;000000;670;676;660.03;660.03;828;0
НорНик;D;20020403;000000;650;668;644;655;911;0
НорНик;D;20020404;000000;654;655;645;645;2115;0
НорНик;D;20020405;000000;650;650;635;645;1244;0
НорНик;D;20020408;000000;636.01;652;636.01;638.8;1106;0
НорНик;D;20020409;000000;650;657.5;645;653;1262;0
НорНик;D;20020410;000000;652;670;648;670;2148;0
НорНик;D;20020411;000000;670;680;664;680;2712;0
НорНик;D;20020412;000000;650;675;650;666;2271;0
НорНик;D;20020415;000000;675;684;675;683;2811;0
НорНик;D;20020416;000000;695;699;680.08;691;1188;0
НорНик;D;20020417;000000;700;706;698;706;4351;0
НорНик;D;20020418;000000;720;749.75;700;715.02;1073;0
НорНик;D;20020419;000000;695;777;695;777;2435;0
НорНик;D;20020422;000000;750;800;750;770;1016;0
НорНик;D;20020423;000000;750;765;747.02;747.02;1304;0
НорНик;D;20020424;000000;760;765;725;725;794;0
НорНик;D;20020425;000000;730;747;725;747;206;0
НорНик;D;20020426;000000;748;748;720;730;1145;0
НорНик;D;20020427;000000;720;739.5;720;739.5;1297;0
НорНик;D;20020429;000000;731;750;731;745;814;0
НорНик;D;20020430;000000;739.6;740;739.6;740;32;0
НорНик;D;20020506;000000;730;730;718;719;483;0
НорНик;D;20020507;000000;729;729;685;685;342;0
НорНик;D;20020508;000000;695.5;720;695.5;712;529;0
НорНик;D;20020513;000000;720;720;690;695;236;0
НорНик;D;20020514;000000;705;710;690.01;710;736;0
НорНик;D;20020515;000000;725;725;700;700;672;0
НорНик;D;20020516;000000;700;715;700;714;1571;0
НорНик;D;20020517;000000;717;720;715;720;866;0
НорНик;D;20020518;000000;724.99;729.99;724.99;728;322;0
НорНик;D;20020520;000000;729;743;728;740;1864;0
НорНик;D;20020521;000000;729;735;728;728;1193;0
НорНик;D;20020522;000000;729;731;710;710;733;0
НорНик;D;20020523;000000;720;724;705;712;424;0
НорНик;D;20020524;000000;710;717;705;710;531;0
НорНик;D;20020527;000000;718;745;715;728;749;0
НорНик;D;20020528;000000;730;740;690;708;732;0
НорНик;D;20020529;000000;707;715;700;700;1450;0
НорНик;D;20020530;000000;721;725;702;702;643;0
НорНик;D;20020531;000000;705;720;700;720;699;0
НорНик;D;20020603;000000;724;724;714;714;316;0
НорНик;D;20020604;000000;700;715;700;708;594;0
НорНик;D;20020605;000000;716;740;710;715;838;0
НорНик;D;20020606;000000;715;724.99;715;718;998;0
НорНик;D;20020607;000000;707.51;724.99;700;712;851;0
НорНик;D;20020610;000000;725;730;712;712;302;0
НорНик;D;20020611;000000;712;725;712;720;878;0
НорНик;D;20020613;000000;700;725;700;716;1039;0
НорНик;D;20020614;000000;710;710;700;700;335;0
НорНик;D;20020617;000000;694;694;675.01;675.01;61;0
НорНик;D;20020618;000000;675;675;610;610;193;0
НорНик;D;20020619;000000;625;630;610;624;389;0
НорНик;D;20020620;000000;630;630;595;605;325;0
НорНик;D;20020621;000000;585.01;600;570.01;600;842;0
НорНик;D;20020624;000000;580;680;580;585;385;0
НорНик;D;20020625;000000;585;640;585;625;1169;0
НорНик;D;20020626;000000;600;630;590;630;817;0
НорНик;D;20020627;000000;620;650;620;650;673;0
НорНик;D;20020628;000000;650;650;642;650;492;0
НорНик;D;20020701;000000;640;664.9;600;664.9;498;0
НорНик;D;20020702;000000;655;655;640;640;463;0
НорНик;D;20020703;000000;650;720;650;670;1867;0
НорНик;D;20020704;000000;665.01;669;655;669;921;0
НорНик;D;20020705;000000;670;689.98;650;689.98;2472;0
НорНик;D;20020708;000000;670;687;670;684.99;352;0
НорНик;D;20020709;000000;655;705;655;700;1559;0
НорНик;D;20020710;000000;705;705;690;700;628;0
НорНик;D;20020711;000000;685.1;685.1;665.07;665.07;633;0
НорНик;D;20020712;000000;691.99;691.99;670.02;670.02;37;0
НорНик;D;20020715;000000;670;670;670;670;30;0
НорНик;D;20020716;000000;660.01;660.01;621.15;626.21;352;0
НорНик;D;20020717;000000;652.1;680;631.6;680;884;0
НорНик;D;20020718;000000;695;710.99;652;652;1029;0
НорНик;D;20020719;000000;641;650;621;621;465;0
НорНик;D;20020722;000000;660;660;553;580;213;0
НорНик;D;20020723;000000;567;569;500.05;539;155;0
НорНик;D;20020724;000000;580;580;400;400;189;0
НорНик;D;20020725;000000;480;480;430;430;290;0
НорНик;D;20020726;000000;401;404.01;401;404.01;60;0
НорНик;D;20020729;000000;470;480;470;480;23;0
НорНик;D;20020730;000000;440.02;469;410.01;469;729;0
НорНик;D;20020731;000000;500;500;436.01;438.07;206;0
НорНик;D;20020801;000000;469;469;416.1;416.1;35;0
НорНик;D;20020802;000000;422.01;422.01;422.01;422.01;9;0
НорНик;D;20020805;000000;430;487;430;450;34;0
НорНик;D;20020806;000000;421;440;408.2;440;207;0
НорНик;D;20020807;000000;441;441;440;440;105;0
НорНик;D;20020808;000000;410;430;410;430;90;0
НорНик;D;20020809;000000;415;415;405;405;38;0
НорНик;D;20020812;000000;406;406.1;361;362;377;0
