<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Gold;D;20000106;000000;246.67;246.67;246.67;246.67;0;0
Gold;D;20000110;000000;252.45;252.45;252.45;252.45;0;0
Gold;D;20000111;000000;258.83;258.83;258.83;258.83;0;0
Gold;D;20000112;000000;263.08;263.08;263.08;263.08;0;0
Gold;D;20000113;000000;261.23;261.23;261.23;261.23;0;0
Gold;D;20000114;000000;262.35;262.35;262.35;262.35;0;0
Gold;D;20000117;000000;263.05;263.05;263.05;263.05;0;0
Gold;D;20000118;000000;264.81;264.81;264.81;264.81;0;0
Gold;D;20000119;000000;266.06;266.06;266.06;266.06;0;0
Gold;D;20000120;000000;265.67;265.67;265.67;265.67;0;0
Gold;D;20000121;000000;264.4;264.4;264.4;264.4;0;0
Gold;D;20000124;000000;264.19;264.19;264.19;264.19;0;0
Gold;D;20000125;000000;265.78;265.78;265.78;265.78;0;0
Gold;D;20000126;000000;262.83;262.83;262.83;262.83;0;0
Gold;D;20000127;000000;264.29;264.29;264.29;264.29;0;0
Gold;D;20000128;000000;263.98;263.98;263.98;263.98;0;0
Gold;D;20000131;000000;261.13;261.13;261.13;261.13;0;0
Gold;D;20000201;000000;261.68;261.68;261.68;261.68;0;0
Gold;D;20000202;000000;262.02;262.02;262.02;262.02;0;0
Gold;D;20000203;000000;265.18;265.18;265.18;265.18;0;0
Gold;D;20000204;000000;267.22;267.22;267.22;267.22;0;0
Gold;D;20000207;000000;294.2;294.2;294.2;294.2;0;0
Gold;D;20000208;000000;281.28;281.28;281.28;281.28;0;0
Gold;D;20000209;000000;283.63;283.63;283.63;283.63;0;0
Gold;D;20000210;000000;288.19;288.19;288.19;288.19;0;0
Gold;D;20000211;000000;294.22;294.22;294.22;294.22;0;0
Gold;D;20000214;000000;287.03;287.03;287.03;287.03;0;0
Gold;D;20000215;000000;284.84;284.84;284.84;284.84;0;0
Gold;D;20000216;000000;278.77;278.77;278.77;278.77;0;0
Gold;D;20000217;000000;284.91;284.91;284.91;284.91;0;0
Gold;D;20000218;000000;280.69;280.69;280.69;280.69;0;0
Gold;D;20000221;000000;283.94;283.94;283.94;283.94;0;0
Gold;D;20000222;000000;284.9;284.9;284.9;284.9;0;0
Gold;D;20000223;000000;284.33;284.33;284.33;284.33;0;0
Gold;D;20000224;000000;279.08;279.08;279.08;279.08;0;0
Gold;D;20000225;000000;275.6;275.6;275.6;275.6;0;0
Gold;D;20000228;000000;271.06;271.06;271.06;271.06;0;0
Gold;D;20000229;000000;272.2;272.2;272.2;272.2;0;0
Gold;D;20000301;000000;271.82;271.82;271.82;271.82;0;0
Gold;D;20000302;000000;267.02;267.02;267.02;267.02;0;0
Gold;D;20000303;000000;267.23;267.23;267.23;267.23;0;0
Gold;D;20000306;000000;267.07;267.07;267.07;267.07;0;0
Gold;D;20000307;000000;265.95;265.95;265.95;265.95;0;0
Gold;D;20000309;000000;266.37;266.37;266.37;266.37;0;0
Gold;D;20000310;000000;269.04;269.04;269.04;269.04;0;0
Gold;D;20000313;000000;266.72;266.72;266.72;266.72;0;0
Gold;D;20000314;000000;267.28;267.28;267.28;267.28;0;0
Gold;D;20000315;000000;265.45;265.45;265.45;265.45;0;0
Gold;D;20000316;000000;264.88;264.88;264.88;264.88;0;0
Gold;D;20000317;000000;262.03;262.03;262.03;262.03;0;0
Gold;D;20000320;000000;261.34;261.34;261.34;261.34;0;0
Gold;D;20000321;000000;262.35;262.35;262.35;262.35;0;0
Gold;D;20000322;000000;265.15;265.15;265.15;265.15;0;0
Gold;D;20000323;000000;262.37;262.37;262.37;262.37;0;0
Gold;D;20000324;000000;260.81;260.81;260.81;260.81;0;0
Gold;D;20000327;000000;260.07;260.07;260.07;260.07;0;0
Gold;D;20000328;000000;256.17;256.17;256.17;256.17;0;0
Gold;D;20000329;000000;254.9;254.9;254.9;254.9;0;0
Gold;D;20000330;000000;254.47;254.47;254.47;254.47;0;0
Gold;D;20000331;000000;254.98;254.98;254.98;254.98;0;0
Gold;D;20000403;000000;259.23;259.23;259.23;259.23;0;0
Gold;D;20000404;000000;257.13;257.13;257.13;257.13;0;0
Gold;D;20000405;000000;262.67;262.67;262.67;262.67;0;0
Gold;D;20000406;000000;258.36;258.36;258.36;258.36;0;0
Gold;D;20000407;000000;259.28;259.28;259.28;259.28;0;0
Gold;D;20000410;000000;260.36;260.36;260.36;260.36;0;0
Gold;D;20000411;000000;259.72;259.72;259.72;259.72;0;0
Gold;D;20000412;000000;258.58;258.58;258.58;258.58;0;0
Gold;D;20000413;000000;259.36;259.36;259.36;259.36;0;0
Gold;D;20000414;000000;258.4;258.4;258.4;258.4;0;0
Gold;D;20000417;000000;262.02;262.02;262.02;262.02;0;0
Gold;D;20000418;000000;262.07;262.07;262.07;262.07;0;0
Gold;D;20000419;000000;260.18;260.18;260.18;260.18;0;0
Gold;D;20000420;000000;259.09;259.09;259.09;259.09;0;0
Gold;D;20000421;000000;258.11;258.11;258.11;258.11;0;0
Gold;D;20000424;000000;257.99;257.99;257.99;257.99;0;0
Gold;D;20000425;000000;258.16;258.16;258.16;258.16;0;0
Gold;D;20000426;000000;255.32;255.32;255.32;255.32;0;0
