<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GOLD ETF;D;20220725;000000;0.8318;0.856;0.8317;0.8491;60681240;0
GOLD ETF;D;20220726;000000;0.8525;0.8798;0.841;0.8798;22391304;0
GOLD ETF;D;20220727;000000;0.879;0.8888;0.8563;0.8729;30844839;0
GOLD ETF;D;20220728;000000;0.8731;0.894;0.8731;0.8933;97933201;0
GOLD ETF;D;20220729;000000;0.894;0.9203;0.8933;0.915;175117141;0
GOLD ETF;D;20220801;000000;0.915;0.9268;0.88;0.8896;84615700;0
GOLD ETF;D;20220802;000000;0.8832;0.9;0.8804;0.8947;39864044;0
GOLD ETF;D;20220803;000000;0.89;0.8941;0.8806;0.8826;69175094;0
GOLD ETF;D;20220804;000000;0.8837;0.901;0.8837;0.8999;105393063;0
GOLD ETF;D;20220805;000000;0.9;0.91;0.8966;0.903;35642126;0
GOLD ETF;D;20220808;000000;0.9029;0.9099;0.8925;0.908;49784788;0
GOLD ETF;D;20220809;000000;0.9075;0.9136;0.9002;0.9059;18004126;0
GOLD ETF;D;20220810;000000;0.8975;0.9156;0.897;0.9137;28532652;0
GOLD ETF;D;20220811;000000;0.9114;0.9132;0.9054;0.9097;24394987;0
GOLD ETF;D;20220812;000000;0.9097;0.9168;0.9034;0.9111;26594854;0
GOLD ETF;D;20220815;000000;0.9103;0.9214;0.9103;0.914;41867931;0
GOLD ETF;D;20220816;000000;0.9162;0.9185;0.905;0.9104;28192855;0
GOLD ETF;D;20220817;000000;0.9109;0.9122;0.8921;0.8964;27292811;0
GOLD ETF;D;20220818;000000;0.8973;0.904;0.8778;0.8868;55273705;0
GOLD ETF;D;20220819;000000;0.887;0.8894;0.866;0.878;33252320;0
GOLD ETF;D;20220822;000000;0.8775;0.883;0.8602;0.8657;38599974;0
GOLD ETF;D;20220823;000000;0.8632;0.876;0.8632;0.8759;24969016;0
GOLD ETF;D;20220824;000000;0.8755;0.8851;0.8722;0.88;16243709;0
GOLD ETF;D;20220825;000000;0.883;0.8934;0.8796;0.8857;29363142;0
GOLD ETF;D;20220826;000000;0.886;0.8908;0.8821;0.8884;14348186;0
GOLD ETF;D;20220829;000000;0.885;0.8885;0.8721;0.8855;40022670;0
GOLD ETF;D;20220830;000000;0.8855;0.8901;0.8775;0.8797;26670218;0
GOLD ETF;D;20220831;000000;0.8776;0.89;0.8644;0.8753;34350896;0
GOLD ETF;D;20220901;000000;0.874;0.8773;0.8617;0.8647;45111058;0
GOLD ETF;D;20220902;000000;0.866;0.8802;0.8654;0.8791;62256734;0
GOLD ETF;D;20220905;000000;0.8751;0.8923;0.875;0.8828;36578398;0
GOLD ETF;D;20220906;000000;0.8835;0.886;0.8766;0.8818;45734186;0
GOLD ETF;D;20220907;000000;0.8826;0.8854;0.8772;0.8787;38468742;0
GOLD ETF;D;20220908;000000;0.8803;0.8843;0.877;0.8779;22605652;0
GOLD ETF;D;20220909;000000;0.8778;0.8811;0.8717;0.8735;24604336;0
GOLD ETF;D;20220912;000000;0.877;0.8812;0.8735;0.879;12241521;0
GOLD ETF;D;20220913;000000;0.8809;0.8836;0.8642;0.8675;43397642;0
GOLD ETF;D;20220914;000000;0.8685;0.8685;0.855;0.8575;42178404;0
GOLD ETF;D;20220915;000000;0.8576;0.8576;0.8432;0.8487;64576934;0
