<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
HEAD;D;20200925;0;1875.0;1952.2;1850.0;1870.0;137778;0
HEAD;D;20200928;0;1889.8;1931.0;1859.6;1930.0;41368;0
HEAD;D;20200929;0;1955.0;2108.0;1930.2;1938.0;29953;0
HEAD;D;20200930;0;1940.0;1940.2;1893.2;1898.0;7161;0
HEAD;D;20201001;0;1895.8;1899.8;1879.4;1892.6;5571;0
HEAD;D;20201002;0;1893.0;1902.4;1860.0;1884.0;8808;0
HEAD;D;20201005;0;1880.0;1915.6;1880.0;1915.6;6507;0
HEAD;D;20201006;0;1924.8;1929.8;1886.6;1900.0;30429;0
HEAD;D;20201007;0;1899.8;1927.0;1884.0;1885.8;93243;0
HEAD;D;20201008;0;1866.8;1890.6;1800.2;1854.0;41515;0
HEAD;D;20201009;0;1852.8;1852.8;1826.2;1835.4;17403;0
HEAD;D;20201012;0;1825.2;1849.0;1805.2;1836.6;14829;0
HEAD;D;20201013;0;1839.6;1841.8;1791.6;1802.2;46775;0
HEAD;D;20201014;0;1800.0;1824.8;1780.0;1824.8;11455;0
HEAD;D;20201015;0;1800.0;1814.0;1775.2;1805.6;20646;0
HEAD;D;20201016;0;1801.2;1809.2;1798.0;1809.2;4043;0
HEAD;D;20201019;0;1780.4;1804.6;1780.4;1798.8;6079;0
HEAD;D;20201020;0;1799.2;1809.8;1785.8;1801.2;4295;0
HEAD;D;20201021;0;1813.8;1813.8;1749.4;1769.8;4420;0
HEAD;D;20201022;0;1765.2;1778.6;1759.0;1776.0;5924;0
HEAD;D;20201023;0;1767.6;1776.0;1750.4;1750.4;4088;0
HEAD;D;20201026;0;1750.4;1774.8;1740.4;1751.0;7274;0
HEAD;D;20201027;0;1755.0;1776.0;1750.2;1776.0;3724;0
HEAD;D;20201028;0;1750.8;1810.0;1750.4;1798.8;9469;0
HEAD;D;20201029;0;1805.0;1828.0;1797.2;1818.8;8867;0
