<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Индекс МосБиржи;D;20000301;000000;198.99;0;0;198.99;0;0
Индекс МосБиржи;D;20000302;000000;201.49;0;0;201.49;0;0
Индекс МосБиржи;D;20000303;000000;205.49;0;0;205.49;0;0
Индекс МосБиржи;D;20000306;000000;210.98;0;0;210.98;0;0
Индекс МосБиржи;D;20000307;000000;211.95;0;0;211.95;0;0
Индекс МосБиржи;D;20000309;000000;232.16;0;0;232.16;0;0
Индекс МосБиржи;D;20000310;000000;241.53;0;0;241.53;0;0
Индекс МосБиржи;D;20000313;000000;239.8;0;0;239.8;0;0
Индекс МосБиржи;D;20000314;000000;245.92;0;0;245.92;0;0
Индекс МосБиржи;D;20000315;000000;246.46;0;0;246.46;0;0
Индекс МосБиржи;D;20000316;000000;247.66;0;0;247.66;0;0
Индекс МосБиржи;D;20000317;000000;249.94;0;0;249.94;0;0
Индекс МосБиржи;D;20000320;000000;243.86;0;0;243.86;0;0
Индекс МосБиржи;D;20000321;000000;240.17;0;0;240.17;0;0
Индекс МосБиржи;D;20000322;000000;245.8;0;0;245.8;0;0
Индекс МосБиржи;D;20000323;000000;260.16;0;0;260.16;0;0
Индекс МосБиржи;D;20000324;000000;268.86;0;0;268.86;0;0
Индекс МосБиржи;D;20000327;000000;277.82;0;0;277.82;0;0
Индекс МосБиржи;D;20000328;000000;261.86;0;0;261.86;0;0
Индекс МосБиржи;D;20000329;000000;256.89;0;0;256.89;0;0
Индекс МосБиржи;D;20000330;000000;252.08;0;0;252.08;0;0
Индекс МосБиржи;D;20000331;000000;254.68;0;0;254.68;0;0
Индекс МосБиржи;D;20000403;000000;257.3;0;0;257.3;0;0
Индекс МосБиржи;D;20000404;000000;258.02;0;0;258.02;0;0
Индекс МосБиржи;D;20000405;000000;245.7;0;0;245.7;0;0
Индекс МосБиржи;D;20000406;000000;249.43;0;0;249.43;0;0
Индекс МосБиржи;D;20000407;000000;247.96;0;0;247.96;0;0
Индекс МосБиржи;D;20000410;000000;253.28;0;0;253.28;0;0
Индекс МосБиржи;D;20000411;000000;249.68;0;0;249.68;0;0
Индекс МосБиржи;D;20000412;000000;248.1;0;0;248.1;0;0
Индекс МосБиржи;D;20000413;000000;243.73;0;0;243.73;0;0
