<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
IRAO;D;20080717;0;0.02;0.0229;0.0178;0.02;490367000;0
IRAO;D;20080718;0;0.02;0.0269;0.0195;0.0203;1218149000;0
IRAO;D;20080721;0;0.0216;0.0221;0.0196;0.0208;335381000;0
IRAO;D;20080722;0;0.0205;0.0214;0.0197;0.0202;305837000;0
IRAO;D;20080723;0;0.0203;0.0232;0.02;0.0226;811034000;0
IRAO;D;20080724;0;0.0226;0.0304;0.0226;0.0284;2002235000;0
IRAO;D;20080725;0;0.0285;0.0392;0.0269;0.0392;1760021000;0
IRAO;D;20080728;0;0.0394;0.0549;0.0394;0.0549;279155000;0
IRAO;D;20080729;0;0.0581;0.0769;0.0581;0.0769;94264000;0
IRAO;D;20080730;0;0.084;0.1077;0.0586;0.0586;709239000;0
IRAO;D;20080731;0;0.0717;0.0783;0.0352;0.0539;1246920000;0
IRAO;D;20080801;0;0.05;0.07;0.0401;0.0646;1248868000;0
IRAO;D;20080804;0;0.064;0.087;0.0622;0.082;1082561000;0
IRAO;D;20080805;0;0.0833;0.09;0.0656;0.0775;772466000;0
IRAO;D;20080806;0;0.0864;0.0927;0.08;0.0835;535699000;0
IRAO;D;20080807;0;0.0838;0.0898;0.0785;0.0818;262326000;0
IRAO;D;20080808;0;0.083;0.083;0.0554;0.0675;708974000;0
IRAO;D;20080811;0;0.0645;0.069;0.055;0.0661;384371000;0
IRAO;D;20080812;0;0.0668;0.0677;0.0477;0.0506;694591000;0
IRAO;D;20080813;0;0.0524;0.0525;0.0381;0.0407;802291000;0
IRAO;D;20080814;0;0.0402;0.0419;0.033;0.0402;1703852000;0
IRAO;D;20080815;0;0.0405;0.0451;0.039;0.045;1107301000;0
IRAO;D;20080818;0;0.0468;0.0532;0.0431;0.0506;1404845000;0
IRAO;D;20080819;0;0.0498;0.056;0.0458;0.0467;1550423000;0
IRAO;D;20080820;0;0.0494;0.051;0.045;0.0485;780528000;0
IRAO;D;20080821;0;0.0507;0.0507;0.0439;0.0454;420822000;0
IRAO;D;20080822;0;0.0449;0.0456;0.0395;0.0405;604480000;0
IRAO;D;20080825;0;0.0403;0.0405;0.0372;0.0378;555043000;0
IRAO;D;20080826;0;0.0364;0.0372;0.033;0.0351;526485000;0
IRAO;D;20080827;0;0.0362;0.041;0.0301;0.0363;1126950000;0
IRAO;D;20080828;0;0.0365;0.039;0.0342;0.0378;836375000;0
IRAO;D;20080829;0;0.038;0.0386;0.0335;0.0378;705432000;0
IRAO;D;20080901;0;0.0383;0.039;0.0354;0.0374;439646000;0
IRAO;D;20080902;0;0.0374;0.0396;0.0363;0.0393;843530000;0
IRAO;D;20080903;0;0.0393;0.0393;0.0366;0.0371;415422000;0
IRAO;D;20080904;0;0.0387;0.0387;0.0342;0.0353;789117000;0
IRAO;D;20080905;0;0.033;0.0347;0.0312;0.0322;475261000;0
IRAO;D;20080908;0;0.0333;0.0336;0.0317;0.0325;313448000;0
IRAO;D;20080909;0;0.0321;0.033;0.0258;0.0275;261124000;0
IRAO;D;20080910;0;0.0271;0.0271;0.0226;0.0239;433144000;0
IRAO;D;20080911;0;0.024;0.0249;0.0217;0.0232;76020000;0
IRAO;D;20080912;0;0.023;0.0243;0.022;0.023;321426000;0
IRAO;D;20080915;0;0.0231;0.0231;0.0211;0.0216;152216000;0
IRAO;D;20080916;0;0.0205;0.0205;0.0138;0.0147;295507000;0
IRAO;D;20080917;0;0.0169;0.0187;0.0128;0.0128;92320000;0
IRAO;D;20080919;0;0.015;0.0206;0.0145;0.0206;594454000;0
IRAO;D;20080922;0;0.0207;0.0286;0.0207;0.0286;711999000;0
IRAO;D;20080923;0;0.0304;0.037;0.0288;0.0308;2325963000;0
IRAO;D;20080924;0;0.0324;0.0344;0.0295;0.0326;962495000;0
IRAO;D;20080925;0;0.0316;0.0338;0.0294;0.0313;588886000;0
IRAO;D;20080926;0;0.0314;0.0318;0.0295;0.03;308902000;0
IRAO;D;20080929;0;0.03;0.03;0.0252;0.026;363236000;0
IRAO;D;20080930;0;0.025;0.0333;0.0207;0.0288;967819000;0
IRAO;D;20081001;0;0.0302;0.0348;0.028;0.0293;796677000;0
IRAO;D;20081002;0;0.0298;0.0307;0.0275;0.0283;319737000;0
IRAO;D;20081003;0;0.0307;0.0307;0.025;0.0287;342381000;0
IRAO;D;20081006;0;0.0279;0.0284;0.0205;0.0244;351584000;0
IRAO;D;20081007;0;0.024;0.0258;0.021;0.0231;317288000;0
IRAO;D;20081008;0;0.022;0.022;0.0185;0.0192;57987000;0
IRAO;D;20081009;0;0.0208;0.0218;0.018;0.0193;448824000;0
IRAO;D;20081013;0;0.018;0.018;0.0117;0.0121;6306163000;0
IRAO;D;20081014;0;0.013;0.0132;0.0104;0.0109;3122046000;0
IRAO;D;20081015;0;0.0109;0.0112;0.0087;0.0094;2367751000;0
IRAO;D;20081016;0;0.0088;0.0088;0.0065;0.007;3430620000;0
IRAO;D;20081017;0;0.0075;0.0076;0.006;0.0068;1764855000;0
IRAO;D;20081020;0;0.0072;0.0077;0.0069;0.0073;1284374000;0
IRAO;D;20081021;0;0.0079;0.0079;0.0069;0.0072;850622000;0
IRAO;D;20081022;0;0.007;0.0073;0.0065;0.0067;929432000;0
IRAO;D;20081023;0;0.0067;0.007;0.0062;0.0068;1159404000;0
IRAO;D;20081024;0;0.0068;0.0068;0.0052;0.0055;804877000;0
IRAO;D;20081028;0;0.0054;0.0057;0.0052;0.0054;1469529000;0
IRAO;D;20081029;0;0.0055;0.0061;0.0053;0.0059;2230217000;0
IRAO;D;20081030;0;0.0059;0.0064;0.0057;0.006;4308264000;0
IRAO;D;20081031;0;0.0059;0.006;0.0055;0.0059;3357623000;0
IRAO;D;20081101;0;0.0061;0.0081;0.0059;0.0078;4682805000;0
IRAO;D;20081105;0;0.0077;0.0095;0.0077;0.0081;7341629000;0
IRAO;D;20081106;0;0.0075;0.0075;0.0063;0.0065;4788641000;0
IRAO;D;20081107;0;0.0062;0.007;0.0061;0.007;4478255000;0
IRAO;D;20081110;0;0.0074;0.008;0.0072;0.0074;4676946000;0
IRAO;D;20081111;0;0.007;0.0073;0.0062;0.0063;2890195000;0
IRAO;D;20081113;0;0.0057;0.0071;0.0054;0.0067;4328677000;0
IRAO;D;20081114;0;0.007;0.0075;0.0068;0.007;3568080000;0
IRAO;D;20081117;0;0.007;0.0072;0.0065;0.0069;1454945000;0
IRAO;D;20081118;0;0.0066;0.0071;0.0065;0.0071;1488280000;0
IRAO;D;20081119;0;0.007;0.0078;0.0068;0.0069;2423976000;0
IRAO;D;20081120;0;0.0065;0.0067;0.0061;0.0063;2143274000;0
IRAO;D;20081121;0;0.0065;0.0066;0.0061;0.0063;1022108000;0
IRAO;D;20081124;0;0.0066;0.0071;0.0063;0.007;2388608000;0
IRAO;D;20081125;0;0.0074;0.0074;0.0066;0.0067;2041375000;0
IRAO;D;20081126;0;0.0069;0.0071;0.0066;0.007;1892872000;0
IRAO;D;20081127;0;0.0072;0.0086;0.007;0.0079;13205536000;0
IRAO;D;20081128;0;0.0082;0.0083;0.007;0.0072;3467811000;0
IRAO;D;20081201;0;0.0071;0.0073;0.0064;0.0065;1748154000;0
IRAO;D;20081202;0;0.0062;0.0067;0.0057;0.0066;1932048000;0
IRAO;D;20081203;0;0.0067;0.0068;0.0061;0.0064;1034809000;0
IRAO;D;20081204;0;0.0064;0.0067;0.0061;0.0064;1294544000;0
IRAO;D;20081205;0;0.0064;0.0064;0.006;0.0061;2794349000;0
IRAO;D;20081208;0;0.0072;0.0072;0.0062;0.0066;5790121000;0
IRAO;D;20081209;0;0.0065;0.0065;0.006;0.0062;3607828000;0
IRAO;D;20081210;0;0.0062;0.0062;0.0057;0.006;2502181000;0
IRAO;D;20081211;0;0.006;0.0061;0.0057;0.006;1742121000;0
IRAO;D;20081212;0;0.0059;0.0059;0.0055;0.0058;1767816000;0
IRAO;D;20081215;0;0.006;0.0063;0.0059;0.006;1839498000;0
IRAO;D;20081216;0;0.006;0.0062;0.0057;0.0061;1367897000;0
IRAO;D;20081217;0;0.0062;0.0062;0.0058;0.006;1484569000;0
IRAO;D;20081218;0;0.0061;0.0061;0.0058;0.0059;1919797000;0
IRAO;D;20081219;0;0.006;0.006;0.0057;0.006;1193018000;0
IRAO;D;20081222;0;0.0059;0.0061;0.0058;0.006;1489367000;0
IRAO;D;20081223;0;0.0059;0.006;0.0058;0.006;1476343000;0
IRAO;D;20081224;0;0.006;0.0077;0.0058;0.0077;12825830000;0
IRAO;D;20081225;0;0.0077;0.0084;0.0066;0.0067;12982872000;0
IRAO;D;20081226;0;0.0069;0.0073;0.0064;0.0065;4049021000;0
IRAO;D;20081229;0;0.0078;0.0078;0.0062;0.0063;1573799000;0
IRAO;D;20081230;0;0.0064;0.0064;0.006;0.0062;1000773000;0
IRAO;D;20081231;0;0.0063;0.0064;0.0061;0.0064;226594000;0
IRAO;D;20090111;0;0.0063;0.0066;0.0063;0.0064;492492000;0
IRAO;D;20090112;0;0.0064;0.0066;0.006;0.0062;2676276000;0
IRAO;D;20090113;0;0.0061;0.0063;0.0061;0.0062;1570289000;0
IRAO;D;20090114;0;0.0063;0.0065;0.0059;0.006;2079836000;0
IRAO;D;20090115;0;0.0059;0.0062;0.0058;0.006;1359956000;0
IRAO;D;20090116;0;0.0059;0.0062;0.0057;0.006;3797337000;0
IRAO;D;20090119;0;0.0061;0.0061;0.0056;0.0057;1278655000;0
IRAO;D;20090120;0;0.0055;0.0058;0.0053;0.0055;1292038000;0
IRAO;D;20090121;0;0.0054;0.0054;0.0051;0.0054;1465444000;0
IRAO;D;20090122;0;0.0055;0.0055;0.0049;0.005;2458529000;0
IRAO;D;20090123;0;0.005;0.0051;0.0047;0.005;2239103000;0
IRAO;D;20090126;0;0.005;0.0055;0.0048;0.0054;2006267000;0
IRAO;D;20090127;0;0.0055;0.0055;0.0051;0.0053;2091587000;0
IRAO;D;20090128;0;0.0054;0.006;0.0053;0.0058;2070788000;0
IRAO;D;20090129;0;0.0061;0.0061;0.0054;0.0057;1445867000;0
IRAO;D;20090130;0;0.0057;0.006;0.0055;0.0059;1455765000;0
IRAO;D;20090202;0;0.0057;0.0059;0.0055;0.0058;1649474000;0
IRAO;D;20090203;0;0.0059;0.0059;0.0056;0.0058;444363000;0
IRAO;D;20090204;0;0.0058;0.0059;0.0056;0.0057;807737000;0
IRAO;D;20090205;0;0.0056;0.0057;0.0055;0.0057;334697000;0
IRAO;D;20090206;0;0.0057;0.0059;0.0056;0.0058;848064000;0
IRAO;D;20090209;0;0.0058;0.0064;0.0057;0.0062;3132101000;0
IRAO;D;20090210;0;0.0062;0.0063;0.006;0.0062;1827440000;0
IRAO;D;20090211;0;0.006;0.0066;0.0059;0.0066;5081693000;0
IRAO;D;20090212;0;0.0065;0.0066;0.0061;0.0064;6282388000;0
IRAO;D;20090213;0;0.0064;0.0066;0.0061;0.0064;6921667000;0
IRAO;D;20090216;0;0.0063;0.0065;0.0062;0.0064;2731938000;0
IRAO;D;20090217;0;0.0063;0.0064;0.006;0.0061;2711387000;0
IRAO;D;20090218;0;0.006;0.0061;0.0058;0.0061;1961911000;0
IRAO;D;20090219;0;0.0061;0.007;0.006;0.0067;5746146000;0
