<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
LENT;D;20211201;000000;0;0;0;0;0;0
LENT;D;20211202;000000;0;0;0;0;0;0
LENT;D;20211203;000000;0;0;0;0;0;0
LENT;D;20211206;000000;0;0;0;0;0;0
LENT;D;20211207;000000;0;0;0;0;0;0
LENT;D;20211208;000000;0;0;0;0;0;0
LENT;D;20211209;000000;0;0;0;0;0;0
LENT;D;20211210;000000;0;0;0;0;0;0
LENT;D;20211213;000000;0;0;0;0;0;0
LENT;D;20211214;000000;1095;1095;1095;1095;42;0
LENT;D;20211215;000000;1204;1204;1050;1150;1630;0
LENT;D;20211216;000000;1200;1264.4;1177;1264.4;4839;0
LENT;D;20211217;000000;1299;1389.6;1281.8;1301;6592;0
LENT;D;20211220;000000;1287.8;1320;1110;1150;7426;0
LENT;D;20211221;000000;1182.6;1182.6;1069;1111.8;4973;0
LENT;D;20211222;000000;1111.6;1112;1032;1057;7541;0
LENT;D;20211223;000000;1050.2;1075.6;1006;1014;9392;0
LENT;D;20211224;000000;1015.8;1035.4;992;997.6;8144;0
LENT;D;20211227;000000;1012;1057;996.2;1049.2;12164;0
LENT;D;20211228;000000;1040;1042;1010.2;1033.6;4720;0
LENT;D;20211229;000000;1003;1032;996.2;999;14225;0
LENT;D;20211230;000000;1029.8;1029.8;995;998;7618;0
LENT;D;20220103;000000;998.4;1021.4;970;1001.4;5219;0
LENT;D;20220104;000000;1013;1022.8;1000;1019.8;8034;0
LENT;D;20220105;000000;1018;1026;1002.8;1025;2104;0
LENT;D;20220106;000000;1024.4;1030;1010;1019.6;2142;0
LENT;D;20220107;000000;0;0;0;0;0;0
LENT;D;20220110;000000;1016.6;1036.2;995;999;11516;0
LENT;D;20220111;000000;1005.8;1008.8;990.4;1008.8;2663;0
LENT;D;20220112;000000;1009.2;1014.4;1004.4;1009.2;2210;0
LENT;D;20220113;000000;1000.4;1014;982;982.6;10076;0
LENT;D;20220114;000000;984;999.8;961;977.2;8370;0
LENT;D;20220117;000000;977.4;999;968.2;974.2;5476;0
LENT;D;20220118;000000;970;980.8;929.6;933.8;11763;0
LENT;D;20220119;000000;933.8;966.2;918.2;940.8;8376;0
LENT;D;20220120;000000;990;990;925.4;958.6;3798;0
LENT;D;20220121;000000;971.4;971.4;894.2;919;15082;0
LENT;D;20220124;000000;932.8;995;785.2;826.8;23880;0
LENT;D;20220125;000000;852;852;799.6;830;8717;0
LENT;D;20220126;000000;850;869;833.2;858;3767;0
LENT;D;20220127;000000;875;888.8;831.2;880;3228;0
LENT;D;20220128;000000;899.8;927;880;898;3242;0
LENT;D;20220131;000000;890.2;932;860.4;894.2;9945;0
LENT;D;20220201;000000;910;910;894.5;907;2340;0
LENT;D;20220202;000000;910;919.5;897.5;905;3534;0
LENT;D;20220203;000000;900.5;900.5;880;888;2073;0
LENT;D;20220204;000000;915;915;875;877.5;1908;0
LENT;D;20220207;000000;885.5;892;861;872.5;2900;0
LENT;D;20220208;000000;875.5;881.5;840;870;2736;0
LENT;D;20220209;000000;875.5;894;871;885;2588;0
LENT;D;20220210;000000;878.5;894;878.5;884.5;4171;0
LENT;D;20220211;000000;889.5;915.5;850.5;879;7817;0
LENT;D;20220214;000000;875;879;851.5;866;1490;0
LENT;D;20220215;000000;879;894;865.5;878;3277;0
LENT;D;20220216;000000;899.5;916;890;893.5;3849;0
LENT;D;20220217;000000;893;921;875.5;883.5;4564;0
LENT;D;20220218;000000;883;920.5;871;877;3176;0
LENT;D;20220221;000000;900;910.5;821;839;18041;0
LENT;D;20220222;000000;825;866.5;735;850.5;7748;0
LENT;D;20220223;000000;0;0;0;0;0;0
LENT;D;20220224;000000;750;765;370;605;40975;0
LENT;D;20220225;000000;660;753.5;602;645;10760;0
LENT;D;20220228;000000;0;0;0;0;0;0
LENT;D;20220301;000000;0;0;0;0;0;0
LENT;D;20220302;000000;0;0;0;0;0;0
LENT;D;20220303;000000;0;0;0;0;0;0
LENT;D;20220304;000000;0;0;0;0;0;0
LENT;D;20220309;000000;0;0;0;0;0;0
LENT;D;20220310;000000;0;0;0;0;0;0
LENT;D;20220311;000000;0;0;0;0;0;0
LENT;D;20220314;000000;0;0;0;0;0;0
LENT;D;20220315;000000;0;0;0;0;0;0
LENT;D;20220316;000000;0;0;0;0;0;0
LENT;D;20220317;000000;0;0;0;0;0;0
LENT;D;20220318;000000;0;0;0;0;0;0
LENT;D;20220321;000000;0;0;0;0;0;0
LENT;D;20220322;000000;0;0;0;0;0;0
LENT;D;20220323;000000;0;0;0;0;0;0
LENT;D;20220324;000000;0;0;0;0;0;0
LENT;D;20220325;000000;0;0;0;0;0;0
LENT;D;20220328;000000;680;699.5;548;638.5;9672;0
LENT;D;20220329;000000;650;749;638.5;708;11513;0
LENT;D;20220330;000000;730;970;708;884.5;65865;0
LENT;D;20220331;000000;887;900;761;863;26016;0
LENT;D;20220401;000000;870;949;860.5;861;18306;0
LENT;D;20220404;000000;861.5;888.5;815.5;855.5;7632;0
LENT;D;20220405;000000;862.5;862.5;802;812.5;9025;0
LENT;D;20220406;000000;800;860;776;804;7027;0
LENT;D;20220407;000000;804.5;835;790;808;3213;0
LENT;D;20220408;000000;826.5;827;787.5;802;4923;0
LENT;D;20220411;000000;820;820;785.5;794;2560;0
LENT;D;20220412;000000;785;830;751;798.5;7729;0
LENT;D;20220413;000000;801;829;777;799;3250;0
LENT;D;20220414;000000;780.5;844.5;753;785;3764;0
LENT;D;20220415;000000;800;800;695;771.5;3480;0
LENT;D;20220418;000000;779.5;790;717;728.5;6511;0
LENT;D;20220419;000000;717.5;745;705;728;6275;0
LENT;D;20220420;000000;736.5;770.5;711;730;3168;0
LENT;D;20220421;000000;730;755;712.5;733;3770;0
LENT;D;20220422;000000;733;741;715.5;725;1483;0
LENT;D;20220425;000000;730;988;727;825;100740;0
LENT;D;20220426;000000;815;845;770;790.5;29579;0
LENT;D;20220427;000000;791.5;800;752;792;11326;0
LENT;D;20220428;000000;794.5;800;775;776;8632;0
LENT;D;20220429;000000;776.5;788.5;761.5;780.5;4271;0
LENT;D;20220504;000000;785;788;770;776;2904;0
LENT;D;20220505;000000;771;787;765;771.5;3180;0
LENT;D;20220506;000000;771.5;778.5;755;764;1917;0
LENT;D;20220511;000000;755;765.5;755;762;2078;0
LENT;D;20220512;000000;750.5;765;731.5;745.5;2933;0
LENT;D;20220513;000000;735.5;775;735.5;740;2070;0
LENT;D;20220516;000000;772.5;775;744;766;3310;0
LENT;D;20220517;000000;766.5;800;760.5;789.5;12181;0
LENT;D;20220518;000000;788;819.5;766;770;12600;0
LENT;D;20220519;000000;772.5;776.5;742;773;3582;0
LENT;D;20220520;000000;780;780;748.5;756.5;3680;0
LENT;D;20220523;000000;757;765;719.5;729;2827;0
LENT;D;20220524;000000;729;739.5;722;729.5;1931;0
LENT;D;20220525;000000;733;744.5;725;737.5;2884;0
LENT;D;20220526;000000;739.5;766.5;726;742.5;4281;0
LENT;D;20220527;000000;745;759.5;719;735.5;5465;0
LENT;D;20220530;000000;745;745;723;727;3865;0
LENT;D;20220531;000000;727;749;709;711;4404;0
LENT;D;20220601;000000;719.5;722;701;708;5318;0
LENT;D;20220602;000000;709;709;676.5;681.5;7477;0
LENT;D;20220603;000000;695.5;695.5;668;680;5395;0
LENT;D;20220606;000000;680;689.5;669.5;678;3134;0
LENT;D;20220607;000000;678;687.5;654.5;687;6578;0
LENT;D;20220608;000000;690;702;687;696;5933;0
LENT;D;20220609;000000;688;708;668.5;678.5;5886;0
LENT;D;20220610;000000;672.5;681;668;671.5;2735;0
LENT;D;20220614;000000;670;675;656.5;668;3660;0
LENT;D;20220615;000000;665;693.5;660;677.5;1894;0
LENT;D;20220616;000000;675;688;675;685.5;1586;0
LENT;D;20220617;000000;687.5;687.5;680;686.5;1016;0
LENT;D;20220620;000000;685.5;690;672;689;2465;0
LENT;D;20220621;000000;689.5;693.5;680;683.5;3526;0
LENT;D;20220622;000000;689;689.5;655;682;4388;0
LENT;D;20220623;000000;693.5;693.5;675.5;679.5;2751;0
LENT;D;20220624;000000;679.5;688.5;672.5;681;2193;0
LENT;D;20220627;000000;685;732.5;672;705;7973;0
LENT;D;20220628;000000;705;720;692;695;3987;0
LENT;D;20220629;000000;695.5;708;695;699;4440;0
LENT;D;20220630;000000;702;730;650;675.5;13657;0
