<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЛСР ао;D;20071130;000000;1769;1769;1768;1768;10721;0
ЛСР ао;D;20071227;000000;1788;1788;1787;1787;600;0
ЛСР ао;D;20080220;000000;1658;1658;1658;1658;1600;0
ЛСР ао;D;20080221;000000;1560;1675;1560;1650;1202;0
ЛСР ао;D;20080303;000000;1764;1764;1726;1763;317;0
ЛСР ао;D;20080304;000000;1752;1800;1740;1800;17;0
ЛСР ао;D;20080311;000000;1807;1807;1807;1807;45;0
ЛСР ао;D;20080312;000000;1859;1859;1859;1859;1;0
ЛСР ао;D;20080313;000000;2000;2000;1806;2000;206;0
ЛСР ао;D;20080314;000000;2000;2000;2000;2000;2;0
ЛСР ао;D;20080317;000000;1800;2100;1791.9;2100;813;0
ЛСР ао;D;20080318;000000;1791;1791;1706;1791;47;0
ЛСР ао;D;20080319;000000;1857;2000;1857;2000;11;0
ЛСР ао;D;20080320;000000;1730.02;1730.02;1710;1710;11;0
ЛСР ао;D;20080321;000000;1715;1715;1711;1712;9;0
ЛСР ао;D;20080324;000000;2000;2000;1813;1813;2;0
ЛСР ао;D;20080325;000000;1850;1860;1812;1833;419;0
ЛСР ао;D;20080327;000000;1710.01;1880;1710;1880;4;0
ЛСР ао;D;20080328;000000;1774;1774;1774;1774;51;0
ЛСР ао;D;20080401;000000;1700;1700;1700;1700;1;0
ЛСР ао;D;20080407;000000;1715;1715;1715;1715;11;0
ЛСР ао;D;20080411;000000;1880;1900;1880;1899;18;0
ЛСР ао;D;20080416;000000;1800;1800;1800;1800;9;0
ЛСР ао;D;20080421;000000;1889.99;1890;1889.99;1890;15;0
ЛСР ао;D;20080422;000000;1900;1900;1785;1785;5;0
ЛСР ао;D;20080424;000000;1750;1750;1750;1750;21;0
ЛСР ао;D;20080425;000000;1800;1800;1800;1800;340;0
ЛСР ао;D;20080428;000000;1800;1800;1800;1800;340;0
ЛСР ао;D;20080429;000000;1800;1800;1800;1800;100;0
ЛСР ао;D;20080430;000000;1835;1835;1750;1750;13;0
ЛСР ао;D;20080507;000000;1810;1845;1810;1845;7;0
ЛСР ао;D;20080512;000000;1880;1890;1880;1890;3;0
ЛСР ао;D;20080513;000000;1890;1890;1890;1890;1;0
ЛСР ао;D;20080514;000000;1949.99;1999.98;1949.99;1950;89;0
ЛСР ао;D;20080516;000000;1920.01;1920.01;1920.01;1920.01;3;0
ЛСР ао;D;20080519;000000;1855;1855;1855;1855;1;0
ЛСР ао;D;20080520;000000;1880;1880;1880;1880;1;0
ЛСР ао;D;20080521;000000;2000;2400;1860;1860;54;0
ЛСР ао;D;20080522;000000;2000;2000;1900;1900;7;0
ЛСР ао;D;20080526;000000;1980;1980;1980;1980;1;0
ЛСР ао;D;20080527;000000;1980;1980;1980;1980;5;0
ЛСР ао;D;20080528;000000;1900;1915;1900;1915;229;0
ЛСР ао;D;20080529;000000;1880;1900;1880;1900;302;0
ЛСР ао;D;20080530;000000;1900;1900;1900;1900;300;0
ЛСР ао;D;20080602;000000;1930;1940;1930;1932;29;0
ЛСР ао;D;20080604;000000;2205.72;2205.72;1790;1790;220;0
ЛСР ао;D;20080605;000000;1810;1810;1770;1770;220;0
ЛСР ао;D;20080606;000000;1750;1850;1750;1850;35;0
ЛСР ао;D;20080609;000000;1840;1889;1700;1745;532;0
ЛСР ао;D;20080610;000000;1700;1700;1699;1699;13;0
ЛСР ао;D;20080611;000000;1731;1731;1700;1700;59;0
ЛСР ао;D;20080616;000000;1745;1880;1700;1700;40;0
ЛСР ао;D;20080617;000000;1735;1736;1735;1736;43;0
ЛСР ао;D;20080618;000000;1701;1701;1690.03;1700;201;0
ЛСР ао;D;20080619;000000;1699.03;1700;1699;1699;6;0
ЛСР ао;D;20080620;000000;1740;1740;1730;1730;23;0
ЛСР ао;D;20080623;000000;1750;1750;1750;1750;3;0
ЛСР ао;D;20080624;000000;1720;1720;1720;1720;1;0
ЛСР ао;D;20080625;000000;1750;1765;1700;1700;8;0
ЛСР ао;D;20080626;000000;1710;1710;1710;1710;1;0
ЛСР ао;D;20080627;000000;1720;1720;1650;1650;25;0
ЛСР ао;D;20080630;000000;1650;1650;1635;1635;28;0
ЛСР ао;D;20080701;000000;1636;1636;1636;1636;100;0
ЛСР ао;D;20080702;000000;1590;1590;1550;1550;7;0
ЛСР ао;D;20080703;000000;1580;1580;1540.05;1540.05;31;0
ЛСР ао;D;20080704;000000;1550;1625;1550;1550;53;0
ЛСР ао;D;20080707;000000;1650;1650;1650;1650;1;0
ЛСР ао;D;20080708;000000;1600;1780;1600;1600;7;0
ЛСР ао;D;20080711;000000;1540;1540;1490;1490;54;0
ЛСР ао;D;20080715;000000;1490;1490;1490;1490;1;0
ЛСР ао;D;20080716;000000;1500;1500;1480;1480;3;0
ЛСР ао;D;20080717;000000;1500;1600;1500;1600;50;0
ЛСР ао;D;20080718;000000;1600;1700;1500;1500;176;0
ЛСР ао;D;20080721;000000;1440;1440;1400;1400;44;0
ЛСР ао;D;20080722;000000;1400;1400;1300;1366.67;968;0
ЛСР ао;D;20080723;000000;1370;1390;1370;1390;3;0
ЛСР ао;D;20080724;000000;1370;1370;1370;1370;460;0
ЛСР ао;D;20080728;000000;1400;1499.98;1190.01;1359;12;0
ЛСР ао;D;20080729;000000;1448.99;1448.99;1448.99;1448.99;1;0
ЛСР ао;D;20080730;000000;1445.98;1445.99;1445.98;1445.99;10;0
ЛСР ао;D;20080731;000000;1549.96;1549.96;1538.96;1538.96;2;0
ЛСР ао;D;20080806;000000;1639.97;1640;1637.99;1640;10;0
ЛСР ао;D;20080811;000000;1201;1211;1195;1211;9;0
ЛСР ао;D;20080812;000000;1201;1477.58;1201;1477.58;11;0
ЛСР ао;D;20080813;000000;1501;1501;1330;1330;3;0
ЛСР ао;D;20080814;000000;1450;1450;1450;1450;1;0
ЛСР ао;D;20080815;000000;1499;1499;1499;1499;1;0
ЛСР ао;D;20080819;000000;1600;1600;1600;1600;1;0
ЛСР ао;D;20080820;000000;1430;1495;1430;1495;1202;0
ЛСР ао;D;20080821;000000;1550;1550;1550;1550;1;0
ЛСР ао;D;20080822;000000;1301;1301;1300;1300;14;0
ЛСР ао;D;20080829;000000;1445.99;1445.99;1150;1150;4;0
ЛСР ао;D;20080902;000000;1300;1300;1300;1300;1;0
ЛСР ао;D;20080904;000000;1400;1400;1400;1400;1;0
ЛСР ао;D;20080908;000000;1398.02;1398.02;1398.02;1398.02;1;0
ЛСР ао;D;20080909;000000;1400;1400;1400;1400;1;0
ЛСР ао;D;20080910;000000;1120;1399.99;1120;1120;6;0
ЛСР ао;D;20080911;000000;1395;1395;1395;1395;1;0
ЛСР ао;D;20080912;000000;1320;1320;1200;1200;28;0
ЛСР ао;D;20080915;000000;1320;1320;1320;1320;1;0
ЛСР ао;D;20080919;000000;1200;1200;842;1015.31;50;0
ЛСР ао;D;20080922;000000;1120;1120;1118.88;1118.88;11;0
ЛСР ао;D;20081002;000000;1118.88;1118.88;1118.88;1118.88;3;0
ЛСР ао;D;20081003;000000;1118.88;1118.88;1118.88;1118.88;21;0
ЛСР ао;D;20081007;000000;1118.88;1118.88;839.16;839.16;546;0
ЛСР ао;D;20081013;000000;797.68;797.68;797.68;797.68;14;0
ЛСР ао;D;20081015;000000;797.68;797.68;797.68;797.68;19;0
ЛСР ао;D;20081016;000000;797.68;797.68;797.68;797.68;10;0
ЛСР ао;D;20081029;000000;797.68;797.68;797.68;797.68;1;0
ЛСР ао;D;20081101;000000;797.68;797.68;797.68;797.68;5;0
ЛСР ао;D;20081105;000000;797.68;797.68;797.68;797.68;1;0
ЛСР ао;D;20081106;000000;797.68;800;797.68;800;666;0
ЛСР ао;D;20081110;000000;599.5;649.04;599.05;599.05;68;0
ЛСР ао;D;20081114;000000;599.05;599.99;396.41;396.41;1953;0
ЛСР ао;D;20081117;000000;396.15;396.15;396.15;396.15;15;0
ЛСР ао;D;20081118;000000;396.15;396.15;396.15;396.15;83;0
ЛСР ао;D;20081119;000000;396.15;396.15;396.15;396.15;148;0
ЛСР ао;D;20081125;000000;175;175;140;145;355;0
ЛСР ао;D;20081127;000000;140;155;121;155;1053;0
ЛСР ао;D;20081128;000000;140.01;140.01;135;138;6809;0
ЛСР ао;D;20081201;000000;145;145;130;130;690;0
ЛСР ао;D;20081202;000000;140;145;127;132.5;893;0
ЛСР ао;D;20081203;000000;130;130;108;108;12054;0
ЛСР ао;D;20081204;000000;120;120;101;110;1869;0
ЛСР ао;D;20081205;000000;107;110;107;110;501;0
ЛСР ао;D;20081208;000000;115;115;115;115;743;0
ЛСР ао;D;20081209;000000;119;119;119;119;6;0
ЛСР ао;D;20081210;000000;115;115;114;114;601;0
ЛСР ао;D;20081211;000000;119;119.9;110;110;502;0
ЛСР ао;D;20081212;000000;119.9;119.9;110;111;121;0
ЛСР ао;D;20081215;000000;112;119.9;106.1;115.15;2086;0
ЛСР ао;D;20081216;000000;120;121;113.5;118;4826;0
ЛСР ао;D;20081217;000000;122;122;116.25;122;322;0
ЛСР ао;D;20081218;000000;120;135;120;127.27;2026;0
ЛСР ао;D;20081219;000000;129;135;122.5;130;1213;0
ЛСР ао;D;20081222;000000;125;130;125;128;432;0
ЛСР ао;D;20081223;000000;126;127.98;117;117;2430;0
ЛСР ао;D;20081224;000000;130;130;125;130;294;0
ЛСР ао;D;20081226;000000;135;135;118.01;128;1468;0
ЛСР ао;D;20081229;000000;128;128;125;128;1012;0
ЛСР ао;D;20081230;000000;140;140;125;125;1397;0
ЛСР ао;D;20081231;000000;125;125;122;122;2144;0
ЛСР ао;D;20090111;000000;130;150;130;140.01;266;0
ЛСР ао;D;20090112;000000;150;150;149.98;150;789;0
ЛСР ао;D;20090113;000000;140.1;155;130;154.99;2338;0
ЛСР ао;D;20090114;000000;153;160;150;150;859;0
ЛСР ао;D;20090115;000000;144;145.12;144;145;35;0
ЛСР ао;D;20090116;000000;150;155;150;155;366;0
ЛСР ао;D;20090119;000000;150;150;139;139;518;0
ЛСР ао;D;20090120;000000;150;150;131.51;131.51;44;0
ЛСР ао;D;20090121;000000;130.01;143;130.01;135;30;0
ЛСР ао;D;20090122;000000;139.99;139.99;129.99;130;3853;0
ЛСР ао;D;20090123;000000;129;130;125;130;7162;0
ЛСР ао;D;20090126;000000;130;130;123;123;228;0
ЛСР ао;D;20090127;000000;121;128;120;121;819;0
ЛСР ао;D;20090128;000000;129;129;129;129;81;0
ЛСР ао;D;20090130;000000;112;130;111.01;130;105;0
ЛСР ао;D;20090202;000000;129;131;129;130;5371;0
