<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MAGN;D;20051226;000000;0;0;0;0;0;0
MAGN;D;20051227;000000;0;0;0;0;0;0
MAGN;D;20051228;000000;0;0;0;0;0;0
MAGN;D;20051229;000000;0;0;0;0;0;0
MAGN;D;20051230;000000;0;0;0;0;0;0
MAGN;D;20060110;000000;0;0;0;0;0;0
MAGN;D;20060111;000000;0;0;0;0;0;0
MAGN;D;20060112;000000;0;0;0;0;0;0
MAGN;D;20060113;000000;0;0;0;0;0;0
MAGN;D;20060116;000000;0;0;0;0;0;0
MAGN;D;20060117;000000;0;0;0;0;0;0
MAGN;D;20060118;000000;20;32;19;19;17600;0
MAGN;D;20060119;000000;20;20;14.52;16;390100;0
MAGN;D;20060120;000000;16.5;16.5;15.24;15.5;118800;0
MAGN;D;20060123;000000;16;16;14.8;15.15;16600;0
MAGN;D;20060124;000000;15.79;15.79;14.73;15.5;42700;0
MAGN;D;20060125;000000;15.4;16.28;14.99;14.99;110600;0
MAGN;D;20060126;000000;15;15.8;14.84;15.14;173100;0
MAGN;D;20060127;000000;15.1;15.8;15.05;15.5;328500;0
MAGN;D;20060130;000000;15.89;17.5;15.5;17.18;371200;0
MAGN;D;20060131;000000;17.33;17.35;15.76;16.67;87700;0
MAGN;D;20060201;000000;16.2;16.81;16;16.5;25400;0
MAGN;D;20060202;000000;16.6;16.6;16.01;16.5;14300;0
MAGN;D;20060203;000000;15.72;16.49;15.52;16.49;15400;0
MAGN;D;20060206;000000;16.5;17.29;16.14;17.29;64700;0
MAGN;D;20060207;000000;17.5;30.85;16.81;25.11;1584200;0
MAGN;D;20060208;000000;24.68;29.79;19.62;20.37;1347300;0
MAGN;D;20060209;000000;20.55;23.67;20.51;20.51;398400;0
MAGN;D;20060210;000000;21.8;21.8;19.33;20;315900;0
MAGN;D;20060213;000000;20.51;20.98;17.95;18;970400;0
MAGN;D;20060214;000000;17.91;18.28;17.35;17.65;505100;0
MAGN;D;20060215;000000;17.76;19.15;17.18;18.34;967800;0
MAGN;D;20060216;000000;18.3;18.95;18.3;18.35;323300;0
MAGN;D;20060217;000000;18.2;19.89;18.12;19;577500;0
MAGN;D;20060220;000000;19.4;19.7;18.81;19;379600;0
MAGN;D;20060221;000000;19;19.49;18.07;18.79;505100;0
MAGN;D;20060222;000000;19.05;20.29;18.62;20;2352600;0
MAGN;D;20060226;000000;20.47;21.2;19.81;20.96;1611700;0
MAGN;D;20060227;000000;21.03;21.3;20.28;20.3;2229600;0
MAGN;D;20060228;000000;20.83;20.9;19.5;19.98;1073900;0
MAGN;D;20060301;000000;20.15;20.4;19.02;19.75;1219800;0
MAGN;D;20060302;000000;19.57;20.45;19.57;20.1;973900;0
MAGN;D;20060303;000000;20.25;20.3;20;20.12;612900;0
MAGN;D;20060306;000000;19.8;20.39;19.25;19.9;908800;0
MAGN;D;20060307;000000;19.71;19.95;19.3;19.4;715200;0
MAGN;D;20060309;000000;19.05;19.36;18.4;18.6;319400;0
MAGN;D;20060310;000000;19.09;19.37;18.71;19.18;110400;0
MAGN;D;20060313;000000;19.35;19.49;18.8;19.2;177200;0
MAGN;D;20060314;000000;19.15;19.19;18.5;18.6;136700;0
MAGN;D;20060315;000000;19;19.13;18.62;18.98;124000;0
MAGN;D;20060316;000000;18.71;19;18.61;18.99;84100;0
MAGN;D;20060317;000000;19;19.44;18.88;18.93;239300;0
MAGN;D;20060320;000000;19.19;19.29;18.32;18.55;356100;0
MAGN;D;20060321;000000;18.48;19.18;18.3;19.15;429100;0
MAGN;D;20060322;000000;19.14;19.97;18.83;19.85;523100;0
MAGN;D;20060323;000000;19.92;20.32;19.72;20;513700;0
MAGN;D;20060324;000000;20.06;20.45;20;20.25;214700;0
MAGN;D;20060327;000000;20.35;20.42;19.95;20.1;133600;0
MAGN;D;20060328;000000;20.12;20.42;19.95;20.02;1448400;0
MAGN;D;20060329;000000;19.98;20.18;19.88;20;211400;0
MAGN;D;20060330;000000;20.25;20.83;20;20.45;1277100;0
MAGN;D;20060331;000000;20.52;21.3;20.36;21.3;1542600;0
MAGN;D;20060403;000000;21.2;21.79;21.2;21.35;587500;0
MAGN;D;20060404;000000;21.22;21.6;20.82;21;403800;0
MAGN;D;20060405;000000;21.01;21.5;21;21.42;309400;0
MAGN;D;20060406;000000;21.49;21.5;21.07;21.2;102400;0
MAGN;D;20060407;000000;21;21.24;20.85;21;132400;0
MAGN;D;20060410;000000;21;21.07;20.76;20.97;228400;0
MAGN;D;20060411;000000;20.9;21.04;20.5;20.5;1813200;0
MAGN;D;20060412;000000;20.53;20.6;19.8;20.33;246500;0
MAGN;D;20060413;000000;20.2;20.4;19.9;20.1;221600;0
MAGN;D;20060414;000000;20.05;20.1;19.95;20;69000;0
MAGN;D;20060417;000000;20.39;20.5;20.15;20.49;518300;0
MAGN;D;20060418;000000;20.56;20.6;20.3;20.6;187200;0
MAGN;D;20060419;000000;20.6;20.8;20.2;20.6;470100;0
MAGN;D;20060420;000000;20.05;20.69;20.05;20.349;615000;0
MAGN;D;20060421;000000;20.1;20.688;20.1;20.26;397900;0
MAGN;D;20060424;000000;20.39;20.39;20.011;20.359;244900;0
MAGN;D;20060425;000000;20.35;20.35;20.2;20.27;66600;0
MAGN;D;20060426;000000;20.273;20.5;20.031;20.5;473700;0
MAGN;D;20060427;000000;20.3;20.502;19.5;20;1120100;0
MAGN;D;20060428;000000;20.089;20.42;20.06;20.4;1025100;0
MAGN;D;20060502;000000;20.49;20.49;20.06;20.15;27400;0
MAGN;D;20060503;000000;20.25;20.99;20.101;20.215;459100;0
MAGN;D;20060504;000000;20.2;20.5;20.2;20.45;211800;0
MAGN;D;20060505;000000;20.3;20.45;20.1;20.25;133700;0
MAGN;D;20060506;000000;20.402;20.777;20.199;20.695;242900;0
MAGN;D;20060510;000000;20.701;20.8;20.153;20.2;356800;0
MAGN;D;20060511;000000;20.598;20.598;20.101;20.499;168600;0
MAGN;D;20060512;000000;20.195;21.2;20.195;20.9;452700;0
MAGN;D;20060515;000000;20.99;21.15;20.25;20.5;161000;0
MAGN;D;20060516;000000;20.6;20.6;20.101;20.4;292500;0
MAGN;D;20060517;000000;20.22;20.6;20.15;20.251;270000;0
MAGN;D;20060518;000000;19.95;20.501;19.651;20.5;271000;0
MAGN;D;20060519;000000;20.51;20.897;20.22;20.22;340000;0
MAGN;D;20060522;000000;20.2;20.48;18.26;18.51;682000;0
MAGN;D;20060523;000000;19.2;20.3;18;20.01;288400;0
MAGN;D;20060524;000000;20.5;20.96;19.5;20;263400;0
MAGN;D;20060525;000000;19.002;20;19.001;20;231000;0
MAGN;D;20060526;000000;20.6;21.1;20.44;20.64;457700;0
MAGN;D;20060529;000000;21.2;21.2;20.5;20.51;127800;0
MAGN;D;20060530;000000;20.7;20.99;20.5;20.5;144200;0
MAGN;D;20060531;000000;20.2;20.55;20.01;20.103;115100;0
MAGN;D;20060601;000000;20.07;20.342;20.06;20.1;149800;0
MAGN;D;20060602;000000;20.57;20.579;20.01;20.05;229500;0
MAGN;D;20060605;000000;20.055;20.2;19.9;20;245500;0
MAGN;D;20060606;000000;20;20.13;19.7;19.999;82000;0
MAGN;D;20060607;000000;20;20;19;19.42;89000;0
MAGN;D;20060608;000000;19.5;20.05;19.11;20.05;102600;0
MAGN;D;20060609;000000;19.55;20.47;19.5;20.05;244500;0
MAGN;D;20060613;000000;20;20;19.015;19.749;27400;0
MAGN;D;20060614;000000;19.948;20.299;19;19.75;91700;0
MAGN;D;20060615;000000;19.5;19.8;19.06;19.8;295000;0
MAGN;D;20060616;000000;19.5;19.79;19.1;19.79;55100;0
MAGN;D;20060619;000000;19.7;19.8;19.3;19.8;95700;0
MAGN;D;20060620;000000;19.305;20;19.2;20;148100;0
MAGN;D;20060621;000000;20;20;19.711;19.9;186100;0
MAGN;D;20060622;000000;19.999;19.999;19.7;19.9;194100;0
MAGN;D;20060623;000000;20;20;19.5;19.8;113800;0
MAGN;D;20060626;000000;19.25;20;19.211;20;32200;0
MAGN;D;20060627;000000;20.1;20.1;19.25;19.95;399400;0
MAGN;D;20060628;000000;19.898;19.95;19.55;19.885;10100;0
MAGN;D;20060629;000000;19.999;20.02;19.69;19.87;99400;0
MAGN;D;20060630;000000;19.303;19.933;19.301;19.933;70300;0
MAGN;D;20060703;000000;19.71;19.789;19.351;19.695;731200;0
MAGN;D;20060704;000000;19.695;20;19.125;19.7;2865000;0
MAGN;D;20060705;000000;19.502;19.94;19.12;19.122;961900;0
MAGN;D;20060706;000000;19.1;19.9;19.1;19.551;555500;0
MAGN;D;20060707;000000;19.37;19.7;19.37;19.5;21900;0
MAGN;D;20060710;000000;19.36;19.79;19.36;19.79;32800;0
MAGN;D;20060711;000000;19.525;19.67;19.525;19.62;64000;0
MAGN;D;20060712;000000;19.75;19.75;19.35;19.5;307200;0
MAGN;D;20060713;000000;19.5;19.5;19.18;19.49;138700;0
MAGN;D;20060714;000000;19.201;19.549;19.201;19.221;42300;0
MAGN;D;20060717;000000;19.498;19.498;19.18;19.18;14400;0
MAGN;D;20060718;000000;19.051;19.25;18.8;19.193;28700;0
MAGN;D;20060719;000000;19.249;19.249;18.9;19;224600;0
MAGN;D;20060720;000000;19.02;19.214;18.7;18.99;276000;0
MAGN;D;20060721;000000;18.8;19.097;18.526;19;6300;0
MAGN;D;20060724;000000;18.99;19;18.631;18.631;52300;0
MAGN;D;20060725;000000;18.701;19;18.6;18.6;149000;0
MAGN;D;20060726;000000;18.698;18.698;18.649;18.689;4700;0
MAGN;D;20060727;000000;18.9;19.02;18.7;18.8;290400;0
MAGN;D;20060728;000000;18.98;19;18.65;18.7;111100;0
MAGN;D;20060731;000000;19.1;19.1;18.711;18.83;245200;0
MAGN;D;20060801;000000;19.099;19.099;18.85;18.908;60900;0
MAGN;D;20060802;000000;19;19.15;19;19;376000;0
MAGN;D;20060803;000000;19;19;18.85;19;110500;0
MAGN;D;20060804;000000;18.82;19.3;18.82;19.05;32600;0
MAGN;D;20060807;000000;18.751;19.09;18.751;19;9400;0
MAGN;D;20060808;000000;19;19.1;18.9;19;29400;0
