<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MCFTR;D;20030226;000000;335.67;335.67;335.67;335.67;0;0
MCFTR;D;20030227;000000;338.35;338.35;338.35;338.35;0;0
MCFTR;D;20030228;000000;341.52;341.52;341.52;341.52;0;0
MCFTR;D;20030303;000000;352.24;352.24;352.24;352.24;0;0
MCFTR;D;20030304;000000;348.4;348.4;348.4;348.4;0;0
MCFTR;D;20030305;000000;357.65;357.65;357.65;357.65;0;0
MCFTR;D;20030306;000000;359.97;359.97;359.97;359.97;0;0
MCFTR;D;20030307;000000;354.87;354.87;354.87;354.87;0;0
MCFTR;D;20030311;000000;349.89;349.89;349.89;349.89;0;0
MCFTR;D;20030312;000000;343.24;343.24;343.24;343.24;0;0
MCFTR;D;20030313;000000;346.83;346.83;346.83;346.83;0;0
MCFTR;D;20030314;000000;345.65;345.65;345.65;345.65;0;0
MCFTR;D;20030317;000000;337.83;337.83;337.83;337.83;0;0
MCFTR;D;20030318;000000;330.14;330.14;330.14;330.14;0;0
MCFTR;D;20030319;000000;333.97;333.97;333.97;333.97;0;0
MCFTR;D;20030320;000000;334.91;334.91;334.91;334.91;0;0
MCFTR;D;20030321;000000;338.76;338.76;338.76;338.76;0;0
MCFTR;D;20030324;000000;332.3;332.3;332.3;332.3;0;0
MCFTR;D;20030325;000000;333.57;333.57;333.57;333.57;0;0
MCFTR;D;20030326;000000;333.3;333.3;333.3;333.3;0;0
MCFTR;D;20030327;000000;332.7;332.7;332.7;332.7;0;0
MCFTR;D;20030328;000000;332.88;332.88;332.88;332.88;0;0
MCFTR;D;20030331;000000;325.56;325.56;325.56;325.56;0;0
MCFTR;D;20030401;000000;327.44;327.44;327.44;327.44;0;0
MCFTR;D;20030402;000000;331.02;331.02;331.02;331.02;0;0
MCFTR;D;20030403;000000;326.94;326.94;326.94;326.94;0;0
MCFTR;D;20030404;000000;330.53;330.53;330.53;330.53;0;0
MCFTR;D;20030407;000000;336.3;336.3;336.3;336.3;0;0
MCFTR;D;20030408;000000;337.48;337.48;337.48;337.48;0;0
MCFTR;D;20030409;000000;336.53;336.53;336.53;336.53;0;0
MCFTR;D;20030410;000000;336.76;336.76;336.76;336.76;0;0
MCFTR;D;20030411;000000;338.21;338.21;338.21;338.21;0;0
MCFTR;D;20030414;000000;341.99;341.99;341.99;341.99;0;0
MCFTR;D;20030415;000000;345.97;345.97;345.97;345.97;0;0
MCFTR;D;20030416;000000;344.63;344.63;344.63;344.63;0;0
MCFTR;D;20030417;000000;348.61;348.61;348.61;348.61;0;0
MCFTR;D;20030418;000000;356.81;356.81;356.81;356.81;0;0
MCFTR;D;20030421;000000;363.89;363.89;363.89;363.89;0;0
MCFTR;D;20030422;000000;364.89;364.89;364.89;364.89;0;0
MCFTR;D;20030423;000000;373.05;373.05;373.05;373.05;0;0
MCFTR;D;20030424;000000;366.21;366.21;366.21;366.21;0;0
MCFTR;D;20030425;000000;371.96;371.96;371.96;371.96;0;0
MCFTR;D;20030428;000000;382.74;382.74;382.74;382.74;0;0
MCFTR;D;20030429;000000;376.26;376.26;376.26;376.26;0;0
MCFTR;D;20030430;000000;369.77;369.77;369.77;369.77;0;0
MCFTR;D;20030505;000000;380.22;380.22;380.22;380.22;0;0
MCFTR;D;20030506;000000;379.88;379.88;379.88;379.88;0;0
MCFTR;D;20030507;000000;375.86;375.86;375.86;375.86;0;0
MCFTR;D;20030508;000000;374.79;374.79;374.79;374.79;0;0
MCFTR;D;20030512;000000;385.27;385.27;385.27;385.27;0;0
MCFTR;D;20030513;000000;384.56;384.56;384.56;384.56;0;0
MCFTR;D;20030514;000000;387.04;387.04;387.04;387.04;0;0
MCFTR;D;20030515;000000;391.82;391.82;391.82;391.82;0;0
MCFTR;D;20030516;000000;399.74;399.74;399.74;399.74;0;0
MCFTR;D;20030519;000000;404.33;404.33;404.33;404.33;0;0
MCFTR;D;20030520;000000;399.47;399.47;399.47;399.47;0;0
MCFTR;D;20030521;000000;399.37;399.37;399.37;399.37;0;0
MCFTR;D;20030522;000000;411.22;411.22;411.22;411.22;0;0
MCFTR;D;20030523;000000;415.26;415.26;415.26;415.26;0;0
MCFTR;D;20030526;000000;420.99;420.99;420.99;420.99;0;0
MCFTR;D;20030527;000000;422.57;422.57;422.57;422.57;0;0
MCFTR;D;20030528;000000;426.61;426.61;426.61;426.61;0;0
MCFTR;D;20030529;000000;420.56;420.56;420.56;420.56;0;0
MCFTR;D;20030530;000000;421.08;421.08;421.08;421.08;0;0
