<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MOEX;D;20130204;000000;0;0;0;0;0;0
MOEX;D;20130205;000000;0;0;0;0;0;0
MOEX;D;20130206;000000;0;0;0;0;0;0
MOEX;D;20130207;000000;0;0;0;0;0;0
MOEX;D;20130208;000000;0;0;0;0;0;0
MOEX;D;20130211;000000;0;0;0;0;0;0
MOEX;D;20130212;000000;0;0;0;0;0;0
MOEX;D;20130213;000000;0;0;0;0;0;0
MOEX;D;20130214;000000;0;0;0;0;0;0
MOEX;D;20130215;000000;58.15;58.15;51.23;55;6082550;0
MOEX;D;20130218;000000;55;56.6;54.18;56.02;2767350;0
MOEX;D;20130219;000000;56.54;56.6;55.95;56;1761630;0
MOEX;D;20130220;000000;56.3;56.5;54.98;55.4;1438600;0
MOEX;D;20130221;000000;55.18;55.39;54.41;54.7;519350;0
MOEX;D;20130222;000000;55.82;55.82;53.89;54.5;1234870;0
MOEX;D;20130225;000000;54.76;54.8;54.07;54.75;106000;0
MOEX;D;20130226;000000;54.57;54.74;52.57;54.4;1493030;0
MOEX;D;20130227;000000;54.25;54.25;53.4;54.2;2764760;0
MOEX;D;20130228;000000;54.74;54.74;53.5;53.89;361840;0
MOEX;D;20130301;000000;53.7;54.28;52.5;52.5;2356840;0
MOEX;D;20130304;000000;52.5;52.97;52.3;52.8;2048950;0
MOEX;D;20130305;000000;52.88;54.17;52.7;53.75;585420;0
MOEX;D;20130306;000000;53.3;54.2;53.3;53.8;1080540;0
MOEX;D;20130307;000000;53.49;54.2;53.43;53.99;573780;0
MOEX;D;20130311;000000;53.98;54.6;53.27;54;1553460;0
MOEX;D;20130312;000000;53.52;54.8;53.28;54.6;1707750;0
MOEX;D;20130313;000000;54.23;55.08;54.22;54.55;4383160;0
MOEX;D;20130314;000000;54.8;55.15;54.3;54.9;2690980;0
MOEX;D;20130315;000000;55;55.24;54.16;55;9059010;0
MOEX;D;20130318;000000;52.9;53.43;51.1;52.85;1143960;0
MOEX;D;20130319;000000;53.2;53.2;51.87;51.96;1408040;0
MOEX;D;20130320;000000;49.41;52.36;49.41;52.12;1013210;0
MOEX;D;20130321;000000;52.57;52.96;51.95;52.13;407400;0
MOEX;D;20130322;000000;52.3;52.3;51.5;51.94;456610;0
MOEX;D;20130325;000000;52.38;52.38;51.8;51.92;199820;0
MOEX;D;20130326;000000;51.55;52;50.3;51.49;338920;0
MOEX;D;20130327;000000;52.03;52.03;50.55;51.26;265600;0
MOEX;D;20130328;000000;51;51;48.8;48.87;628750;0
MOEX;D;20130329;000000;49.5;51.95;49;49.48;388660;0
MOEX;D;20130401;000000;50.18;50.18;49.16;49.63;79790;0
MOEX;D;20130402;000000;49.61;49.63;48.38;48.59;168380;0
MOEX;D;20130403;000000;48.52;48.52;47.89;48.23;133190;0
MOEX;D;20130404;000000;48.07;48.65;47.42;48.43;181760;0
MOEX;D;20130405;000000;48.43;48.61;47.5;48.5;123940;0
MOEX;D;20130408;000000;48.67;48.88;47.5;47.52;110530;0
MOEX;D;20130409;000000;48.23;48.23;47.4;47.4;209980;0
MOEX;D;20130410;000000;48;48;46.75;46.87;424170;0
MOEX;D;20130411;000000;47.22;47.6;45.64;45.75;602140;0
MOEX;D;20130412;000000;45.7;45.97;45;45.45;469350;0
MOEX;D;20130415;000000;45.5;46.2;45.42;45.66;1393630;0
MOEX;D;20130416;000000;45.77;45.77;42.57;43.39;578480;0
MOEX;D;20130417;000000;43.88;44.48;43.11;43.3;1034050;0
MOEX;D;20130418;000000;43.5;43.5;42.58;43.03;888600;0
MOEX;D;20130419;000000;43.18;43.57;43;43.38;1334260;0
MOEX;D;20130422;000000;43.99;44.05;43.5;43.55;472550;0
MOEX;D;20130423;000000;43.71;44.08;43.63;44;835730;0
MOEX;D;20130424;000000;44.02;44.5;44.02;44.46;456310;0
MOEX;D;20130425;000000;44.57;44.64;44.13;44.22;512500;0
MOEX;D;20130426;000000;44.5;44.95;44.2;44.69;822010;0
MOEX;D;20130429;000000;44.91;45.01;44.4;44.57;187190;0
MOEX;D;20130430;000000;44.6;49.04;44;44.91;3503820;0
MOEX;D;20130502;000000;44.5;44.59;44.29;44.42;1180540;0
MOEX;D;20130503;000000;44.36;44.8;44.26;44.55;910300;0
MOEX;D;20130506;000000;45;46.8;45;46.1;1484670;0
MOEX;D;20130507;000000;46.15;49.9;46.15;47.5;477510;0
MOEX;D;20130508;000000;47.35;49;47.01;48.76;690540;0
MOEX;D;20130510;000000;48.56;49.33;48.54;48.6;738840;0
MOEX;D;20130513;000000;49.27;49.99;48.63;49;283630;0
MOEX;D;20130514;000000;48.97;50.13;48.68;49.08;595500;0
MOEX;D;20130515;000000;50;50.14;49.62;49.85;1074800;0
MOEX;D;20130516;000000;49.99;50.1;49.9;50.1;216910;0
