<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МТС-ао;D;20040211;000000;144.01;144.6;143.3;144;15086;0
МТС-ао;D;20040212;000000;149;149;146;147.5;17263;0
МТС-ао;D;20040213;000000;147.9;149;146.5;147;17914;0
МТС-ао;D;20040216;000000;149;149;146.55;147;7781;0
МТС-ао;D;20040217;000000;146.6;152;146.6;151;52407;0
МТС-ао;D;20040218;000000;153.01;155;148;149.99;83766;0
МТС-ао;D;20040219;000000;149.99;149.99;147;149;10395;0
МТС-ао;D;20040220;000000;151;152.5;149.5;150;20885;0
МТС-ао;D;20040224;000000;148.5;148.5;143;145;133089;0
МТС-ао;D;20040225;000000;149;149;145;146.99;3704;0
МТС-ао;D;20040226;000000;147;149.5;145.6;146;30135;0
МТС-ао;D;20040227;000000;149.35;149.35;146;147.5;46923;0
МТС-ао;D;20040301;000000;148.39;151;147.1;150.8;16946;0
МТС-ао;D;20040302;000000;152.5;152.6;149;150.5;17762;0
МТС-ао;D;20040303;000000;147.5;150.5;147.5;150;8746;0
МТС-ао;D;20040304;000000;150.3;152;148.5;152;14911;0
МТС-ао;D;20040305;000000;153.32;158;153.32;156;37319;0
МТС-ао;D;20040309;000000;157.48;159;155;157.89;12457;0
МТС-ао;D;20040310;000000;158.95;158.95;154;155;13382;0
МТС-ао;D;20040311;000000;151;153.95;150;152.99;20005;0
МТС-ао;D;20040312;000000;150.33;154;150;151.2;13032;0
МТС-ао;D;20040315;000000;150;154.97;149;149;20544;0
МТС-ао;D;20040316;000000;150;152.4;148;152;15731;0
МТС-ао;D;20040317;000000;152.5;156;152.5;155.99;26920;0
МТС-ао;D;20040318;000000;157;163;156;162.5;49353;0
МТС-ао;D;20040319;000000;162;162;159;159.1;13639;0
МТС-ао;D;20040322;000000;162;163.9;159.01;160;2433;0
МТС-ао;D;20040323;000000;160.5;160.99;158;160.99;8384;0
МТС-ао;D;20040324;000000;160.1;163;160;160;22448;0
МТС-ао;D;20040325;000000;160;161;158.53;161;13738;0
МТС-ао;D;20040326;000000;162.55;175;162.55;171.95;74365;0
МТС-ао;D;20040329;000000;172;176.9;170;176;23391;0
МТС-ао;D;20040330;000000;178;181;173.52;179;24600;0
МТС-ао;D;20040331;000000;180.5;180.5;177;177.2;15613;0
МТС-ао;D;20040401;000000;179.05;189;178.9;188;32825;0
МТС-ао;D;20040402;000000;192.5;192.5;188;191.01;19196;0
МТС-ао;D;20040405;000000;193;195.97;189.2;191;24593;0
МТС-ао;D;20040406;000000;193;198.5;191;191.21;31970;0
МТС-ао;D;20040407;000000;191.3;195;189;190.5;21865;0
МТС-ао;D;20040408;000000;189.5;192.63;185;192.63;51733;0
МТС-ао;D;20040409;000000;192.87;194;174;191.81;16645;0
МТС-ао;D;20040412;000000;191.5;196.99;191.5;196.99;9929;0
МТС-ао;D;20040413;000000;196;196;188.1;190;16566;0
МТС-ао;D;20040414;000000;190;191.98;185;186.98;19364;0
МТС-ао;D;20040415;000000;185;187;180.5;186.5;18361;0
МТС-ао;D;20040416;000000;187;190;184;186;7277;0
МТС-ао;D;20040419;000000;185;189;184.6;189;9559;0
МТС-ао;D;20040420;000000;189;191.5;189;189;3862;0
МТС-ао;D;20040421;000000;188;188;180;185;22100;0
МТС-ао;D;20040422;000000;184.97;187;177.5;177.5;14954;0
МТС-ао;D;20040423;000000;177.5;185;177.5;182.01;3959;0
МТС-ао;D;20040426;000000;183.99;185;179;179;63448;0
МТС-ао;D;20040427;000000;178;179.9;171;176;45672;0
МТС-ао;D;20040428;000000;176;178;171.02;172.99;33633;0
МТС-ао;D;20040429;000000;173.99;177;161;166.5;11383;0
МТС-ао;D;20040430;000000;161.25;167;160;167;3758;0
МТС-ао;D;20040505;000000;169;186.99;165.5;170;15748;0
МТС-ао;D;20040506;000000;170.2;170.2;161.5;163.99;16537;0
МТС-ао;D;20040507;000000;161.3;161.3;150;155.05;16389;0
МТС-ао;D;20040511;000000;150;154.5;145;154;7546;0
МТС-ао;D;20040512;000000;155;160.99;155;159.4;23062;0
МТС-ао;D;20040513;000000;159.4;165;155.01;160;12209;0
МТС-ао;D;20040514;000000;162;164;158.3;160;9469;0
МТС-ао;D;20040517;000000;160;170;160;163.98;40010;0
МТС-ао;D;20040518;000000;164;168;163;165.5;7896;0
МТС-ао;D;20040519;000000;169.95;174;168.1;173;19254;0
МТС-ао;D;20040520;000000;172;174.99;167.81;169.49;17020;0
МТС-ао;D;20040521;000000;168;170.44;167.01;168;16487;0
МТС-ао;D;20040524;000000;172.5;177;171.1;176;9482;0
МТС-ао;D;20040525;000000;175;175;168;170;16769;0
