<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MVID;D;20071101;000000;0;0;0;0;0;0
MVID;D;20071102;000000;0;0;0;0;0;0
MVID;D;20071106;000000;176.7;176.7;176.7;176.7;202;0
MVID;D;20071107;000000;174.23;174.23;174.23;174.23;211;0
MVID;D;20071108;000000;179.76;179.76;174.5;174.5;3;0
MVID;D;20071109;000000;172;172;172;172;97;0
MVID;D;20071112;000000;195.97;206.09;178.94;179;1554;0
MVID;D;20071113;000000;198;198;175;178.65;281;0
MVID;D;20071114;000000;198.5;198.5;165;171;2289;0
MVID;D;20071115;000000;165.93;195.99;164.5;189.99;518;0
MVID;D;20071116;000000;164.64;164.64;164;164;125;0
MVID;D;20071119;000000;160.7;160.7;160;160.7;77;0
MVID;D;20071120;000000;183.91;183.91;154.94;154.94;106;0
MVID;D;20071121;000000;0;0;0;0;0;0
MVID;D;20071122;000000;154.9;154.9;145.94;150;115;0
MVID;D;20071123;000000;135;148;135;148;930;0
MVID;D;20071126;000000;135.3;148;135.3;145.5;118;0
MVID;D;20071127;000000;144.44;144.44;144.44;144.44;50;0
MVID;D;20071128;000000;145.1;145.1;145.1;145.1;1;0
MVID;D;20071129;000000;145;145;145;145;98;0
MVID;D;20071130;000000;149;149;149;149;75;0
MVID;D;20071203;000000;0;0;0;0;0;0
MVID;D;20071204;000000;150;151;145;150;4002;0
MVID;D;20071205;000000;146.02;151;146.02;151;1510;0
MVID;D;20071206;000000;154;158;154;158;5516;0
MVID;D;20071207;000000;157;157;154;154;1600;0
MVID;D;20071210;000000;162.2;162.2;162.19;162.2;552;0
MVID;D;20071211;000000;0;0;0;0;0;0
MVID;D;20071212;000000;172;172;172;172;1;0
MVID;D;20071213;000000;159.94;165;159.94;165;26;0
MVID;D;20071214;000000;165;165;161;161;25;0
MVID;D;20071217;000000;160;166;160;166;1531;0
MVID;D;20071218;000000;165;167.45;162;167.45;3451;0
MVID;D;20071219;000000;170.99;170.99;166;166;2;0
MVID;D;20071220;000000;170;170;170;170;1;0
MVID;D;20071221;000000;169;169;169;169;500;0
MVID;D;20071224;000000;171;172;171;172;657;0
MVID;D;20071225;000000;174;176;173;175.99;575;0
MVID;D;20071226;000000;173;177;173;173;104;0
MVID;D;20071227;000000;173.05;178.72;173;174;637;0
MVID;D;20071228;000000;178;178.38;178;178.38;1200;0
MVID;D;20080109;000000;177.03;177.03;177.03;177.03;33;0
MVID;D;20080110;000000;0;0;0;0;0;0
MVID;D;20080111;000000;183;199;178;193.5;655;0
MVID;D;20080114;000000;183.34;193;181;187;1276;0
MVID;D;20080115;000000;192.49;192.49;188.99;188.99;11;0
MVID;D;20080116;000000;188;188;185;188;85;0
MVID;D;20080117;000000;187.99;187.99;176.5;183.75;206;0
MVID;D;20080118;000000;182;197;181.51;194.95;489;0
