<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
NKNCP;D;20080404;000000;0;0;0;0;0;0
NKNCP;D;20080407;000000;0;0;0;0;0;0
NKNCP;D;20080408;000000;0;0;0;0;0;0
NKNCP;D;20080409;000000;0;0;0;0;0;0
NKNCP;D;20080410;000000;0;0;0;0;0;0
NKNCP;D;20080411;000000;0;0;0;0;0;0
NKNCP;D;20080414;000000;0;0;0;0;0;0
NKNCP;D;20080415;000000;0;0;0;0;0;0
NKNCP;D;20080416;000000;0;0;0;0;0;0
NKNCP;D;20080417;000000;0;0;0;0;0;0
NKNCP;D;20080418;000000;11;11;11;11;600;0
NKNCP;D;20080421;000000;0;0;0;0;0;0
NKNCP;D;20080422;000000;10.3;11;10.3;11;4100;0
NKNCP;D;20080423;000000;0;0;0;0;0;0
NKNCP;D;20080424;000000;0;0;0;0;0;0
NKNCP;D;20080425;000000;0;0;0;0;0;0
NKNCP;D;20080428;000000;0;0;0;0;0;0
NKNCP;D;20080429;000000;11;11;10.5;10.5;55000;0
NKNCP;D;20080430;000000;0;0;0;0;0;0
NKNCP;D;20080504;000000;0;0;0;0;0;0
NKNCP;D;20080505;000000;0;0;0;0;0;0
NKNCP;D;20080506;000000;0;0;0;0;0;0
NKNCP;D;20080507;000000;0;0;0;0;0;0
NKNCP;D;20080512;000000;0;0;0;0;0;0
NKNCP;D;20080513;000000;0;0;0;0;0;0
NKNCP;D;20080514;000000;0;0;0;0;0;0
NKNCP;D;20080515;000000;0;0;0;0;0;0
NKNCP;D;20080516;000000;0;0;0;0;0;0
NKNCP;D;20080519;000000;0;0;0;0;0;0
NKNCP;D;20080520;000000;0;0;0;0;0;0
NKNCP;D;20080521;000000;9.3;9.811;9.3;9.811;5200;0
NKNCP;D;20080522;000000;9.2;9.2;9.2;9.2;100;0
NKNCP;D;20080523;000000;0;0;0;0;0;0
NKNCP;D;20080526;000000;0;0;0;0;0;0
NKNCP;D;20080527;000000;0;0;0;0;0;0
NKNCP;D;20080528;000000;8.01;8.01;8.01;8.01;100;0
NKNCP;D;20080529;000000;0;0;0;0;0;0
NKNCP;D;20080530;000000;0;0;0;0;0;0
NKNCP;D;20080602;000000;9.012;9.1;9;9.1;7000;0
NKNCP;D;20080603;000000;0;0;0;0;0;0
NKNCP;D;20080604;000000;0;0;0;0;0;0
NKNCP;D;20080605;000000;0;0;0;0;0;0
NKNCP;D;20080606;000000;0;0;0;0;0;0
NKNCP;D;20080607;000000;8.9;8.9;8.9;8.9;2500;0
NKNCP;D;20080609;000000;9.1;9.1;9.1;9.1;1000;0
NKNCP;D;20080610;000000;0;0;0;0;0;0
NKNCP;D;20080611;000000;0;0;0;0;0;0
NKNCP;D;20080616;000000;9.75;9.75;9.45;9.75;400;0
NKNCP;D;20080617;000000;10;12.4;9.5;9.5;1200;0
NKNCP;D;20080618;000000;9.15;9.15;8.501;9.15;3200;0
NKNCP;D;20080619;000000;0;0;0;0;0;0
NKNCP;D;20080620;000000;0;0;0;0;0;0
NKNCP;D;20080623;000000;0;0;0;0;0;0
NKNCP;D;20080624;000000;0;0;0;0;0;0
NKNCP;D;20080625;000000;8.9;8.9;8.9;8.9;200;0
NKNCP;D;20080626;000000;0;0;0;0;0;0
NKNCP;D;20080627;000000;8.9;8.9;8.9;8.9;500;0
NKNCP;D;20080630;000000;8;8.7;8;8.5;9200;0
NKNCP;D;20080701;000000;9;9;8;8;1100;0
NKNCP;D;20080702;000000;8.7;8.7;8.7;8.7;100;0
NKNCP;D;20080703;000000;0;0;0;0;0;0
NKNCP;D;20080704;000000;0;0;0;0;0;0
NKNCP;D;20080707;000000;0;0;0;0;0;0
NKNCP;D;20080708;000000;0;0;0;0;0;0
NKNCP;D;20080709;000000;0;0;0;0;0;0
NKNCP;D;20080710;000000;8;8.599;8;8;500;0
NKNCP;D;20080711;000000;7.501;7.501;7.01;7.5;10400;0
NKNCP;D;20080714;000000;7.495;8;7.495;7.501;2600;0
NKNCP;D;20080715;000000;8.883;8.897;6.812;8;900;0
NKNCP;D;20080716;000000;0;0;0;0;0;0
NKNCP;D;20080717;000000;0;0;0;0;0;0
NKNCP;D;20080718;000000;7.5;7.5;7.5;7.5;1000;0
NKNCP;D;20080721;000000;7.498;7.5;7.498;7.5;7400;0
NKNCP;D;20080722;000000;7.999;7.999;7.999;7.999;200;0
NKNCP;D;20080723;000000;7.5;7.5;7.5;7.5;41900;0
NKNCP;D;20080724;000000;0;0;0;0;0;0
NKNCP;D;20080725;000000;0;0;0;0;0;0
NKNCP;D;20080728;000000;0;0;0;0;0;0
NKNCP;D;20080729;000000;0;0;0;0;0;0
NKNCP;D;20080730;000000;10.099;10.099;5;7.8;11800;0
NKNCP;D;20080731;000000;10.1;10.1;10.1;10.1;1100;0
NKNCP;D;20080801;000000;8.92;8.92;8.92;8.92;100;0
NKNCP;D;20080804;000000;10.1;10.1;10.1;10.1;100;0
NKNCP;D;20080805;000000;10.1;10.1;8;8;8300;0
