<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
NKNC;D;20080404;000000;0;0;0;0;0;0
NKNC;D;20080407;000000;28.29;28.29;28.29;28.29;1900;0
NKNC;D;20080408;000000;28.29;28.29;28.29;28.29;4300;0
NKNC;D;20080409;000000;28.28;28.28;25.2;28;2900;0
NKNC;D;20080410;000000;28.2;28.29;28.2;28.29;8100;0
NKNC;D;20080411;000000;28.29;28.29;28.29;28.29;800;0
NKNC;D;20080414;000000;28.25;28.25;28.25;28.25;1000;0
NKNC;D;20080415;000000;0;0;0;0;0;0
NKNC;D;20080416;000000;0;0;0;0;0;0
NKNC;D;20080417;000000;25.2;27.775;24.51;27.775;1400;0
NKNC;D;20080418;000000;25.4;26;25.4;25.41;1100;0
NKNC;D;20080421;000000;26;26.3;25.4;25.4;41100;0
NKNC;D;20080422;000000;25.3;25.5;25.3;25.3;54900;0
NKNC;D;20080423;000000;25;25;24.5;25;5300;0
NKNC;D;20080424;000000;26;26;24.15;24.15;20600;0
NKNC;D;20080425;000000;24;24.95;24;24.91;36600;0
NKNC;D;20080428;000000;25.15;25.15;24.5;24.5;2100;0
NKNC;D;20080429;000000;24.55;24.55;24.5;24.5;34700;0
NKNC;D;20080430;000000;26;26;26;26;100;0
NKNC;D;20080504;000000;24.4;25;24.4;24.5;9200;0
NKNC;D;20080505;000000;24.001;24.3;24;24.3;1100;0
NKNC;D;20080506;000000;24;24;24;24;300;0
NKNC;D;20080507;000000;24.75;25;24.75;25;55100;0
NKNC;D;20080512;000000;24.5;25.5;24.3;24.7;754600;0
NKNC;D;20080513;000000;24.25;26.5;24.25;24.5;18600;0
NKNC;D;20080514;000000;24.3;24.3;24;24;13600;0
NKNC;D;20080515;000000;24.301;24.301;23.576;23.9;6100;0
NKNC;D;20080516;000000;23.003;24;22.004;24;2800;0
NKNC;D;20080519;000000;23.4;23.5;22.331;23.5;1300;0
NKNC;D;20080520;000000;0;0;0;0;0;0
NKNC;D;20080521;000000;23.85;23.9;23.6;23.6;1500;0
NKNC;D;20080522;000000;23.59;23.59;23.51;23.51;400;0
NKNC;D;20080523;000000;22.522;22.677;22.5;22.677;1100;0
NKNC;D;20080526;000000;0;0;0;0;0;0
NKNC;D;20080527;000000;22.101;22.101;22.1;22.1;2100;0
NKNC;D;20080528;000000;22.2;22.2;22;22;3300;0
NKNC;D;20080529;000000;22;22.5;22;22.5;5000;0
NKNC;D;20080530;000000;22.103;22.3;22.102;22.104;1400;0
NKNC;D;20080602;000000;23;23;22.5;22.5;700;0
NKNC;D;20080603;000000;22.37;22.37;21.022;22;11300;0
NKNC;D;20080604;000000;0;0;0;0;0;0
NKNC;D;20080605;000000;0;0;0;0;0;0
NKNC;D;20080606;000000;21.7;21.7;21.7;21.7;3000;0
NKNC;D;20080607;000000;22.221;22.222;21.01;21.01;800;0
NKNC;D;20080609;000000;22.32;22.32;22.32;22.32;100;0
NKNC;D;20080610;000000;0;0;0;0;0;0
NKNC;D;20080611;000000;0;0;0;0;0;0
NKNC;D;20080616;000000;22.39;22.4;20.01;21.5;9300;0
NKNC;D;20080617;000000;22;22;22;22;500;0
NKNC;D;20080618;000000;21.003;21.7;21;21.7;1300;0
NKNC;D;20080619;000000;21.7;21.7;21.7;21.7;200;0
NKNC;D;20080620;000000;21.7;21.9;21.7;21.9;3500;0
NKNC;D;20080623;000000;21.6;22.25;21.6;21.8;11900;0
NKNC;D;20080624;000000;21.5;21.5;21.5;21.5;4000;0
NKNC;D;20080625;000000;21;21;21;21;1200;0
NKNC;D;20080626;000000;21.5;21.5;21.5;21.5;800;0
NKNC;D;20080627;000000;0;0;0;0;0;0
NKNC;D;20080630;000000;21.25;21.25;21.25;21.25;1300;0
NKNC;D;20080701;000000;19.5;20;19.5;20;1300;0
NKNC;D;20080702;000000;20;20;20;20;1900;0
NKNC;D;20080703;000000;19.5;19.5;19.5;19.5;2100;0
NKNC;D;20080704;000000;0;0;0;0;0;0
NKNC;D;20080707;000000;18.5;18.5;18.5;18.5;100;0
NKNC;D;20080708;000000;0;0;0;0;0;0
NKNC;D;20080709;000000;0;0;0;0;0;0
NKNC;D;20080710;000000;18;18;18;18;1800;0
NKNC;D;20080711;000000;0;0;0;0;0;0
NKNC;D;20080714;000000;18.541;18.541;16;17;2400;0
NKNC;D;20080715;000000;17.5;17.5;16.85;16.85;8900;0
NKNC;D;20080716;000000;17.5;17.5;17.5;17.5;1000;0
NKNC;D;20080717;000000;0;0;0;0;0;0
NKNC;D;20080718;000000;0;0;0;0;0;0
NKNC;D;20080721;000000;17.999;17.999;17.999;17.999;100;0
NKNC;D;20080722;000000;0;0;0;0;0;0
NKNC;D;20080723;000000;18;18;18;18;400;0
NKNC;D;20080724;000000;0;0;0;0;0;0
NKNC;D;20080725;000000;18;18;18;18;200;0
NKNC;D;20080728;000000;17;17;17;17;1500;0
NKNC;D;20080729;000000;0;0;0;0;0;0
NKNC;D;20080730;000000;15.017;16;14.5;15.5;14800;0
NKNC;D;20080731;000000;16.75;18.497;16.75;17.5;9400;0
NKNC;D;20080801;000000;22.571;22.571;22.571;22.571;100;0
NKNC;D;20080804;000000;21.999;21.999;21.999;21.999;400;0
NKNC;D;20080805;000000;17;17.5;17;17.5;26900;0
NKNC;D;20080806;000000;0;0;0;0;0;0
NKNC;D;20080807;000000;18;18;18;18;200;0
NKNC;D;20080808;000000;16;17;16;17;4100;0
NKNC;D;20080811;000000;17;17;17;17;100;0
NKNC;D;20080812;000000;0;0;0;0;0;0
NKNC;D;20080813;000000;17;17;17;17;600;0
NKNC;D;20080814;000000;17;17;17;17;300;0
NKNC;D;20080815;000000;0;0;0;0;0;0
NKNC;D;20080818;000000;16;16;16;16;1000;0
NKNC;D;20080819;000000;17;17;17;17;1000;0
NKNC;D;20080820;000000;17.04;17.04;16.5;16.5;35500;0
NKNC;D;20080821;000000;16.5;16.99;16.5;16.5;55100;0
NKNC;D;20080822;000000;16.5;16.5;16.5;16.5;1700;0
NKNC;D;20080825;000000;16.998;17;16.5;16.5;140100;0
NKNC;D;20080826;000000;0;0;0;0;0;0
NKNC;D;20080827;000000;0;0;0;0;0;0
NKNC;D;20080828;000000;15.005;16;15.005;16;1800;0
NKNC;D;20080829;000000;16;16;16;16;200;0
NKNC;D;20080901;000000;16.5;16.5;16.5;16.5;10000;0
NKNC;D;20080902;000000;16.5;16.5;16.5;16.5;10000;0
NKNC;D;20080903;000000;15.5;16.5;15.5;16.5;10400;0
NKNC;D;20080904;000000;16.5;16.5;16.5;16.5;10000;0
NKNC;D;20080905;000000;15;15;15;15;100;0
NKNC;D;20080908;000000;15.75;15.75;15.75;15.75;100;0
NKNC;D;20080909;000000;0;0;0;0;0;0
NKNC;D;20080910;000000;0;0;0;0;0;0
NKNC;D;20080911;000000;0;0;0;0;0;0
NKNC;D;20080912;000000;0;0;0;0;0;0
NKNC;D;20080915;000000;0;0;0;0;0;0
NKNC;D;20080916;000000;14;14;10;10.718;41400;0
NKNC;D;20080917;000000;0;0;0;0;0;0
NKNC;D;20080918;000000;0;0;0;0;0;0
NKNC;D;20080919;000000;10;10.5;10;10.25;101800;0
NKNC;D;20080922;000000;10.5;12.5;10;10;92500;0
NKNC;D;20080923;000000;10.5;10.5;9.5;10;2200;0
NKNC;D;20080924;000000;10;10.5;9.9;9.9;4800;0
NKNC;D;20080925;000000;9.85;9.85;9.85;9.85;2600;0
NKNC;D;20080926;000000;10;10;10;10;6600;0
