<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
OZON;D;20201124;000000;2674.5;3192.5;2674.5;3033;1751752;0
OZON;D;20201125;000000;3102;3282;2888;2954;1285058;0
OZON;D;20201126;000000;3002;3002;2900.5;2944;194320;0
OZON;D;20201127;000000;2967.5;3082;2913;3025;336314;0
OZON;D;20201130;000000;2999.5;3140;2967.5;3071;210260;0
OZON;D;20201201;000000;3048;3097;3000.5;3059.5;150540;0
OZON;D;20201202;000000;3030;3230;3003;3184;264443;0
OZON;D;20201203;000000;3120.5;3649;3085.5;3614.5;914180;0
OZON;D;20201204;000000;3566.5;3984;3428.5;3556;1103055;0
OZON;D;20201207;000000;3570;3675;3351.5;3422;404941;0
OZON;D;20201208;000000;3425;3495;3260;3471;320213;0
OZON;D;20201209;000000;3549.5;3600;3300;3301;450862;0
OZON;D;20201210;000000;3349.5;3380;3267.5;3294;230675;0
OZON;D;20201211;000000;3300;3340;3106;3164.5;249633;0
OZON;D;20201214;000000;3195;3238;3012.5;3069;315680;0
OZON;D;20201215;000000;3094;3208.5;3040.5;3201;186180;0
OZON;D;20201216;000000;3215;3369;3168;3357;270373;0
OZON;D;20201217;000000;3339;3398.5;3181.5;3211.5;248005;0
OZON;D;20201218;000000;3200.5;3296;3119.5;3264.5;275422;0
OZON;D;20201221;000000;3283;3346.5;3178;3264;335810;0
OZON;D;20201222;000000;3263;3415;3209;3231;424456;0
OZON;D;20201223;000000;3265;3270;3131;3222;318660;0
OZON;D;20201224;000000;3220;3243;3108;3149;193821;0
OZON;D;20201225;000000;3152.5;3164;3130;3150.5;44910;0
OZON;D;20201228;000000;3168;3290.5;3142.5;3290;276042;0
OZON;D;20201229;000000;3293;3327.5;3170;3232;208916;0
OZON;D;20201230;000000;3241;3348;3202;3289.5;220590;0
OZON;D;20210104;000000;3269.5;3278;2996;3229.5;363380;0
OZON;D;20210105;000000;3239;3380.5;3209.5;3348.5;281386;0
OZON;D;20210106;000000;3345;3369.5;3220;3257;156698;0
OZON;D;20210108;000000;3325;3500;3270;3376.5;414915;0
OZON;D;20210111;000000;3365;3426;3330;3382;143916;0
OZON;D;20210112;000000;3375;3572;3345;3530.5;316288;0
OZON;D;20210113;000000;3501.5;3600;3460;3491;192042;0
OZON;D;20210114;000000;3527.5;3696;3460.5;3636.5;286347;0
OZON;D;20210115;000000;3620;4002.5;3485;3805.5;423632;0
OZON;D;20210118;000000;3815;3839.5;3722.5;3795;126271;0
OZON;D;20210119;000000;3874.5;4150;3814.5;3972;526867;0
OZON;D;20210120;000000;3943.5;4190;3943.5;4001;461149;0
OZON;D;20210121;000000;4025;4199;3872.5;4057;416744;0
OZON;D;20210122;000000;4069.5;4165;3850;3980;472816;0
OZON;D;20210125;000000;3999.5;4189;3930;4014.5;367099;0
OZON;D;20210126;000000;4025;4089;3900;3901;271878;0
OZON;D;20210127;000000;3929.5;3952;3532.5;3560.5;639444;0
OZON;D;20210128;000000;3585;3881.5;3512.5;3846;596055;0
OZON;D;20210129;000000;3815.5;3869;3568;3662;322851;0
OZON;D;20210201;000000;3700;3877;3678;3867.5;267601;0
OZON;D;20210202;000000;3880;4045;3877.5;4016;343341;0
OZON;D;20210203;000000;4002;4064;3978;4023;183970;0
OZON;D;20210204;000000;4025;4186.5;3991.5;4185.5;336131;0
OZON;D;20210205;000000;4200;4667;4190;4650;562715;0
OZON;D;20210208;000000;4680.5;5086.5;4680;4969;866315;0
OZON;D;20210209;000000;5025;5181;4650;4665;741529;0
OZON;D;20210210;000000;4642.5;4977.5;4642.5;4883;586491;0
OZON;D;20210211;000000;4930;4962;4700;4726.5;283344;0
OZON;D;20210212;000000;4760;4821;4536;4753;305281;0
OZON;D;20210215;000000;4797;4891;4676;4739;229898;0
OZON;D;20210216;000000;4764;4844;4654;4765;318557;0
OZON;D;20210217;000000;4751;4847;4400;4420;1180629;0
OZON;D;20210218;000000;4503;4657;4486.5;4573.5;721095;0
OZON;D;20210219;000000;4575;4949;4492;4884.5;468481;0
OZON;D;20210220;000000;4840.5;4932;4770;4864;90264;0
OZON;D;20210222;000000;4884;5022;4755.5;4938;306439;0
OZON;D;20210224;000000;4775;4818;4512.5;4557.5;515119;0
OZON;D;20210225;000000;4566.5;4697.5;4275;4330;439450;0
OZON;D;20210226;000000;4349.5;4525;4200;4480;408891;0
OZON;D;20210301;000000;4467;4739;4444.5;4703.5;238493;0
OZON;D;20210302;000000;4690;4811;4602;4602;307563;0
OZON;D;20210303;000000;4640;4736;4482;4490.5;336771;0
OZON;D;20210304;000000;4497.5;4543.5;4079.5;4226.5;536341;0
OZON;D;20210305;000000;4210;4290;3882;4073;568563;0
OZON;D;20210309;000000;3913;3948.5;3743;3831;678227;0
OZON;D;20210310;000000;3885;4023;3824;3844;583088;0
OZON;D;20210311;000000;3865;4085;3851;4064;360453;0
OZON;D;20210312;000000;4062.5;4155;3960.5;4114;524088;0
OZON;D;20210315;000000;4178;4266;4144.5;4201;356891;0
OZON;D;20210316;000000;4226;4258;4060;4147.5;283888;0
OZON;D;20210317;000000;4147.5;4219;3981;4170;284018;0
OZON;D;20210318;000000;4173;4328;4130.5;4179;449840;0
OZON;D;20210319;000000;4218.5;4279.5;4137;4217;271908;0
OZON;D;20210322;000000;4217;4265;4150;4175;144871;0
OZON;D;20210323;000000;4181.5;4185;4061.5;4086;212786;0
OZON;D;20210324;000000;4100.5;4140;3900;3953;305946;0
OZON;D;20210325;000000;3995.5;4035;3812.5;3955;365521;0
OZON;D;20210326;000000;3965;4034.5;3850;3958;271163;0
OZON;D;20210329;000000;3964;4059.5;3925;4006;282954;0
OZON;D;20210330;000000;4002;4128.5;3925.5;4011;438463;0
OZON;D;20210331;000000;4025;4322.5;3993;4235;477861;0
OZON;D;20210401;000000;4262;4498.5;4257.5;4435;524644;0
OZON;D;20210402;000000;4450;4450;4366.5;4387.5;53645;0
OZON;D;20210405;000000;4400;4433;4263.5;4395;166495;0
OZON;D;20210406;000000;4375;4500;4276.5;4474;326958;0
OZON;D;20210407;000000;4480;4600;4435;4567;388463;0
OZON;D;20210408;000000;4580;4600;4450;4490;162947;0
OZON;D;20210409;000000;4506;4697;4438;4650.5;349945;0
OZON;D;20210412;000000;4655.5;4799.5;4655.5;4724;295830;0
OZON;D;20210413;000000;4729.5;4853;4667;4739;300355;0
OZON;D;20210414;000000;4740;4801;4602.5;4751;278879;0
OZON;D;20210415;000000;4750;4780;4600.5;4730.5;300871;0
OZON;D;20210416;000000;4700;4824.5;4673;4760;159474;0
OZON;D;20210419;000000;4780;4798.5;4529.5;4659;214259;0
OZON;D;20210420;000000;4647;4685;4467.5;4605;199317;0
OZON;D;20210421;000000;4600;4700;4502;4671;168242;0
OZON;D;20210422;000000;4680;4832.5;4652;4702;263369;0
OZON;D;20210423;000000;4736.5;4920;4691;4860;270616;0
OZON;D;20210426;000000;4851;5073;4851;4979;255785;0
OZON;D;20210427;000000;5008;5094.5;4852;4902;269327;0
OZON;D;20210428;000000;4918;4955;4750;4807;161680;0
OZON;D;20210429;000000;4822;4847;4620;4671;161453;0
OZON;D;20210430;000000;4669.5;4739.5;4543;4669.5;134791;0
OZON;D;20210504;000000;4595;4672.5;4463;4522;368013;0
OZON;D;20210505;000000;4522;4648;4390;4444;434188;0
OZON;D;20210506;000000;4444;4497.5;4294;4397;377064;0
OZON;D;20210507;000000;4405;4473;4253.5;4282.5;457950;0
OZON;D;20210510;000000;4295;4304.5;3982;4019.5;733635;0
OZON;D;20210511;000000;4030;4199;3926;4197;694200;0
OZON;D;20210512;000000;4207.5;4340;4006.5;4080;1105502;0
OZON;D;20210513;000000;4079;4129.5;3900;4011;615389;0
OZON;D;20210514;000000;4038;4148;3985.5;4136;395967;0
OZON;D;20210517;000000;4136;4188.5;3962;4015.5;645779;0
OZON;D;20210518;000000;4020.5;4102;3675;3720;1163623;0
OZON;D;20210519;000000;3738;3990;3725;3941;1489902;0
OZON;D;20210520;000000;3969;4053.5;3871;4017;505126;0
OZON;D;20210521;000000;4035;4176;4014.5;4051.5;525456;0
OZON;D;20210524;000000;4091;4226;4046.5;4198;611204;0
OZON;D;20210525;000000;4206;4274.5;4004;4033.5;762912;0
OZON;D;20210526;000000;4035;4115;4007.5;4038;613532;0
OZON;D;20210527;000000;4020.5;4047.5;3810;3871.5;4133553;0
OZON;D;20210528;000000;3893.5;3949;3837;3893;610275;0
OZON;D;20210531;000000;3880;3944;3880;3936;130189;0
OZON;D;20210601;000000;3940;3966;3850;3958.5;422861;0
OZON;D;20210602;000000;3950.5;4049;3911;4038;439756;0
OZON;D;20210603;000000;4040;4060;3903;3979.5;459063;0
OZON;D;20210604;000000;3970;4074;3925;4043;406676;0
OZON;D;20210607;000000;4043;4084;3993;4061;266783;0
OZON;D;20210608;000000;4061;4192;4028;4153;496133;0
OZON;D;20210609;000000;4175;4212;4122.5;4148;290639;0
OZON;D;20210610;000000;4148.5;4174;4110;4158;217813;0
OZON;D;20210611;000000;4173.5;4182;4111.5;4134.5;133811;0
OZON;D;20210614;000000;4145;4158;4111.5;4153.5;153606;0
OZON;D;20210615;000000;4159;4159;4025;4061;228095;0
OZON;D;20210616;000000;4035.5;4145;4025.5;4129;183814;0
OZON;D;20210617;000000;4120;4180;4065;4160.5;255560;0
OZON;D;20210618;000000;4168;4264;4092;4230;416141;0
OZON;D;20210621;000000;4230.5;4284;4174;4232.5;183073;0
OZON;D;20210622;000000;4250;4279.5;4210;4260.5;139211;0
OZON;D;20210623;000000;4264;4325;4202;4243.5;277079;0
OZON;D;20210624;000000;4240;4374.5;4205.5;4309.5;369554;0
OZON;D;20210625;000000;4323;4375;4160;4221.5;332227;0
OZON;D;20210628;000000;4220;4380;4190.5;4350.5;397366;0
OZON;D;20210629;000000;4369;4394;4294.5;4327.5;319503;0
OZON;D;20210630;000000;4303;4372;4280;4308;292227;0
OZON;D;20210701;000000;4310;4328;4220;4255;216429;0
OZON;D;20210702;000000;4237;4307.5;4234;4260;202259;0
OZON;D;20210705;000000;4273.5;4284.5;4250;4267;37588;0
OZON;D;20210706;000000;4267.5;4282;4157;4214.5;226239;0
OZON;D;20210707;000000;4183;4255;4101;4153;206535;0
OZON;D;20210708;000000;4150;4155.5;4025;4099;304172;0
OZON;D;20210709;000000;4110;4162.5;4081;4129;193214;0
OZON;D;20210712;000000;4125.5;4156;4068;4079;136143;0
OZON;D;20210713;000000;4090;4099;3996;4009;189220;0
OZON;D;20210714;000000;4009;4060.5;4001;4026;144006;0
OZON;D;20210715;000000;4026;4055.5;3951;3990.5;169929;0
OZON;D;20210716;000000;3999;4049;3970;3989.5;164661;0
OZON;D;20210719;000000;3985.5;4015;3892;3997;137317;0
OZON;D;20210720;000000;4005.5;4065;3953;4007;173003;0
OZON;D;20210721;000000;4020.5;4022.5;3930;3971;142219;0
OZON;D;20210722;000000;3973;3976.5;3903;3966.5;126649;0
OZON;D;20210723;000000;3966.5;3984;3910;3950.5;113067;0
OZON;D;20210726;000000;3959;3969;3763;3874.5;314018;0
OZON;D;20210727;000000;3879;3919;3781.5;3818;259898;0
OZON;D;20210728;000000;3800.5;3896;3800.5;3881;151863;0
OZON;D;20210729;000000;3890;3974;3860;3888;224671;0
OZON;D;20210730;000000;3882;3894.5;3800.5;3818;193097;0
OZON;D;20210802;000000;3820.5;3858;3779;3831.5;176765;0
OZON;D;20210803;000000;3830;3840;3735;3822;157693;0
OZON;D;20210804;000000;3810;3885;3787;3804;163079;0
OZON;D;20210805;000000;3803;3819;3772;3795;129355;0
OZON;D;20210806;000000;3790;3868;3780;3849.5;154359;0
OZON;D;20210809;000000;3849.5;3954.5;3823.5;3936;162218;0
OZON;D;20210810;000000;3950;3998;3843.5;3847;278089;0
OZON;D;20210811;000000;3843;3875.5;3780;3831;195033;0
OZON;D;20210812;000000;3831;3987;3822;3909.5;388463;0
OZON;D;20210813;000000;3910;3944;3800;3820.5;312181;0
OZON;D;20210816;000000;3832;3876;3796;3829.5;256501;0
OZON;D;20210817;000000;3848;3875;3759.5;3831.5;398074;0
OZON;D;20210818;000000;3811;3860;3797;3839.5;145742;0
OZON;D;20210819;000000;3844;3853.5;3703.5;3734;451714;0
OZON;D;20210820;000000;3734;3748.5;3585;3656;395873;0
OZON;D;20210823;000000;3670;3758;3663.5;3738;181653;0
OZON;D;20210824;000000;3750.5;3940;3730.5;3939;400842;0
OZON;D;20210825;000000;3927;3969;3870.5;3901;261809;0
OZON;D;20210826;000000;3900;3994;3880.5;3906.5;324517;0
OZON;D;20210827;000000;3920;3935;3854.5;3890;207472;0
OZON;D;20210830;000000;3925.5;3955;3881;3893.5;157073;0
OZON;D;20210831;000000;3928.5;3936.5;3816;3850;922576;0
OZON;D;20210901;000000;3830;3892;3830;3863.5;229768;0
OZON;D;20210902;000000;3880;3884.5;3777;3799;271510;0
OZON;D;20210903;000000;3815;3834;3780;3806.5;171843;0
OZON;D;20210906;000000;3806.5;3825;3752;3791;136346;0
OZON;D;20210907;000000;3810.5;3820.5;3736;3810;240582;0
OZON;D;20210908;000000;3812.5;3820;3748;3769.5;158797;0
OZON;D;20210909;000000;3757;3757;3611;3641.5;333399;0
OZON;D;20210910;000000;3641.5;3720;3641;3694.5;215376;0
OZON;D;20210913;000000;3697.5;3767.5;3673;3708;187714;0
OZON;D;20210914;000000;3730;3731;3656;3694.5;238211;0
OZON;D;20210915;000000;3694;3820;3687.5;3791;262820;0
OZON;D;20210916;000000;3792;3828.5;3764;3796;217194;0
OZON;D;20210917;000000;3796;3820;3720;3729.5;228781;0
OZON;D;20210920;000000;3725;3727.5;3641;3693.5;244948;0
OZON;D;20210921;000000;3694;3726;3665;3680.5;111511;0
OZON;D;20210922;000000;3667.5;3743;3667.5;3708;126681;0
OZON;D;20210923;000000;3730;3790;3667;3770;164663;0
OZON;D;20210924;000000;3810;3810;3650;3687.5;244573;0
OZON;D;20210927;000000;3705;3723;3636;3701;161107;0
OZON;D;20210928;000000;3701;3708;3588.5;3641.5;165676;0
OZON;D;20210929;000000;3641.5;3659.5;3615;3648.5;124573;0
OZON;D;20210930;000000;3648.5;3683;3610;3675;190484;0
OZON;D;20211001;000000;3660;3685;3616.5;3627;130649;0
OZON;D;20211004;000000;3635;3638;3480;3513.5;284160;0
OZON;D;20211005;000000;3513.5;3568;3489.5;3507;257908;0
OZON;D;20211006;000000;3506.5;3541.5;3483;3531;215327;0
OZON;D;20211007;000000;3562;3596.5;3535;3545;185473;0
OZON;D;20211008;000000;3567.5;3595.5;3535.5;3545;163548;0
OZON;D;20211011;000000;3566.5;3574.5;3461.5;3484.5;276968;0
OZON;D;20211012;000000;3494;3495;3350;3368;391411;0
OZON;D;20211013;000000;3365;3407.5;3321;3345;350002;0
OZON;D;20211014;000000;3367.5;3408;3247;3301;473906;0
