<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
PHOR;D;20110718;000000;13469;13469;11350;13400;104;0
PHOR;D;20110719;000000;12201;12202;12102;12202;12;0
PHOR;D;20110720;000000;12100;12500;11975;11975;72;0
PHOR;D;20110721;000000;11975;12700;11975;12050;426;0
PHOR;D;20110722;000000;12499;12499;12010;12400;338;0
PHOR;D;20110725;000000;12750;12750;12500;12500;49;0
PHOR;D;20110726;000000;12600;12600;12201;12201;14;0
PHOR;D;20110727;000000;12250;12250;11950;11950;340;0
PHOR;D;20110728;000000;12000;12000;11950;12000;39;0
PHOR;D;20110729;000000;12000;12000;11921;11921;8;0
PHOR;D;20110801;000000;12000;12000;11752;11800;131;0
PHOR;D;20110802;000000;11949;11950;11949;11950;25;0
PHOR;D;20110803;000000;11700;11700;11580;11580;41;0
PHOR;D;20110804;000000;11600;11600;11600;11600;3;0
PHOR;D;20110805;000000;11302;11600;11201;11400;71;0
PHOR;D;20110808;000000;11400;11400;11075;11075;4;0
PHOR;D;20110809;000000;10879;10888;10000;10555;46;0
PHOR;D;20110810;000000;10755;10755;10350;10350;41;0
PHOR;D;20110811;000000;10600;10600;9500;10500;261;0
PHOR;D;20110812;000000;10300;10557;10300;10557;99;0
PHOR;D;20110815;000000;10300;10600;10300;10400;60;0
PHOR;D;20110816;000000;10225;10300;10200;10200;13;0
PHOR;D;20110817;000000;10150;10300;10150;10300;334;0
PHOR;D;20110818;000000;10300;10450;10200;10200;45;0
PHOR;D;20110819;000000;10500;10500;10400;10400;22;0
PHOR;D;20110822;000000;10399;10699;9900;9950;43;0
PHOR;D;20110823;000000;10689;10690;10058;10071;66;0
PHOR;D;20110824;000000;10001;10392;9995;10197;47;0
PHOR;D;20110825;000000;9901;10200;9901;10001;435;0
PHOR;D;20110826;000000;9801;11000;9750;10496;1018;0
PHOR;D;20110829;000000;10500;11490;10100;10937;2061;0
PHOR;D;20110830;000000;10998;11187;10321;10547;581;0
PHOR;D;20110831;000000;10697;11200;10549;11000;212;0
PHOR;D;20110901;000000;11148;11150;10803;10950;93;0
PHOR;D;20110902;000000;11480;11500;10954;10954;60;0
PHOR;D;20110905;000000;10555;11480;10555;11111;170;0
PHOR;D;20110906;000000;11475;11475;11100;11200;183;0
PHOR;D;20110907;000000;11312;12350;11309;12350;225;0
PHOR;D;20110908;000000;12298;12300;11810;12300;62;0
PHOR;D;20110909;000000;11774;12300;11701;12000;331;0
PHOR;D;20110912;000000;11509;11651;11500;11500;42;0
PHOR;D;20110913;000000;11511;11901;11501;11600;30;0
PHOR;D;20110914;000000;11700;11800;11699;11800;29;0
PHOR;D;20110915;000000;11750;12000;11750;12000;346;0
PHOR;D;20110916;000000;12199;12300;11845;12300;692;0
PHOR;D;20110919;000000;12200;12250;12001;12006;68;0
PHOR;D;20110920;000000;12003;12350;12003;12350;366;0
PHOR;D;20110921;000000;12350;12500;12200;12450;266;0
PHOR;D;20110922;000000;11700;12195;10350;11325;359;0
PHOR;D;20110923;000000;11887;11887;10510;10899;240;0
PHOR;D;20110926;000000;10886;11550;10400;11500;188;0
PHOR;D;20110927;000000;11890;12246;11500;11500;76;0
PHOR;D;20110928;000000;11240;11535;11145;11145;137;0
PHOR;D;20110929;000000;10806;11895;10806;11895;123;0
PHOR;D;20110930;000000;11894;11895;10876;11683;69;0
PHOR;D;20111003;000000;10601;11499;10600;11300;83;0
PHOR;D;20111004;000000;11075;11075;10250;10250;57;0
PHOR;D;20111005;000000;11249;12246;9791;10000;168;0
PHOR;D;20111006;000000;11000;12500;10350;10699;254;0
PHOR;D;20111007;000000;10700;11071;10400;11000;253;0
PHOR;D;20111010;000000;11100;11225;10402;11124;241;0
