<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПИК ао;D;20070629;000000;657;657;657;657;66;0
ПИК ао;D;20070702;000000;669;669;669;669;1;0
ПИК ао;D;20070703;000000;662;662;662;662;3;0
ПИК ао;D;20070704;000000;645;645;639;639;27;0
ПИК ао;D;20070705;000000;666;745.17;652;657;10538;0
ПИК ао;D;20070706;000000;600.01;657.4;600.01;657.4;261;0
ПИК ао;D;20070709;000000;650;675;650;675;53;0
ПИК ао;D;20070710;000000;699.99;699.99;678.2;678.2;3;0
ПИК ао;D;20070711;000000;661;710;661;697;145;0
ПИК ао;D;20070712;000000;671.6;720;671.6;714;138;0
ПИК ао;D;20070713;000000;740;1010.3;730;940;236;0
ПИК ао;D;20070716;000000;819.94;819.94;819.94;819.94;88;0
ПИК ао;D;20070717;000000;819.94;819.94;715.08;770;1068;0
ПИК ао;D;20070718;000000;800;800;721.01;721.01;280;0
ПИК ао;D;20070719;000000;755;790;725.06;753;190;0
ПИК ао;D;20070720;000000;766;766;750;766;87;0
ПИК ао;D;20070723;000000;759;759;740;758.89;328;0
ПИК ао;D;20070724;000000;769.88;769.88;769.88;769.88;1;0
ПИК ао;D;20070725;000000;730;750;730;750;12;0
ПИК ао;D;20070726;000000;745;745;734;734;124;0
ПИК ао;D;20070727;000000;700;744.99;700;744.99;40;0
ПИК ао;D;20070730;000000;749.99;800;749.99;800;157;0
ПИК ао;D;20070731;000000;737;800;737;800;4;0
ПИК ао;D;20070801;000000;760;760;760;760;20;0
ПИК ао;D;20070807;000000;755;755;755;755;1;0
ПИК ао;D;20070808;000000;730;730;730;730;1;0
ПИК ао;D;20070809;000000;736;736;736;736;1;0
ПИК ао;D;20070810;000000;725;725;725;725;1;0
ПИК ао;D;20070813;000000;710;710;633;660;1969;0
ПИК ао;D;20070814;000000;655.01;663.6;650;663.6;1323;0
ПИК ао;D;20070815;000000;658;659;658;659;80;0
ПИК ао;D;20070816;000000;660;660;605.1;625;90;0
