<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
PLZL;D;20060512;000000;2700;10000;2000;3295.56;36700;0
PLZL;D;20060515;000000;1800;1850;1605.01;1620;170026;0
PLZL;D;20060516;000000;1590;1630;1479.99;1562;282189;0
PLZL;D;20060517;000000;1630.05;1630.05;1471.01;1485;405900;0
PLZL;D;20060518;000000;1445.23;1530;1403;1530;137669;0
PLZL;D;20060519;000000;1530;1595;1487.02;1524;217574;0
PLZL;D;20060522;000000;1560;1560;1325;1385;177718;0
PLZL;D;20060523;000000;1450;1467;1350.01;1445;207550;0
PLZL;D;20060524;000000;1450;1450;1280;1400.55;211956;0
PLZL;D;20060525;000000;1380.5;1389;1300.12;1366.03;85230;0
PLZL;D;20060526;000000;1402;1444.5;1370;1400;192252;0
PLZL;D;20060529;000000;1400;1429.9;1381;1401.07;46941;0
PLZL;D;20060530;000000;1402.5;1414.49;1386;1400.01;69809;0
PLZL;D;20060531;000000;1400;1400;1335;1352.5;130729;0
PLZL;D;20060601;000000;1352;1375;1316;1329;20956;0
PLZL;D;20060602;000000;1339;1374.04;1317;1363;177921;0
PLZL;D;20060605;000000;1336.51;1391;1336.51;1369.99;318570;0
PLZL;D;20060606;000000;1350;1355;1297;1300;97834;0
PLZL;D;20060607;000000;1300;1308.45;1240;1305;179466;0
PLZL;D;20060608;000000;1250;1250;1180;1200;73982;0
PLZL;D;20060609;000000;1207.5;1228.85;1192;1211.99;18666;0
PLZL;D;20060613;000000;1160.51;1161;1003;1060;95489;0
PLZL;D;20060614;000000;1002.5;1077;990;1067;123160;0
PLZL;D;20060615;000000;1089.97;1098.97;1037;1062;82542;0
PLZL;D;20060616;000000;1100;1103;1030;1055;98008;0
PLZL;D;20060619;000000;1068;1085;1040;1065;32302;0
PLZL;D;20060620;000000;1049;1078;1042.01;1070;12425;0
PLZL;D;20060621;000000;1077;1095;1065;1090;114161;0
PLZL;D;20060622;000000;1102;1133.95;1066.03;1066.03;79296;0
PLZL;D;20060623;000000;1056;1089.99;1055.01;1080;14747;0
PLZL;D;20060626;000000;1087;1099;1053;1060;12649;0
PLZL;D;20060627;000000;1066.13;1070;1046.03;1056;53959;0
PLZL;D;20060628;000000;1040;1059.96;1035;1057.81;20141;0
PLZL;D;20060629;000000;1059.9;1089;1050.13;1082;33289;0
PLZL;D;20060630;000000;1111.18;1240;1100.1;1195;229692;0
PLZL;D;20060703;000000;1195;1315;1195;1302.36;219200;0
PLZL;D;20060704;000000;1313.5;1354;1292;1350;136885;0
PLZL;D;20060705;000000;1367.51;1367.51;1270;1309.99;103946;0
PLZL;D;20060706;000000;1295.5;1349.95;1290;1349.95;43506;0
PLZL;D;20060707;000000;1349.99;1388;1320.01;1369;116756;0
PLZL;D;20060710;000000;1349;1384;1331;1372.7;52242;0
PLZL;D;20060711;000000;1370;1372.5;1310;1320;82313;0
PLZL;D;20060712;000000;1360;1360;1318.6;1321.2;88458;0
PLZL;D;20060713;000000;1321;1330;1226;1240;80412;0
PLZL;D;20060714;000000;1225.5;1230;1189;1202;126722;0
PLZL;D;20060717;000000;1238.55;1238.55;1160;1160.5;58900;0
PLZL;D;20060718;000000;1161.01;1179.98;1149;1174;50979;0
PLZL;D;20060719;000000;1179.75;1182;1136.5;1165;93821;0
PLZL;D;20060720;000000;1180.48;1220;1175.5;1175.5;73499;0
PLZL;D;20060721;000000;1159;1174.98;1150.02;1155;41981;0
PLZL;D;20060724;000000;1152;1166.98;1148.01;1157;58256;0
PLZL;D;20060725;000000;1164.85;1173;1146.95;1146.95;56287;0
PLZL;D;20060726;000000;1147;1159.98;1145.11;1152.8;44876;0
PLZL;D;20060727;000000;1159.75;1204.8;1154.07;1204.79;161744;0
PLZL;D;20060728;000000;1199.5;1203;1175.1;1197;103900;0
PLZL;D;20060731;000000;1202.5;1237;1192;1206;129337;0
PLZL;D;20060801;000000;1210;1235;1194.02;1229.99;167022;0
PLZL;D;20060802;000000;1250;1291;1241.03;1291;102768;0
PLZL;D;20060803;000000;1283;1307.77;1261.01;1300.01;217925;0
PLZL;D;20060804;000000;1300;1319;1282;1307;79696;0
PLZL;D;20060807;000000;1308;1312.46;1290;1304;34224;0
PLZL;D;20060808;000000;1305;1311;1270;1278;82586;0
PLZL;D;20060809;000000;1277.5;1289.99;1270;1278;119317;0
PLZL;D;20060810;000000;1269.01;1295;1256.2;1266.98;52355;0
PLZL;D;20060811;000000;1269.99;1288;1266.5;1288;80569;0
PLZL;D;20060814;000000;1282;1296.3;1265;1266;51721;0
PLZL;D;20060815;000000;1267;1278.88;1222.22;1233;97308;0
PLZL;D;20060816;000000;1239;1250.7;1228.5;1232.8;162633;0
PLZL;D;20060817;000000;1234.47;1235.01;1210.02;1220;59825;0
PLZL;D;20060818;000000;1215.45;1220;1155;1160;71460;0
PLZL;D;20060821;000000;1184.75;1189;1155;1157;94491;0
PLZL;D;20060822;000000;1169.98;1217.5;1158.21;1204.02;169619;0
PLZL;D;20060823;000000;1201;1238.78;1185;1234.99;168267;0
PLZL;D;20060824;000000;1219.9;1232;1195;1202.89;76543;0
PLZL;D;20060825;000000;1234.01;1234.01;1195.01;1202;40908;0
PLZL;D;20060828;000000;1170.95;1213.74;1170.95;1198.6;23565;0
PLZL;D;20060829;000000;1200;1228;1192;1195;95209;0
PLZL;D;20060830;000000;1165.13;1200.01;1165.13;1183.15;72204;0
PLZL;D;20060831;000000;1191;1198;1154;1161;136996;0
PLZL;D;20060901;000000;1166.99;1182.07;1150;1155.9;88462;0
PLZL;D;20060904;000000;1165;1168.97;1155.03;1161.98;27574;0
PLZL;D;20060905;000000;1164.75;1183;1156.65;1176;123211;0
PLZL;D;20060906;000000;1180;1192.99;1160;1169.44;79880;0
PLZL;D;20060907;000000;1160;1164;1140.09;1154.99;74847;0
PLZL;D;20060908;000000;1121.77;1157.77;1121.77;1134;113991;0
PLZL;D;20060911;000000;1126;1126;1080;1084.99;114793;0
PLZL;D;20060912;000000;1098;1098;1072;1087;71903;0
PLZL;D;20060913;000000;1084.6;1095.37;1072;1087.63;81355;0
PLZL;D;20060914;000000;1097.89;1109;1085.2;1088;236807;0
PLZL;D;20060915;000000;1085;1178;1074.12;1164;723249;0
PLZL;D;20060918;000000;1184.72;1249;1182;1209.99;426687;0
PLZL;D;20060919;000000;1223.5;1223.5;1200.01;1204;122871;0
PLZL;D;20060920;000000;1190.01;1199.6;1167;1195;97645;0
PLZL;D;20060921;000000;1201.96;1201.96;1148;1170.98;132022;0
PLZL;D;20060922;000000;1170.98;1184;1140;1154;114685;0
PLZL;D;20060925;000000;1150;1150;1115;1124.99;103642;0
PLZL;D;20060926;000000;1165.37;1165.37;1130;1138.85;105765;0
PLZL;D;20060927;000000;1149.55;1179;1140;1171.5;177961;0
PLZL;D;20060928;000000;1200;1200;1162.22;1177;127831;0
PLZL;D;20060929;000000;1179;1179.8;1163.15;1169;81909;0
PLZL;D;20061002;000000;1126.5;1191.98;1126.5;1177.97;150686;0
PLZL;D;20061003;000000;1187.25;1187.25;1146.92;1157;45930;0
PLZL;D;20061004;000000;1200;1233;1181;1202;510952;0
PLZL;D;20061005;000000;1212.5;1224.59;1183;1191.8;232913;0
PLZL;D;20061006;000000;1203.75;1203.75;1178;1187;56207;0
PLZL;D;20061009;000000;1190.2;1195.02;1180;1184;86596;0
PLZL;D;20061010;000000;1185;1215;1182.15;1196;186985;0
PLZL;D;20061011;000000;1161.6;1196;1161.6;1179.88;129910;0
PLZL;D;20061012;000000;1180;1186.8;1163;1181;96450;0
PLZL;D;20061013;000000;1184.93;1213;1184.86;1200;185317;0
PLZL;D;20061016;000000;1210;1220;1200;1208;112960;0
PLZL;D;20061017;000000;1211;1225;1194.09;1200.35;129628;0
PLZL;D;20061018;000000;1200;1230;1195;1223.02;170306;0
PLZL;D;20061019;000000;1220;1268.9;1218;1262;283596;0
PLZL;D;20061020;000000;1270.01;1278;1241;1244;204847;0
PLZL;D;20061023;000000;1241;1251;1225.01;1240;131521;0
PLZL;D;20061024;000000;1239.5;1248.42;1218;1245.01;92578;0
PLZL;D;20061025;000000;1241.01;1285;1240.34;1272.99;311948;0
PLZL;D;20061026;000000;1282.6;1300;1275.01;1287;276912;0
PLZL;D;20061027;000000;1276;1289.98;1255.51;1286.9;96123;0
PLZL;D;20061030;000000;1294.75;1294.75;1252.22;1264.45;74529;0
PLZL;D;20061031;000000;1260.06;1280;1255;1275.5;139526;0
PLZL;D;20061101;000000;1276;1288;1275.7;1279;164011;0
PLZL;D;20061102;000000;1278;1280;1266.36;1275;142293;0
PLZL;D;20061103;000000;1270;1285;1266.05;1280.01;134393;0
PLZL;D;20061107;000000;1285;1298.99;1262.01;1268.61;148265;0
PLZL;D;20061108;000000;1268.61;1270.1;1237;1248.99;170355;0
PLZL;D;20061109;000000;1252;1278;1249.01;1270;196315;0
PLZL;D;20061110;000000;1269.75;1279.97;1266.03;1277;216834;0
PLZL;D;20061113;000000;1310.43;1310.43;1268.8;1271;153790;0
PLZL;D;20061114;000000;1275.25;1287;1267.99;1274;126761;0
PLZL;D;20061115;000000;1275.5;1280;1269.1;1280;43337;0
PLZL;D;20061116;000000;1282.98;1286;1270.01;1285;96383;0
PLZL;D;20061117;000000;1268;1303;1265;1281.99;299580;0
PLZL;D;20061120;000000;1282.5;1289;1274;1275.17;104866;0
PLZL;D;20061121;000000;1275.05;1286;1275.05;1280;97883;0
