<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Полюс;D;20060512;0;2700.0;10000.0;2000.0;3295.56;36700;0
Полюс;D;20060515;0;1800.0;1850.0;1605.01;1620.0;170026;0
Полюс;D;20060516;0;1590.0;1630.0;1479.99;1562.0;282189;0
Полюс;D;20060517;0;1630.05;1630.05;1471.01;1485.0;405900;0
Полюс;D;20060518;0;1445.23;1530.0;1403.0;1530.0;137669;0
Полюс;D;20060519;0;1530.0;1595.0;1487.02;1524.0;217574;0
Полюс;D;20060522;0;1560.0;1560.0;1325.0;1385.0;177718;0
Полюс;D;20060523;0;1450.0;1467.0;1350.01;1445.0;207550;0
Полюс;D;20060524;0;1450.0;1450.0;1280.0;1400.55;211956;0
Полюс;D;20060525;0;1380.5;1389.0;1300.12;1366.03;85230;0
Полюс;D;20060526;0;1402.0;1444.5;1370.0;1400.0;192252;0
Полюс;D;20060529;0;1400.0;1429.9;1381.0;1401.07;46941;0
Полюс;D;20060530;0;1402.5;1414.49;1386.0;1400.01;69809;0
Полюс;D;20060531;0;1400.0;1400.0;1335.0;1352.5;130729;0
Полюс;D;20060601;0;1352.0;1375.0;1316.0;1329.0;20956;0
Полюс;D;20060602;0;1339.0;1374.04;1317.0;1363.0;177921;0
Полюс;D;20060605;0;1336.51;1391.0;1336.51;1369.99;318570;0
Полюс;D;20060606;0;1350.0;1355.0;1297.0;1300.0;97834;0
Полюс;D;20060607;0;1300.0;1308.45;1240.0;1305.0;179466;0
Полюс;D;20060608;0;1250.0;1250.0;1180.0;1200.0;73982;0
Полюс;D;20060609;0;1207.5;1228.85;1192.0;1211.99;18666;0
Полюс;D;20060613;0;1160.51;1161.0;1003.0;1060.0;95489;0
Полюс;D;20060614;0;1002.5;1077.0;990.0;1067.0;123160;0
Полюс;D;20060615;0;1089.97;1098.97;1037.0;1062.0;82542;0
Полюс;D;20060616;0;1100.0;1103.0;1030.0;1055.0;98008;0
Полюс;D;20060619;0;1068.0;1085.0;1040.0;1065.0;32302;0
Полюс;D;20060620;0;1049.0;1078.0;1042.01;1070.0;12425;0
Полюс;D;20060621;0;1077.0;1095.0;1065.0;1090.0;114161;0
Полюс;D;20060622;0;1102.0;1133.95;1066.03;1066.03;79296;0
Полюс;D;20060623;0;1056.0;1089.99;1055.01;1080.0;14747;0
Полюс;D;20060626;0;1087.0;1099.0;1053.0;1060.0;12649;0
Полюс;D;20060627;0;1066.13;1070.0;1046.03;1056.0;53959;0
Полюс;D;20060628;0;1040.0;1059.96;1035.0;1057.81;20141;0
Полюс;D;20060629;0;1059.9;1089.0;1050.13;1082.0;33289;0
Полюс;D;20060630;0;1111.18;1240.0;1100.1;1195.0;229692;0
Полюс;D;20060703;0;1195.0;1315.0;1195.0;1302.36;219200;0
Полюс;D;20060704;0;1313.5;1354.0;1292.0;1350.0;136885;0
Полюс;D;20060705;0;1367.51;1367.51;1270.0;1309.99;103946;0
Полюс;D;20060706;0;1295.5;1349.95;1290.0;1349.95;43506;0
Полюс;D;20060707;0;1349.99;1388.0;1320.01;1369.0;116756;0
Полюс;D;20060710;0;1349.0;1384.0;1331.0;1372.7;52242;0
Полюс;D;20060711;0;1370.0;1372.5;1310.0;1320.0;82313;0
Полюс;D;20060712;0;1360.0;1360.0;1318.6;1321.2;88458;0
Полюс;D;20060713;0;1321.0;1330.0;1226.0;1240.0;80412;0
Полюс;D;20060714;0;1225.5;1230.0;1189.0;1202.0;126722;0
Полюс;D;20060717;0;1238.55;1238.55;1160.0;1160.5;58900;0
Полюс;D;20060718;0;1161.01;1179.98;1149.0;1174.0;50979;0
Полюс;D;20060719;0;1179.75;1182.0;1136.5;1165.0;93821;0
Полюс;D;20060720;0;1180.48;1220.0;1175.5;1175.5;73499;0
Полюс;D;20060721;0;1159.0;1174.98;1150.02;1155.0;41981;0
Полюс;D;20060724;0;1152.0;1166.98;1148.01;1157.0;58256;0
Полюс;D;20060725;0;1164.85;1173.0;1146.95;1146.95;56287;0
Полюс;D;20060726;0;1147.0;1159.98;1145.11;1152.8;44876;0
Полюс;D;20060727;0;1159.75;1204.8;1154.07;1204.79;161744;0
Полюс;D;20060728;0;1199.5;1203.0;1175.1;1197.0;103900;0
Полюс;D;20060731;0;1202.5;1237.0;1192.0;1206.0;129337;0
Полюс;D;20060801;0;1210.0;1235.0;1194.02;1229.99;167022;0
Полюс;D;20060802;0;1250.0;1291.0;1241.03;1291.0;102768;0
Полюс;D;20060803;0;1283.0;1307.77;1261.01;1300.01;217925;0
Полюс;D;20060804;0;1300.0;1319.0;1282.0;1307.0;79696;0
Полюс;D;20060807;0;1308.0;1312.46;1290.0;1304.0;34224;0
Полюс;D;20060808;0;1305.0;1311.0;1270.0;1278.0;82586;0
Полюс;D;20060809;0;1277.5;1289.99;1270.0;1278.0;119317;0
Полюс;D;20060810;0;1269.01;1295.0;1256.2;1266.98;52355;0
Полюс;D;20060811;0;1269.99;1288.0;1266.5;1288.0;80569;0
Полюс;D;20060814;0;1282.0;1296.3;1265.0;1266.0;51721;0
Полюс;D;20060815;0;1267.0;1278.88;1222.22;1233.0;97308;0
Полюс;D;20060816;0;1239.0;1250.7;1228.5;1232.8;162633;0
Полюс;D;20060817;0;1234.47;1235.01;1210.02;1220.0;59825;0
