<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Полиметалл;D;20070301;000000;213.5;255.3;203.5;255;6091;0
Полиметалл;D;20070302;000000;275;380;230.2;237.7;19591;0
Полиметалл;D;20070305;000000;253;253;184.99;198.44;23733;0
Полиметалл;D;20070306;000000;205.99;213.48;183;198.98;43202;0
Полиметалл;D;20070307;000000;203;207;190;193;26190;0
Полиметалл;D;20070309;000000;199.49;203;197;200.38;16479;0
Полиметалл;D;20070312;000000;200.38;204.9;197.02;200.26;8263;0
Полиметалл;D;20070313;000000;200;200;191.07;196.5;4599;0
Полиметалл;D;20070314;000000;190;195;181;191.5;5068;0
Полиметалл;D;20070315;000000;195.88;201.5;193.01;194;6293;0
Полиметалл;D;20070316;000000;194.99;201;194.98;197.8;3692;0
Полиметалл;D;20070319;000000;200;200;197;198;11993;0
Полиметалл;D;20070320;000000;199.99;200.1;195.85;197.2;5107;0
Полиметалл;D;20070321;000000;198.2;199;195.23;197.88;5616;0
Полиметалл;D;20070322;000000;198.03;203.98;198.03;202.4;6872;0
Полиметалл;D;20070323;000000;202.05;212;200;212;13220;0
Полиметалл;D;20070326;000000;214;214;208.78;213;6868;0
Полиметалл;D;20070327;000000;214;217;204.3;213.1;3650;0
Полиметалл;D;20070328;000000;216;216;211;213;7666;0
Полиметалл;D;20070329;000000;214.97;215.4;211.11;215;10135;0
Полиметалл;D;20070330;000000;215.2;216.25;212.9;213.05;8774;0
Полиметалл;D;20070402;000000;215.5;217;213.1;214.99;8182;0
Полиметалл;D;20070403;000000;214;215;212.55;212.55;3313;0
Полиметалл;D;20070404;000000;213;214.8;211;211.9;23266;0
Полиметалл;D;20070405;000000;213.77;213.77;211.03;211.51;2466;0
Полиметалл;D;20070406;000000;213.7;213.7;211.6;212.07;3911;0
Полиметалл;D;20070409;000000;211.51;212.9;210.81;210.9;18773;0
Полиметалл;D;20070410;000000;211.68;211.68;207;209.5;16825;0
Полиметалл;D;20070411;000000;210.87;210.95;208.2;210.4;8520;0
Полиметалл;D;20070412;000000;209.08;211.96;209.08;210.89;3553;0
Полиметалл;D;20070413;000000;208;210;207.4;209.98;8246;0
Полиметалл;D;20070416;000000;208.5;209;208;208.5;4432;0
Полиметалл;D;20070417;000000;208.01;210.18;206;210.07;23458;0
Полиметалл;D;20070418;000000;210;210.59;208.1;210;3129;0
Полиметалл;D;20070419;000000;207.07;207.07;202.61;206;10654;0
Полиметалл;D;20070420;000000;206;207;200.45;200.45;26757;0
Полиметалл;D;20070423;000000;203;203;198.1;199.9;10320;0
Полиметалл;D;20070424;000000;200;200;196;197.45;6702;0
Полиметалл;D;20070425;000000;197.45;199.75;193.94;195;13329;0
Полиметалл;D;20070426;000000;195;199.98;194.03;194.05;9846;0
Полиметалл;D;20070427;000000;194.07;195.5;192.03;192.99;2973;0
Полиметалл;D;20070428;000000;195.97;199.9;193;199.9;2679;0
Полиметалл;D;20070502;000000;195.5;196.5;193.8;193.86;6263;0
Полиметалл;D;20070503;000000;194;195;192;193.95;11057;0
Полиметалл;D;20070504;000000;192.1;194.5;191.03;193.9;3676;0
Полиметалл;D;20070507;000000;194.8;196.92;194.4;195.02;2845;0
Полиметалл;D;20070508;000000;193.14;196;191;194.89;2681;0
Полиметалл;D;20070510;000000;194.9;194.9;190;190;15343;0
Полиметалл;D;20070511;000000;190;193.9;185.26;190.5;12939;0
Полиметалл;D;20070514;000000;186.77;194.9;186.01;190;1663;0
Полиметалл;D;20070515;000000;190.5;190.5;188.9;190;931;0
Полиметалл;D;20070516;000000;196.2;197;185.07;189.99;18826;0
Полиметалл;D;20070517;000000;189.5;190;186.2;188;7475;0
Полиметалл;D;20070518;000000;188;188.75;185;185.22;17755;0
