<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RASP;D;20061114;000000;57.9;68.8;57.9;63.98;47200;0
RASP;D;20061115;000000;63;63;62.99;62.99;3100;0
RASP;D;20061116;000000;62.75;62.75;60.03;60.03;900;0
RASP;D;20061117;000000;60.04;62.74;60.04;62.74;300;0
RASP;D;20061120;000000;62.74;62.74;60.07;60.07;600;0
RASP;D;20061121;000000;0;0;0;0;0;0
RASP;D;20061122;000000;0;0;0;0;0;0
RASP;D;20061123;000000;62;62;62;62;300;0
RASP;D;20061124;000000;61;61.12;60.1;60.1;50500;0
RASP;D;20061127;000000;60.07;62;60.03;62;3000;0
RASP;D;20061128;000000;0;0;0;0;0;0
RASP;D;20061129;000000;62;62;62;62;300;0
RASP;D;20061130;000000;62;62;62;62;100;0
RASP;D;20061201;000000;60.1;60.1;50;55.13;83100;0
RASP;D;20061204;000000;55.05;57.6;55;55;12900;0
RASP;D;20061205;000000;54;55.5;51.2;51.2;12400;0
RASP;D;20061206;000000;55.18;55.18;51;51;46000;0
RASP;D;20061207;000000;50.31;52.38;50.31;51;11800;0
RASP;D;20061208;000000;52.3;52.49;51.65;51.65;2800;0
RASP;D;20061211;000000;52.48;52.5;51.25;51.25;21700;0
RASP;D;20061212;000000;51.7;51.7;51;51.3;1700;0
RASP;D;20061213;000000;51.8;51.8;50.26;50.26;3400;0
RASP;D;20061214;000000;50.31;51.8;50.3;51.8;10000;0
RASP;D;20061215;000000;52;52;50.5;51.78;1700;0
RASP;D;20061218;000000;51.78;51.78;50.25;51.2;19900;0
RASP;D;20061219;000000;50.8;51.45;50;50;15900;0
RASP;D;20061220;000000;51.28;51.5;51.28;51.5;19500;0
RASP;D;20061221;000000;50.48;50.48;49.5;50;54700;0
RASP;D;20061222;000000;50;50.4;49.72;49.72;1300;0
RASP;D;20061225;000000;50.39;50.95;48.5;50;2700;0
RASP;D;20061226;000000;49;49.4;47.01;49;4200;0
RASP;D;20061227;000000;49.98;55;49.98;52;109800;0
RASP;D;20061228;000000;50.6;52.89;47.1;50.15;52300;0
RASP;D;20061229;000000;50;50.3;50;50.3;2800;0
RASP;D;20070109;000000;50;50;48;48;1500;0
RASP;D;20070110;000000;48.5;48.8;48.2;48.2;5700;0
RASP;D;20070111;000000;47.59;47.59;47.58;47.58;600;0
RASP;D;20070112;000000;47.9;48.6;47.51;48.6;4600;0
RASP;D;20070115;000000;48.97;49.4;48.1;48.7;1600;0
RASP;D;20070116;000000;49.5;50.21;48.01;50;7400;0
RASP;D;20070117;000000;49.1;52.7;49.05;50.2;16600;0
RASP;D;20070118;000000;52.5;52.5;50.2;51.4;5300;0
RASP;D;20070119;000000;51.5;52.5;50.82;51.4;16400;0
RASP;D;20070122;000000;51.99;52;51.5;51.5;5200;0
RASP;D;20070123;000000;51.5;52.9;51.5;52.3;10000;0
RASP;D;20070124;000000;52.3;52.3;52;52.2;7100;0
RASP;D;20070125;000000;52.2;52.2;52;52;4500;0
RASP;D;20070126;000000;52;52;51.5;51.6;1100;0
RASP;D;20070129;000000;51.75;52.3;51.75;52.3;8500;0
RASP;D;20070130;000000;51.51;51.51;51.5;51.5;1000;0
RASP;D;20070131;000000;52.3;52.3;51.7;51.7;1500;0
