<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Ренессанс;D;20211021;000000;125;149.56;116.15;118;4863470;0
Ренессанс;D;20211022;000000;118.49;118.8;111.9;115;2982260;0
Ренессанс;D;20211025;000000;114.99;118.03;112.04;116;1776080;0
Ренессанс;D;20211026;000000;115.96;117.55;111.81;113;1787510;0
Ренессанс;D;20211027;000000;114.88;114.88;108.8;112.96;1206110;0
Ренессанс;D;20211028;000000;110.6;112.7;109.15;110;842130;0
Ренессанс;D;20211029;000000;110.8;117;109;112;812270;0
Ренессанс;D;20211101;000000;114.99;116.42;110;114;418830;0
Ренессанс;D;20211102;000000;113.98;117.48;112.05;112.5;861540;0
Ренессанс;D;20211103;000000;112.9;115;111.5;113;349540;0
Ренессанс;D;20211105;000000;113.68;116.88;111.6;115;882120;0
Ренессанс;D;20211108;000000;118.78;118.78;113.1;113.15;631830;0
Ренессанс;D;20211109;000000;113.04;115;111.8;112;869720;0
Ренессанс;D;20211110;000000;112.97;113.44;109.01;113;1199120;0
Ренессанс;D;20211111;000000;113;115;111.54;115;529340;0
Ренессанс;D;20211112;000000;114.61;115.99;110.55;115;912870;0
Ренессанс;D;20211115;000000;115;116;112.33;116;963950;0
Ренессанс;D;20211116;000000;116;116.65;113.65;116;876910;0
Ренессанс;D;20211117;000000;114.02;116;113.43;116;1259900;0
Ренессанс;D;20211118;000000;116.2;116.2;113.8;114.17;680600;0
Ренессанс;D;20211119;000000;114.42;119;113.4;119;4463790;0
Ренессанс;D;20211122;000000;119.4;120.64;112.07;113.51;545560;0
Ренессанс;D;20211123;000000;113.6;114.74;111.69;114.32;606550;0
Ренессанс;D;20211124;000000;114.32;116.82;111.5;111.5;217340;0
Ренессанс;D;20211125;000000;113.22;114.43;111.5;113.35;341140;0
Ренессанс;D;20211126;000000;112.75;115.76;101.7;106.2;1167950;0
Ренессанс;D;20211129;000000;107.01;111.99;106.02;109.96;571080;0
Ренессанс;D;20211130;000000;109.85;115;106.01;112.12;1333160;0
Ренессанс;D;20211201;000000;114.34;116.55;112.03;113;555590;0
Ренессанс;D;20211202;000000;114.56;115.4;112.02;112.02;222660;0
Ренессанс;D;20211203;000000;112.52;118.94;112.52;113.11;336700;0
Ренессанс;D;20211206;000000;114.2;115.55;111.12;112.01;181560;0
Ренессанс;D;20211207;000000;112.48;114.88;111;114.2;190010;0
Ренессанс;D;20211208;000000;113.8;113.97;110.5;110.5;100580;0
Ренессанс;D;20211209;000000;111.11;112.4;110.04;111.3;196150;0
Ренессанс;D;20211210;000000;112;112;110.11;112;141920;0
Ренессанс;D;20211213;000000;111.96;111.96;106.21;107.01;144020;0
