<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RGBITR;D;20021230;000000;100;100;100;100;0;0
RGBITR;D;20030104;000000;100.34;100.34;100.34;100.34;0;0
RGBITR;D;20030105;000000;101.09;101.09;101.09;101.09;0;0
RGBITR;D;20030108;000000;101.35;101.35;101.35;101.35;0;0
RGBITR;D;20030109;000000;101.41;101.41;101.41;101.41;0;0
RGBITR;D;20030110;000000;101.57;101.57;101.57;101.57;0;0
RGBITR;D;20030113;000000;101.77;101.77;101.77;101.77;0;0
RGBITR;D;20030114;000000;101.81;101.81;101.81;101.81;0;0
RGBITR;D;20030115;000000;101.82;101.82;101.82;101.82;0;0
RGBITR;D;20030116;000000;101.82;101.82;101.82;101.82;0;0
RGBITR;D;20030117;000000;101.99;101.99;101.99;101.99;0;0
RGBITR;D;20030120;000000;102.06;102.06;102.06;102.06;0;0
RGBITR;D;20030121;000000;102.03;102.03;102.03;102.03;0;0
RGBITR;D;20030122;000000;102.19;102.19;102.19;102.19;0;0
RGBITR;D;20030123;000000;102.36;102.36;102.36;102.36;0;0
RGBITR;D;20030124;000000;102.49;102.49;102.49;102.49;0;0
RGBITR;D;20030127;000000;102.55;102.55;102.55;102.55;0;0
RGBITR;D;20030128;000000;102.67;102.67;102.67;102.67;0;0
RGBITR;D;20030129;000000;102.67;102.67;102.67;102.67;0;0
RGBITR;D;20030130;000000;102.77;102.77;102.77;102.77;0;0
RGBITR;D;20030131;000000;103.06;103.06;103.06;103.06;0;0
RGBITR;D;20030203;000000;103.18;103.18;103.18;103.18;0;0
RGBITR;D;20030204;000000;103.29;103.29;103.29;103.29;0;0
RGBITR;D;20030205;000000;104.1;104.1;104.1;104.1;0;0
RGBITR;D;20030206;000000;104.65;104.65;104.65;104.65;0;0
RGBITR;D;20030207;000000;105.64;105.64;105.64;105.64;0;0
RGBITR;D;20030210;000000;106.26;106.26;106.26;106.26;0;0
RGBITR;D;20030211;000000;106.42;106.42;106.42;106.42;0;0
RGBITR;D;20030212;000000;106.99;106.99;106.99;106.99;0;0
RGBITR;D;20030213;000000;108.05;108.05;108.05;108.05;0;0
RGBITR;D;20030214;000000;108.54;108.54;108.54;108.54;0;0
RGBITR;D;20030217;000000;109.84;109.84;109.84;109.84;0;0
RGBITR;D;20030218;000000;110.68;110.68;110.68;110.68;0;0
RGBITR;D;20030219;000000;110.99;110.99;110.99;110.99;0;0
RGBITR;D;20030220;000000;111.01;111.01;111.01;111.01;0;0
RGBITR;D;20030221;000000;111.25;111.25;111.25;111.25;0;0
RGBITR;D;20030225;000000;111.61;111.61;111.61;111.61;0;0
RGBITR;D;20030226;000000;111.61;111.61;111.61;111.61;0;0
RGBITR;D;20030227;000000;111.75;111.75;111.75;111.75;0;0
RGBITR;D;20030228;000000;111.99;111.99;111.99;111.99;0;0
RGBITR;D;20030303;000000;112.19;112.19;112.19;112.19;0;0
RGBITR;D;20030304;000000;111.95;111.95;111.95;111.95;0;0
RGBITR;D;20030305;000000;112.44;112.44;112.44;112.44;0;0
RGBITR;D;20030306;000000;112.78;112.78;112.78;112.78;0;0
RGBITR;D;20030307;000000;112.97;112.97;112.97;112.97;0;0
RGBITR;D;20030311;000000;113.47;113.47;113.47;113.47;0;0
RGBITR;D;20030312;000000;113.84;113.84;113.84;113.84;0;0
RGBITR;D;20030313;000000;114.06;114.06;114.06;114.06;0;0
RGBITR;D;20030314;000000;114.23;114.23;114.23;114.23;0;0
RGBITR;D;20030317;000000;113.08;113.08;113.08;113.08;0;0
RGBITR;D;20030318;000000;111.81;111.81;111.81;111.81;0;0
RGBITR;D;20030319;000000;112.04;112.04;112.04;112.04;0;0
RGBITR;D;20030320;000000;111.77;111.77;111.77;111.77;0;0
RGBITR;D;20030321;000000;113.5;113.5;113.5;113.5;0;0
RGBITR;D;20030324;000000;113.16;113.16;113.16;113.16;0;0
RGBITR;D;20030325;000000;113.16;113.16;113.16;113.16;0;0
RGBITR;D;20030326;000000;113.32;113.32;113.32;113.32;0;0
RGBITR;D;20030327;000000;113.52;113.52;113.52;113.52;0;0
RGBITR;D;20030328;000000;113.5;113.5;113.5;113.5;0;0
RGBITR;D;20030331;000000;113.59;113.59;113.59;113.59;0;0
RGBITR;D;20030401;000000;114.16;114.16;114.16;114.16;0;0
RGBITR;D;20030402;000000;115.02;115.02;115.02;115.02;0;0
RGBITR;D;20030403;000000;115.1;115.1;115.1;115.1;0;0
RGBITR;D;20030404;000000;115.14;115.14;115.14;115.14;0;0
RGBITR;D;20030407;000000;115.04;115.04;115.04;115.04;0;0
RGBITR;D;20030408;000000;115.08;115.08;115.08;115.08;0;0
RGBITR;D;20030409;000000;115.19;115.19;115.19;115.19;0;0
RGBITR;D;20030410;000000;115.42;115.42;115.42;115.42;0;0
RGBITR;D;20030411;000000;115.37;115.37;115.37;115.37;0;0
RGBITR;D;20030414;000000;115.55;115.55;115.55;115.55;0;0
RGBITR;D;20030415;000000;115.6;115.6;115.6;115.6;0;0
RGBITR;D;20030416;000000;115.83;115.83;115.83;115.83;0;0
RGBITR;D;20030417;000000;116.11;116.11;116.11;116.11;0;0
RGBITR;D;20030418;000000;116.35;116.35;116.35;116.35;0;0
RGBITR;D;20030421;000000;116.58;116.58;116.58;116.58;0;0
RGBITR;D;20030422;000000;116.64;116.64;116.64;116.64;0;0
RGBITR;D;20030423;000000;117.78;117.78;117.78;117.78;0;0
RGBITR;D;20030424;000000;118.07;118.07;118.07;118.07;0;0
RGBITR;D;20030425;000000;118.04;118.04;118.04;118.04;0;0
RGBITR;D;20030428;000000;118.03;118.03;118.03;118.03;0;0
RGBITR;D;20030429;000000;118.07;118.07;118.07;118.07;0;0
RGBITR;D;20030430;000000;118.56;118.56;118.56;118.56;0;0
RGBITR;D;20030505;000000;118.87;118.87;118.87;118.87;0;0
RGBITR;D;20030506;000000;119.19;119.19;119.19;119.19;0;0
RGBITR;D;20030507;000000;119.44;119.44;119.44;119.44;0;0
RGBITR;D;20030508;000000;119.7;119.7;119.7;119.7;0;0
RGBITR;D;20030512;000000;119.95;119.95;119.95;119.95;0;0
RGBITR;D;20030513;000000;120.35;120.35;120.35;120.35;0;0
RGBITR;D;20030514;000000;120.56;120.56;120.56;120.56;0;0
RGBITR;D;20030515;000000;120.99;120.99;120.99;120.99;0;0
RGBITR;D;20030516;000000;121.68;121.68;121.68;121.68;0;0
RGBITR;D;20030519;000000;122.44;122.44;122.44;122.44;0;0
RGBITR;D;20030520;000000;123.56;123.56;123.56;123.56;0;0
RGBITR;D;20030521;000000;124.56;124.56;124.56;124.56;0;0
RGBITR;D;20030522;000000;124.23;124.23;124.23;124.23;0;0
RGBITR;D;20030523;000000;124.16;124.16;124.16;124.16;0;0
RGBITR;D;20030526;000000;124.25;124.25;124.25;124.25;0;0
RGBITR;D;20030527;000000;124.02;124.02;124.02;124.02;0;0
RGBITR;D;20030528;000000;123.76;123.76;123.76;123.76;0;0
RGBITR;D;20030529;000000;123;123;123;123;0;0
RGBITR;D;20030530;000000;123.37;123.37;123.37;123.37;0;0
RGBITR;D;20030602;000000;123.24;123.24;123.24;123.24;0;0
