<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RGBI;D;20021230;000000;100;100;100;100;0;0
RGBI;D;20030104;000000;100.16;100.16;100.16;100.16;0;0
RGBI;D;20030105;000000;100.88;100.88;100.88;100.88;0;0
RGBI;D;20030108;000000;101.03;101.03;101.03;101.03;0;0
RGBI;D;20030109;000000;101.05;101.05;101.05;101.05;0;0
RGBI;D;20030110;000000;101.17;101.17;101.17;101.17;0;0
RGBI;D;20030113;000000;101.27;101.27;101.27;101.27;0;0
RGBI;D;20030114;000000;101.27;101.27;101.27;101.27;0;0
RGBI;D;20030115;000000;101.24;101.24;101.24;101.24;0;0
RGBI;D;20030116;000000;101.21;101.21;101.21;101.21;0;0
RGBI;D;20030117;000000;101.34;101.34;101.34;101.34;0;0
RGBI;D;20030120;000000;101.3;101.3;101.3;101.3;0;0
RGBI;D;20030121;000000;101.23;101.23;101.23;101.23;0;0
RGBI;D;20030122;000000;101.36;101.36;101.36;101.36;0;0
RGBI;D;20030123;000000;101.5;101.5;101.5;101.5;0;0
RGBI;D;20030124;000000;101.59;101.59;101.59;101.59;0;0
RGBI;D;20030127;000000;101.54;101.54;101.54;101.54;0;0
RGBI;D;20030128;000000;101.62;101.62;101.62;101.62;0;0
RGBI;D;20030129;000000;101.58;101.58;101.58;101.58;0;0
RGBI;D;20030130;000000;101.64;101.64;101.64;101.64;0;0
RGBI;D;20030131;000000;101.9;101.9;101.9;101.9;0;0
RGBI;D;20030203;000000;101.91;101.91;101.91;101.91;0;0
RGBI;D;20030204;000000;101.98;101.98;101.98;101.98;0;0
RGBI;D;20030205;000000;102.76;102.76;102.76;102.76;0;0
RGBI;D;20030206;000000;103.28;103.28;103.28;103.28;0;0
RGBI;D;20030207;000000;104.24;104.24;104.24;104.24;0;0
RGBI;D;20030210;000000;104.75;104.75;104.75;104.75;0;0
RGBI;D;20030211;000000;104.87;104.87;104.87;104.87;0;0
RGBI;D;20030212;000000;105.41;105.41;105.41;105.41;0;0
RGBI;D;20030213;000000;106.45;106.45;106.45;106.45;0;0
RGBI;D;20030214;000000;106.91;106.91;106.91;106.91;0;0
RGBI;D;20030217;000000;108.11;108.11;108.11;108.11;0;0
RGBI;D;20030218;000000;108.91;108.91;108.91;108.91;0;0
RGBI;D;20030219;000000;109.18;109.18;109.18;109.18;0;0
RGBI;D;20030220;000000;109.16;109.16;109.16;109.16;0;0
RGBI;D;20030221;000000;109.36;109.36;109.36;109.36;0;0
RGBI;D;20030225;000000;109.56;109.56;109.56;109.56;0;0
RGBI;D;20030226;000000;109.52;109.52;109.52;109.52;0;0
RGBI;D;20030227;000000;109.62;109.62;109.62;109.62;0;0
RGBI;D;20030228;000000;109.82;109.82;109.82;109.82;0;0
RGBI;D;20030303;000000;109.9;109.9;109.9;109.9;0;0
RGBI;D;20030304;000000;109.63;109.63;109.63;109.63;0;0
RGBI;D;20030305;000000;110.08;110.08;110.08;110.08;0;0
RGBI;D;20030306;000000;110.38;110.38;110.38;110.38;0;0
RGBI;D;20030307;000000;110.53;110.53;110.53;110.53;0;0
RGBI;D;20030311;000000;110.88;110.88;110.88;110.88;0;0
RGBI;D;20030312;000000;111.21;111.21;111.21;111.21;0;0
RGBI;D;20030313;000000;111.39;111.39;111.39;111.39;0;0
RGBI;D;20030314;000000;111.52;111.52;111.52;111.52;0;0
RGBI;D;20030317;000000;110.27;110.27;110.27;110.27;0;0
RGBI;D;20030318;000000;108.97;108.97;108.97;108.97;0;0
RGBI;D;20030319;000000;109.16;109.16;109.16;109.16;0;0
RGBI;D;20030320;000000;108.86;108.86;108.86;108.86;0;0
RGBI;D;20030321;000000;110.52;110.52;110.52;110.52;0;0
RGBI;D;20030324;000000;110.07;110.07;110.07;110.07;0;0
RGBI;D;20030325;000000;110.03;110.03;110.03;110.03;0;0
RGBI;D;20030326;000000;110.15;110.15;110.15;110.15;0;0
RGBI;D;20030327;000000;110.31;110.31;110.31;110.31;0;0
RGBI;D;20030328;000000;110.26;110.26;110.26;110.26;0;0
RGBI;D;20030331;000000;110.23;110.23;110.23;110.23;0;0
RGBI;D;20030401;000000;110.75;110.75;110.75;110.75;0;0
RGBI;D;20030402;000000;111.56;111.56;111.56;111.56;0;0
RGBI;D;20030403;000000;111.6;111.6;111.6;111.6;0;0
RGBI;D;20030404;000000;111.6;111.6;111.6;111.6;0;0
RGBI;D;20030407;000000;111.38;111.38;111.38;111.38;0;0
RGBI;D;20030408;000000;111.39;111.39;111.39;111.39;0;0
RGBI;D;20030409;000000;111.46;111.46;111.46;111.46;0;0
RGBI;D;20030410;000000;111.64;111.64;111.64;111.64;0;0
RGBI;D;20030411;000000;111.55;111.55;111.55;111.55;0;0
RGBI;D;20030414;000000;111.62;111.62;111.62;111.62;0;0
RGBI;D;20030415;000000;111.64;111.64;111.64;111.64;0;0
RGBI;D;20030416;000000;111.83;111.83;111.83;111.83;0;0
RGBI;D;20030417;000000;112.07;112.07;112.07;112.07;0;0
RGBI;D;20030418;000000;112.26;112.26;112.26;112.26;0;0
RGBI;D;20030421;000000;112.37;112.37;112.37;112.37;0;0
RGBI;D;20030422;000000;112.39;112.39;112.39;112.39;0;0
RGBI;D;20030423;000000;113.47;113.47;113.47;113.47;0;0
RGBI;D;20030424;000000;113.71;113.71;113.71;113.71;0;0
RGBI;D;20030425;000000;113.64;113.64;113.64;113.64;0;0
RGBI;D;20030428;000000;113.51;113.51;113.51;113.51;0;0
RGBI;D;20030429;000000;113.51;113.51;113.51;113.51;0;0
RGBI;D;20030430;000000;113.96;113.96;113.96;113.96;0;0
RGBI;D;20030505;000000;114.07;114.07;114.07;114.07;0;0
RGBI;D;20030506;000000;114.35;114.35;114.35;114.35;0;0
RGBI;D;20030507;000000;114.55;114.55;114.55;114.55;0;0
RGBI;D;20030508;000000;114.77;114.77;114.77;114.77;0;0
RGBI;D;20030512;000000;114.85;114.85;114.85;114.85;0;0
RGBI;D;20030513;000000;115.2;115.2;115.2;115.2;0;0
RGBI;D;20030514;000000;115.37;115.37;115.37;115.37;0;0
RGBI;D;20030515;000000;115.76;115.76;115.76;115.76;0;0
RGBI;D;20030516;000000;116.4;116.4;116.4;116.4;0;0
RGBI;D;20030519;000000;117.03;117.03;117.03;117.03;0;0
RGBI;D;20030520;000000;118.09;118.09;118.09;118.09;0;0
RGBI;D;20030521;000000;119.03;119.03;119.03;119.03;0;0
RGBI;D;20030522;000000;118.67;118.67;118.67;118.67;0;0
RGBI;D;20030523;000000;118.56;118.56;118.56;118.56;0;0
RGBI;D;20030526;000000;118.53;118.53;118.53;118.53;0;0
RGBI;D;20030527;000000;118.27;118.27;118.27;118.27;0;0
RGBI;D;20030528;000000;117.98;117.98;117.98;117.98;0;0
RGBI;D;20030529;000000;117.2;117.2;117.2;117.2;0;0
RGBI;D;20030530;000000;117.53;117.53;117.53;117.53;0;0
RGBI;D;20030602;000000;117.29;117.29;117.29;117.29;0;0
RGBI;D;20030603;000000;117.55;117.55;117.55;117.55;0;0
RGBI;D;20030604;000000;117.79;117.79;117.79;117.79;0;0
RGBI;D;20030605;000000;117.49;117.49;117.49;117.49;0;0
RGBI;D;20030606;000000;117.57;117.57;117.57;117.57;0;0
RGBI;D;20030609;000000;117.67;117.67;117.67;117.67;0;0
RGBI;D;20030610;000000;117.51;117.51;117.51;117.51;0;0
RGBI;D;20030611;000000;117.66;117.66;117.66;117.66;0;0
RGBI;D;20030616;000000;117.54;117.54;117.54;117.54;0;0
RGBI;D;20030617;000000;117.29;117.29;117.29;117.29;0;0
RGBI;D;20030618;000000;117;117;117;117;0;0
RGBI;D;20030619;000000;117.48;117.48;117.48;117.48;0;0
RGBI;D;20030620;000000;117.41;117.41;117.41;117.41;0;0
RGBI;D;20030621;000000;117.34;117.34;117.34;117.34;0;0
RGBI;D;20030623;000000;117.23;117.23;117.23;117.23;0;0
RGBI;D;20030624;000000;117.25;117.25;117.25;117.25;0;0
RGBI;D;20030625;000000;117.44;117.44;117.44;117.44;0;0
RGBI;D;20030626;000000;117.06;117.06;117.06;117.06;0;0
RGBI;D;20030627;000000;117.03;117.03;117.03;117.03;0;0
RGBI;D;20030630;000000;117.13;117.13;117.13;117.13;0;0
RGBI;D;20030701;000000;116.89;116.89;116.89;116.89;0;0
RGBI;D;20030702;000000;116.5;116.5;116.5;116.5;0;0
RGBI;D;20030703;000000;116.42;116.42;116.42;116.42;0;0
RGBI;D;20030704;000000;116.11;116.11;116.11;116.11;0;0
RGBI;D;20030707;000000;115.72;115.72;115.72;115.72;0;0
RGBI;D;20030708;000000;114.52;114.52;114.52;114.52;0;0
RGBI;D;20030709;000000;113.97;113.97;113.97;113.97;0;0
RGBI;D;20030710;000000;113.55;113.55;113.55;113.55;0;0
RGBI;D;20030711;000000;113.14;113.14;113.14;113.14;0;0
RGBI;D;20030714;000000;112.85;112.85;112.85;112.85;0;0
RGBI;D;20030715;000000;111.76;111.76;111.76;111.76;0;0
RGBI;D;20030716;000000;109.9;109.9;109.9;109.9;0;0
RGBI;D;20030717;000000;110.19;110.19;110.19;110.19;0;0
RGBI;D;20030718;000000;110.65;110.65;110.65;110.65;0;0
RGBI;D;20030721;000000;111.5;111.5;111.5;111.5;0;0
RGBI;D;20030722;000000;111.45;111.45;111.45;111.45;0;0
RGBI;D;20030723;000000;111;111;111;111;0;0
RGBI;D;20030724;000000;111.46;111.46;111.46;111.46;0;0
RGBI;D;20030725;000000;111.23;111.23;111.23;111.23;0;0
RGBI;D;20030728;000000;110.84;110.84;110.84;110.84;0;0
RGBI;D;20030729;000000;111.38;111.38;111.38;111.38;0;0
RGBI;D;20030730;000000;112.47;112.47;112.47;112.47;0;0
RGBI;D;20030731;000000;113.32;113.32;113.32;113.32;0;0
RGBI;D;20030801;000000;113.04;113.04;113.04;113.04;0;0
RGBI;D;20030804;000000;113.04;113.04;113.04;113.04;0;0
RGBI;D;20030805;000000;113;113;113;113;0;0
RGBI;D;20030806;000000;112.97;112.97;112.97;112.97;0;0
RGBI;D;20030807;000000;112.95;112.95;112.95;112.95;0;0
RGBI;D;20030808;000000;113.09;113.09;113.09;113.09;0;0
RGBI;D;20030811;000000;113.26;113.26;113.26;113.26;0;0
RGBI;D;20030812;000000;113.06;113.06;113.06;113.06;0;0
RGBI;D;20030813;000000;113.09;113.09;113.09;113.09;0;0
RGBI;D;20030814;000000;112.98;112.98;112.98;112.98;0;0
RGBI;D;20030815;000000;112.95;112.95;112.95;112.95;0;0
RGBI;D;20030818;000000;113.04;113.04;113.04;113.04;0;0
RGBI;D;20030819;000000;112.97;112.97;112.97;112.97;0;0
RGBI;D;20030820;000000;112.97;112.97;112.97;112.97;0;0
RGBI;D;20030821;000000;113.01;113.01;113.01;113.01;0;0
RGBI;D;20030822;000000;113.01;113.01;113.01;113.01;0;0
RGBI;D;20030825;000000;113.01;113.01;113.01;113.01;0;0
RGBI;D;20030826;000000;112.74;112.74;112.74;112.74;0;0
RGBI;D;20030827;000000;112.1;112.1;112.1;112.1;0;0
RGBI;D;20030828;000000;112.53;112.53;112.53;112.53;0;0
RGBI;D;20030829;000000;112.83;112.83;112.83;112.83;0;0
RGBI;D;20030901;000000;112.9;112.9;112.9;112.9;0;0
RGBI;D;20030902;000000;112.94;112.94;112.94;112.94;0;0
RGBI;D;20030903;000000;112.99;112.99;112.99;112.99;0;0
RGBI;D;20030904;000000;112.34;112.34;112.34;112.34;0;0
RGBI;D;20030905;000000;112.4;112.4;112.4;112.4;0;0
RGBI;D;20030908;000000;112.34;112.34;112.34;112.34;0;0
RGBI;D;20030909;000000;112.31;112.31;112.31;112.31;0;0
RGBI;D;20030910;000000;111.53;111.53;111.53;111.53;0;0
RGBI;D;20030911;000000;111.75;111.75;111.75;111.75;0;0
RGBI;D;20030912;000000;111.83;111.83;111.83;111.83;0;0
RGBI;D;20030915;000000;111.84;111.84;111.84;111.84;0;0
RGBI;D;20030916;000000;111.34;111.34;111.34;111.34;0;0
RGBI;D;20030917;000000;111.73;111.73;111.73;111.73;0;0
RGBI;D;20030918;000000;112.07;112.07;112.07;112.07;0;0
RGBI;D;20030919;000000;111.94;111.94;111.94;111.94;0;0
RGBI;D;20030922;000000;112.02;112.02;112.02;112.02;0;0
RGBI;D;20030923;000000;112.07;112.07;112.07;112.07;0;0
RGBI;D;20030924;000000;111.94;111.94;111.94;111.94;0;0
RGBI;D;20030925;000000;112;112;112;112;0;0
RGBI;D;20030926;000000;112.14;112.14;112.14;112.14;0;0
RGBI;D;20030929;000000;112.13;112.13;112.13;112.13;0;0
RGBI;D;20030930;000000;112.17;112.17;112.17;112.17;0;0
RGBI;D;20031001;000000;112.26;112.26;112.26;112.26;0;0
RGBI;D;20031002;000000;112.28;112.28;112.28;112.28;0;0
RGBI;D;20031003;000000;112.35;112.35;112.35;112.35;0;0
RGBI;D;20031006;000000;112.37;112.37;112.37;112.37;0;0
RGBI;D;20031007;000000;112.37;112.37;112.37;112.37;0;0
RGBI;D;20031008;000000;112.61;112.61;112.61;112.61;0;0
RGBI;D;20031009;000000;113.32;113.32;113.32;113.32;0;0
RGBI;D;20031010;000000;113.69;113.69;113.69;113.69;0;0
RGBI;D;20031013;000000;113.89;113.89;113.89;113.89;0;0
RGBI;D;20031014;000000;113.99;113.99;113.99;113.99;0;0
RGBI;D;20031015;000000;113.65;113.65;113.65;113.65;0;0
RGBI;D;20031016;000000;113.55;113.55;113.55;113.55;0;0
RGBI;D;20031017;000000;113.65;113.65;113.65;113.65;0;0
RGBI;D;20031020;000000;113.49;113.49;113.49;113.49;0;0
RGBI;D;20031021;000000;113.13;113.13;113.13;113.13;0;0
RGBI;D;20031022;000000;112.99;112.99;112.99;112.99;0;0
RGBI;D;20031023;000000;112.89;112.89;112.89;112.89;0;0
RGBI;D;20031024;000000;112.94;112.94;112.94;112.94;0;0
RGBI;D;20031027;000000;112.64;112.64;112.64;112.64;0;0
RGBI;D;20031028;000000;112.29;112.29;112.29;112.29;0;0
RGBI;D;20031029;000000;112.4;112.4;112.4;112.4;0;0
RGBI;D;20031030;000000;112.32;112.32;112.32;112.32;0;0
RGBI;D;20031031;000000;113.32;113.32;113.32;113.32;0;0
RGBI;D;20031103;000000;113.22;113.22;113.22;113.22;0;0
RGBI;D;20031104;000000;113.68;113.68;113.68;113.68;0;0
RGBI;D;20031105;000000;113.77;113.77;113.77;113.77;0;0
RGBI;D;20031106;000000;113.68;113.68;113.68;113.68;0;0
RGBI;D;20031110;000000;113.67;113.67;113.67;113.67;0;0
RGBI;D;20031111;000000;113.31;113.31;113.31;113.31;0;0
RGBI;D;20031112;000000;112.56;112.56;112.56;112.56;0;0
RGBI;D;20031113;000000;113.08;113.08;113.08;113.08;0;0
RGBI;D;20031114;000000;113.05;113.05;113.05;113.05;0;0
RGBI;D;20031117;000000;112.93;112.93;112.93;112.93;0;0
RGBI;D;20031118;000000;112.67;112.67;112.67;112.67;0;0
RGBI;D;20031119;000000;112.6;112.6;112.6;112.6;0;0
RGBI;D;20031120;000000;112.83;112.83;112.83;112.83;0;0
RGBI;D;20031121;000000;112.85;112.85;112.85;112.85;0;0
RGBI;D;20031124;000000;112.85;112.85;112.85;112.85;0;0
RGBI;D;20031125;000000;112.9;112.9;112.9;112.9;0;0
RGBI;D;20031126;000000;112.93;112.93;112.93;112.93;0;0
RGBI;D;20031127;000000;112.93;112.93;112.93;112.93;0;0
RGBI;D;20031128;000000;112.68;112.68;112.68;112.68;0;0
RGBI;D;20031201;000000;112.75;112.75;112.75;112.75;0;0
RGBI;D;20031202;000000;112.74;112.74;112.74;112.74;0;0
RGBI;D;20031203;000000;112.8;112.8;112.8;112.8;0;0
RGBI;D;20031204;000000;112.85;112.85;112.85;112.85;0;0
RGBI;D;20031205;000000;112.99;112.99;112.99;112.99;0;0
RGBI;D;20031208;000000;113.01;113.01;113.01;113.01;0;0
RGBI;D;20031209;000000;113.02;113.02;113.02;113.02;0;0
RGBI;D;20031210;000000;112.98;112.98;112.98;112.98;0;0
RGBI;D;20031211;000000;113.18;113.18;113.18;113.18;0;0
RGBI;D;20031215;000000;112.99;112.99;112.99;112.99;0;0
RGBI;D;20031216;000000;113.06;113.06;113.06;113.06;0;0
RGBI;D;20031217;000000;113.2;113.2;113.2;113.2;0;0
RGBI;D;20031218;000000;113.18;113.18;113.18;113.18;0;0
RGBI;D;20031219;000000;113.2;113.2;113.2;113.2;0;0
RGBI;D;20031222;000000;113.14;113.14;113.14;113.14;0;0
RGBI;D;20031223;000000;113.15;113.15;113.15;113.15;0;0
RGBI;D;20031224;000000;113.22;113.22;113.22;113.22;0;0
RGBI;D;20031225;000000;113.28;113.28;113.28;113.28;0;0
RGBI;D;20031226;000000;113.26;113.26;113.26;113.26;0;0
RGBI;D;20031229;000000;113.26;113.26;113.26;113.26;0;0
RGBI;D;20031230;000000;113.78;113.78;113.78;113.78;0;0
RGBI;D;20040105;000000;113.75;113.75;113.75;113.75;0;0
RGBI;D;20040106;000000;114.31;114.31;114.31;114.31;0;0
RGBI;D;20040108;000000;116.17;116.17;116.17;116.17;0;0
RGBI;D;20040109;000000;116.21;116.21;116.21;116.21;0;0
RGBI;D;20040112;000000;116.12;116.12;116.12;116.12;0;0
RGBI;D;20040113;000000;116.02;116.02;116.02;116.02;0;0
RGBI;D;20040114;000000;115.87;115.87;115.87;115.87;0;0
RGBI;D;20040115;000000;116.05;116.05;116.05;116.05;0;0
RGBI;D;20040116;000000;116.11;116.11;116.11;116.11;0;0
RGBI;D;20040119;000000;115.97;115.97;115.97;115.97;0;0
RGBI;D;20040120;000000;115.57;115.57;115.57;115.57;0;0
RGBI;D;20040121;000000;115.4;115.4;115.4;115.4;0;0
RGBI;D;20040122;000000;115.98;115.98;115.98;115.98;0;0
RGBI;D;20040123;000000;116.14;116.14;116.14;116.14;0;0
RGBI;D;20040126;000000;116.33;116.33;116.33;116.33;0;0
RGBI;D;20040127;000000;116.38;116.38;116.38;116.38;0;0
RGBI;D;20040128;000000;116.52;116.52;116.52;116.52;0;0
RGBI;D;20040129;000000;116.52;116.52;116.52;116.52;0;0
RGBI;D;20040130;000000;116.27;116.27;116.27;116.27;0;0
RGBI;D;20040202;000000;115.88;115.88;115.88;115.88;0;0
RGBI;D;20040203;000000;115.98;115.98;115.98;115.98;0;0
RGBI;D;20040204;000000;115.88;115.88;115.88;115.88;0;0
RGBI;D;20040205;000000;115.84;115.84;115.84;115.84;0;0
RGBI;D;20040206;000000;115.71;115.71;115.71;115.71;0;0
RGBI;D;20040209;000000;115.78;115.78;115.78;115.78;0;0
RGBI;D;20040210;000000;115.66;115.66;115.66;115.66;0;0
RGBI;D;20040211;000000;115.51;115.51;115.51;115.51;0;0
RGBI;D;20040212;000000;115.57;115.57;115.57;115.57;0;0
RGBI;D;20040213;000000;115.77;115.77;115.77;115.77;0;0
RGBI;D;20040216;000000;115.84;115.84;115.84;115.84;0;0
RGBI;D;20040217;000000;115.88;115.88;115.88;115.88;0;0
RGBI;D;20040218;000000;116.02;116.02;116.02;116.02;0;0
RGBI;D;20040219;000000;116.25;116.25;116.25;116.25;0;0
RGBI;D;20040220;000000;116.28;116.28;116.28;116.28;0;0
RGBI;D;20040224;000000;116.03;116.03;116.03;116.03;0;0
RGBI;D;20040225;000000;116.2;116.2;116.2;116.2;0;0
RGBI;D;20040226;000000;116.33;116.33;116.33;116.33;0;0
RGBI;D;20040227;000000;116.36;116.36;116.36;116.36;0;0
RGBI;D;20040301;000000;116.93;116.93;116.93;116.93;0;0
RGBI;D;20040302;000000;116.34;116.34;116.34;116.34;0;0
RGBI;D;20040303;000000;116.17;116.17;116.17;116.17;0;0
RGBI;D;20040304;000000;116.28;116.28;116.28;116.28;0;0
RGBI;D;20040305;000000;116.33;116.33;116.33;116.33;0;0
RGBI;D;20040309;000000;116.44;116.44;116.44;116.44;0;0
RGBI;D;20040310;000000;116.6;116.6;116.6;116.6;0;0
RGBI;D;20040311;000000;116.72;116.72;116.72;116.72;0;0
RGBI;D;20040312;000000;116.86;116.86;116.86;116.86;0;0
RGBI;D;20040315;000000;117.06;117.06;117.06;117.06;0;0
RGBI;D;20040316;000000;117.07;117.07;117.07;117.07;0;0
RGBI;D;20040317;000000;117.95;117.95;117.95;117.95;0;0
RGBI;D;20040318;000000;118.32;118.32;118.32;118.32;0;0
RGBI;D;20040319;000000;118.41;118.41;118.41;118.41;0;0
RGBI;D;20040322;000000;118.46;118.46;118.46;118.46;0;0
RGBI;D;20040323;000000;118.57;118.57;118.57;118.57;0;0
RGBI;D;20040324;000000;118.49;118.49;118.49;118.49;0;0
RGBI;D;20040325;000000;118.37;118.37;118.37;118.37;0;0
RGBI;D;20040326;000000;118.23;118.23;118.23;118.23;0;0
RGBI;D;20040329;000000;118.46;118.46;118.46;118.46;0;0
RGBI;D;20040330;000000;118.45;118.45;118.45;118.45;0;0
RGBI;D;20040331;000000;118.62;118.62;118.62;118.62;0;0
RGBI;D;20040401;000000;118.7;118.7;118.7;118.7;0;0
RGBI;D;20040402;000000;119.05;119.05;119.05;119.05;0;0
RGBI;D;20040405;000000;118.68;118.68;118.68;118.68;0;0
RGBI;D;20040406;000000;118.59;118.59;118.59;118.59;0;0
RGBI;D;20040407;000000;118.69;118.69;118.69;118.69;0;0
RGBI;D;20040408;000000;118.91;118.91;118.91;118.91;0;0
RGBI;D;20040409;000000;119.02;119.02;119.02;119.02;0;0
RGBI;D;20040412;000000;118.83;118.83;118.83;118.83;0;0
RGBI;D;20040413;000000;118.4;118.4;118.4;118.4;0;0
RGBI;D;20040414;000000;118.2;118.2;118.2;118.2;0;0
RGBI;D;20040415;000000;118.07;118.07;118.07;118.07;0;0
RGBI;D;20040416;000000;117.98;117.98;117.98;117.98;0;0
RGBI;D;20040419;000000;117.45;117.45;117.45;117.45;0;0
RGBI;D;20040420;000000;117.17;117.17;117.17;117.17;0;0
RGBI;D;20040421;000000;116.81;116.81;116.81;116.81;0;0
RGBI;D;20040422;000000;116.75;116.75;116.75;116.75;0;0
RGBI;D;20040423;000000;116.82;116.82;116.82;116.82;0;0
RGBI;D;20040426;000000;116.66;116.66;116.66;116.66;0;0
RGBI;D;20040427;000000;116.7;116.7;116.7;116.7;0;0
RGBI;D;20040428;000000;116.88;116.88;116.88;116.88;0;0
RGBI;D;20040429;000000;116.34;116.34;116.34;116.34;0;0
RGBI;D;20040430;000000;116.73;116.73;116.73;116.73;0;0
RGBI;D;20040505;000000;116.21;116.21;116.21;116.21;0;0
RGBI;D;20040506;000000;115.91;115.91;115.91;115.91;0;0
RGBI;D;20040507;000000;115.88;115.88;115.88;115.88;0;0
RGBI;D;20040511;000000;115.25;115.25;115.25;115.25;0;0
RGBI;D;20040512;000000;114.6;114.6;114.6;114.6;0;0
RGBI;D;20040513;000000;114.39;114.39;114.39;114.39;0;0
RGBI;D;20040514;000000;113.33;113.33;113.33;113.33;0;0
RGBI;D;20040517;000000;113.18;113.18;113.18;113.18;0;0
RGBI;D;20040518;000000;113.73;113.73;113.73;113.73;0;0
RGBI;D;20040519;000000;113.9;113.9;113.9;113.9;0;0
RGBI;D;20040520;000000;114.37;114.37;114.37;114.37;0;0
RGBI;D;20040521;000000;114.37;114.37;114.37;114.37;0;0
RGBI;D;20040524;000000;114.52;114.52;114.52;114.52;0;0
RGBI;D;20040525;000000;114.31;114.31;114.31;114.31;0;0
RGBI;D;20040526;000000;114.27;114.27;114.27;114.27;0;0
RGBI;D;20040527;000000;114.37;114.37;114.37;114.37;0;0
RGBI;D;20040528;000000;114.6;114.6;114.6;114.6;0;0
RGBI;D;20040531;000000;115.1;115.1;115.1;115.1;0;0
RGBI;D;20040601;000000;115.06;115.06;115.06;115.06;0;0
RGBI;D;20040602;000000;114.87;114.87;114.87;114.87;0;0
RGBI;D;20040603;000000;115;115;115;115;0;0
RGBI;D;20040604;000000;114.7;114.7;114.7;114.7;0;0
RGBI;D;20040607;000000;114.32;114.32;114.32;114.32;0;0
RGBI;D;20040608;000000;114.08;114.08;114.08;114.08;0;0
RGBI;D;20040609;000000;114;114;114;114;0;0
RGBI;D;20040610;000000;113.7;113.7;113.7;113.7;0;0
RGBI;D;20040611;000000;113.62;113.62;113.62;113.62;0;0
RGBI;D;20040615;000000;113;113;113;113;0;0
RGBI;D;20040616;000000;113.35;113.35;113.35;113.35;0;0
RGBI;D;20040617;000000;113.59;113.59;113.59;113.59;0;0
RGBI;D;20040618;000000;114.09;114.09;114.09;114.09;0;0
RGBI;D;20040621;000000;114.4;114.4;114.4;114.4;0;0
RGBI;D;20040622;000000;114.43;114.43;114.43;114.43;0;0
