<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RTKMP;D;20031001;000000;35.63;37.39;35.56;36.99;346303;0
RTKMP;D;20031002;000000;37.02;38.25;36.82;37.78;1078042;0
RTKMP;D;20031003;000000;35.9;38.76;35.9;36.65;454271;0
RTKMP;D;20031006;000000;36.21;37;36;36.57;219649;0
RTKMP;D;20031007;000000;36.65;37.09;36.08;36.6;235169;0
RTKMP;D;20031008;000000;36.51;38.5;35.61;38.5;838857;0
RTKMP;D;20031009;000000;38.89;40.44;38.4;40.01;799463;0
RTKMP;D;20031010;000000;39.65;40;39.1;39.39;318973;0
RTKMP;D;20031013;000000;39.39;39.9;39.02;39.7;478311;0
RTKMP;D;20031014;000000;39.6;40.5;39.5;39.94;728983;0
RTKMP;D;20031015;000000;39.61;40.24;39.5;40.1;756692;0
RTKMP;D;20031016;000000;39.6;41.9;39.6;41.9;1427331;0
RTKMP;D;20031017;000000;42.13;44.2;41.95;43.95;1531584;0
RTKMP;D;20031020;000000;43.55;45.99;43.22;43.94;1583623;0
RTKMP;D;20031021;000000;44.39;44.4;33.33;41.31;999340;0
RTKMP;D;20031022;000000;41.2;41.4;39.91;40.35;223271;0
RTKMP;D;20031023;000000;39.91;41.1;39.5;40.9;220276;0
RTKMP;D;20031024;000000;41.1;41.86;40.6;41.79;219658;0
RTKMP;D;20031027;000000;38.4;38.4;35.01;37.4;1217732;0
RTKMP;D;20031028;000000;37.98;38.46;37.1;37.83;741604;0
RTKMP;D;20031029;000000;38;38.19;37;38.06;651901;0
RTKMP;D;20031030;000000;38;38.29;35;35;1049221;0
RTKMP;D;20031031;000000;36;36.99;35.21;36.35;656923;0
RTKMP;D;20031103;000000;36.75;39;36.75;39;1019782;0
RTKMP;D;20031104;000000;39.6;39.88;37.88;38.29;575860;0
RTKMP;D;20031105;000000;38.2;38.59;37.11;37.72;169248;0
RTKMP;D;20031106;000000;37.99;38.1;37.1;37.47;282630;0
RTKMP;D;20031110;000000;37.87;38.27;37.41;38;981471;0
RTKMP;D;20031111;000000;37.9;38.17;35.82;36.7;1002216;0
RTKMP;D;20031112;000000;36.9;37.5;34.8;35.51;573340;0
RTKMP;D;20031113;000000;35.98;36.5;35.61;35.9;314947;0
RTKMP;D;20031114;000000;36;36.2;35.7;35.97;361075;0
RTKMP;D;20031117;000000;35.84;35.84;34.7;34.82;419560;0
RTKMP;D;20031118;000000;34.87;35;33.63;33.85;528315;0
RTKMP;D;20031119;000000;33.73;34.2;33.01;33.93;689777;0
RTKMP;D;20031120;000000;34.2;35.4;34;35.4;660609;0
RTKMP;D;20031121;000000;35.28;35.8;34.85;35.41;412019;0
RTKMP;D;20031124;000000;35.8;35.8;34.81;35.76;452253;0
RTKMP;D;20031125;000000;35.71;37.24;35.11;37.24;745302;0
RTKMP;D;20031126;000000;36.56;37.5;36.56;37.17;371798;0
RTKMP;D;20031127;000000;37.37;37.46;36.42;36.96;301473;0
RTKMP;D;20031128;000000;37;37.8;36.5;37.05;793474;0
RTKMP;D;20031201;000000;36.73;37.69;36.52;37.45;270739;0
RTKMP;D;20031202;000000;37.8;38.85;37.71;38.85;424458;0
RTKMP;D;20031203;000000;38.85;39.22;38.17;39.05;605315;0
RTKMP;D;20031204;000000;38.71;39.39;38.08;38.81;341761;0
RTKMP;D;20031205;000000;38.6;39.39;38.4;39.2;580044;0
RTKMP;D;20031208;000000;38.65;40.46;38.65;40.11;469094;0
RTKMP;D;20031209;000000;40.35;40.8;39.5;39.9;543068;0
RTKMP;D;20031210;000000;40.1;40.99;39.65;39.95;599228;0
RTKMP;D;20031211;000000;39.95;40.39;39.4;39.9;490273;0
RTKMP;D;20031215;000000;40.34;41.05;40.03;40.45;475641;0
RTKMP;D;20031216;000000;40.44;40.67;39.6;39.85;448639;0
RTKMP;D;20031217;000000;39.82;39.99;39.05;39.23;593166;0
RTKMP;D;20031218;000000;39.23;39.9;39.17;39.88;381280;0
RTKMP;D;20031219;000000;40.52;40.93;40.01;40.29;716744;0
RTKMP;D;20031222;000000;40.77;40.77;40;40.04;137666;0
RTKMP;D;20031223;000000;40.05;40.55;39.6;40.04;821269;0
RTKMP;D;20031224;000000;40.1;40.19;39.71;40;363100;0
RTKMP;D;20031225;000000;40;40.14;39.36;39.9;521780;0
RTKMP;D;20031226;000000;39.98;40.4;39.9;40.29;552116;0
RTKMP;D;20031229;000000;40.3;40.78;40;40.65;506605;0
RTKMP;D;20031230;000000;40.5;41.7;40.5;41.59;767668;0
RTKMP;D;20040105;000000;42.01;42.48;41.13;42.35;398411;0
RTKMP;D;20040106;000000;42.49;43.08;42.48;42.62;333633;0
RTKMP;D;20040108;000000;42.12;42.68;41.7;41.76;561974;0
RTKMP;D;20040109;000000;41.96;42.9;41.81;42.84;268261;0
RTKMP;D;20040112;000000;42.99;42.99;41.81;41.95;152287;0
RTKMP;D;20040113;000000;41.77;42.14;41.31;41.36;265274;0
RTKMP;D;20040114;000000;41.5;42.17;41.31;42.17;273734;0
RTKMP;D;20040115;000000;42;42.28;41.52;41.52;162275;0
RTKMP;D;20040116;000000;41.34;42.25;41.26;42.1;179084;0
RTKMP;D;20040119;000000;42.75;42.75;41.67;42.63;194927;0
RTKMP;D;20040120;000000;42.5;44.2;42.5;43.5;1834463;0
RTKMP;D;20040121;000000;43.51;43.93;43.25;43.4;241116;0
RTKMP;D;20040122;000000;43.41;44.48;43.11;44.14;1556822;0
RTKMP;D;20040123;000000;44.02;44.15;43.6;44.08;730230;0
RTKMP;D;20040126;000000;43.86;44.22;43.2;43.44;1161493;0
RTKMP;D;20040127;000000;43.44;43.85;43.05;43.65;491748;0
RTKMP;D;20040128;000000;43.93;43.93;42.68;43;213397;0
RTKMP;D;20040129;000000;42.95;43.35;42.67;43.15;146226;0
RTKMP;D;20040130;000000;43;43.4;40.57;42.25;869101;0
RTKMP;D;20040202;000000;42.37;42.39;40.98;41.18;709115;0
RTKMP;D;20040203;000000;41.35;41.89;41.18;41.89;396632;0
RTKMP;D;20040204;000000;41.95;42.45;41.8;42.25;350864;0
RTKMP;D;20040205;000000;42.2;42.38;41.4;41.5;478844;0
RTKMP;D;20040206;000000;41.02;41.59;41;41.45;549621;0
RTKMP;D;20040209;000000;41.46;42.69;41.46;42.65;854190;0
RTKMP;D;20040210;000000;42.7;43;41.93;42.35;813857;0
RTKMP;D;20040211;000000;42.57;43;42.32;42.5;753552;0
RTKMP;D;20040212;000000;42.98;43.27;42.5;43.27;1435594;0
RTKMP;D;20040213;000000;43.31;43.54;42.68;43.11;1256631;0
RTKMP;D;20040216;000000;43.1;43.55;42.8;43.55;244263;0
RTKMP;D;20040217;000000;43.55;43.9;42.81;43;922824;0
RTKMP;D;20040218;000000;43;43.45;42.81;42.91;557664;0
RTKMP;D;20040219;000000;43;43.22;42.71;43.08;605393;0
RTKMP;D;20040220;000000;43.07;44.19;42.83;44.15;1323477;0
RTKMP;D;20040224;000000;44;48.89;44;48.6;4146881;0
RTKMP;D;20040225;000000;48.97;50;47.8;48.15;1129226;0
RTKMP;D;20040226;000000;48.9;49.04;47.7;47.83;1014438;0
RTKMP;D;20040227;000000;48;48.6;47.7;48.15;495714;0
RTKMP;D;20040301;000000;48.15;49;47.87;47.9;952811;0
RTKMP;D;20040302;000000;48.19;48.55;46.67;46.95;1567345;0
RTKMP;D;20040303;000000;47.05;47.05;46.26;46.58;1158649;0
RTKMP;D;20040304;000000;46.46;47.4;46;46.8;796350;0
RTKMP;D;20040305;000000;47.35;48;47.1;47.57;1363802;0
RTKMP;D;20040309;000000;47.95;48.33;47.25;48;1329673;0
RTKMP;D;20040310;000000;48.15;48.36;46.6;46.75;652613;0
RTKMP;D;20040311;000000;46.25;47.24;45.71;46.5;783386;0
RTKMP;D;20040312;000000;46.16;46.95;46.12;46.6;275054;0
RTKMP;D;20040315;000000;46.73;46.95;44.8;45;2012251;0
RTKMP;D;20040316;000000;45.1;46.09;44.99;46.08;560598;0
RTKMP;D;20040317;000000;46.17;47.38;46.1;47.35;1195399;0
RTKMP;D;20040318;000000;47.99;48.55;47.41;48.52;1532251;0
RTKMP;D;20040319;000000;48.26;49;47.86;48.28;1970894;0
RTKMP;D;20040322;000000;48.25;48.4;47.19;47.4;705987;0
RTKMP;D;20040323;000000;47.4;48;47.22;48;357935;0
RTKMP;D;20040324;000000;47.99;48.09;47.35;47.55;541557;0
RTKMP;D;20040325;000000;47.55;47.9;46.77;47.2;685297;0
RTKMP;D;20040326;000000;47.4;48;47.1;47.43;618588;0
RTKMP;D;20040329;000000;47.6;47.67;46.95;47.67;657967;0
RTKMP;D;20040330;000000;48;48.29;47.55;47.94;1080270;0
