<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RTKM;D;20031001;000000;52.35;53.73;52.23;53.5;5607201;0
RTKM;D;20031002;000000;53.71;54.22;53.53;54.19;7390439;0
RTKM;D;20031003;000000;54.24;54.49;52.98;53.14;7372483;0
RTKM;D;20031006;000000;53.31;53.56;52.41;53.23;4500522;0
RTKM;D;20031007;000000;53.3;53.9;52.8;53.14;5176370;0
RTKM;D;20031008;000000;53.42;55.41;51.59;55.35;20310431;0
RTKM;D;20031009;000000;55.55;57.64;55.23;56.48;26297553;0
RTKM;D;20031010;000000;56.35;56.65;55.55;55.91;8050452;0
RTKM;D;20031013;000000;56;57.27;56;57.05;8273399;0
RTKM;D;20031014;000000;57.2;59.18;57.01;58.05;24112439;0
RTKM;D;20031015;000000;58.13;58.88;57.47;58.6;14012359;0
RTKM;D;20031016;000000;58.62;61.3;58.62;61.29;21831995;0
RTKM;D;20031017;000000;61.5;64.74;61.5;64.6;28181104;0
RTKM;D;20031020;000000;64.49;67.59;64;64.55;22439645;0
RTKM;D;20031021;000000;64.7;65.5;59.6;60.98;21162407;0
RTKM;D;20031022;000000;60.1;61.2;58.58;58.92;15557259;0
RTKM;D;20031023;000000;58.6;60.75;58.3;60.16;11611783;0
RTKM;D;20031024;000000;60.2;61.79;60.2;61.75;10274845;0
RTKM;D;20031027;000000;56.5;57;51.41;55.1;30754252;0
RTKM;D;20031028;000000;56;57.38;55.11;56.3;22599555;0
RTKM;D;20031029;000000;56.45;56.97;54;55.75;16967597;0
RTKM;D;20031030;000000;55.69;55.8;50.21;50.51;15769891;0
RTKM;D;20031031;000000;52.23;54.7;52.23;54.44;12787258;0
RTKM;D;20031103;000000;55.6;60.4;55.6;60.2;11977603;0
RTKM;D;20031104;000000;60.5;60.83;58.7;59.4;11348278;0
RTKM;D;20031105;000000;59.5;59.8;58.06;58.6;7707057;0
RTKM;D;20031106;000000;58.81;59.4;57.81;58.9;7485951;0
RTKM;D;20031110;000000;59.33;60.66;58.91;60.63;9804973;0
RTKM;D;20031111;000000;60.5;60.62;58.41;59.19;9581300;0
RTKM;D;20031112;000000;59;59.3;55.3;56.55;12768987;0
RTKM;D;20031113;000000;57.55;58.4;56.71;57.2;8049072;0
RTKM;D;20031114;000000;57.2;57.47;56.7;56.9;3718542;0
RTKM;D;20031117;000000;56.7;56.7;54.72;54.75;5803176;0
RTKM;D;20031118;000000;54.7;55.25;52.51;52.71;8106295;0
RTKM;D;20031119;000000;52.7;53.4;51.21;52.34;11712198;0
RTKM;D;20031120;000000;53.28;54.79;52.6;54.77;10510094;0
RTKM;D;20031121;000000;54.76;55.33;54.3;54.62;9319230;0
RTKM;D;20031124;000000;55.05;55.73;54.28;55.32;6857132;0
RTKM;D;20031125;000000;55.58;56.69;54.75;56.2;5180675;0
RTKM;D;20031126;000000;56.3;58;55.8;57.32;11867420;0
RTKM;D;20031127;000000;57.5;57.89;56.65;57.71;4158376;0
RTKM;D;20031128;000000;57.75;58.37;55.3;56.78;9868430;0
