<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RTSI;D;19950901;000000;100;100;100;100;2710988;0
RTSI;D;19950904;000000;99.799;99.799;99.799;99.799;1000395;0
RTSI;D;19950905;000000;100.417;100.417;100.417;100.417;1669902;0
RTSI;D;19950906;000000;99.741;99.741;99.741;99.741;927829;0
RTSI;D;19950907;000000;101.301;101.301;101.301;101.301;2153945;0
RTSI;D;19950908;000000;101.3;101.3;101.3;101.3;1318431;0
RTSI;D;19950911;000000;100.84;100.84;100.84;100.84;1314240;0
RTSI;D;19950912;000000;100.24;100.24;100.24;100.24;655028;0
RTSI;D;19950913;000000;99.159;99.159;99.159;99.159;1080588;0
RTSI;D;19950914;000000;98.795;98.795;98.795;98.795;874165;0
RTSI;D;19950915;000000;99.301;99.301;99.301;99.301;2080067;0
RTSI;D;19950918;000000;99.84;99.84;99.84;99.84;2520420;0
RTSI;D;19950919;000000;99.536;99.536;99.536;99.536;1416736;0
RTSI;D;19950920;000000;99.188;99.188;99.188;99.188;2923830;0
RTSI;D;19950921;000000;96.273;96.273;96.273;96.273;3189220;0
RTSI;D;19950922;000000;94.025;94.025;94.025;94.025;1853898;0
RTSI;D;19950925;000000;91.162;91.162;91.162;91.162;1421425;0
RTSI;D;19950926;000000;87.977;87.977;87.977;87.977;1538270;0
RTSI;D;19950927;000000;88.174;88.174;88.174;88.174;694400;0
RTSI;D;19950928;000000;89.071;89.071;89.071;89.071;1386490;0
RTSI;D;19950929;000000;86.088;86.088;86.088;86.088;1322225;0
RTSI;D;19951002;000000;83.003;83.003;83.003;83.003;904300;0
RTSI;D;19951003;000000;78.391;78.391;78.391;78.391;3720242;0
RTSI;D;19951004;000000;72.056;72.056;72.056;72.056;3093490;0
RTSI;D;19951005;000000;75.033;75.033;75.033;75.033;2289349;0
RTSI;D;19951006;000000;74.16;74.16;74.16;74.16;1608250;0
RTSI;D;19951009;000000;77.266;77.266;77.266;77.266;1295757;0
RTSI;D;19951010;000000;76.417;76.417;76.417;76.417;685032;0
RTSI;D;19951011;000000;75.802;75.802;75.802;75.802;2193235;0
RTSI;D;19951012;000000;76.475;76.475;76.475;76.475;950280;0
RTSI;D;19951013;000000;77.476;77.476;77.476;77.476;2767658;0
RTSI;D;19951016;000000;78.097;78.097;78.097;78.097;2146785;0
RTSI;D;19951017;000000;78.656;78.656;78.656;78.656;2206960;0
RTSI;D;19951018;000000;78.998;78.998;78.998;78.998;1140691;0
RTSI;D;19951019;000000;79.257;79.257;79.257;79.257;2276760;0
RTSI;D;19951020;000000;79.35;79.35;79.35;79.35;1474534;0
RTSI;D;19951023;000000;79.162;79.162;79.162;79.162;1798790;0
