<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RUAL;D;20150330;000000;37;37.34;37;37.34;539200;0
RUAL;D;20150331;000000;36.85;37;36.35;36.79;484000;0
RUAL;D;20150401;000000;36;36.45;35.805;35.825;319000;0
RUAL;D;20150402;000000;36.005;36.56;35.8;36.45;233600;0
RUAL;D;20150403;000000;36;36.72;35.95;36.72;265200;0
RUAL;D;20150406;000000;36.4;36.81;36.1;36.8;408400;0
RUAL;D;20150407;000000;36.29;36.66;35.9;36.66;443200;0
RUAL;D;20150408;000000;36.7;37.49;36.7;37.49;437300;0
RUAL;D;20150409;000000;36.9;36.9;35.39;36.55;490700;0
RUAL;D;20150410;000000;35.9;36.2;34;35.38;559000;0
RUAL;D;20150413;000000;34.5;34.79;34.25;34.79;470600;0
RUAL;D;20150414;000000;33;34.49;33;34.49;509500;0
RUAL;D;20150415;000000;33.15;34.7;33.1;34.7;458400;0
RUAL;D;20150416;000000;33.1;34.6;33.1;34.6;452800;0
RUAL;D;20150417;000000;33.6;34.66;33.4;34.54;379200;0
RUAL;D;20150420;000000;34;34;31;32.845;653100;0
RUAL;D;20150421;000000;31.2;32.5;30.8;31.98;681000;0
RUAL;D;20150422;000000;31.5;32.195;31.5;31.99;394200;0
RUAL;D;20150423;000000;31.205;31.205;30.41;31;470500;0
RUAL;D;20150424;000000;31.985;31.985;29.8;30.2;859500;0
RUAL;D;20150427;000000;30.795;30.8;30.15;30.325;679300;0
RUAL;D;20150428;000000;30.75;31.9;30.7;31.77;448900;0
RUAL;D;20150429;000000;31.595;31.8;31.13;31.13;384700;0
RUAL;D;20150430;000000;31.1;31.41;31.005;31.41;466700;0
RUAL;D;20150505;000000;31;31.94;30.41;31.21;930900;0
RUAL;D;20150506;000000;31.68;31.69;31;31.3;297600;0
RUAL;D;20150507;000000;31.2;31.2;30.52;30.72;365900;0
RUAL;D;20150508;000000;30.51;31.59;30.5;31.59;412200;0
RUAL;D;20150512;000000;31.57;31.57;30.7;31;375400;0
RUAL;D;20150513;000000;31.99;32.94;30.73;30.8;657100;0
RUAL;D;20150514;000000;31;31.3;30.8;31.3;789500;0
RUAL;D;20150515;000000;32.18;32.18;30.9;31.03;505600;0
RUAL;D;20150518;000000;30.82;30.85;30.55;30.74;345700;0
RUAL;D;20150519;000000;30.78;30.78;30.07;30.4;483700;0
RUAL;D;20150520;000000;29.99;30.15;29.23;29.7;761100;0
RUAL;D;20150521;000000;29.8;29.9;29.2;29.4;878300;0
RUAL;D;20150522;000000;29.35;29.36;28.8;28.9;370600;0
RUAL;D;20150525;000000;29.13;29.13;28.75;29;362100;0
RUAL;D;20150526;000000;29.1;29.2;29.05;29.05;367600;0
RUAL;D;20150527;000000;28.82;29.19;28.5;29;367800;0
RUAL;D;20150528;000000;28.95;29.54;28.91;29.38;398300;0
RUAL;D;20150529;000000;28.87;29.55;28.78;28.78;367900;0
RUAL;D;20150601;000000;28.64;29;28.55;28.75;381700;0
RUAL;D;20150602;000000;28.75;29.1;28.75;29;371500;0
RUAL;D;20150603;000000;29.06;29.08;28.6;28.8;388300;0
RUAL;D;20150604;000000;28.99;29.35;28.99;29.2;377700;0
RUAL;D;20150605;000000;29.3;29.6;29.23;29.26;352300;0
RUAL;D;20150608;000000;29.8;30.5;29.6;30.38;545900;0
RUAL;D;20150609;000000;29.7;30.35;29.7;30.3;458200;0
RUAL;D;20150610;000000;30.1;30.3;29.99;30;370200;0
RUAL;D;20150611;000000;29.55;29.86;29.55;29.86;849000;0
RUAL;D;20150615;000000;29.51;29.55;29.5;29.55;356500;0
RUAL;D;20150616;000000;29.57;29.57;29.35;29.47;359300;0
RUAL;D;20150617;000000;29.2;29.3;29.01;29.21;367400;0
RUAL;D;20150618;000000;29.35;29.36;29.22;29.31;353400;0
RUAL;D;20150619;000000;30.09;30.15;29.86;29.99;427100;0
RUAL;D;20150622;000000;29.89;30.01;29.89;30;364700;0
RUAL;D;20150623;000000;29.69;29.87;29.5;29.87;342400;0
RUAL;D;20150624;000000;29.5;29.85;29.35;29.85;350300;0
RUAL;D;20150625;000000;29.07;29.32;29;29.25;353600;0
RUAL;D;20150626;000000;29.03;29.22;29;29.22;348600;0
RUAL;D;20150629;000000;28.57;28.7;28.45;28.67;350800;0
RUAL;D;20150630;000000;28.67;28.73;28.67;28.73;350300;0
RUAL;D;20150701;000000;28.64;28.78;28.55;28.55;350000;0
RUAL;D;20150702;000000;27.51;28.01;26.73;27.18;1070200;0
RUAL;D;20150703;000000;26.8;27.45;26.8;27.3;382100;0
RUAL;D;20150706;000000;27.02;27.02;26;26.49;539700;0
RUAL;D;20150707;000000;25.79;26.5;25.3;25.5;788000;0
RUAL;D;20150708;000000;24.98;24.98;23.55;24.2;1040900;0
RUAL;D;20150709;000000;24.6;24.61;23.5;24.44;1183500;0
RUAL;D;20150710;000000;24.76;25.6;24.75;25.42;735700;0
RUAL;D;20150713;000000;25.5;25.99;25.5;25.98;700200;0
RUAL;D;20150714;000000;26.75;27.75;26.44;27.75;807600;0
RUAL;D;20150715;000000;28.3;29.35;28.3;29.2;1466700;0
RUAL;D;20150716;000000;29.1;29.1;28.5;28.79;808300;0
RUAL;D;20150717;000000;28.8;28.98;28.45;28.5;400200;0
RUAL;D;20150720;000000;28.41;28.5;28.2;28.44;391300;0
RUAL;D;20150721;000000;28.96;29.2;28.78;28.78;528900;0
RUAL;D;20150722;000000;29;29.6;28.71;29;511000;0
RUAL;D;20150723;000000;28.71;28.77;28.6;28.75;356500;0
RUAL;D;20150724;000000;28.85;29.6;28.85;29.3;547500;0
RUAL;D;20150727;000000;28.35;28.35;27.75;28;784100;0
RUAL;D;20150728;000000;28;28.4;28;28.39;383900;0
RUAL;D;20150729;000000;28.5;28.75;28.29;28.47;375600;0
