<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РУСАЛ ао;D;20200928;000000;31.5;33;31.03;32.7;12401180;0
РУСАЛ ао;D;20200929;000000;32.505;32.99;31.58;32.19;7221980;0
РУСАЛ ао;D;20200930;000000;31.74;32.19;31.38;31.4;6327400;0
РУСАЛ ао;D;20201001;000000;31.66;31.83;30.855;31.16;9980010;0
РУСАЛ ао;D;20201002;000000;31;31.295;30.36;31;5891920;0
РУСАЛ ао;D;20201005;000000;31.12;31.45;30.805;31.3;4964310;0
РУСАЛ ао;D;20201006;000000;31.17;31.495;31;31.215;2347290;0
РУСАЛ ао;D;20201007;000000;31.2;31.22;30.625;30.95;2611940;0
РУСАЛ ао;D;20201008;000000;31.095;31.75;30.95;31.66;4075160;0
РУСАЛ ао;D;20201009;000000;31.7;32.385;31.095;32;6912520;0
РУСАЛ ао;D;20201012;000000;32.05;33.185;32.01;32.42;8076660;0
РУСАЛ ао;D;20201013;000000;32.55;33.44;32.55;32.81;7320270;0
РУСАЛ ао;D;20201014;000000;32.855;33.53;32.315;33.27;6472180;0
РУСАЛ ао;D;20201015;000000;33.1;33.385;32.04;32.46;4462130;0
РУСАЛ ао;D;20201016;000000;32.565;32.77;31.57;32.375;3388600;0
РУСАЛ ао;D;20201019;000000;32.52;34.255;32.045;33.3;13502940;0
РУСАЛ ао;D;20201020;000000;33.39;33.97;32.66;33.335;10529500;0
РУСАЛ ао;D;20201021;000000;33.6;33.6;32.5;32.68;7816740;0
РУСАЛ ао;D;20201022;000000;32.74;33;32.05;32.98;3998640;0
РУСАЛ ао;D;20201023;000000;32.9;33.325;32.535;32.835;3405030;0
РУСАЛ ао;D;20201026;000000;32.685;33;32.33;32.515;3750680;0
РУСАЛ ао;D;20201027;000000;32.68;32.72;31.56;31.68;5627810;0
РУСАЛ ао;D;20201028;000000;31.5;31.695;29.9;30.305;9904150;0
РУСАЛ ао;D;20201029;000000;30.8;31.55;30.425;30.815;6167440;0
РУСАЛ ао;D;20201030;000000;30.595;30.695;29.765;30.405;4241550;0
РУСАЛ ао;D;20201102;000000;30.2;31.885;29.9;31.185;7179990;0
РУСАЛ ао;D;20201103;000000;31.03;31.785;30.83;31.695;4617100;0
РУСАЛ ао;D;20201105;000000;31.705;31.975;31.25;31.53;12622150;0
РУСАЛ ао;D;20201106;000000;31.5;31.5;30.865;31.425;9603840;0
РУСАЛ ао;D;20201109;000000;31.5;32.5;31.35;32.37;29445740;0
РУСАЛ ао;D;20201110;000000;32.25;32.85;31.85;32.395;11285270;0
РУСАЛ ао;D;20201111;000000;32.25;32.67;32.105;32.315;11373260;0
РУСАЛ ао;D;20201112;000000;32.08;32.645;32.08;32.31;7265160;0
РУСАЛ ао;D;20201113;000000;32.395;33.135;32.2;33.025;11312240;0
РУСАЛ ао;D;20201116;000000;33.33;33.8;33.05;33.775;11963780;0
РУСАЛ ао;D;20201117;000000;33.6;33.815;32.925;33.815;10906620;0
РУСАЛ ао;D;20201118;000000;33.68;34.98;33.37;34.38;22608510;0
РУСАЛ ао;D;20201119;000000;34.55;36.57;34.505;35.985;29724860;0
РУСАЛ ао;D;20201120;000000;36.065;36.72;35.56;36.29;12371340;0
РУСАЛ ао;D;20201123;000000;36.9;37.175;36.335;36.595;12803110;0
РУСАЛ ао;D;20201124;000000;36.8;37.1;35.58;36.695;11514320;0
РУСАЛ ао;D;20201125;000000;36.96;37.38;36.1;36.695;12498750;0
РУСАЛ ао;D;20201126;000000;36.51;36.995;35.765;36.505;11820690;0
РУСАЛ ао;D;20201127;000000;36.56;36.755;36.2;36.64;9673840;0
РУСАЛ ао;D;20201130;000000;36.7;37.67;36.58;37.585;11609580;0
РУСАЛ ао;D;20201201;000000;37.6;38.79;37.48;38.71;15808700;0
РУСАЛ ао;D;20201202;000000;38.78;39.795;38.32;39.615;16136470;0
РУСАЛ ао;D;20201203;000000;39.35;39.69;38.595;39.205;12469330;0
РУСАЛ ао;D;20201204;000000;39;39.87;38.36;39.79;10416370;0
РУСАЛ ао;D;20201207;000000;39.2;40.4;39.125;40.11;15929800;0
РУСАЛ ао;D;20201208;000000;39.995;40.29;39.37;39.755;11543960;0
РУСАЛ ао;D;20201209;000000;39.905;40.08;38.12;38.82;9574720;0
РУСАЛ ао;D;20201210;000000;38.88;40.1;38.74;39.85;11615450;0
РУСАЛ ао;D;20201211;000000;39.97;40.205;39.17;39.72;11483880;0
РУСАЛ ао;D;20201214;000000;39.75;40.375;39.23;39.8;9970240;0
РУСАЛ ао;D;20201215;000000;39.8;40.545;39.75;40.355;8168580;0
РУСАЛ ао;D;20201216;000000;40.26;40.4;39.5;39.845;8627490;0
РУСАЛ ао;D;20201217;000000;40;40.11;36.2;38.055;74644580;0
РУСАЛ ао;D;20201218;000000;37.7;38.22;36.355;36.79;33175440;0
РУСАЛ ао;D;20201221;000000;36.455;36.6;34;35.38;41052730;0
РУСАЛ ао;D;20201222;000000;34.7;36.27;34.43;35.67;26447840;0
РУСАЛ ао;D;20201223;000000;35.4;35.875;34.755;34.99;19255310;0
РУСАЛ ао;D;20201224;000000;34.565;34.955;34.555;34.66;15074430;0
РУСАЛ ао;D;20201225;000000;34.645;34.8;34.255;34.77;6941950;0
РУСАЛ ао;D;20201228;000000;34.8;36;34.525;35.765;20731700;0
РУСАЛ ао;D;20201229;000000;35.75;35.755;35.035;35.395;12864330;0
РУСАЛ ао;D;20201230;000000;35.44;35.5;34.8;35.42;6898760;0
РУСАЛ ао;D;20210104;000000;35.2;36.6;34.58;36.14;21952230;0
РУСАЛ ао;D;20210105;000000;35.8;37.465;35.655;37.245;22820440;0
РУСАЛ ао;D;20210106;000000;37.01;37.335;36.76;36.91;17551000;0
РУСАЛ ао;D;20210108;000000;37.2;38.26;37.085;38.03;22298670;0
РУСАЛ ао;D;20210111;000000;37.75;40.3;37.53;39.205;45968030;0
РУСАЛ ао;D;20210112;000000;39;39.5;38.265;38.53;26718060;0
РУСАЛ ао;D;20210113;000000;38.6;38.76;37.565;37.83;12183910;0
РУСАЛ ао;D;20210114;000000;37.7;38.32;37.05;38.145;16733730;0
РУСАЛ ао;D;20210115;000000;38.1;38.365;37.26;37.535;14061290;0
РУСАЛ ао;D;20210118;000000;37.395;37.95;36.72;37.53;6753820;0
РУСАЛ ао;D;20210119;000000;37.53;37.8;36.85;37.185;9260150;0
РУСАЛ ао;D;20210120;000000;37.185;37.96;36.92;37.57;13271690;0
РУСАЛ ао;D;20210121;000000;37.8;37.8;36.3;36.49;19421800;0
РУСАЛ ао;D;20210122;000000;36.25;36.615;35.65;36.435;13829340;0
РУСАЛ ао;D;20210125;000000;36.2;36.495;36;36.28;12025950;0
РУСАЛ ао;D;20210126;000000;36.12;36.2;35.82;36.055;10891680;0
РУСАЛ ао;D;20210127;000000;36;36;35.35;35.565;15390100;0
РУСАЛ ао;D;20210128;000000;35.395;35.85;34.75;35.55;12974480;0
РУСАЛ ао;D;20210129;000000;35.3;35.3;34.6;34.865;12919410;0
РУСАЛ ао;D;20210201;000000;35.1;35.4;34.72;35.235;7643810;0
РУСАЛ ао;D;20210202;000000;35.2;36.08;34.88;35.24;15147200;0
РУСАЛ ао;D;20210203;000000;35.6;35.87;35.12;35.79;9848950;0
РУСАЛ ао;D;20210204;000000;35.75;35.75;35.105;35.3;16353650;0
РУСАЛ ао;D;20210205;000000;35.3;35.49;34.865;35.385;15476170;0
РУСАЛ ао;D;20210208;000000;35.6;36.69;35.42;36.5;22609420;0
РУСАЛ ао;D;20210209;000000;36.765;37.75;36.405;37.585;22228370;0
РУСАЛ ао;D;20210210;000000;37.7;37.8;36.705;36.9;14128370;0
РУСАЛ ао;D;20210211;000000;36.9;37.43;36.05;36.815;12340720;0
РУСАЛ ао;D;20210212;000000;37;37.13;35.835;36.75;11616040;0
РУСАЛ ао;D;20210215;000000;37.215;37.5;36.565;37.415;9393550;0
РУСАЛ ао;D;20210216;000000;37.48;37.645;37;37.495;6667100;0
РУСАЛ ао;D;20210217;000000;39.99;39.99;38.005;38.485;54518450;0
РУСАЛ ао;D;20210218;000000;38.85;39.5;38.58;39.045;30313740;0
РУСАЛ ао;D;20210219;000000;39.08;40.7;39.075;40.37;31623910;0
РУСАЛ ао;D;20210220;000000;40.1;40.785;39.505;40.085;10440600;0
РУСАЛ ао;D;20210222;000000;41.12;41.48;40.405;41.35;20629580;0
РУСАЛ ао;D;20210224;000000;40.25;41.11;38.505;39.775;35825310;0
РУСАЛ ао;D;20210225;000000;40.755;41.46;39.66;40.03;31855860;0
РУСАЛ ао;D;20210226;000000;40;40.65;37.6;38.93;35799030;0
РУСАЛ ао;D;20210301;000000;39.44;39.48;38.665;39.39;23760560;0
РУСАЛ ао;D;20210302;000000;39.39;40.34;38.895;39.775;23864600;0
РУСАЛ ао;D;20210303;000000;40.21;40.95;40;40.77;17404130;0
РУСАЛ ао;D;20210304;000000;40.49;40.5;39;39.1;16774750;0
РУСАЛ ао;D;20210305;000000;39.195;39.65;38.4;39.6;13323670;0
РУСАЛ ао;D;20210309;000000;38.72;40;38.12;39.86;18684000;0
РУСАЛ ао;D;20210310;000000;39.9;41.61;39.55;41.315;40616880;0
РУСАЛ ао;D;20210311;000000;41.715;43.8;41.715;43.77;34513260;0
РУСАЛ ао;D;20210312;000000;43.4;44.44;42.805;43.99;28098520;0
РУСАЛ ао;D;20210315;000000;43.94;46.24;43.835;45.81;39008130;0
РУСАЛ ао;D;20210316;000000;45.91;45.92;44.505;44.68;26701030;0
РУСАЛ ао;D;20210317;000000;44.17;45;43.56;44.905;23960640;0
РУСАЛ ао;D;20210318;000000;45;46.975;45;45.275;31365230;0
РУСАЛ ао;D;20210319;000000;45.495;46.765;45.47;46.69;18130960;0
РУСАЛ ао;D;20210322;000000;46.705;47.25;46.405;46.805;15832660;0
РУСАЛ ао;D;20210323;000000;46;46.97;45.62;45.98;24788470;0
РУСАЛ ао;D;20210324;000000;45.5;45.685;44.65;45.215;30604630;0
РУСАЛ ао;D;20210325;000000;45.2;45.2;43.1;43.92;20095300;0
РУСАЛ ао;D;20210326;000000;43.965;46.325;43.92;45.79;14973950;0
РУСАЛ ао;D;20210329;000000;45.955;48.6;45.94;48.33;38754450;0
РУСАЛ ао;D;20210330;000000;48.2;48.7;48.025;48.57;17364950;0
РУСАЛ ао;D;20210331;000000;48.495;49.79;48.3;49.445;18600520;0
РУСАЛ ао;D;20210401;000000;49.3;49.3;48.575;48.83;11436900;0
РУСАЛ ао;D;20210402;000000;49.15;49.54;48.935;49.245;7036500;0
РУСАЛ ао;D;20210405;000000;49.535;49.59;48.675;49.025;5425690;0
РУСАЛ ао;D;20210406;000000;49.045;49.39;48.3;48.625;14051120;0
РУСАЛ ао;D;20210407;000000;48.8;49.2;48.56;48.765;6667930;0
РУСАЛ ао;D;20210408;000000;48.75;49.1;48.485;49.01;3296820;0
РУСАЛ ао;D;20210409;000000;48.77;49.23;48.3;48.89;15056770;0
РУСАЛ ао;D;20210412;000000;48.965;50.75;48.505;50.235;22336940;0
РУСАЛ ао;D;20210413;000000;50.4;52.195;50.275;52.015;26689500;0
РУСАЛ ао;D;20210414;000000;52;54.5;50.975;53.31;44967130;0
РУСАЛ ао;D;20210415;000000;53.5;55.335;52.25;55.215;30740430;0
РУСАЛ ао;D;20210416;000000;55.175;56;54.1;55.14;33020170;0
РУСАЛ ао;D;20210419;000000;55.1;55.125;52.9;53.575;24647310;0
РУСАЛ ао;D;20210420;000000;53.195;53.195;51.515;51.84;23505700;0
РУСАЛ ао;D;20210421;000000;51.74;53.95;51.195;53.895;22458190;0
РУСАЛ ао;D;20210422;000000;53.735;54.24;52.83;53.5;13972820;0
РУСАЛ ао;D;20210423;000000;54.1;54.52;53.32;54.2;9927060;0
РУСАЛ ао;D;20210426;000000;54.4;54.945;54.02;54.64;10038300;0
РУСАЛ ао;D;20210427;000000;54.64;54.64;52.25;53.025;15487390;0
РУСАЛ ао;D;20210428;000000;52.88;52.88;51.505;52.505;8869490;0
РУСАЛ ао;D;20210429;000000;52.835;53.5;51.5;52.09;17658360;0
РУСАЛ ао;D;20210430;000000;52.1;52.275;50.3;50.65;18187900;0
РУСАЛ ао;D;20210504;000000;51.6;52.99;51.405;52.6;20525780;0
РУСАЛ ао;D;20210505;000000;53;53.01;51.745;52.49;13387840;0
РУСАЛ ао;D;20210506;000000;52.865;53.995;52.275;53.9;16837470;0
РУСАЛ ао;D;20210507;000000;54.15;56.5;54.045;55.9;33942470;0
РУСАЛ ао;D;20210510;000000;55.86;57.6;55.5;56.66;31037120;0
РУСАЛ ао;D;20210511;000000;55.795;56.9;54.48;56.485;26652950;0
РУСАЛ ао;D;20210512;000000;56.005;57.75;55.85;56.09;18767590;0
РУСАЛ ао;D;20210513;000000;55.3;56.995;55.03;56.48;19729520;0
РУСАЛ ао;D;20210514;000000;56.66;57.49;55.75;57.015;13029840;0
РУСАЛ ао;D;20210517;000000;56.55;57.58;56.22;57.25;20105270;0
РУСАЛ ао;D;20210518;000000;57.545;58.72;56.505;56.89;27269100;0
РУСАЛ ао;D;20210519;000000;56.81;57.99;54.69;55.37;32217660;0
РУСАЛ ао;D;20210520;000000;55.375;56.795;53.035;54.8;33151540;0
РУСАЛ ао;D;20210521;000000;55.6;57;55.32;56.545;21293260;0
РУСАЛ ао;D;20210524;000000;56;56.25;55.21;55.435;9455480;0
РУСАЛ ао;D;20210525;000000;55.5;55.69;54.49;54.63;6748480;0
РУСАЛ ао;D;20210526;000000;54.63;55.75;54.36;55.68;8783810;0
РУСАЛ ао;D;20210527;000000;55.5;56.75;55.33;56.5;17917450;0
РУСАЛ ао;D;20210528;000000;56.4;57.2;56.4;56.92;13291040;0
РУСАЛ ао;D;20210531;000000;56.69;57.97;56.5;57.68;12281250;0
РУСАЛ ао;D;20210601;000000;57.31;58.42;57.31;57.555;13061380;0
