<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сбербанк;D;20020108;000000;2247.5;2364;2247.5;2360;26032;0
Сбербанк;D;20020109;000000;2337;2362;2300;2330.01;16405;0
Сбербанк;D;20020110;000000;2320;2339.99;2288;2311;25584;0
Сбербанк;D;20020111;000000;2306.5;2338;2300;2332.05;15301;0
Сбербанк;D;20020114;000000;2300;2313.68;2282;2311.87;9830;0
Сбербанк;D;20020115;000000;2284.5;2465;2272;2458.99;27947;0
Сбербанк;D;20020116;000000;2430.5;2637;2412;2518;46363;0
Сбербанк;D;20020117;000000;2525;2700;2505;2690;41976;0
Сбербанк;D;20020118;000000;2690;2890;2682;2780;48805;0
Сбербанк;D;20020121;000000;2810.44;2830;2690;2734.02;27517;0
Сбербанк;D;20020122;000000;2749;2769;2722;2747;20833;0
Сбербанк;D;20020123;000000;2740;2759;2687;2705;17627;0
Сбербанк;D;20020124;000000;2702;2702;2536;2560;28696;0
Сбербанк;D;20020125;000000;2545;2557;2405;2418;19683;0
Сбербанк;D;20020128;000000;2425.5;2461.99;2400;2445;9386;0
Сбербанк;D;20020129;000000;2462;2688;2462;2672;26706;0
Сбербанк;D;20020130;000000;2598;2598;2500;2500;27623;0
Сбербанк;D;20020131;000000;2548;2600;2540.11;2569.48;11097;0
Сбербанк;D;20020201;000000;2575.75;2599;2541.1;2555;7276;0
Сбербанк;D;20020204;000000;2547.69;2555;2460;2460;12764;0
Сбербанк;D;20020205;000000;2449;2484;2400;2480;10426;0
Сбербанк;D;20020206;000000;2482;2574;2460.16;2516;18614;0
Сбербанк;D;20020207;000000;2516.5;2570;2501;2550;10294;0
Сбербанк;D;20020208;000000;2599;2599;2540;2566;10453;0
Сбербанк;D;20020211;000000;2584;2720;2570;2685;25630;0
Сбербанк;D;20020212;000000;2735;2795.9;2681.5;2690;14518;0
Сбербанк;D;20020213;000000;2706.47;2725;2631;2716.79;12123;0
Сбербанк;D;20020214;000000;2721;2721;2637;2716;9142;0
Сбербанк;D;20020215;000000;2715;2772.72;2682;2682;12659;0
Сбербанк;D;20020218;000000;2695.54;2713.9;2650;2678;7691;0
Сбербанк;D;20020219;000000;2653;2700;2635.1;2671.99;10584;0
Сбербанк;D;20020220;000000;2647.95;2659.99;2610;2633;7802;0
Сбербанк;D;20020221;000000;2654;2670.01;2610.03;2669.97;5026;0
Сбербанк;D;20020222;000000;2666.65;2777;2630;2760;12371;0
Сбербанк;D;20020226;000000;2785;2842.9;2760;2781;29946;0
Сбербанк;D;20020227;000000;2770;2809;2722;2766.5;8996;0
Сбербанк;D;20020228;000000;2766.5;2788;2736;2749.8;8688;0
Сбербанк;D;20020301;000000;2758;2909.95;2726;2898;55099;0
Сбербанк;D;20020304;000000;2950;3034;2920;2931;41444;0
Сбербанк;D;20020305;000000;2958;2975;2910;2933;26973;0
Сбербанк;D;20020306;000000;2904.5;2939;2835;2890;24631;0
Сбербанк;D;20020307;000000;2910;3016;2903.1;2995.55;24561;0
Сбербанк;D;20020311;000000;2997.51;3110;2970;2990;31085;0
Сбербанк;D;20020312;000000;2975.1;3008.87;2935;2957;11864;0
Сбербанк;D;20020313;000000;2975;3048;2975;3001;15822;0
Сбербанк;D;20020314;000000;3010;3070;3002;3049;20903;0
Сбербанк;D;20020315;000000;3055;3255.55;3045;3239.88;45518;0
Сбербанк;D;20020318;000000;3364;3480;3346;3372;58977;0
Сбербанк;D;20020319;000000;3372;3399;3277;3352;22463;0
Сбербанк;D;20020320;000000;3351;3364;3267;3334.99;25311;0
Сбербанк;D;20020321;000000;3320;3510;3290.05;3480;39746;0
Сбербанк;D;20020322;000000;3497;3888;3460;3812;108795;0
Сбербанк;D;20020325;000000;3823;3920;3695;3710;49883;0
Сбербанк;D;20020326;000000;3710;3825;3710;3823.98;32507;0
Сбербанк;D;20020327;000000;3850;4114;3850;4108;71227;0
Сбербанк;D;20020328;000000;4145;4413;4120;4285;77689;0
Сбербанк;D;20020329;000000;4292;4319;4155;4280;39746;0
Сбербанк;D;20020401;000000;4270;4348;4250.01;4310.99;14074;0
Сбербанк;D;20020402;000000;4317;4450;4317;4342;63600;0
Сбербанк;D;20020403;000000;4339.5;4398;4261;4303.1;27240;0
Сбербанк;D;20020404;000000;4280;4461;4231;4459;39040;0
Сбербанк;D;20020405;000000;4500;4685;4500;4620;90730;0
Сбербанк;D;20020408;000000;4644.99;4741;4600;4706;54522;0
Сбербанк;D;20020409;000000;4730;4868;4730;4859.99;54137;0
Сбербанк;D;20020410;000000;4847.5;5204;4847.5;5073;113113;0
Сбербанк;D;20020411;000000;5110;5178;4931;5001;36720;0
Сбербанк;D;20020412;000000;4950;5000;4670;4690;64629;0
Сбербанк;D;20020415;000000;4729;4900;4602;4615;66555;0
Сбербанк;D;20020416;000000;4675.2;4814.98;4650;4813;48794;0
Сбербанк;D;20020417;000000;4910.53;5048;4910.53;5045;64971;0
Сбербанк;D;20020418;000000;5095;5210;5015;5090;80986;0
