<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
SBGB ETF;D;20190125;000000;1003.2;1003.8;1002.2;1003.4;175;0
SBGB ETF;D;20190128;000000;1003.4;1003.4;1003;1003;131;0
SBGB ETF;D;20190129;000000;1002.6;1003.2;1001.8;1002;837;0
SBGB ETF;D;20190130;000000;998.8;1000.2;998.8;1000;399;0
SBGB ETF;D;20190131;000000;1000.2;1006.6;1000.2;1006.4;1017;0
SBGB ETF;D;20190201;000000;1026.4;1026.4;1006;1009.8;1044;0
SBGB ETF;D;20190204;000000;1029.8;1029.8;1008;1010;993;0
SBGB ETF;D;20190205;000000;989.8;1011.2;989.8;1010;773;0
SBGB ETF;D;20190206;000000;1011.6;1012.2;1010;1010.6;570;0
SBGB ETF;D;20190207;000000;990.4;1015;990.4;1009;297;0
SBGB ETF;D;20190208;000000;1007;1009;1007;1008.8;811;0
SBGB ETF;D;20190211;000000;1028.8;1049.2;1008.6;1009.8;615;0
SBGB ETF;D;20190212;000000;1029.8;1029.8;1007;1008.4;708;0
SBGB ETF;D;20190213;000000;1028;1028;1002.6;1003.6;876;0
SBGB ETF;D;20190214;000000;996.2;997.6;992.4;997.2;495;0
SBGB ETF;D;20190215;000000;1017;1017;994.6;1002.6;349;0
SBGB ETF;D;20190218;000000;1022.8;1022.8;999.6;1004;495;0
SBGB ETF;D;20190219;000000;1000.6;1005.6;1000.2;1005.6;2023;0
SBGB ETF;D;20190220;000000;1025;1025;997.2;1001.4;400;0
SBGB ETF;D;20190221;000000;1001.4;1006.6;1000;1003;152;0
SBGB ETF;D;20190222;000000;1006.8;1007;1002.6;1006.8;199;0
SBGB ETF;D;20190225;000000;1026.8;1040;1005.2;1009.6;555;0
SBGB ETF;D;20190226;000000;1010;1034;1005;1008.4;453;0
SBGB ETF;D;20190227;000000;991.4;1014.6;991.4;1007.6;443;0
SBGB ETF;D;20190228;000000;1027.6;1027.6;1003.8;1008.4;1034;0
SBGB ETF;D;20190301;000000;1028.4;1028.4;1005.2;1010;720;0
SBGB ETF;D;20190304;000000;1004;1024;1003.2;1010.4;453;0
SBGB ETF;D;20190305;000000;1001;1022.8;1001;1008.2;333;0
SBGB ETF;D;20190306;000000;991.2;1011;991.2;1008.8;471;0
SBGB ETF;D;20190307;000000;1009.8;1040;1007;1009.6;387;0
SBGB ETF;D;20190311;000000;1029.2;1029.2;1008;1011;432;0
SBGB ETF;D;20190312;000000;995.4;1011.2;995.4;1011;494;0
SBGB ETF;D;20190313;000000;1030;1030;1009;1011;206;0
SBGB ETF;D;20190314;000000;1028.8;1028.8;1009.2;1012;627;0
SBGB ETF;D;20190315;000000;1012;1012.6;1009.4;1012.6;530;0
SBGB ETF;D;20190318;000000;1032.6;1032.6;1010.2;1014;690;0
SBGB ETF;D;20190319;000000;1034.2;1034.2;1014.8;1019;461;0
SBGB ETF;D;20190320;000000;1039;1039;1015.8;1017.6;190;0
SBGB ETF;D;20190321;000000;1037.8;1037.8;1017.2;1024.8;338;0
SBGB ETF;D;20190322;000000;1004.4;1024.6;1004.4;1023;221;0
SBGB ETF;D;20190325;000000;1039.2;1039.2;1016.8;1020.2;193;0
SBGB ETF;D;20190326;000000;1027.8;1027.8;1015.6;1022.6;321;0
SBGB ETF;D;20190327;000000;1039.4;1043;1018.2;1020.6;330;0
SBGB ETF;D;20190328;000000;1022.8;1022.8;1010.6;1017.6;1265;0
SBGB ETF;D;20190329;000000;1019;1019;1016;1016;480;0
SBGB ETF;D;20190401;000000;1013.8;1017;1013.8;1016;413;0
SBGB ETF;D;20190402;000000;1016.4;1016.4;1013;1013;389;0
SBGB ETF;D;20190403;000000;1014;1016.6;1013.8;1016.2;486;0
SBGB ETF;D;20190404;000000;1016.2;1016.8;1013.8;1016;494;0
SBGB ETF;D;20190405;000000;1027.8;1027.8;1014.4;1017.2;346;0
SBGB ETF;D;20190408;000000;1035;1035;1016.6;1019.4;942;0
SBGB ETF;D;20190409;000000;1029;1029;1017.8;1021.6;720;0
SBGB ETF;D;20190410;000000;1029.4;1029.4;1019;1022;275;0
SBGB ETF;D;20190411;000000;1001.8;1024;1001.8;1024;570;0
SBGB ETF;D;20190412;000000;1024.8;1024.8;1022;1022;502;0
SBGB ETF;D;20190415;000000;1026.6;1027;1022.6;1025.6;330;0
SBGB ETF;D;20190416;000000;1030.8;1030.8;1022.8;1023.2;482;0
SBGB ETF;D;20190417;000000;1026.2;1043.6;1022.6;1024.6;327;0
SBGB ETF;D;20190418;000000;1039.8;1039.8;1023.6;1025.2;641;0
SBGB ETF;D;20190419;000000;1045.6;1045.6;1023.4;1024.4;521;0
SBGB ETF;D;20190422;000000;1011.6;1031.8;1011.6;1025;756;0
SBGB ETF;D;20190423;000000;1012.4;1025.2;1012.4;1024;624;0
SBGB ETF;D;20190424;000000;1044.4;1044.6;1023;1023;2252;0
SBGB ETF;D;20190425;000000;1024;1024;1021.4;1021.4;224;0
SBGB ETF;D;20190426;000000;1039.2;1039.2;1021.4;1024;469;0
SBGB ETF;D;20190429;000000;1038.8;1038.8;1005;1027;827;0
SBGB ETF;D;20190430;000000;1006.6;1030;1006.6;1029.8;1337;0
SBGB ETF;D;20190502;000000;1042.6;1042.8;1019.2;1039.2;477;0
SBGB ETF;D;20190503;000000;1040.2;1065.8;1040;1065.8;165;0
SBGB ETF;D;20190506;000000;1086;1086;1030;1030.4;2367;0
SBGB ETF;D;20190507;000000;1036.8;1051;1025.2;1031;1412;0
SBGB ETF;D;20190508;000000;1031.6;1032;1029.8;1031.8;32618;0
SBGB ETF;D;20190510;000000;1025;1032;1025;1030.2;260;0
SBGB ETF;D;20190513;000000;1034.8;1035;1030.2;1032.2;517;0
SBGB ETF;D;20190514;000000;1039.8;1071;1019.2;1032.4;371;0
SBGB ETF;D;20190515;000000;1032;1039.2;1020.2;1033.8;689;0
SBGB ETF;D;20190516;000000;1039.8;1039.8;1032.8;1036.4;46311;0
SBGB ETF;D;20190517;000000;1040;1040;1035;1038.4;33756;0
SBGB ETF;D;20190520;000000;1039.4;1041;1037.6;1041;575;0
SBGB ETF;D;20190521;000000;1040;1042.4;1038.8;1042.4;896;0
SBGB ETF;D;20190522;000000;1049.8;1050;1041.6;1046.6;1412;0
SBGB ETF;D;20190523;000000;1067.4;1067.4;1044.4;1045.4;1749;0
SBGB ETF;D;20190524;000000;1059.6;1059.6;1044.4;1045.8;994;0
SBGB ETF;D;20190527;000000;1057.4;1057.4;1024.8;1046.4;921;0
SBGB ETF;D;20190528;000000;1050;1061;1045.2;1046.4;786;0
SBGB ETF;D;20190529;000000;1045;1046;1043.6;1045.2;869;0
SBGB ETF;D;20190530;000000;1050;1098.4;1035.6;1047.4;327;0
SBGB ETF;D;20190531;000000;1045;1050;1045;1048;77853;0
SBGB ETF;D;20190603;000000;1068.8;1068.8;1046;1047.6;660;0
SBGB ETF;D;20190604;000000;1054.8;1059.8;1047.4;1049.4;235;0
SBGB ETF;D;20190605;000000;1049.6;1052.2;1048.4;1052;1121;0
SBGB ETF;D;20190606;000000;1053;1055.2;1053;1055.2;82467;0
SBGB ETF;D;20190607;000000;1050;1058.8;1046.6;1056.2;300;0
SBGB ETF;D;20190610;000000;1058.4;1059.4;1055.6;1059.4;1002;0
SBGB ETF;D;20190611;000000;1051;1071;1051;1060;851;0
SBGB ETF;D;20190613;000000;1061.6;1061.6;1058.6;1060;1279;0
SBGB ETF;D;20190614;000000;1060.8;1061.6;1059.2;1061.6;228124;0
SBGB ETF;D;20190617;000000;1078.4;1100;1057.2;1064.2;1003;0
SBGB ETF;D;20190618;000000;1079;1089.4;1061.8;1064;1385;0
SBGB ETF;D;20190619;000000;1064;1070.2;1064;1068.6;2321;0
SBGB ETF;D;20190620;000000;1075;1078.4;1071;1077.8;1513;0
SBGB ETF;D;20190621;000000;1073.2;1076.6;1073;1075.2;329;0
SBGB ETF;D;20190624;000000;1085;1086;1070;1076.6;2105;0
SBGB ETF;D;20190625;000000;1078;1078;1073.4;1077.2;1026;0
SBGB ETF;D;20190626;000000;1070;1079.8;1070;1075.4;1597;0
SBGB ETF;D;20190627;000000;1080;1082.6;1070.4;1075.2;201325;0
SBGB ETF;D;20190628;000000;1080;1082;1072.4;1077;3089;0
SBGB ETF;D;20190701;000000;1080;1085;1070;1079.4;2318;0
SBGB ETF;D;20190702;000000;1072.4;1083.8;1072.4;1079.4;2081;0
SBGB ETF;D;20190703;000000;1078.4;1078.4;1074.6;1078.4;1706;0
SBGB ETF;D;20190704;000000;1078;1080.4;1074.4;1080.4;1904;0
SBGB ETF;D;20190705;000000;1085.4;1085.4;1077.6;1081;642;0
SBGB ETF;D;20190708;000000;1085;1085.4;1077.4;1080.6;703;0
SBGB ETF;D;20190709;000000;1077.8;1084.8;1077.8;1081.8;1671;0
SBGB ETF;D;20190710;000000;1085.4;1085.4;1075.8;1083.2;810;0
