<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
SELG;D;20110922;000000;0;0;0;0;0;0
SELG;D;20110923;000000;0;0;0;0;0;0
SELG;D;20110926;000000;0;0;0;0;0;0
SELG;D;20110927;000000;0;0;0;0;0;0
SELG;D;20110928;000000;0;0;0;0;0;0
SELG;D;20110929;000000;0;0;0;0;0;0
SELG;D;20110930;000000;16.17;16.17;16.17;16.17;4000000;0
SELG;D;20111003;000000;16.2;16.2;16.2;16.2;4000000;0
SELG;D;20111004;000000;0;0;0;0;0;0
SELG;D;20111005;000000;0;0;0;0;0;0
SELG;D;20111006;000000;0;0;0;0;0;0
SELG;D;20111007;000000;0;0;0;0;0;0
SELG;D;20111010;000000;0;0;0;0;0;0
SELG;D;20111011;000000;0;0;0;0;0;0
SELG;D;20111012;000000;0;0;0;0;0;0
SELG;D;20111013;000000;0;0;0;0;0;0
SELG;D;20111014;000000;0;0;0;0;0;0
SELG;D;20111017;000000;0;0;0;0;0;0
SELG;D;20111018;000000;16.39;16.39;16.39;16.39;610000;0
SELG;D;20111019;000000;0;0;0;0;0;0
SELG;D;20111020;000000;0;0;0;0;0;0
SELG;D;20111021;000000;18.845;18.845;17.745;18;800;0
SELG;D;20111024;000000;18;25.081;17.77;17.77;9100;0
SELG;D;20111025;000000;15.5;25.346;15.5;18.505;122600;0
SELG;D;20111026;000000;20.799;23.994;16.15;20.898;74500;0
SELG;D;20111027;000000;21.499;26;18.8;19.3;64800;0
SELG;D;20111028;000000;19.99;20;18.181;18.376;13300;0
SELG;D;20111031;000000;18.999;19.995;17.3;17.3;164600;0
SELG;D;20111101;000000;17.002;17.957;16.501;16.983;7200;0
SELG;D;20111102;000000;21.298;21.298;15.51;15.85;6200;0
SELG;D;20111103;000000;16;17.394;15;16;4600;0
SELG;D;20111107;000000;19.5;19.5;15.75;16;2500;0
SELG;D;20111108;000000;16;16.999;14.999;15.05;16900;0
SELG;D;20111109;000000;15;15.2;14.21;14.5;4000;0
SELG;D;20111110;000000;14.5;15.19;13.1;14.9;13900;0
SELG;D;20111111;000000;13.545;15;13.545;15;4700;0
SELG;D;20111114;000000;15;15.7;14.001;14.001;3200;0
SELG;D;20111115;000000;13.727;14.7;13.63;13.63;1200;0
SELG;D;20111116;000000;13.997;14.94;13.997;14.3;1400;0
SELG;D;20111117;000000;15;15;15;15;100;0
SELG;D;20111118;000000;14.999;14.999;13.43;14.89;2500;0
SELG;D;20111121;000000;13.462;14.7;13.462;14.7;300;0
SELG;D;20111122;000000;13.478;15;12;13.998;33500;0
SELG;D;20111123;000000;13;15;12.998;14;127600;0
SELG;D;20111124;000000;14.448;16.45;13.4;14.5;654900;0
SELG;D;20111125;000000;13.556;16.48;13.501;14.301;644900;0
SELG;D;20111128;000000;13.801;16.435;13.801;15;649800;0
SELG;D;20111129;000000;15.986;16.46;15.54;16.28;976000;0
SELG;D;20111130;000000;16.43;16.43;14.801;15.4;332700;0
SELG;D;20111201;000000;15.499;15.5;13.999;14.749;31300;0
SELG;D;20111202;000000;15.348;15.348;12.832;13.683;31100;0
SELG;D;20111205;000000;12.778;13.945;12.131;13.199;5800;0
SELG;D;20111206;000000;12.6;13.31;12.59;13.31;500;0
SELG;D;20111207;000000;13.929;13.929;12.56;13.411;2400;0
SELG;D;20111208;000000;12.277;13.403;12;12.499;14700;0
SELG;D;20111209;000000;11.5;11.5;9.3;9.496;527600;0
SELG;D;20111212;000000;9.979;9.979;8.888;9.545;75300;0
SELG;D;20111213;000000;9.47;11.499;9.15;11.44;465000;0
SELG;D;20111214;000000;11.5;12.501;10.3;11;85000;0
SELG;D;20111215;000000;10.128;10.5;10;10.292;220500;0
SELG;D;20111216;000000;10.699;10.699;9.5;9.75;91400;0
SELG;D;20111219;000000;10.175;12.67;9.411;12.65;291800;0
SELG;D;20111220;000000;11.103;15;10.55;14.9;145300;0
SELG;D;20111221;000000;12.9;14.43;12.5;13.95;26400;0
SELG;D;20111222;000000;13.4;14.5;13.13;13.301;16400;0
SELG;D;20111223;000000;13.999;14.98;11.996;12.261;94700;0
SELG;D;20111226;000000;13.699;13.99;12.401;13.01;5600;0
SELG;D;20111227;000000;13.01;14.2;13.01;14.2;71500;0
SELG;D;20111228;000000;14;14;13.85;14;33400;0
SELG;D;20111229;000000;14.249;14.99;12.011;12.201;806800;0
SELG;D;20111230;000000;11.333;11.333;10.209;10.256;223100;0
SELG;D;20120103;000000;10.75;11.039;10.302;10.499;19000;0
SELG;D;20120104;000000;10.351;10.642;10.317;10.59;25500;0
SELG;D;20120105;000000;10.319;10.479;9.85;10.477;5000;0
SELG;D;20120106;000000;10.83;10.977;10.25;10.554;7400;0
SELG;D;20120109;000000;10.12;10.3;10.12;10.3;4900;0
SELG;D;20120110;000000;10.013;10.698;10.013;10.552;1600;0
SELG;D;20120111;000000;10.846;10.846;9.504;9.676;7100;0
SELG;D;20120112;000000;9.701;10.99;9.5;10;21000;0
SELG;D;20120113;000000;9.854;11;9.853;11;17400;0
SELG;D;20120116;000000;10.331;10.948;9.67;10.562;25500;0
SELG;D;20120117;000000;10.699;10.699;10.15;10.3;14500;0
SELG;D;20120118;000000;10.499;10.9;10.414;10.889;14800;0
SELG;D;20120119;000000;11.249;11.249;10.432;10.8;5100;0
SELG;D;20120120;000000;10.67;10.995;10.458;10.458;900;0
SELG;D;20120123;000000;10.875;10.875;10;10.35;3200;0
SELG;D;20120124;000000;10.006;10.58;10.006;10.498;4100;0
SELG;D;20120125;000000;10.497;10.497;10.05;10.05;4500;0
SELG;D;20120126;000000;10.25;10.495;10;10.059;18900;0
SELG;D;20120127;000000;10.005;10.005;9.67;9.901;6200;0
SELG;D;20120130;000000;9.902;9.999;9.557;9.85;7100;0
SELG;D;20120131;000000;9.98;9.999;9.9;9.947;9000;0
SELG;D;20120201;000000;10.379;11.948;10.373;10.7;49100;0
SELG;D;20120202;000000;10.323;11.293;10.323;10.5;15200;0
SELG;D;20120203;000000;11.499;11.5;10.626;10.99;8100;0
SELG;D;20120206;000000;10.323;13.5;10.323;11.483;52900;0
SELG;D;20120207;000000;11.996;11.996;10.744;10.934;11300;0
SELG;D;20120208;000000;10.766;11.411;10.049;11.2;50000;0
SELG;D;20120209;000000;11.362;11.887;10.316;11.497;22100;0
SELG;D;20120210;000000;10.331;11.461;10.33;11;6900;0
