<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Газпрнефть;D;20030710;000000;75.68;75.68;72;73.8;396000;0
Газпрнефть;D;20030711;000000;72.85;73.35;69.52;71.2;472900;0
Газпрнефть;D;20030714;000000;71.2;73.49;70.41;73;153100;0
Газпрнефть;D;20030715;000000;77.74;77.74;50;72.5;187900;0
Газпрнефть;D;20030716;000000;74;74;65.01;65.01;233800;0
Газпрнефть;D;20030717;000000;65.1;66;60.2;60.55;306500;0
Газпрнефть;D;20030718;000000;60.88;65;60;62.55;383300;0
Газпрнефть;D;20030721;000000;64.98;65;63.01;64.5;84800;0
Газпрнефть;D;20030722;000000;65;67.5;64.12;67;178400;0
Газпрнефть;D;20030723;000000;66.8;66.8;65;65.1;170400;0
Газпрнефть;D;20030724;000000;65.2;68.91;65.2;68.78;180400;0
Газпрнефть;D;20030725;000000;68.5;75;68.21;73.15;858400;0
Газпрнефть;D;20030728;000000;73.5;75.98;72.6;72.93;802100;0
Газпрнефть;D;20030729;000000;72.95;73.5;70.5;72.45;269500;0
Газпрнефть;D;20030730;000000;72.4;73.48;72.1;73.19;176900;0
Газпрнефть;D;20030731;000000;73.6;73.6;72.78;73.1;305800;0
Газпрнефть;D;20030801;000000;70.85;70.85;64.8;64.9;1782400;0
Газпрнефть;D;20030804;000000;65.05;66.99;65.05;65.75;313500;0
Газпрнефть;D;20030805;000000;65.99;67.9;65.81;67.69;534200;0
Газпрнефть;D;20030806;000000;67.69;71.05;64.05;70.59;1013400;0
Газпрнефть;D;20030807;000000;70;72;69.9;70.55;481500;0
Газпрнефть;D;20030808;000000;70.1;72;69.22;72;213100;0
Газпрнефть;D;20030811;000000;71.95;73.55;71.9;73.44;367500;0
Газпрнефть;D;20030812;000000;73.7;74.6;72.76;74.6;224700;0
Газпрнефть;D;20030813;000000;75.01;77.15;75.01;76.8;749800;0
Газпрнефть;D;20030814;000000;77;77.4;73.8;76.32;355200;0
Газпрнефть;D;20030815;000000;76.6;78.72;76.05;78.24;307900;0
Газпрнефть;D;20030818;000000;78.19;81.5;78;80.85;495400;0
Газпрнефть;D;20030819;000000;81.49;82.49;79;80.31;561100;0
Газпрнефть;D;20030820;000000;80.5;80.5;77;78;256300;0
Газпрнефть;D;20030821;000000;78;80.6;78;79.8;147800;0
Газпрнефть;D;20030822;000000;80.45;81.84;78.01;81.05;366500;0
Газпрнефть;D;20030825;000000;81.06;82.05;80.06;81.4;203100;0
Газпрнефть;D;20030826;000000;81.4;81.84;80.11;80.35;199900;0
Газпрнефть;D;20030827;000000;80.5;81.77;79.07;80;294900;0
Газпрнефть;D;20030828;000000;80.4;81.3;79.01;80.3;114600;0
Газпрнефть;D;20030829;000000;80.8;82.2;80.5;82.1;463600;0
Газпрнефть;D;20030901;000000;82;85.91;82;85.12;321500;0
Газпрнефть;D;20030902;000000;85.01;87;84.75;86.11;226100;0
Газпрнефть;D;20030903;000000;86.3;86.7;82;83;336700;0
Газпрнефть;D;20030904;000000;83.89;85.3;82;85.1;288400;0
Газпрнефть;D;20030905;000000;85.1;87.5;84.8;85.6;305400;0
Газпрнефть;D;20030908;000000;85.2;85.4;83.52;84.2;103200;0
Газпрнефть;D;20030909;000000;84.2;84.79;83.6;83.61;166500;0
Газпрнефть;D;20030910;000000;84.12;87.4;82.6;87.19;193100;0
Газпрнефть;D;20030911;000000;86.25;88.5;84.5;84.99;420500;0
Газпрнефть;D;20030912;000000;85;85.5;84.01;84.69;193800;0
Газпрнефть;D;20030915;000000;84.98;86.8;84.98;86.8;213800;0
Газпрнефть;D;20030916;000000;87.5;87.5;85.7;87;96100;0
Газпрнефть;D;20030917;000000;87.1;87.33;84.9;85.01;90300;0
Газпрнефть;D;20030918;000000;85.04;85.68;84.55;85.1;44700;0
Газпрнефть;D;20030919;000000;85.58;85.58;83.25;84.05;204240;0
Газпрнефть;D;20030922;000000;83.61;84.95;83;83.9;28100;0
Газпрнефть;D;20030923;000000;84;87.25;84;86.99;135400;0
Газпрнефть;D;20030924;000000;86.55;88.45;86.55;88;215900;0
Газпрнефть;D;20030925;000000;88;88.3;87.51;88;96300;0
Газпрнефть;D;20030926;000000;87.5;89.8;87.06;87.85;165100;0
Газпрнефть;D;20030929;000000;88.35;89.25;84.02;89.05;244000;0
Газпрнефть;D;20030930;000000;89.11;92.4;89.11;90.7;637300;0
Газпрнефть;D;20031001;000000;88.99;93.99;88.5;92.5;338000;0
Газпрнефть;D;20031002;000000;93.2;99.1;93.2;99;474000;0
Газпрнефть;D;20031003;000000;101.98;105;95.5;97.5;858220;0
Газпрнефть;D;20031006;000000;99;99;94.5;96.4;272600;0
Газпрнефть;D;20031007;000000;96.4;97.93;96;96.53;147400;0
Газпрнефть;D;20031008;000000;97.75;99;93.71;98.35;259300;0
Газпрнефть;D;20031009;000000;98.4;100;94.75;95.1;371500;0
Газпрнефть;D;20031010;000000;95.5;96.68;93.7;94.2;199700;0
Газпрнефть;D;20031013;000000;94.2;95.5;93.56;94.5;146400;0
Газпрнефть;D;20031014;000000;94.5;97.43;94.5;94.7;303100;0
Газпрнефть;D;20031015;000000;95.5;96.5;94.01;95;57500;0
Газпрнефть;D;20031016;000000;95.48;96.75;94.51;96.6;159800;0
Газпрнефть;D;20031017;000000;96.99;97.55;95.65;96.98;110800;0
Газпрнефть;D;20031020;000000;97.97;97.97;95.62;95.62;139300;0
Газпрнефть;D;20031021;000000;95.9;95.9;90.5;91.93;354200;0
Газпрнефть;D;20031022;000000;91.02;91.02;85;85.5;261700;0
Газпрнефть;D;20031023;000000;84.01;86;84;85.1;198600;0
Газпрнефть;D;20031024;000000;85.89;87.49;85.89;86.6;40100;0
Газпрнефть;D;20031027;000000;79.51;79.51;66.55;75.55;662600;0
Газпрнефть;D;20031028;000000;75.9;79.98;73.2;75.7;630500;0
Газпрнефть;D;20031029;000000;74.98;74.98;68.31;71.35;676500;0
Газпрнефть;D;20031030;000000;71.4;71.6;61;61.99;473500;0
Газпрнефть;D;20031031;000000;60.75;65.8;60.75;65.39;738900;0
Газпрнефть;D;20031103;000000;65.99;74.47;65.05;74.47;738100;0
Газпрнефть;D;20031104;000000;74.47;79.86;71.6;74.16;428000;0
Газпрнефть;D;20031105;000000;73.5;75;69.05;70.68;383600;0
Газпрнефть;D;20031106;000000;72;72;69.01;70.14;224600;0
Газпрнефть;D;20031110;000000;70.43;70.43;69.1;69.7;109800;0
Газпрнефть;D;20031111;000000;69.5;69.79;67.01;68.67;207300;0
Газпрнефть;D;20031112;000000;67.6;68.78;65;68;148900;0
Газпрнефть;D;20031113;000000;67.8;70;67.8;70;194800;0
Газпрнефть;D;20031114;000000;70;70.5;69.28;69.28;106000;0
Газпрнефть;D;20031117;000000;69;69.01;65.7;65.7;121300;0
Газпрнефть;D;20031118;000000;66.06;66.97;61;61.08;383700;0
Газпрнефть;D;20031119;000000;60.51;60.51;56.02;59.4;354200;0
Газпрнефть;D;20031120;000000;59.98;63.4;58.7;62.99;179700;0
Газпрнефть;D;20031121;000000;63.25;65.49;62.26;65.01;332800;0
Газпрнефть;D;20031124;000000;66.45;70.71;64.03;69.3;496500;0
Газпрнефть;D;20031125;000000;69.3;70.69;67.36;69.5;354700;0
Газпрнефть;D;20031126;000000;70.38;72.8;68.75;71.32;209200;0
Газпрнефть;D;20031127;000000;71;72.4;70;72;73900;0
Газпрнефть;D;20031128;000000;72.39;73.42;67.06;69.4;411600;0
Газпрнефть;D;20031201;000000;69.9;80;68.2;73.2;613800;0
Газпрнефть;D;20031202;000000;74;76.2;72.56;74.95;548200;0
Газпрнефть;D;20031203;000000;74.54;77.75;73.5;76.22;306400;0
Газпрнефть;D;20031204;000000;73;77.4;72.6;74.7;187200;0
Газпрнефть;D;20031205;000000;75.38;75.4;73;73.58;97900;0
Газпрнефть;D;20031208;000000;70.01;74.39;70;72.7;122600;0
Газпрнефть;D;20031209;000000;73;74.92;73;73.45;212900;0
Газпрнефть;D;20031210;000000;75;77.9;74;76.9;562700;0
Газпрнефть;D;20031211;000000;76.85;77.4;75.51;76.92;251800;0
Газпрнефть;D;20031215;000000;77;79.89;76.4;79.7;280100;0
Газпрнефть;D;20031216;000000;79.26;79.92;70.2;79.9;255900;0
Газпрнефть;D;20031217;000000;79.53;79.71;77.15;79.5;268600;0
Газпрнефть;D;20031218;000000;79;82.8;78.5;82.02;255500;0
Газпрнефть;D;20031219;000000;82.2;89;82.2;85.76;853340;0
Газпрнефть;D;20031222;000000;86.89;86.89;83.93;84.8;234400;0
Газпрнефть;D;20031223;000000;80.02;85.96;80.02;83.99;158600;0
Газпрнефть;D;20031224;000000;83.11;84.88;82.5;83;53500;0
Газпрнефть;D;20031225;000000;81.51;84.61;81.51;83.85;110500;0
Газпрнефть;D;20031226;000000;83.7;85.5;83.7;85.32;29800;0
Газпрнефть;D;20031229;000000;84.62;86.3;84.22;85.3;96700;0
Газпрнефть;D;20031230;000000;85.69;85.69;82.54;83.35;40600;0
Газпрнефть;D;20040105;000000;85;85;83.6;84.45;205400;0
Газпрнефть;D;20040106;000000;84.76;84.97;80.55;81.6;526100;0
Газпрнефть;D;20040108;000000;81.42;82.9;78.1;78.68;816200;0
Газпрнефть;D;20040109;000000;78.51;81.45;78.23;81.42;844800;0
Газпрнефть;D;20040112;000000;82.45;82.5;78.5;78.71;913100;0
Газпрнефть;D;20040113;000000;79.36;79.8;78.27;78.31;277300;0
Газпрнефть;D;20040114;000000;78.6;81.5;78;81.1;312000;0
Газпрнефть;D;20040115;000000;81.02;81.6;78.51;79.29;295000;0
Газпрнефть;D;20040116;000000;79;80.2;78.51;80.14;125800;0
Газпрнефть;D;20040119;000000;79.7;80.89;79.7;80.7;175700;0
Газпрнефть;D;20040120;000000;80.05;81.69;80.05;80.7;187000;0
