<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Silver;D;20000106;000000;4.65;4.65;4.65;4.65;0;0
Silver;D;20000110;000000;4.6;4.6;4.6;4.6;0;0
Silver;D;20000111;000000;4.73;4.73;4.73;4.73;0;0
Silver;D;20000112;000000;4.8;4.8;4.8;4.8;0;0
Silver;D;20000113;000000;4.76;4.76;4.76;4.76;0;0
Silver;D;20000114;000000;4.7;4.7;4.7;4.7;0;0
Silver;D;20000117;000000;4.7;4.7;4.7;4.7;0;0
Silver;D;20000118;000000;4.73;4.73;4.73;4.73;0;0
Silver;D;20000119;000000;4.73;4.73;4.73;4.73;0;0
Silver;D;20000120;000000;4.7;4.7;4.7;4.7;0;0
Silver;D;20000121;000000;4.71;4.71;4.71;4.71;0;0
Silver;D;20000124;000000;4.76;4.76;4.76;4.76;0;0
Silver;D;20000125;000000;4.8;4.8;4.8;4.8;0;0
Silver;D;20000126;000000;4.86;4.86;4.86;4.86;0;0
Silver;D;20000127;000000;4.8;4.8;4.8;4.8;0;0
Silver;D;20000128;000000;4.88;4.88;4.88;4.88;0;0
Silver;D;20000131;000000;4.95;4.95;4.95;4.95;0;0
Silver;D;20000201;000000;4.85;4.85;4.85;4.85;0;0
Silver;D;20000202;000000;4.85;4.85;4.85;4.85;0;0
Silver;D;20000203;000000;4.84;4.84;4.84;4.84;0;0
Silver;D;20000204;000000;4.83;4.83;4.83;4.83;0;0
Silver;D;20000207;000000;4.86;4.86;4.86;4.86;0;0
Silver;D;20000208;000000;5.05;5.05;5.05;5.05;0;0
Silver;D;20000209;000000;4.88;4.88;4.88;4.88;0;0
Silver;D;20000210;000000;4.97;4.97;4.97;4.97;0;0
Silver;D;20000211;000000;4.98;4.98;4.98;4.98;0;0
Silver;D;20000214;000000;4.98;4.98;4.98;4.98;0;0
Silver;D;20000215;000000;4.86;4.86;4.86;4.86;0;0
Silver;D;20000216;000000;4.86;4.86;4.86;4.86;0;0
Silver;D;20000217;000000;4.87;4.87;4.87;4.87;0;0
Silver;D;20000218;000000;4.91;4.91;4.91;4.91;0;0
Silver;D;20000221;000000;4.86;4.86;4.86;4.86;0;0
Silver;D;20000222;000000;4.89;4.89;4.89;4.89;0;0
Silver;D;20000223;000000;4.88;4.88;4.88;4.88;0;0
Silver;D;20000224;000000;4.89;4.89;4.89;4.89;0;0
Silver;D;20000225;000000;4.84;4.84;4.84;4.84;0;0
Silver;D;20000228;000000;4.77;4.77;4.77;4.77;0;0
Silver;D;20000229;000000;4.7;4.7;4.7;4.7;0;0
Silver;D;20000301;000000;4.71;4.71;4.71;4.71;0;0
Silver;D;20000302;000000;4.74;4.74;4.74;4.74;0;0
Silver;D;20000303;000000;4.65;4.65;4.65;4.65;0;0
Silver;D;20000306;000000;4.64;4.64;4.64;4.64;0;0
Silver;D;20000307;000000;4.69;4.69;4.69;4.69;0;0
Silver;D;20000309;000000;4.67;4.67;4.67;4.67;0;0
Silver;D;20000310;000000;4.65;4.65;4.65;4.65;0;0
Silver;D;20000313;000000;4.71;4.71;4.71;4.71;0;0
Silver;D;20000314;000000;4.69;4.69;4.69;4.69;0;0
