<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
TATNP;D;20020108;000000;11.43;11.9;11.2;11.4;57100;0
TATNP;D;20020109;000000;11.65;11.8;10.9;11.72;1154300;0
TATNP;D;20020110;000000;11.19;12.05;11.19;12.05;1514900;0
TATNP;D;20020111;000000;11.8;12.7;11.75;12.45;316700;0
TATNP;D;20020114;000000;12.99;12.99;11.66;11.66;108100;0
TATNP;D;20020115;000000;11.4;11.98;11.21;11.98;149100;0
TATNP;D;20020116;000000;11.95;12.3;11.5;11.9;178800;0
TATNP;D;20020117;000000;11.55;12.45;9;11.95;1215200;0
TATNP;D;20020118;000000;12.1;12.19;11.05;12.18;1790600;0
TATNP;D;20020121;000000;11.5;12.18;11.5;12;36100;0
TATNP;D;20020122;000000;12;12.32;12;12.3;167700;0
TATNP;D;20020123;000000;12.3;12.55;12.02;12.02;1724200;0
TATNP;D;20020124;000000;12.12;12.48;11.6;11.6;230200;0
TATNP;D;20020125;000000;11;12;9;11.25;2403200;0
TATNP;D;20020128;000000;11.85;11.85;11;11.46;14700;0
TATNP;D;20020129;000000;11.9;15;11.5;11.81;1716300;0
TATNP;D;20020130;000000;11.85;11.85;11.51;11.58;21600;0
TATNP;D;20020131;000000;11.7;11.8;11.55;11.77;19100;0
TATNP;D;20020201;000000;11.6;11.8;11.5;11.5;234200;0
TATNP;D;20020204;000000;11.5;11.55;11.3;11.55;6900;0
TATNP;D;20020205;000000;11.5;11.5;11.4;11.45;11700;0
TATNP;D;20020206;000000;11.65;11.88;11.65;11.85;123100;0
TATNP;D;20020207;000000;12.2;12.2;11.75;11.85;165000;0
TATNP;D;20020208;000000;11.71;11.98;11.71;11.85;88300;0
TATNP;D;20020211;000000;11.75;11.83;11.75;11.83;37700;0
TATNP;D;20020212;000000;12.3;12.3;11.98;12;197000;0
TATNP;D;20020213;000000;12.1;12.1;11.99;12.05;64300;0
TATNP;D;20020214;000000;11.96;12.24;11.96;12.11;72100;0
TATNP;D;20020215;000000;12.1;12.9;12.1;12.42;237500;0
TATNP;D;20020218;000000;12.35;12.78;12.35;12.55;27700;0
TATNP;D;20020219;000000;12.55;12.55;12.25;12.26;54200;0
TATNP;D;20020220;000000;12.19;12.34;12.1;12.19;54600;0
TATNP;D;20020221;000000;12.29;12.5;12.2;12.3;22200;0
TATNP;D;20020222;000000;12.49;12.56;12.4;12.4;22900;0
TATNP;D;20020226;000000;12.5;12.8;12.1;12.3;67100;0
TATNP;D;20020227;000000;12.49;12.49;12.12;12.2;55400;0
TATNP;D;20020228;000000;12.1;12.34;12.1;12.3;24000;0
TATNP;D;20020301;000000;12.45;12.85;12.2;12.85;308300;0
TATNP;D;20020304;000000;12.99;16;12.82;12.82;288700;0
TATNP;D;20020305;000000;13.1;13.1;12.5;12.95;215700;0
TATNP;D;20020306;000000;13;13;12.71;12.8;54800;0
TATNP;D;20020307;000000;13.1;13.1;12.76;12.95;80600;0
TATNP;D;20020311;000000;13;13.35;12.86;13.2;281600;0
TATNP;D;20020312;000000;13.3;14.12;13.3;13.5;276600;0
TATNP;D;20020313;000000;13.5;14.55;13.5;14.35;747100;0
TATNP;D;20020314;000000;14.4;14.65;14.31;14.55;585900;0
TATNP;D;20020315;000000;14.5;14.75;14.5;14.6;475600;0
TATNP;D;20020318;000000;14.7;15.2;14.5;14.68;331800;0
TATNP;D;20020319;000000;14.4;14.4;14;14.26;147200;0
TATNP;D;20020320;000000;14.1;14.3;14;14;212200;0
TATNP;D;20020321;000000;14;14.2;13.9;14.19;247500;0
TATNP;D;20020322;000000;14.54;14.6;14.2;14.25;144200;0
TATNP;D;20020325;000000;14.11;14.79;14.11;14.42;635700;0
TATNP;D;20020326;000000;14.79;16.8;14.79;15;517700;0
TATNP;D;20020327;000000;14.93;15.2;14.93;15.1;330500;0
TATNP;D;20020328;000000;15.39;15.78;15.35;15.77;497000;0
TATNP;D;20020329;000000;15.61;16.75;15.6;15.9;387100;0
TATNP;D;20020401;000000;16;16;15.71;15.97;133600;0
TATNP;D;20020402;000000;15.36;15.4;15.11;15.18;107800;0
TATNP;D;20020403;000000;15.26;15.45;15.05;15.45;174900;0
TATNP;D;20020404;000000;15.22;15.4;15.14;15.17;123700;0
TATNP;D;20020405;000000;15.25;15.3;15.03;15.03;66800;0
TATNP;D;20020408;000000;15.2;15.6;14.96;15.6;279200;0
TATNP;D;20020409;000000;15.56;15.94;15.56;15.9;536600;0
TATNP;D;20020410;000000;15.74;15.95;15.7;15.84;147300;0
TATNP;D;20020411;000000;15.89;15.89;15.35;15.84;206600;0
TATNP;D;20020412;000000;15.7;16.79;15.7;16;480500;0
TATNP;D;20020415;000000;16.1;16.14;15.76;16.1;312600;0
TATNP;D;20020416;000000;16.2;16.3;15.9;16;273600;0
TATNP;D;20020417;000000;16.25;16.29;16.01;16.18;304900;0
TATNP;D;20020418;000000;16.09;16.5;16.09;16.49;483600;0
TATNP;D;20020419;000000;16.5;16.86;16.42;16.86;645300;0
TATNP;D;20020422;000000;17;17.08;16.51;16.63;245200;0
TATNP;D;20020423;000000;16.41;16.9;16.25;16.7;218800;0
TATNP;D;20020424;000000;16.7;17.1;16.7;17.09;366700;0
TATNP;D;20020425;000000;17;17.44;17;17.37;701100;0
TATNP;D;20020426;000000;17.49;18.3;17.49;18.05;454500;0
TATNP;D;20020427;000000;18;19.69;18;18.98;746400;0
TATNP;D;20020429;000000;19.49;19.5;18.72;18.98;272000;0
TATNP;D;20020430;000000;19.04;19.09;18.6;18.76;95000;0
TATNP;D;20020506;000000;19.14;19.14;17.93;18.8;116500;0
TATNP;D;20020507;000000;18.41;18.8;17.05;17.7;190100;0
TATNP;D;20020508;000000;17.6;18.6;17.6;18.49;314700;0
TATNP;D;20020513;000000;16.25;17.9;16.25;17.25;124900;0
TATNP;D;20020514;000000;20.62;20.62;17.3;17.76;404500;0
TATNP;D;20020515;000000;17.99;18.5;17.87;18.22;424000;0
TATNP;D;20020516;000000;18;18.97;18;18.64;1046000;0
TATNP;D;20020517;000000;18.88;19;18.7;18.7;218200;0
TATNP;D;20020518;000000;18.9;18.98;18.65;18.8;85600;0
TATNP;D;20020520;000000;18.85;19.35;18.75;19.2;749900;0
TATNP;D;20020521;000000;19;19.5;18.8;18.88;216000;0
TATNP;D;20020522;000000;18.8;18.8;18;18.17;222400;0
TATNP;D;20020523;000000;18.4;18.78;18.01;18.18;439500;0
TATNP;D;20020524;000000;18;18;17.5;17.79;171700;0
TATNP;D;20020527;000000;21.24;21.24;17.51;17.7;115400;0
TATNP;D;20020528;000000;17.99;17.99;16.9;17.15;152600;0
TATNP;D;20020529;000000;16.8;17;16.15;16.15;156700;0
TATNP;D;20020530;000000;16.49;16.5;15.3;16;140600;0
TATNP;D;20020531;000000;15.5;16;15.2;15.9;60200;0
TATNP;D;20020603;000000;16;16;15.51;15.51;84700;0
TATNP;D;20020604;000000;15.52;15.52;15.17;15.2;49200;0
TATNP;D;20020605;000000;16;16;15.01;15.84;139700;0
TATNP;D;20020606;000000;15.8;16;15.75;16;38300;0
TATNP;D;20020607;000000;16;16;15.26;15.84;20500;0
TATNP;D;20020610;000000;15.6;16;15.6;15.68;209600;0
TATNP;D;20020611;000000;16.45;16.45;15.61;15.97;158200;0
TATNP;D;20020613;000000;15.7;16.3;15.7;15.7;192000;0
TATNP;D;20020614;000000;15.8;15.8;15.11;15.45;129400;0
TATNP;D;20020617;000000;15.93;15.93;15.11;15.12;61400;0
TATNP;D;20020618;000000;15.12;15.39;14.71;14.99;144400;0
TATNP;D;20020619;000000;15.3;15.3;13.95;14.25;61400;0
TATNP;D;20020620;000000;13.9;14.2;13.31;13.85;162500;0
TATNP;D;20020621;000000;13.7;14.69;13.14;14.43;191800;0
TATNP;D;20020624;000000;13.9;14.47;13.75;14.2;83700;0
TATNP;D;20020625;000000;14.25;14.25;14;14.1;161400;0
TATNP;D;20020626;000000;14.2;14.2;13.4;13.67;55700;0
TATNP;D;20020627;000000;13.98;13.98;13.46;13.77;81100;0
TATNP;D;20020628;000000;13.88;14.18;13.5;13.85;50600;0
TATNP;D;20020701;000000;13.8;14.19;13.55;14.18;258900;0
TATNP;D;20020702;000000;13.89;14;13.63;13.65;109400;0
TATNP;D;20020703;000000;13.7;13.98;13.5;13.95;70100;0
TATNP;D;20020704;000000;14.1;14.33;13.96;14.06;82200;0
TATNP;D;20020705;000000;14;14.5;14;14.4;311600;0
TATNP;D;20020708;000000;13.72;14.5;13.72;14.35;56300;0
TATNP;D;20020709;000000;13.64;14.3;13.64;14.1;36100;0
TATNP;D;20020710;000000;14.19;14.19;7.7;14.09;140900;0
TATNP;D;20020711;000000;14.28;14.28;13.76;14;7600;0
TATNP;D;20020712;000000;14.19;14.19;13.8;13.85;12400;0
TATNP;D;20020715;000000;13.67;13.94;13.67;13.7;21900;0
TATNP;D;20020716;000000;13.5;13.7;13.36;13.5;37600;0
TATNP;D;20020717;000000;13.5;14.1;13.2;14.05;87900;0
TATNP;D;20020718;000000;14;14.18;13.96;14;37900;0
TATNP;D;20020719;000000;13.9;13.9;13.5;13.6;28200;0
TATNP;D;20020722;000000;13.54;13.54;13.2;13.4;29200;0
TATNP;D;20020723;000000;13.34;13.4;12.91;13.4;45400;0
TATNP;D;20020724;000000;13.01;13.22;12.53;12.56;51400;0
TATNP;D;20020725;000000;12.9;13.17;12.51;13;41400;0
TATNP;D;20020726;000000;12.9;12.9;12.39;12.8;11500;0
TATNP;D;20020729;000000;13.15;13.15;12.24;12.99;24700;0
TATNP;D;20020730;000000;13;13.4;12.61;12.61;8600;0
TATNP;D;20020731;000000;12.98;12.98;12.1;12.2;9300;0
TATNP;D;20020801;000000;12.7;12.7;12.21;12.4;5900;0
TATNP;D;20020802;000000;13;13;12.05;12.4;54800;0
TATNP;D;20020805;000000;12.75;12.75;11.81;12;51600;0
TATNP;D;20020806;000000;12.13;12.13;11.47;12;74600;0
TATNP;D;20020807;000000;12.3;12.3;11.8;11.99;25000;0
TATNP;D;20020808;000000;11.41;12.09;11.41;12;41000;0
TATNP;D;20020809;000000;12.07;12.07;11.64;11.94;3300;0
TATNP;D;20020812;000000;12.02;12.02;11.8;11.8;6400;0
TATNP;D;20020813;000000;12;12.38;11.88;12.09;41800;0
TATNP;D;20020814;000000;12;12.35;11.99;12.35;110800;0
TATNP;D;20020815;000000;12.25;12.5;12.1;12.28;75700;0
TATNP;D;20020816;000000;12.36;12.36;12.1;12.25;20000;0
TATNP;D;20020819;000000;12.29;12.68;12.06;12.48;61500;0
TATNP;D;20020820;000000;12.78;12.78;12.12;12.3;122000;0
TATNP;D;20020821;000000;12.34;12.69;12.21;12.51;156400;0
TATNP;D;20020822;000000;12.74;13.12;12.67;12.8;149600;0
TATNP;D;20020823;000000;12.94;12.94;12.57;12.65;47600;0
TATNP;D;20020826;000000;12.73;12.77;12.6;12.65;23100;0
TATNP;D;20020827;000000;12.84;12.89;12.56;12.85;61900;0
TATNP;D;20020828;000000;12.65;12.75;12.56;12.65;93300;0
TATNP;D;20020829;000000;12.68;12.68;12.25;12.47;56700;0
TATNP;D;20020830;000000;12.58;12.79;12.31;12.73;151700;0
TATNP;D;20020902;000000;12.69;12.69;12.36;12.45;16200;0
TATNP;D;20020903;000000;12.59;12.59;12.3;12.47;13000;0
TATNP;D;20020904;000000;12.44;12.68;12.06;12.68;110900;0
TATNP;D;20020905;000000;12.6;12.99;12.6;12.6;72000;0
TATNP;D;20020906;000000;12.85;13.08;12.5;13.04;130300;0
TATNP;D;20020909;000000;13.17;13.45;13.01;13.4;277500;0
TATNP;D;20020910;000000;13.6;14.43;13.5;14.3;750500;0
TATNP;D;20020911;000000;14.3;14.48;14.04;14.47;295400;0
TATNP;D;20020912;000000;14.46;14.78;14.17;14.4;537200;0
TATNP;D;20020913;000000;14.2;14.47;14.1;14.1;43500;0
TATNP;D;20020916;000000;14.3;14.66;14.17;14.59;119300;0
TATNP;D;20020917;000000;14.6;15;14.42;14.42;349100;0
TATNP;D;20020918;000000;14.25;14.3;13.77;14.26;251200;0
TATNP;D;20020919;000000;14.06;14.31;13.95;14.2;163300;0
TATNP;D;20020920;000000;14.02;14.4;13.95;14.35;236500;0
TATNP;D;20020923;000000;14.23;14.59;14.11;14.3;256200;0
TATNP;D;20020924;000000;14.2;14.29;14.1;14.29;112300;0
TATNP;D;20020925;000000;14.2;14.4;14.13;14.25;149900;0
TATNP;D;20020926;000000;14.35;14.65;14.25;14.3;185200;0
TATNP;D;20020927;000000;14.01;14.4;13.01;14.13;40100;0
TATNP;D;20020930;000000;14.1;14.15;14;14;22100;0
TATNP;D;20021001;000000;13.81;14.25;13.81;14.15;255900;0
TATNP;D;20021002;000000;14.35;14.4;14.07;14.17;223400;0
TATNP;D;20021003;000000;14.22;14.6;14.22;14.55;442600;0
TATNP;D;20021004;000000;14.4;14.56;14.32;14.45;73400;0
TATNP;D;20021007;000000;14.26;14.57;14.2;14.49;331300;0
TATNP;D;20021008;000000;14.37;14.74;14.3;14.35;121700;0
TATNP;D;20021009;000000;14.3;14.3;14.02;14.02;40500;0
TATNP;D;20021010;000000;14.2;14.23;14.03;14.23;40900;0
TATNP;D;20021011;000000;14.2;14.38;14.2;14.26;34200;0
TATNP;D;20021014;000000;14.36;14.36;14.05;14.05;10400;0
TATNP;D;20021015;000000;14.28;14.69;14.28;14.63;310600;0
TATNP;D;20021016;000000;14.4;15;14.4;14.82;540900;0
TATNP;D;20021017;000000;14.85;15.12;14.85;14.95;304500;0
TATNP;D;20021018;000000;15.1;15.25;14.7;14.75;276200;0
TATNP;D;20021021;000000;14.6;14.8;14.6;14.61;46300;0
TATNP;D;20021022;000000;14.79;14.79;14.5;14.68;82100;0
TATNP;D;20021023;000000;14.5;14.98;14.5;14.86;248600;0
TATNP;D;20021024;000000;14.7;15;14.65;14.65;156700;0
TATNP;D;20021025;000000;14.65;14.75;14.55;14.75;65400;0
TATNP;D;20021028;000000;14.8;15.2;14.67;15.1;280300;0
TATNP;D;20021029;000000;15.17;15.3;14.86;14.86;350700;0
TATNP;D;20021030;000000;14.89;15.3;14.65;15.25;289200;0
