<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
TATN;D;20020108;000000;17.99;18.8;17.8;18.4;1346800;0
TATN;D;20020109;000000;18.56;18.78;18.07;18.35;1112200;0
TATN;D;20020110;000000;18.22;18.22;17.63;17.7;702100;0
TATN;D;20020111;000000;17.5;17.74;17.41;17.61;402900;0
TATN;D;20020114;000000;17.59;17.59;16.53;16.69;605500;0
TATN;D;20020115;000000;16.22;17.18;16.18;17;904800;0
TATN;D;20020116;000000;16.8;17.21;16.63;16.8;624700;0
TATN;D;20020117;000000;16.5;17.3;16.5;17.2;1190700;0
TATN;D;20020118;000000;17.13;17.55;16.75;17.36;1399600;0
TATN;D;20020121;000000;17.46;17.74;17.15;17.52;749900;0
TATN;D;20020122;000000;17.7;18.13;17.55;18.05;1046600;0
TATN;D;20020123;000000;18.03;18.11;17.4;17.4;1067700;0
TATN;D;20020124;000000;17.4;17.4;16.07;16.29;1439200;0
TATN;D;20020125;000000;16.15;16.2;15.2;15.4;1798200;0
TATN;D;20020128;000000;15.59;15.79;15.45;15.6;808400;0
TATN;D;20020129;000000;15.78;16.25;15.71;16.18;1259400;0
TATN;D;20020130;000000;15.8;15.8;15.35;15.35;650300;0
TATN;D;20020131;000000;15.95;15.95;15.5;15.64;259100;0
TATN;D;20020201;000000;15.68;15.89;15.58;15.7;315300;0
TATN;D;20020204;000000;15.52;15.6;15.32;15.32;320600;0
TATN;D;20020205;000000;15.2;15.38;15.02;15.35;289600;0
TATN;D;20020206;000000;15.26;15.85;15.26;15.6;609700;0
TATN;D;20020207;000000;15.64;15.8;15.5;15.75;257700;0
TATN;D;20020208;000000;15.8;15.8;15.34;15.43;479100;0
TATN;D;20020211;000000;15.6;15.8;15.51;15.65;392000;0
TATN;D;20020212;000000;15.8;16.33;15.8;15.88;1821900;0
TATN;D;20020213;000000;16.06;16.2;15.95;16.17;757800;0
TATN;D;20020214;000000;15.96;16.64;15.85;16.52;1383400;0
TATN;D;20020215;000000;16.81;16.81;16.29;16.4;1421900;0
TATN;D;20020218;000000;16.31;16.56;16.18;16.27;438200;0
TATN;D;20020219;000000;16.11;16.28;15.72;15.84;580600;0
TATN;D;20020220;000000;15.55;15.8;15.55;15.79;313600;0
TATN;D;20020221;000000;15.99;16.2;15.9;16.04;608900;0
TATN;D;20020222;000000;16.05;16.6;16.05;16.54;1641100;0
TATN;D;20020226;000000;16.5;16.6;16;16;834400;0
TATN;D;20020227;000000;16.11;16.34;15.7;15.89;706100;0
TATN;D;20020228;000000;15.8;15.98;15.55;15.68;562600;0
TATN;D;20020301;000000;15.65;16.15;15.65;16.15;829400;0
TATN;D;20020304;000000;16.37;17.14;16.37;16.62;3087600;0
