<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
TGLD ETF;D;20210825;000000;5.462;5.473;5.418;5.467;2051;0
TGLD ETF;D;20210826;000000;5.419;5.513;5.412;5.473;20229;0
TGLD ETF;D;20210827;000000;5.507;5.539;5.466;5.485;141711;0
TGLD ETF;D;20210830;000000;5.511;5.524;5.466;5.492;44257;0
TGLD ETF;D;20210831;000000;5.477;5.511;5.457;5.476;140818;0
TGLD ETF;D;20210901;000000;5.459;5.489;5.443;5.461;11777;0
TGLD ETF;D;20210902;000000;5.438;5.464;5.417;5.425;10234;0
TGLD ETF;D;20210903;000000;5.44;5.506;5.424;5.49;12337;0
TGLD ETF;D;20210906;000000;5.476;5.507;5.468;5.507;16488;0
TGLD ETF;D;20210907;000000;5.487;5.491;5.403;5.441;36871;0
TGLD ETF;D;20210908;000000;5.421;5.468;5.383;5.43;29425;0
TGLD ETF;D;20210909;000000;5.386;5.421;5.375;5.399;31846;0
TGLD ETF;D;20210910;000000;5.429;5.429;5.364;5.427;5895;0
TGLD ETF;D;20210913;000000;5.376;5.41;5.356;5.376;7201;0
TGLD ETF;D;20210914;000000;5.356;5.442;5.343;5.428;24384;0
TGLD ETF;D;20210915;000000;5.427;5.427;5.343;5.375;6993;0
TGLD ETF;D;20210916;000000;5.33;5.34;5.23;5.263;16882;0
TGLD ETF;D;20210917;000000;5.305;5.317;5.234;5.281;30523;0
TGLD ETF;D;20210920;000000;5.281;5.36;5.267;5.321;20013;0
TGLD ETF;D;20210921;000000;5.311;5.383;5.298;5.35;5016;0
TGLD ETF;D;20210922;000000;5.335;5.369;5.305;5.33;6597;0
TGLD ETF;D;20210923;000000;5.27;5.335;5.236;5.263;7758;0
TGLD ETF;D;20210924;000000;5.265;5.31;5.224;5.278;24287;0
TGLD ETF;D;20210927;000000;5.27;5.307;5.219;5.25;55169;0
TGLD ETF;D;20210928;000000;5.211;5.238;5.161;5.236;21458;0
TGLD ETF;D;20210929;000000;5.218;5.246;5.179;5.179;10108;0
TGLD ETF;D;20210930;000000;5.203;5.289;5.169;5.259;23121;0
TGLD ETF;D;20211001;000000;5.259;5.328;5.251;5.287;21512;0
TGLD ETF;D;20211004;000000;5.287;5.287;5.239;5.28;7179;0
TGLD ETF;D;20211005;000000;5.237;5.277;5.209;5.258;77029;0
TGLD ETF;D;20211006;000000;5.231;5.27;5.193;5.237;4246;0
TGLD ETF;D;20211007;000000;5.237;5.273;5.185;5.194;5689;0
TGLD ETF;D;20211008;000000;5.206;5.284;5.177;5.183;30107;0
TGLD ETF;D;20211011;000000;5.188;5.21;5.152;5.184;24747;0
TGLD ETF;D;20211012;000000;5.223;5.254;5.198;5.225;25000;0
TGLD ETF;D;20211013;000000;5.206;5.318;5.206;5.31;10452;0
TGLD ETF;D;20211014;000000;5.319;5.33;5.266;5.302;5230;0
TGLD ETF;D;20211015;000000;5.267;5.267;5.171;5.193;107477;0
TGLD ETF;D;20211018;000000;5.172;5.19;5.148;5.19;33437;0
TGLD ETF;D;20211019;000000;5.251;5.266;5.18;5.188;27645;0
TGLD ETF;D;20211020;000000;5.227;5.234;5.19;5.219;26727;0
TGLD ETF;D;20211021;000000;5.232;5.248;5.203;5.209;15069;0
TGLD ETF;D;20211022;000000;5.257;5.274;5.174;5.2;16791;0
TGLD ETF;D;20211025;000000;5.233;5.233;5.172;5.218;18092;0
TGLD ETF;D;20211026;000000;5.18;5.182;5.098;5.127;15834;0
TGLD ETF;D;20211027;000000;5.127;5.21;5.11;5.184;9135;0
TGLD ETF;D;20211028;000000;5.244;5.271;5.181;5.229;27317;0
TGLD ETF;D;20211029;000000;5.203;5.237;5.17;5.177;7304;0
TGLD ETF;D;20211101;000000;5.242;5.284;5.202;5.24;12280;0
TGLD ETF;D;20211102;000000;5.266;5.326;5.266;5.292;28911;0
TGLD ETF;D;20211103;000000;5.244;5.31;5.214;5.224;35535;0
TGLD ETF;D;20211105;000000;5.34;5.34;5.252;5.316;30476;0
TGLD ETF;D;20211108;000000;5.316;5.364;5.316;5.36;31789;0
TGLD ETF;D;20211109;000000;5.36;5.364;5.294;5.326;7634;0
TGLD ETF;D;20211110;000000;5.318;5.44;5.28;5.426;36865;0
TGLD ETF;D;20211111;000000;5.426;5.474;5.422;5.434;86565;0
TGLD ETF;D;20211112;000000;5.446;5.594;5.446;5.558;80078;0
TGLD ETF;D;20211115;000000;5.544;5.592;5.48;5.584;525948;0
TGLD ETF;D;20211116;000000;5.594;5.664;5.552;5.636;134619;0
TGLD ETF;D;20211117;000000;5.616;5.616;5.54;5.552;40638;0
TGLD ETF;D;20211118;000000;5.552;5.624;5.536;5.612;29376;0
TGLD ETF;D;20211119;000000;5.576;5.648;5.542;5.61;28322;0
TGLD ETF;D;20211122;000000;5.568;5.776;5.53;5.6;81402;0
TGLD ETF;D;20211123;000000;5.57;5.62;5.428;5.506;1056158;0
TGLD ETF;D;20211124;000000;5.506;5.542;5.468;5.518;17927;0
TGLD ETF;D;20211125;000000;5.542;5.546;5.488;5.508;6910;0
TGLD ETF;D;20211126;000000;5.61;5.698;5.576;5.612;154902;0
TGLD ETF;D;20211129;000000;5.576;5.6;5.466;5.474;123786;0
TGLD ETF;D;20211130;000000;5.58;5.582;5.472;5.506;17982;0
TGLD ETF;D;20211201;000000;5.504;5.504;5.414;5.442;7007;0
TGLD ETF;D;20211202;000000;5.428;5.434;5.34;5.356;20545;0
TGLD ETF;D;20211203;000000;5.386;5.402;5.356;5.364;6849;0
TGLD ETF;D;20211206;000000;5.43;5.436;5.364;5.436;125614;0
TGLD ETF;D;20211207;000000;5.45;5.478;5.422;5.462;18715;0
TGLD ETF;D;20211208;000000;5.474;5.474;5.394;5.416;10237;0
TGLD ETF;D;20211209;000000;5.394;5.422;5.37;5.378;12308;0
TGLD ETF;D;20211210;000000;5.378;5.392;5.328;5.39;127331;0
TGLD ETF;D;20211213;000000;5.408;5.428;5.38;5.4;29742;0
TGLD ETF;D;20211214;000000;5.4;5.424;5.352;5.352;37890;0
TGLD ETF;D;20211215;000000;5.394;5.4;5.35;5.364;25902;0
TGLD ETF;D;20211216;000000;5.448;5.462;5.382;5.426;12860;0
TGLD ETF;D;20211217;000000;5.524;5.532;5.45;5.532;85361;0
TGLD ETF;D;20211220;000000;5.528;5.528;5.466;5.48;15006;0
TGLD ETF;D;20211221;000000;5.466;5.498;5.43;5.47;36919;0
TGLD ETF;D;20211222;000000;5.464;5.464;5.404;5.438;29724;0
TGLD ETF;D;20211223;000000;5.47;5.488;5.432;5.452;29511;0
TGLD ETF;D;20211224;000000;5.438;5.502;5.434;5.502;31117;0
TGLD ETF;D;20211227;000000;5.482;5.498;5.448;5.488;153483;0
TGLD ETF;D;20211228;000000;5.47;5.528;5.466;5.5;40451;0
TGLD ETF;D;20211229;000000;5.498;5.52;5.436;5.516;121688;0
TGLD ETF;D;20211230;000000;5.496;5.582;5.462;5.578;16013;0
TGLD ETF;D;20220103;000000;5.628;5.628;5.504;5.54;30494;0
TGLD ETF;D;20220104;000000;5.54;5.622;5.53;5.62;6218;0
TGLD ETF;D;20220105;000000;5.636;5.722;5.602;5.7;185685;0
TGLD ETF;D;20220106;000000;5.696;5.696;5.4;5.618;48624;0
TGLD ETF;D;20220110;000000;5.566;5.568;5.52;5.566;78101;0
TGLD ETF;D;20220111;000000;5.568;5.596;5.53;5.596;23779;0
TGLD ETF;D;20220112;000000;5.588;5.624;5.544;5.62;16028;0
TGLD ETF;D;20220113;000000;5.608;5.724;5.566;5.7;56330;0
TGLD ETF;D;20220114;000000;5.682;5.77;5.66;5.708;95628;0
TGLD ETF;D;20220117;000000;5.69;5.742;5.642;5.696;75571;0
TGLD ETF;D;20220118;000000;5.688;5.75;5.654;5.718;164786;0
TGLD ETF;D;20220119;000000;5.722;5.792;5.652;5.74;156898;0
TGLD ETF;D;20220120;000000;5.758;5.82;5.738;5.8;32951;0
TGLD ETF;D;20220121;000000;5.816;5.842;5.74;5.794;484626;0
TGLD ETF;D;20220124;000000;5.83;6;5.802;5.94;775672;0
TGLD ETF;D;20220125;000000;5.94;6.034;5.906;5.916;405897;0
TGLD ETF;D;20220126;000000;5.998;6.056;5.932;5.952;806855;0
TGLD ETF;D;20220127;000000;5.902;5.922;5.706;5.758;87469;0
TGLD ETF;D;20220128;000000;5.752;5.754;5.664;5.708;236065;0
TGLD ETF;D;20220131;000000;5.678;5.734;5.668;5.73;78034;0
TGLD ETF;D;20220201;000000;5.73;5.732;5.66;5.686;184453;0
TGLD ETF;D;20220202;000000;5.68;5.696;5.616;5.662;68887;0
TGLD ETF;D;20220203;000000;5.658;5.702;5.62;5.666;208114;0
TGLD ETF;D;20220204;000000;5.666;5.682;5.616;5.636;38157;0
TGLD ETF;D;20220207;000000;5.646;5.668;5.6;5.63;13304;0
TGLD ETF;D;20220208;000000;5.64;5.652;5.59;5.614;69416;0
TGLD ETF;D;20220209;000000;5.61;5.634;5.586;5.616;26193;0
TGLD ETF;D;20220210;000000;5.642;5.66;5.592;5.646;20026;0
TGLD ETF;D;20220211;000000;5.636;5.958;5.62;5.866;226525;0
TGLD ETF;D;20220214;000000;5.86;5.952;5.782;5.9;268763;0
TGLD ETF;D;20220215;000000;5.896;5.926;5.71;5.756;492120;0
TGLD ETF;D;20220216;000000;5.752;5.79;5.694;5.78;51232;0
TGLD ETF;D;20220217;000000;5.842;6;5.804;5.964;472556;0
TGLD ETF;D;20220218;000000;5.9;6.042;5.856;6.008;261655;0
TGLD ETF;D;20220221;000000;5.94;6.27;5.896;6.256;1267846;0
TGLD ETF;D;20220222;000000;6.266;6.372;6.098;6.22;745458;0
TGLD ETF;D;20220224;000000;6.324;7.07;5.5;6.268;1251510;0
TGLD ETF;D;20220225;000000;6.802;6.802;5.97;6;629071;0
TGLD ETF;D;20220531;000000;5.27;5.27;4.1;4.442;375190;0
TGLD ETF;D;20220601;000000;4.48;4.522;4.332;4.418;63861;0
TGLD ETF;D;20220602;000000;4.414;4.52;4.35;4.454;79690;0
TGLD ETF;D;20220603;000000;4.392;4.54;4.342;4.37;713138;0
TGLD ETF;D;20220606;000000;4.896;4.896;4.338;4.462;223578;0
TGLD ETF;D;20220607;000000;4.85;4.85;4.348;4.372;79926;0
TGLD ETF;D;20220608;000000;4.374;4.5;4.246;4.312;208024;0
TGLD ETF;D;20220609;000000;4.312;4.314;4.032;4.164;450269;0
TGLD ETF;D;20220610;000000;4.438;4.438;4.066;4.314;97062;0
TGLD ETF;D;20220614;000000;4.252;4.314;4.052;4.1;914677;0
TGLD ETF;D;20220615;000000;4.1;4.314;4.08;4.314;66920;0
TGLD ETF;D;20220616;000000;4.492;4.492;4.174;4.29;153249;0
TGLD ETF;D;20220617;000000;4.19;4.488;4.1;4.254;106916;0
TGLD ETF;D;20220620;000000;4.246;4.302;4.076;4.202;104333;0
TGLD ETF;D;20220621;000000;4.202;4.238;3.998;4.192;268500;0
TGLD ETF;D;20220622;000000;4.192;4.192;4.01;4.176;455337;0
TGLD ETF;D;20220623;000000;4.232;4.276;4.02;4.088;139769;0
TGLD ETF;D;20220624;000000;4.14;4.144;3.85;4.002;428400;0
TGLD ETF;D;20220627;000000;4.042;4.11;3.8;3.976;225581;0
TGLD ETF;D;20220628;000000;4.05;4.114;3.902;3.96;2755180;0
TGLD ETF;D;20220629;000000;4.074;4.074;3.782;3.98;645054;0
TGLD ETF;D;20220630;000000;3.98;4.096;3.804;4.018;353949;0
TGLD ETF;D;20220701;000000;4.018;4.148;3.894;4.142;1854441;0
TGLD ETF;D;20220704;000000;4.142;4.3;4.078;4.242;517893;0
TGLD ETF;D;20220705;000000;4.354;4.624;4.196;4.6;458182;0
TGLD ETF;D;20220706;000000;4.78;4.78;4.452;4.638;160049;0
TGLD ETF;D;20220707;000000;4.448;4.7;4.408;4.528;87727;0
TGLD ETF;D;20220708;000000;4.528;4.53;4.21;4.378;334427;0
TGLD ETF;D;20220711;000000;4.556;4.556;4.094;4.228;107742;0
TGLD ETF;D;20220712;000000;4.346;4.346;4.012;4.174;262249;0
TGLD ETF;D;20220713;000000;4.174;4.198;4.054;4.086;55310;0
TGLD ETF;D;20220714;000000;4.086;4.268;4;4.02;474509;0
TGLD ETF;D;20220715;000000;4.15;4.182;3.896;4.05;345651;0
TGLD ETF;D;20220718;000000;4.3;4.3;3.884;3.982;119791;0
TGLD ETF;D;20220719;000000;4.086;4.086;3.852;3.952;69205;0
TGLD ETF;D;20220720;000000;4.102;4.102;3.86;3.968;73005;0
TGLD ETF;D;20220721;000000;3.968;4.15;3.86;4.012;235215;0
TGLD ETF;D;20220722;000000;3.9;4.148;3.878;4.032;388988;0
TGLD ETF;D;20220725;000000;4.152;4.34;4.012;4.124;2630045;0
TGLD ETF;D;20220726;000000;4.398;4.398;4;4.3;289099;0
TGLD ETF;D;20220727;000000;4.3;4.366;4.2;4.232;272770;0
TGLD ETF;D;20220728;000000;4.396;4.496;4.25;4.446;1228447;0
TGLD ETF;D;20220729;000000;4.446;4.59;4.4;4.59;808076;0
TGLD ETF;D;20220801;000000;4.326;4.698;4.324;4.546;14787879;0
TGLD ETF;D;20220802;000000;4.76;4.76;4.402;4.556;392998;0
TGLD ETF;D;20220803;000000;4.77;4.77;4.412;4.518;847691;0
TGLD ETF;D;20220804;000000;4.5;4.6;4.488;4.5;327767;0
TGLD ETF;D;20220805;000000;4.5;4.63;4.45;4.504;400163;0
TGLD ETF;D;20220808;000000;4.17;4.748;4.17;4.488;318878;0
TGLD ETF;D;20220809;000000;4.62;4.62;4.45;4.51;95720;0
TGLD ETF;D;20220810;000000;4.63;4.696;4.402;4.516;175066;0
TGLD ETF;D;20220811;000000;4.596;4.596;4.452;4.54;208383;0
TGLD ETF;D;20220812;000000;4.52;4.638;4.5;4.528;737672;0
TGLD ETF;D;20220815;000000;4.644;4.646;4.5;4.59;1305475;0
TGLD ETF;D;20220816;000000;4.65;4.65;4.51;4.51;2406306;0
TGLD ETF;D;20220817;000000;4.512;4.72;4.5;4.53;1605549;0
TGLD ETF;D;20220818;000000;4.53;4.676;4.402;4.436;3841988;0
TGLD ETF;D;20220819;000000;4.698;4.698;4.35;4.412;1591436;0
TGLD ETF;D;20220822;000000;4.412;4.568;4.3;4.362;1424271;0
TGLD ETF;D;20220823;000000;4.35;4.466;4.31;4.312;446419;0
TGLD ETF;D;20220824;000000;4.47;4.47;4.32;4.332;1166836;0
TGLD ETF;D;20220825;000000;4.47;4.47;4.332;4.354;1592288;0
TGLD ETF;D;20220826;000000;4.58;4.58;4.356;4.418;1722886;0
TGLD ETF;D;20220829;000000;4.398;4.418;4.35;4.398;1255969;0
TGLD ETF;D;20220830;000000;4.398;4.49;4.32;4.326;2259927;0
TGLD ETF;D;20220831;000000;4.49;4.49;4.226;4.28;3596835;0
TGLD ETF;D;20220901;000000;4.408;4.408;4.25;4.342;556643;0
TGLD ETF;D;20220902;000000;4.408;4.452;4.302;4.338;2203387;0
TGLD ETF;D;20220905;000000;4.34;4.462;4.28;4.324;2899841;0
TGLD ETF;D;20220906;000000;4.324;4.4;4.302;4.4;2016740;0
TGLD ETF;D;20220907;000000;4.4;4.414;4.3;4.3;3944735;0
TGLD ETF;D;20220908;000000;4.398;4.42;4.306;4.334;2111949;0
TGLD ETF;D;20220909;000000;4.316;4.43;4.31;4.312;2472850;0
TGLD ETF;D;20220912;000000;4.436;4.436;4.31;4.316;3947994;0
TGLD ETF;D;20220913;000000;4.402;4.406;4.3;4.332;553157;0
TGLD ETF;D;20220914;000000;4.332;4.36;4.254;4.284;3463840;0
TGLD ETF;D;20220915;000000;4.28;4.31;4.25;4.288;2435874;0
TGLD ETF;D;20220916;000000;4.38;4.388;4.25;4.264;2998480;0
TGLD ETF;D;20220919;000000;4.344;4.346;4.214;4.252;1834707;0
TGLD ETF;D;20220920;000000;4.23;4.27;4.208;4.25;1664246;0
TGLD ETF;D;20220921;000000;4.252;4.344;4.142;4.154;4044915;0
TGLD ETF;D;20220922;000000;4.208;4.208;4.072;4.128;4206637;0
TGLD ETF;D;20220923;000000;4.134;4.2;3.944;4.1;8528367;0
TGLD ETF;D;20220926;000000;4.1;4.146;3.948;4.072;4071460;0
TGLD ETF;D;20220927;000000;4.136;4.136;3.962;4.036;3820169;0
TGLD ETF;D;20220928;000000;4.02;4.098;4.004;4.042;8748733;0
TGLD ETF;D;20220929;000000;4.042;4.06;3.984;4.05;928902;0
TGLD ETF;D;20220930;000000;3.958;4.25;3.958;4.25;1273946;0
TGLD ETF;D;20221003;000000;4.25;4.27;4;4.27;4277090;0
TGLD ETF;D;20221004;000000;4.086;4.322;4.084;4.244;6651572;0
TGLD ETF;D;20221005;000000;4.398;4.398;4.238;4.288;6608497;0
TGLD ETF;D;20221006;000000;4.29;4.4;4.29;4.396;7590575;0
TGLD ETF;D;20221007;000000;4.396;4.5;4.302;4.36;4573545;0
TGLD ETF;D;20221010;000000;4.408;4.456;4.272;4.276;14590381;0
TGLD ETF;D;20221011;000000;4.372;4.498;4.278;4.432;15473206;0
TGLD ETF;D;20221012;000000;4.432;4.58;4.32;4.422;19048648;0
TGLD ETF;D;20221013;000000;4.5;4.564;4.312;4.38;14911362;0
TGLD ETF;D;20221014;000000;4.382;4.452;4.262;4.322;9438352;0
TGLD ETF;D;20221017;000000;4.348;4.538;4.24;4.278;20404538;0
TGLD ETF;D;20221018;000000;4.278;4.328;4.206;4.236;29281240;0
TGLD ETF;D;20221019;000000;4.26;4.296;4.204;4.204;29789759;0
TGLD ETF;D;20221020;000000;4.236;4.284;4.172;4.2;33578597;0
TGLD ETF;D;20221021;000000;4.2;4.25;4.174;4.21;38980948;0
TGLD ETF;D;20221024;000000;4.236;4.292;4.2;4.202;77060317;0
TGLD ETF;D;20221025;000000;4.226;4.36;4.2;4.242;63460785;0
TGLD ETF;D;20221026;000000;4.386;4.458;4.244;4.272;75665886;0
TGLD ETF;D;20221027;000000;4.272;4.348;4.252;4.292;61613569;0
TGLD ETF;D;20221028;000000;4.294;4.356;4.282;4.294;73435421;0
TGLD ETF;D;20221031;000000;4.31;4.398;4.262;4.272;109064670;0
TGLD ETF;D;20221101;000000;4.308;4.422;4.27;4.28;111448053;0
TGLD ETF;D;20221102;000000;4.298;4.326;4.28;4.292;111816237;0
TGLD ETF;D;20221103;000000;4.294;4.378;4.262;4.262;102783176;0
TGLD ETF;D;20221107;000000;4.266;4.34;4.252;4.272;171896354;0
TGLD ETF;D;20221108;000000;4.29;4.374;4.274;4.322;134049666;0
TGLD ETF;D;20221109;000000;4.324;4.526;4.324;4.514;41405306;0
TGLD ETF;D;20221110;000000;4.524;4.582;4.4;4.44;22664310;0
TGLD ETF;D;20221111;000000;4.49;4.49;4.25;4.33;135118782;0
TGLD ETF;D;20221114;000000;4.378;4.466;4.366;4.422;94503888;0
TGLD ETF;D;20221115;000000;4.424;4.46;4.398;4.42;74082376;0
TGLD ETF;D;20221116;000000;4.46;4.46;4.4;4.422;108737526;0
TGLD ETF;D;20221117;000000;4.422;4.46;4.408;4.428;80374243;0
TGLD ETF;D;20221118;000000;4.428;4.456;4.402;4.406;117557802;0
TGLD ETF;D;20221121;000000;4.424;4.472;4.4;4.424;114435603;0
TGLD ETF;D;20221122;000000;4.438;4.482;4.42;4.464;61835796;0
TGLD ETF;D;20221123;000000;4.468;4.59;4.434;4.492;43374887;0
TGLD ETF;D;20221124;000000;4.492;4.51;4.402;4.426;132972119;0
TGLD ETF;D;20221125;000000;4.456;4.456;4.412;4.42;90987163;0
TGLD ETF;D;20221128;000000;4.45;4.474;4.426;4.464;99264914;0
TGLD ETF;D;20221129;000000;4.468;4.49;4.426;4.45;123892397;0
TGLD ETF;D;20221130;000000;4.448;4.496;4.448;4.456;110279445;0
TGLD ETF;D;20221201;000000;4.476;4.536;4.462;4.528;108016464;0
TGLD ETF;D;20221202;000000;4.512;4.612;4.512;4.582;117390272;0
TGLD ETF;D;20221205;000000;4.606;4.666;4.606;4.626;152644490;0
TGLD ETF;D;20221206;000000;4.63;4.684;4.584;4.664;137990808;0
TGLD ETF;D;20221207;000000;4.67;4.706;4.594;4.644;174096647;0
TGLD ETF;D;20221208;000000;4.654;4.674;4.584;4.65;116869152;0
TGLD ETF;D;20221209;000000;4.66;4.67;4.624;4.648;132970659;0
TGLD ETF;D;20221212;000000;4.678;4.722;4.64;4.676;149907633;0
TGLD ETF;D;20221213;000000;4.73;4.748;4.688;4.702;151416612;0
TGLD ETF;D;20221214;000000;4.702;4.778;4.702;4.778;136701440;0
TGLD ETF;D;20221215;000000;4.778;4.878;4.732;4.794;147539300;0
TGLD ETF;D;20221216;000000;4.816;4.834;4.742;4.804;141336047;0
TGLD ETF;D;20221219;000000;4.866;4.994;4.812;4.97;178520453;0
TGLD ETF;D;20221220;000000;5.012;5.12;4.972;5.11;178511685;0
TGLD ETF;D;20221221;000000;5.136;5.268;5.136;5.25;168478832;0
TGLD ETF;D;20221222;000000;5.322;5.44;4.984;5.074;111040818;0
TGLD ETF;D;20221223;000000;5.21;5.248;4.992;5.198;45224344;0
TGLD ETF;D;20221226;000000;5.298;5.298;5.018;5.098;120411587;0
TGLD ETF;D;20221227;000000;5.082;5.27;5.01;5.242;65132670;0
TGLD ETF;D;20221228;000000;5.576;5.576;5.152;5.274;43281128;0
TGLD ETF;D;20221229;000000;5.292;5.398;5.222;5.362;22141665;0
TGLD ETF;D;20221230;000000;5.598;5.598;5.26;5.312;14233534;0
