<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
TRMK;D;20070411;000000;0;0;0;0;0;0
TRMK;D;20070412;000000;0;0;0;0;0;0
TRMK;D;20070413;000000;0;0;0;0;0;0
TRMK;D;20070416;000000;0;0;0;0;0;0
TRMK;D;20070417;000000;265.3;265.3;230;232;11776;0
TRMK;D;20070418;000000;235;260;229.03;230.9;16727;0
TRMK;D;20070419;000000;237.87;237.87;223;224;5924;0
TRMK;D;20070420;000000;230;236.46;215.1;232;2712;0
TRMK;D;20070423;000000;232.5;235;231.53;231.53;104;0
TRMK;D;20070424;000000;232;236.78;231.85;236.78;197;0
TRMK;D;20070425;000000;234.97;235;229.4;231.98;305;0
TRMK;D;20070426;000000;230;236;230;236;267;0
TRMK;D;20070427;000000;231.24;235.7;231.24;232.5;118;0
TRMK;D;20070428;000000;236;236;236;236;227;0
TRMK;D;20070502;000000;238.5;238.5;238.49;238.5;26;0
TRMK;D;20070503;000000;238.8;239.53;238.8;239.53;1749;0
TRMK;D;20070504;000000;240;240;239.1;239.1;75;0
TRMK;D;20070507;000000;237.02;240.42;234.49;234.49;1047;0
TRMK;D;20070508;000000;240;240.11;234.18;238.99;1972;0
TRMK;D;20070510;000000;239.83;239.83;239.83;239.83;155;0
TRMK;D;20070511;000000;235.3;235.5;230;230;543;0
TRMK;D;20070514;000000;235.5;235.8;235.5;235.5;64;0
TRMK;D;20070515;000000;235.35;235.35;233;235.35;902;0
TRMK;D;20070516;000000;240;240;231.5;235;4497;0
TRMK;D;20070517;000000;235.01;240;232;234.21;1947;0
TRMK;D;20070518;000000;231;236.35;206.35;230;100;0
TRMK;D;20070521;000000;0;0;0;0;0;0
TRMK;D;20070522;000000;235.9;236;234;235.9;198;0
TRMK;D;20070523;000000;236;236;234.26;234.26;26;0
TRMK;D;20070524;000000;0;0;0;0;0;0
TRMK;D;20070525;000000;0;0;0;0;0;0
TRMK;D;20070528;000000;232.99;232.99;232.99;232.99;1;0
TRMK;D;20070529;000000;234.31;234.31;234.29;234.29;111;0
TRMK;D;20070530;000000;234.42;235;234.42;234.42;1900;0
TRMK;D;20070531;000000;0;0;0;0;0;0
TRMK;D;20070601;000000;234;234;232.97;234;81;0
TRMK;D;20070604;000000;231.79;236.95;231.79;236.95;130;0
TRMK;D;20070605;000000;236.91;236.91;236;236.7;30;0
TRMK;D;20070606;000000;235;235;235;235;215;0
TRMK;D;20070607;000000;0;0;0;0;0;0
TRMK;D;20070608;000000;235.1;235.1;235.1;235.1;2;0
TRMK;D;20070609;000000;235;236;231;236;41;0
TRMK;D;20070613;000000;230.51;231.01;230.05;231;177;0
TRMK;D;20070614;000000;235;235;229.17;229.2;1317;0
TRMK;D;20070615;000000;231.81;231.81;229.1;231.81;4993;0
TRMK;D;20070618;000000;231.68;235.95;231.68;233.82;549;0
TRMK;D;20070619;000000;231;232;231;232;877;0
TRMK;D;20070620;000000;241;243.7;240.55;243.7;655;0
TRMK;D;20070621;000000;243.8;243.8;243.6;243.6;454;0
TRMK;D;20070622;000000;0;0;0;0;0;0
TRMK;D;20070625;000000;0;0;0;0;0;0
TRMK;D;20070626;000000;241.35;241.35;240.87;240.87;1112;0
TRMK;D;20070627;000000;239.73;239.73;239.73;239.73;3;0
TRMK;D;20070628;000000;240.37;241.1;240.37;241.1;5041;0
TRMK;D;20070629;000000;237.32;237.32;237.32;237.32;5022;0
TRMK;D;20070702;000000;237.5;237.5;237.5;237.5;1;0
TRMK;D;20070703;000000;255;260;238.19;238.19;3229;0
TRMK;D;20070704;000000;237.33;237.33;237.33;237.33;202;0
TRMK;D;20070705;000000;246.97;246.98;246.92;246.98;11;0
TRMK;D;20070706;000000;240;241.33;238;241.33;5635;0
TRMK;D;20070709;000000;249.99;259.99;239.29;244.33;6044;0
TRMK;D;20070710;000000;243.49;249.4;243.49;247;6023;0
TRMK;D;20070711;000000;250;255;246.32;255;3707;0
TRMK;D;20070712;000000;259.32;268;253;268;2752;0
TRMK;D;20070713;000000;261.54;261.78;261.54;261.77;895;0
TRMK;D;20070716;000000;261.63;300;261.6;290;502;0
