<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Транснф ап;D;20020522;000000;11950;11950;11950;11950;25;0
Транснф ап;D;20020523;000000;11970;11970;11970;11970;18;0
Транснф ап;D;20020527;000000;11730;11870;11730;11870;14;0
Транснф ап;D;20020528;000000;11820.01;11830;11800;11830;20;0
Транснф ап;D;20020529;000000;11700;11700;11400;11400;236;0
Транснф ап;D;20020603;000000;11550;11550;11150;11150;38;0
Транснф ап;D;20020604;000000;11200;11200;11100;11111;180;0
Транснф ап;D;20020606;000000;11000.01;11000.01;10900;10900;146;0
Транснф ап;D;20020607;000000;11000;11300;10950;11300;11;0
Транснф ап;D;20020610;000000;11200;11200;11200;11200;9;0
Транснф ап;D;20020613;000000;11220;11220;11100;11100;18;0
Транснф ап;D;20020614;000000;11500;11500;10851;10851;88;0
Транснф ап;D;20020617;000000;10900;10900;10750;10750;31;0
Транснф ап;D;20020619;000000;10500;10500;10500;10500;10;0
Транснф ап;D;20020620;000000;10600;10700;10600;10690;64;0
Транснф ап;D;20020621;000000;10530;10770;10200;10770;135;0
Транснф ап;D;20020624;000000;10280;10280;10280;10280;20;0
Транснф ап;D;20020625;000000;10349.99;10400;10349.99;10400;12;0
Транснф ап;D;20020626;000000;10070;10368;10070;10368;7;0
Транснф ап;D;20020628;000000;10470;10700;10325.01;10325.01;136;0
Транснф ап;D;20020701;000000;10450;10550;10450;10550;20;0
Транснф ап;D;20020702;000000;10650;10650;10341;10341.11;120;0
Транснф ап;D;20020703;000000;10500;10800;10500;10700;136;0
Транснф ап;D;20020704;000000;10850;11030;10850;11030;24;0
Транснф ап;D;20020705;000000;11070;11150;11060.01;11060.01;118;0
Транснф ап;D;20020709;000000;11100;11200;11100;11200;100;0
Транснф ап;D;20020710;000000;11200;11650;11200;11650;443;0
Транснф ап;D;20020711;000000;11600;11600;11455;11455;455;0
Транснф ап;D;20020712;000000;11600;12000;11550;11850;406;0
Транснф ап;D;20020715;000000;11761;12998.99;11761;12400;1109;0
Транснф ап;D;20020716;000000;12400;12600;12000;12150;395;0
Транснф ап;D;20020717;000000;12399;12500;12300;12300;254;0
Транснф ап;D;20020718;000000;12300;12420;12300;12420;113;0
Транснф ап;D;20020719;000000;12251;12300;12150;12195;95;0
Транснф ап;D;20020722;000000;11900;12000;11700;12000;50;0
Транснф ап;D;20020723;000000;11715;11890;11700;11730;94;0
Транснф ап;D;20020724;000000;11400;11600;11255;11598;29;0
Транснф ап;D;20020725;000000;11550;11994;11140.01;11140.01;25;0
Транснф ап;D;20020726;000000;11100;11770;10600;11770;145;0
Транснф ап;D;20020729;000000;12150;12150;11649;11649;6;0
Транснф ап;D;20020730;000000;11453;11453;11200;11200;36;0
Транснф ап;D;20020731;000000;11550;11670;11550;11625;524;0
Транснф ап;D;20020801;000000;11739;11750;11650;11650;255;0
Транснф ап;D;20020802;000000;11680;11700;11680;11700;22;0
Транснф ап;D;20020805;000000;11600;11649;11500;11500;786;0
Транснф ап;D;20020806;000000;11380;11380;11250;11300;544;0
Транснф ап;D;20020807;000000;11301;11588;11301;11588;17;0
Транснф ап;D;20020808;000000;11600;11600;11313;11371;41;0
Транснф ап;D;20020809;000000;11400;11400;11300;11398;61;0
Транснф ап;D;20020812;000000;11400;11400;11350;11350;61;0
Транснф ап;D;20020814;000000;11350;11350;11300;11350;229;0
Транснф ап;D;20020815;000000;11420;11450;11420;11450;69;0
Транснф ап;D;20020819;000000;11400;11501;11400;11500;108;0
Транснф ап;D;20020820;000000;11400;11500;11302;11400;38;0
Транснф ап;D;20020821;000000;12250;12250;11150;11350;18;0
Транснф ап;D;20020822;000000;11420;11420;11340;11340;38;0
Транснф ап;D;20020823;000000;11241;11241;11160;11200;59;0
Транснф ап;D;20020826;000000;11180;11180;11001;11150;43;0
Транснф ап;D;20020827;000000;11180;11250;11180;11250;11;0
Транснф ап;D;20020828;000000;11102;11249.99;11102;11249.99;26;0
Транснф ап;D;20020829;000000;12130;12130;11100.01;11130;95;0
Транснф ап;D;20020830;000000;11330;11370;11101;11205;95;0
Транснф ап;D;20020902;000000;11130;11200;11101;11125;46;0
Транснф ап;D;20020903;000000;11120;11120;11111;11111;20;0
Транснф ап;D;20020904;000000;11111;11111;10500;10500;41;0
Транснф ап;D;20020905;000000;11100;11100;10950;10965;24;0
Транснф ап;D;20020906;000000;11000;11000;11000;11000;15;0
Транснф ап;D;20020909;000000;11000;11000;11000;11000;12;0
Транснф ап;D;20020910;000000;11080;11150;11000;11099;38;0
Транснф ап;D;20020911;000000;11100;11100;11010;11018;73;0
Транснф ап;D;20020912;000000;11000.05;11048.5;11000;11000;141;0
Транснф ап;D;20020913;000000;10930;10981;10900;10950;114;0
Транснф ап;D;20020916;000000;10755;10755;10755;10755;1;0
Транснф ап;D;20020917;000000;10855.01;10865;10500;10500;227;0
Транснф ап;D;20020918;000000;10500;10500;10150;10490;37;0
Транснф ап;D;20020919;000000;10310;10310;10265;10300;7;0
Транснф ап;D;20020923;000000;10500;10500;10400;10400;117;0
Транснф ап;D;20020924;000000;10500;10520;10450;10450;118;0
Транснф ап;D;20020925;000000;10500;10500;10350;10350;25;0
Транснф ап;D;20020926;000000;10500;10600;10500;10600;32;0
Транснф ап;D;20020927;000000;10600;10660;10595;10625;140;0
Транснф ап;D;20020930;000000;10550;10550;10406;10406;72;0
Транснф ап;D;20021001;000000;10350;10446;10350;10399;94;0
Транснф ап;D;20021002;000000;10450;10500;10400;10400;121;0
Транснф ап;D;20021003;000000;10450;10480;10400;10480;17;0
Транснф ап;D;20021004;000000;10630;10700;10562;10700;218;0
Транснф ап;D;20021007;000000;10600;11090;10600;11080;289;0
Транснф ап;D;20021008;000000;11050;11200;11000.01;11021;308;0
Транснф ап;D;20021009;000000;11100;11130;11000.01;11000.01;235;0
Транснф ап;D;20021010;000000;11000;11037;10921;10922;37;0
Транснф ап;D;20021011;000000;10910.01;10910.01;10850;10870;43;0
Транснф ап;D;20021014;000000;11200;11200;10800;10980;149;0
Транснф ап;D;20021015;000000;10868;10995;10850;10995;77;0
Транснф ап;D;20021016;000000;11000;11011.11;10950;11000;203;0
Транснф ап;D;20021017;000000;11000;11000;11000;11000;23;0
Транснф ап;D;20021018;000000;10987;11150;10900;11050;30;0
Транснф ап;D;20021021;000000;11111.11;11300;10950.66;11000;1560;0
Транснф ап;D;20021022;000000;11190;12000;10140;10140;1338;0
Транснф ап;D;20021023;000000;11400;11500;11300;11315;424;0
Транснф ап;D;20021024;000000;11151.02;11348;11050;11297.99;579;0
Транснф ап;D;20021025;000000;11345;11400;11270;11345;371;0
Транснф ап;D;20021028;000000;11447.99;11449;11370.02;11370.02;146;0
Транснф ап;D;20021029;000000;11400;11450;11400;11400;60;0
Транснф ап;D;20021030;000000;11352;11360;11300;11360;289;0
Транснф ап;D;20021031;000000;11399;11600;11338;11540;881;0
Транснф ап;D;20021101;000000;11595;11600;11451;11451;165;0
Транснф ап;D;20021104;000000;11400;11520;11400;11520;11;0
Транснф ап;D;20021105;000000;11456;11750;11398.5;11398.5;369;0
Транснф ап;D;20021106;000000;11456;11456;11380;11380;160;0
Транснф ап;D;20021110;000000;11350;11350;11271.01;11271.01;69;0
Транснф ап;D;20021111;000000;11070.02;11330;11070.02;11300;374;0
Транснф ап;D;20021112;000000;11050.02;11389.9;11050.02;11280;183;0
Транснф ап;D;20021113;000000;11200.05;11399;11200.05;11330;400;0
Транснф ап;D;20021114;000000;11300;11350;11300;11350;28;0
Транснф ап;D;20021115;000000;11300;11300;11300;11300;13;0
Транснф ап;D;20021118;000000;11399.99;11399.99;11201;11250;187;0
Транснф ап;D;20021119;000000;11281.99;11281.99;11200.01;11225;490;0
Транснф ап;D;20021120;000000;11225;11264;11222;11250;301;0
Транснф ап;D;20021121;000000;11295;11340;11295;11300;48;0
Транснф ап;D;20021122;000000;11339.99;11395;11300;11300;224;0
Транснф ап;D;20021125;000000;11390;11490;11390;11490;513;0
Транснф ап;D;20021126;000000;11430;11460;11400;11400;122;0
Транснф ап;D;20021127;000000;11400;11498.99;11400;11470;232;0
Транснф ап;D;20021128;000000;11430;11465;11335;11465;159;0
Транснф ап;D;20021129;000000;11425;11490;11421;11450;20;0
Транснф ап;D;20021202;000000;11599;11599;11540;11575;163;0
Транснф ап;D;20021203;000000;11450;11567;11411;11411;15;0
Транснф ап;D;20021204;000000;11500;11500;11380;11439.99;162;0
Транснф ап;D;20021205;000000;11400.1;11400.1;11340;11350;59;0
Транснф ап;D;20021206;000000;11250;11250;11025.02;11080;870;0
Транснф ап;D;20021209;000000;11199.99;11199.99;11050;11050;23;0
Транснф ап;D;20021210;000000;11055;11139.99;11000;11139;43;0
Транснф ап;D;20021211;000000;11189;11199.99;11001;11099.98;237;0
Транснф ап;D;20021215;000000;11110;11118.99;11110;11118.99;26;0
Транснф ап;D;20021216;000000;11149.98;11149.98;10860;10999.99;50;0
Транснф ап;D;20021217;000000;11199.99;11199.99;11000;11023.99;210;0
Транснф ап;D;20021218;000000;11184.97;11184.97;10949.99;10999.99;12;0
Транснф ап;D;20021219;000000;11179.99;11179.99;11000;11000;7;0
Транснф ап;D;20021220;000000;11149.99;11149.99;10910;11049.99;76;0
Транснф ап;D;20021223;000000;11138.49;11138.49;10950;11048.99;17;0
Транснф ап;D;20021224;000000;11148.99;11148.99;10850;10985;89;0
Транснф ап;D;20021225;000000;8000;11119;8000;11000;89;0
Транснф ап;D;20021226;000000;11129.98;11129.98;10750;10961.99;55;0
Транснф ап;D;20021227;000000;11123.99;11123.99;10830;11039.99;28;0
Транснф ап;D;20021230;000000;11089;11089;10860;10860;8;0
Транснф ап;D;20030104;000000;11000;11100;10997;10997;18;0
Транснф ап;D;20030105;000000;11110;11110;11110;11110;2;0
Транснф ап;D;20030108;000000;11199.99;11199.99;10010;10800;15;0
Транснф ап;D;20030109;000000;10999.99;10999.99;10800;10989;55;0
Транснф ап;D;20030110;000000;11197.99;11197.99;10900;10935;113;0
Транснф ап;D;20030113;000000;11000;11047.99;11000;11008;75;0
Транснф ап;D;20030114;000000;11000;11295;11000;11100;452;0
Транснф ап;D;20030115;000000;11289.99;11289.99;11077;11154.98;117;0
Транснф ап;D;20030116;000000;11200;11284;11200;11246.99;197;0
Транснф ап;D;20030117;000000;11278;11278;11081;11190;48;0
Транснф ап;D;20030120;000000;11274.99;11275;11111.11;11111.11;355;0
Транснф ап;D;20030121;000000;11199.99;11199.99;10819;10980;223;0
Транснф ап;D;20030122;000000;10900;11099.99;10825;10927.99;150;0
Транснф ап;D;20030123;000000;10925;10969.99;10815;10884.99;162;0
Транснф ап;D;20030124;000000;11148.87;11148.87;10850;10999.99;26;0
Транснф ап;D;20030127;000000;10979.99;10979.99;10800;10849.99;174;0
Транснф ап;D;20030128;000000;10998.99;10998.99;10840;10899;68;0
