<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Э.ОНРоссия;D;20110720;000000;2.6101;2.6483;2.59;2.5996;17264000;0
Э.ОНРоссия;D;20110721;000000;2.5863;2.615;2.5501;2.615;12473000;0
Э.ОНРоссия;D;20110722;000000;2.6;2.6619;2.6;2.6578;8023000;0
Э.ОНРоссия;D;20110725;000000;2.656;2.8001;2.6;2.758;27076000;0
Э.ОНРоссия;D;20110726;000000;2.75;2.78;2.721;2.7299;10454000;0
Э.ОНРоссия;D;20110727;000000;2.698;2.735;2.661;2.68;29471000;0
Э.ОНРоссия;D;20110728;000000;2.6829;2.76;2.667;2.6845;4678000;0
Э.ОНРоссия;D;20110729;000000;2.67;2.75;2.67;2.7256;15509000;0
Э.ОНРоссия;D;20110801;000000;2.792;2.7998;2.727;2.7496;12966000;0
Э.ОНРоссия;D;20110802;000000;2.715;2.7459;2.705;2.7167;7219000;0
Э.ОНРоссия;D;20110803;000000;2.7;2.7265;2.501;2.6199;16975000;0
Э.ОНРоссия;D;20110804;000000;2.68;2.68;2.521;2.59;15538000;0
Э.ОНРоссия;D;20110805;000000;2.4714;2.5525;2.421;2.4395;30537000;0
Э.ОНРоссия;D;20110808;000000;2.4005;2.4098;2.3;2.3125;21602000;0
Э.ОНРоссия;D;20110809;000000;2.219;2.3125;2.1613;2.2642;40759000;0
Э.ОНРоссия;D;20110810;000000;2.3995;2.4;2.181;2.1845;11611000;0
Э.ОНРоссия;D;20110811;000000;2.25;2.2989;1.94;2.19;49546000;0
Э.ОНРоссия;D;20110812;000000;2.2083;2.3;2.18;2.216;39516000;0
Э.ОНРоссия;D;20110815;000000;2.2681;2.2935;2.201;2.249;38135000;0
Э.ОНРоссия;D;20110816;000000;2.2489;2.3;2.21;2.26;9155000;0
Э.ОНРоссия;D;20110817;000000;2.2866;2.3422;2.2255;2.32;24248000;0
Э.ОНРоссия;D;20110818;000000;2.295;2.378;2.1668;2.2316;16549000;0
Э.ОНРоссия;D;20110819;000000;2.195;2.229;2.1561;2.2;29630000;0
Э.ОНРоссия;D;20110822;000000;2.199;2.2399;2.165;2.165;13151000;0
Э.ОНРоссия;D;20110823;000000;2.2;2.247;2.1906;2.2468;14972000;0
Э.ОНРоссия;D;20110824;000000;2.24;2.256;2.22;2.24;7805000;0
Э.ОНРоссия;D;20110825;000000;2.23;2.2885;2.225;2.2494;6171000;0
Э.ОНРоссия;D;20110826;000000;2.2883;2.2883;2.2046;2.2198;5809000;0
Э.ОНРоссия;D;20110829;000000;2.24;2.345;2.24;2.343;7199000;0
Э.ОНРоссия;D;20110830;000000;2.3085;2.3797;2.3085;2.3599;5294000;0
Э.ОНРоссия;D;20110831;000000;2.3599;2.399;2.3599;2.3775;15524000;0
Э.ОНРоссия;D;20110901;000000;2.378;2.42;2.2701;2.3035;9294000;0
Э.ОНРоссия;D;20110902;000000;2.292;2.2974;2.22;2.255;16218000;0
Э.ОНРоссия;D;20110905;000000;2.215;2.2462;2.1751;2.203;18635000;0
Э.ОНРоссия;D;20110906;000000;2.178;2.2493;2.1204;2.249;9029000;0
Э.ОНРоссия;D;20110907;000000;2.26;2.2995;2.2571;2.2801;8036000;0
Э.ОНРоссия;D;20110908;000000;2.2922;2.344;2.2892;2.3399;15011000;0
Э.ОНРоссия;D;20110909;000000;2.337;2.3489;2.2914;2.3201;19656000;0
Э.ОНРоссия;D;20110912;000000;2.2954;2.2954;2.1999;2.2779;20202000;0
Э.ОНРоссия;D;20110913;000000;2.285;2.3301;2.2296;2.3188;10586000;0
Э.ОНРоссия;D;20110914;000000;2.2561;2.3667;2.2543;2.32;11774000;0
Э.ОНРоссия;D;20110915;000000;2.3477;2.3519;2.2999;2.3311;15735000;0
Э.ОНРоссия;D;20110916;000000;2.332;2.3377;2.3003;2.3321;4358000;0
Э.ОНРоссия;D;20110919;000000;2.3225;2.3278;2.2651;2.2717;9038000;0
Э.ОНРоссия;D;20110920;000000;2.2737;2.369;2.2737;2.35;7811000;0
Э.ОНРоссия;D;20110921;000000;2.3324;2.43;2.3324;2.3839;18911000;0
Э.ОНРоссия;D;20110922;000000;2.332;2.3498;2.0501;2.1211;33257000;0
Э.ОНРоссия;D;20110923;000000;2.1211;2.1693;1.943;2.0599;39692000;0
Э.ОНРоссия;D;20110926;000000;2.0173;2.13;1.95;2.06;23624000;0
Э.ОНРоссия;D;20110927;000000;2.1049;2.1997;2.102;2.1265;17638000;0
Э.ОНРоссия;D;20110928;000000;2.1098;2.18;2.03;2.1149;12640000;0
Э.ОНРоссия;D;20110929;000000;2.081;2.2687;2.081;2.1599;31266000;0
Э.ОНРоссия;D;20110930;000000;2.1601;2.1986;2.0112;2.05;30220000;0
Э.ОНРоссия;D;20111003;000000;2.03;2.1399;1.95;2.13;14308000;0
Э.ОНРоссия;D;20111004;000000;2.08;2.1697;1.9683;2.0598;29694000;0
Э.ОНРоссия;D;20111005;000000;2.0969;2.0993;2.035;2.0788;7975000;0
Э.ОНРоссия;D;20111006;000000;2.1146;2.1691;2.0888;2.1175;13862000;0
Э.ОНРоссия;D;20111007;000000;2.0923;2.18;2.0878;2.152;9561000;0
Э.ОНРоссия;D;20111010;000000;2.1796;2.2068;2.16;2.2068;6351000;0
Э.ОНРоссия;D;20111011;000000;2.1753;2.192;2.115;2.16;9668000;0
Э.ОНРоссия;D;20111012;000000;2.14;2.22;2.14;2.1992;13348000;0
Э.ОНРоссия;D;20111013;000000;2.2239;2.275;2.1835;2.2475;11950000;0
Э.ОНРоссия;D;20111014;000000;2.2589;2.33;2.2519;2.3106;8297000;0
Э.ОНРоссия;D;20111017;000000;2.33;2.33;2.2352;2.24;9663000;0
Э.ОНРоссия;D;20111018;000000;2.1923;2.2734;2.17;2.226;7274000;0
Э.ОНРоссия;D;20111019;000000;2.248;2.2697;2.1993;2.2002;5312000;0
Э.ОНРоссия;D;20111020;000000;2.1939;2.34;2.1801;2.34;11153000;0
Э.ОНРоссия;D;20111021;000000;2.3047;2.36;2.2897;2.341;17734000;0
Э.ОНРоссия;D;20111024;000000;2.3597;2.378;2.3076;2.334;6431000;0
Э.ОНРоссия;D;20111025;000000;2.334;2.37;2.278;2.2806;35803000;0
Э.ОНРоссия;D;20111026;000000;2.2948;2.343;2.2226;2.3171;11719000;0
Э.ОНРоссия;D;20111027;000000;2.3563;2.385;2.2899;2.3048;22434000;0
Э.ОНРоссия;D;20111028;000000;2.3219;2.4;2.2652;2.3382;14135000;0
Э.ОНРоссия;D;20111031;000000;2.3398;2.3989;2.328;2.3901;8024000;0
Э.ОНРоссия;D;20111101;000000;2.36;2.5398;2.29;2.35;19953000;0
Э.ОНРоссия;D;20111102;000000;2.3502;2.44;2.3502;2.4;17757000;0
Э.ОНРоссия;D;20111103;000000;2.3835;2.431;2.33;2.372;3285000;0
