<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Юнипро ао;D;20160704;000000;2.604;2.619;2.6;2.608;11478000;0
Юнипро ао;D;20160705;000000;2.605;2.61;2.582;2.598;14489000;0
Юнипро ао;D;20160706;000000;2.596;2.66;2.596;2.65;25264000;0
Юнипро ао;D;20160707;000000;2.65;2.679;2.637;2.65;14296000;0
Юнипро ао;D;20160708;000000;2.643;2.65;2.61;2.638;9133000;0
Юнипро ао;D;20160711;000000;2.641;2.655;2.629;2.65;19562000;0
Юнипро ао;D;20160712;000000;2.65;2.67;2.64;2.663;18258000;0
Юнипро ао;D;20160713;000000;2.658;2.671;2.654;2.654;13632000;0
Юнипро ао;D;20160714;000000;2.655;2.673;2.639;2.666;16331000;0
Юнипро ао;D;20160715;000000;2.673;2.743;2.665;2.723;28978000;0
Юнипро ао;D;20160718;000000;2.727;2.777;2.72;2.773;22772000;0
Юнипро ао;D;20160719;000000;2.774;2.774;2.743;2.76;7558000;0
Юнипро ао;D;20160720;000000;2.76;2.77;2.741;2.76;13634000;0
Юнипро ао;D;20160721;000000;2.76;2.805;2.76;2.803;13737000;0
Юнипро ао;D;20160722;000000;2.801;2.925;2.703;2.812;34681000;0
Юнипро ао;D;20160725;000000;2.812;2.87;2.784;2.851;18187000;0
Юнипро ао;D;20160726;000000;2.89;2.89;2.83;2.847;9408000;0
Юнипро ао;D;20160727;000000;2.854;2.859;2.816;2.858;6217000;0
Юнипро ао;D;20160728;000000;2.86;2.958;2.86;2.95;15655000;0
Юнипро ао;D;20160729;000000;2.94;3.01;2.939;3;28880000;0
Юнипро ао;D;20160801;000000;2.995;3.01;2.922;2.941;18729000;0
Юнипро ао;D;20160802;000000;2.985;2.985;2.84;2.845;8087000;0
Юнипро ао;D;20160803;000000;2.855;2.871;2.757;2.848;17973000;0
Юнипро ао;D;20160804;000000;2.839;2.937;2.839;2.874;20409000;0
Юнипро ао;D;20160805;000000;2.86;2.9;2.86;2.88;4105000;0
Юнипро ао;D;20160808;000000;2.873;2.96;2.872;2.923;14457000;0
Юнипро ао;D;20160809;000000;2.934;2.957;2.904;2.954;9984000;0
Юнипро ао;D;20160810;000000;2.935;3.015;2.904;2.923;34146000;0
Юнипро ао;D;20160811;000000;2.93;2.966;2.913;2.92;25349000;0
Юнипро ао;D;20160812;000000;2.906;2.92;2.886;2.9;11413000;0
Юнипро ао;D;20160815;000000;2.895;2.904;2.859;2.883;7206000;0
Юнипро ао;D;20160816;000000;2.856;2.87;2.81;2.84;30673000;0
Юнипро ао;D;20160817;000000;2.829;2.895;2.82;2.885;12766000;0
Юнипро ао;D;20160818;000000;2.885;2.905;2.867;2.9;18277000;0
Юнипро ао;D;20160819;000000;2.88;2.893;2.879;2.892;2035000;0
Юнипро ао;D;20160822;000000;2.907;2.907;2.817;2.874;5619000;0
Юнипро ао;D;20160823;000000;2.848;2.86;2.821;2.83;27162000;0
Юнипро ао;D;20160824;000000;2.82;2.838;2.789;2.794;11926000;0
Юнипро ао;D;20160825;000000;2.795;2.832;2.787;2.824;3794000;0
Юнипро ао;D;20160826;000000;2.82;2.83;2.79;2.83;13946000;0
Юнипро ао;D;20160829;000000;2.83;2.83;2.791;2.81;4860000;0
Юнипро ао;D;20160830;000000;2.8;2.833;2.791;2.83;10569000;0
Юнипро ао;D;20160831;000000;2.833;2.85;2.82;2.83;27661000;0
Юнипро ао;D;20160901;000000;2.82;2.835;2.795;2.8;31877000;0
Юнипро ао;D;20160902;000000;2.81;2.815;2.8;2.807;31860000;0
Юнипро ао;D;20160905;000000;2.812;2.817;2.788;2.795;18422000;0
