<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
X5;D;20180201;0;2200.0;2225.5;2082.5;2110.0;179977;0
X5;D;20180202;0;2129.0;2130.0;2015.0;2052.0;129069;0
X5;D;20180205;0;2070.0;2090.0;2013.0;2089.5;67260;0
X5;D;20180206;0;2060.0;2088.5;2005.0;2070.0;60393;0
X5;D;20180207;0;2020.0;2117.0;2020.0;2090.0;22826;0
X5;D;20180208;0;2090.0;2195.0;2060.0;2134.0;32091;0
X5;D;20180209;0;2064.0;2120.0;2035.0;2046.0;28724;0
X5;D;20180212;0;2065.0;2125.0;2052.5;2100.5;11486;0
X5;D;20180213;0;2150.0;2150.0;2091.0;2140.0;27529;0
X5;D;20180214;0;2149.5;2172.0;2142.5;2150.5;28268;0
X5;D;20180215;0;2150.5;2155.0;2112.0;2144.0;22475;0
X5;D;20180216;0;2157.5;2260.0;2080.0;2130.0;55935;0
X5;D;20180219;0;2209.0;2209.0;2060.0;2079.5;41100;0
X5;D;20180220;0;2075.0;2075.5;1941.5;1979.5;83633;0
X5;D;20180221;0;1979.5;2019.5;1905.5;1958.0;44033;0
X5;D;20180222;0;1958.0;2030.0;1930.0;1996.5;52056;0
X5;D;20180226;0;2020.0;2035.0;2003.0;2017.0;13766;0
X5;D;20180227;0;2034.0;2034.0;2003.5;2017.0;3936;0
X5;D;20180228;0;2006.5;2029.0;2002.5;2015.0;13954;0
X5;D;20180301;0;2023.5;2040.0;1994.5;2040.0;56625;0
X5;D;20180302;0;2020.0;2044.5;1969.5;2000.5;93981;0
X5;D;20180305;0;2006.5;2050.0;1980.0;2016.0;41937;0
X5;D;20180306;0;2001.5;2032.5;1930.0;1943.5;140872;0
X5;D;20180307;0;1957.5;1960.0;1920.0;1946.5;155042;0
X5;D;20180309;0;1935.0;1968.0;1935.0;1955.5;102546;0
X5;D;20180312;0;1965.5;1980.0;1937.0;1960.5;84376;0
X5;D;20180313;0;1975.0;1975.0;1905.0;1910.0;122430;0
X5;D;20180314;0;1922.0;1922.5;1867.0;1885.5;112525;0
X5;D;20180315;0;1861.0;1965.0;1850.0;1965.0;165872;0
X5;D;20180316;0;1948.5;1966.5;1926.0;1965.0;126067;0
X5;D;20180319;0;1965.0;1981.5;1894.5;1915.0;102842;0
X5;D;20180320;0;1910.0;1917.0;1878.5;1891.0;118732;0
X5;D;20180321;0;1890.0;1936.0;1875.0;1920.0;165885;0
X5;D;20180322;0;1930.0;1946.0;1861.0;1875.0;128810;0
X5;D;20180323;0;1865.0;1900.0;1800.0;1858.0;153519;0
X5;D;20180326;0;1858.5;1862.5;1809.5;1811.0;113558;0
X5;D;20180327;0;1821.0;1849.0;1800.0;1846.5;86284;0
X5;D;20180328;0;1847.0;1847.0;1801.5;1838.5;88536;0
X5;D;20180329;0;1845.0;2019.0;1830.5;1932.0;337733;0
X5;D;20180330;0;1965.0;1978.0;1927.0;1932.0;50449;0
X5;D;20180402;0;1947.0;1965.0;1913.5;1949.5;30725;0
X5;D;20180403;0;1950.0;1961.5;1919.0;1948.0;130619;0
X5;D;20180404;0;1958.0;1959.0;1927.5;1959.0;81702;0
X5;D;20180405;0;1960.0;2050.0;1946.0;2050.0;152747;0
X5;D;20180406;0;2030.0;2069.5;2000.0;2025.0;98551;0
X5;D;20180409;0;2020.0;2022.0;1730.0;1892.5;341118;0
X5;D;20180410;0;1884.5;1973.5;1865.5;1937.0;236848;0
X5;D;20180411;0;1923.5;1965.0;1812.0;1875.0;192975;0
X5;D;20180412;0;1880.0;1948.0;1850.0;1913.5;194148;0
X5;D;20180413;0;1907.5;1940.0;1881.5;1901.0;109130;0
X5;D;20180416;0;1857.0;1938.0;1855.0;1930.0;96075;0
X5;D;20180417;0;1942.0;2056.5;1896.5;1969.0;174543;0
X5;D;20180418;0;1961.5;2100.0;1960.5;2055.0;142706;0
X5;D;20180419;0;2061.0;2095.0;1960.5;1974.0;108519;0
X5;D;20180420;0;1974.5;1995.5;1952.0;1974.5;79574;0
X5;D;20180423;0;1974.5;1993.5;1908.0;1940.0;178232;0
X5;D;20180424;0;1940.0;1953.0;1901.5;1906.5;111331;0
X5;D;20180425;0;1909.5;1909.5;1780.5;1800.0;432634;0
X5;D;20180426;0;1809.0;1809.0;1654.0;1740.0;770133;0
X5;D;20180427;0;1741.0;1825.0;1741.0;1800.0;185365;0
X5;D;20180428;0;1823.5;1823.5;1770.0;1803.5;21756;0
X5;D;20180430;0;1800.5;1825.0;1781.0;1795.5;52230;0
X5;D;20180502;0;1798.0;1840.5;1782.5;1815.0;74041;0
