<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
YDEX;D;20140604;0;1546.7;1546.8;1163.0;1170.0;35146;0
YDEX;D;20140605;0;1187.3;1195.0;1141.1;1145.1;24974;0
YDEX;D;20140606;0;1158.3;1173.5;1151.0;1163.0;7889;0
YDEX;D;20140609;0;1178.9;1185.6;1155.7;1172.1;7304;0
YDEX;D;20140610;0;1178.9;1181.0;1160.1;1170.0;3216;0
YDEX;D;20140611;0;1175.0;1183.0;1157.1;1179.9;8837;0
YDEX;D;20140616;0;1164.0;1181.2;1150.0;1165.0;13904;0
YDEX;D;20140617;0;1157.5;1187.7;1157.5;1185.5;8519;0
YDEX;D;20140618;0;1180.1;1185.0;1176.0;1182.9;1455;0
YDEX;D;20140619;0;1176.0;1182.7;1165.0;1168.0;1396;0
YDEX;D;20140620;0;1165.2;1179.0;1160.0;1175.0;2702;0
YDEX;D;20140623;0;1193.1;1218.8;1185.0;1196.0;14181;0
YDEX;D;20140624;0;1200.0;1208.9;1191.0;1191.8;3895;0
YDEX;D;20140625;0;1185.1;1195.0;1153.1;1176.8;3985;0
YDEX;D;20140626;0;1185.0;1188.5;1168.9;1185.0;2403;0
YDEX;D;20140627;0;1172.1;1197.0;1165.0;1185.0;1148;0
YDEX;D;20140630;0;1185.0;1218.1;1184.1;1218.0;8754;0
YDEX;D;20140701;0;1212.5;1239.8;1212.5;1218.2;3036;0
YDEX;D;20140702;0;1218.0;1220.0;1195.0;1200.0;33473;0
YDEX;D;20140703;0;1189.6;1213.8;1184.0;1192.0;25620;0
YDEX;D;20140704;0;1184.9;1204.9;1183.0;1186.0;2133;0
YDEX;D;20140707;0;1200.0;1211.8;1152.0;1160.0;19359;0
YDEX;D;20140708;0;1165.0;1180.0;1100.0;1113.4;26565;0
YDEX;D;20140709;0;1100.0;1111.0;1073.8;1094.0;19466;0
YDEX;D;20140710;0;1102.5;1125.7;1061.5;1077.8;11235;0
YDEX;D;20140711;0;1072.2;1101.5;1056.0;1099.3;35563;0
YDEX;D;20140714;0;1109.6;1123.5;1090.2;1118.9;6202;0
YDEX;D;20140715;0;1123.3;1127.5;1110.0;1114.3;2789;0
YDEX;D;20140716;0;1114.2;1115.5;1098.1;1106.5;7340;0
YDEX;D;20140717;0;1098.0;1107.5;1067.6;1088.0;7221;0
YDEX;D;20140718;0;1084.2;1084.2;1054.1;1072.3;7146;0
YDEX;D;20140721;0;1080.0;1081.4;1035.0;1047.5;8353;0
YDEX;D;20140722;0;1050.4;1060.0;1043.9;1060.0;10468;0
YDEX;D;20140723;0;1061.4;1062.0;1047.4;1056.2;5286;0
YDEX;D;20140724;0;1056.2;1093.4;1048.3;1077.8;5186;0
YDEX;D;20140725;0;1077.8;1109.4;1070.1;1075.1;5127;0
