ticker,announcement_date,payment_date,dividend_per_share,year
AFLT,01.04.2003,07.03.2003,0.29,2003
AFLT,05.05.2010,04.05.2010,0.3497,2010
AFLT,06.04.2011,11.05.2011,1.09,2011
AFLT,08.05.2007,07.05.2007,1.29,2007
AFLT,10.04.2001,20.03.2001,0.03,2001
AFLT,19.05.2014,08.07.2014,2.5,2014
AFLT,22.05.2012,10.05.2012,1.81,2012
AFLT,22.05.2013,06.05.2013,1.16,2013
AFLT,25.04.2008,05.05.2008,1.37,2008
AFLT,26.05.2017,14.07.2017,17.48,2017
AFLT,27.04.2004,19.04.2004,0.43,2004
AFLT,27.04.2006,29.04.2006,0.82,2006
AFLT,27.06.2000,26.04.2000,0.01,2000
AFLT,28.04.2005,30.04.2005,0.7,2005
AFLT,28.05.2009,05.05.2009,0.1818,2009
AFLT,29.04.2002,05.04.2002,0.06,2002
AFLT,30.05.2018,06.07.2018,12.81,2018
AFLT,30.05.2025,18.07.2025,5.27,2025
AFLT,31.05.2019,05.07.2019,2.69,2019
ALRS,04.05.2018,14.07.2018,5.24,2018
ALRS,05.05.2016,19.07.2016,2.09,2016
ALRS,07.05.2020,13.07.2020,2.63,2020
ALRS,07.08.2018,15.10.2018,5.93,2018
ALRS,16.04.2024,31.05.2024,2.02,2024
ALRS,23.04.2015,15.07.2015,1.47,2015
ALRS,24.04.2012,11.05.2012,1.01,2012
ALRS,24.04.2014,18.07.2014,1.47,2014
ALRS,25.04.2017,20.07.2017,8.93,2017
ALRS,25.04.2019,15.07.2019,4.11,2019
ALRS,26.04.2013,11.05.2013,1.11,2013
ALRS,27.08.2019,14.10.2019,3.84,2019
ALRS,27.08.2024,19.10.2024,2.49,2024
ALRS,28.04.2021,04.07.2021,9.54,2021
ALRS,29.08.2023,18.10.2023,3.77,2023
ALRS,31.08.2021,19.10.2021,8.79,2021
CBOM,17.04.2019,07.06.2019,0.11,2019
CHMF,01.02.2017,20.06.2017,27.73,2017
CHMF,02.02.2016,05.07.2016,20.27,2016
CHMF,02.02.2018,19.06.2018,27.72,2018
CHMF,02.02.2024,18.06.2024,191.51,2024
CHMF,02.03.2011,22.05.2011,2.42,2011
CHMF,02.04.2007,26.04.2007,5.0,2007
CHMF,03.09.2007,20.08.2007,10.0,2007
CHMF,03.11.2011,15.11.2011,3.36,2011
CHMF,04.02.2019,07.05.2019,32.08,2019
CHMF,04.02.2021,01.06.2021,36.27,2021
CHMF,05.08.2005,04.08.2005,3.9,2005
CHMF,09.08.2006,07.08.2006,3.6,2006
CHMF,09.11.2010,12.11.2010,4.29,2010
CHMF,10.10.2014,25.11.2014,54.46,2014
CHMF,12.03.2008,15.05.2008,4.0,2008
CHMF,12.05.2011,22.05.2011,3.9,2011
CHMF,15.11.2006,16.11.2006,2.0,2006
CHMF,16.04.2021,01.06.2021,46.77,2021
CHMF,16.05.2013,26.04.2013,0.43,2013
CHMF,16.07.2021,02.09.2021,84.45,2021
CHMF,17.02.2015,05.06.2015,14.65,2015
CHMF,17.04.2012,15.05.2012,3.56,2012
CHMF,17.04.2018,19.06.2018,38.32,2018
CHMF,17.10.2017,05.12.2017,35.61,2017
CHMF,17.10.2019,03.12.2019,27.47,2019
CHMF,17.11.2008,14.11.2008,7.17,2008
CHMF,18.04.2019,18.06.2019,35.43,2019
CHMF,18.07.2013,12.08.2013,2.03,2013
CHMF,18.07.2018,25.09.2018,45.94,2018
CHMF,18.07.2019,17.09.2019,26.72,2019
CHMF,18.10.2018,04.12.2018,44.39,2018
CHMF,18.10.2021,14.12.2021,85.93,2021
CHMF,19.04.2017,20.06.2017,24.44,2017
CHMF,19.05.2008,15.05.2008,5.2,2008
CHMF,20.04.2016,05.07.2016,8.25,2016
CHMF,20.07.2017,26.09.2017,22.28,2017
CHMF,21.07.2016,16.09.2016,19.66,2016
CHMF,21.10.2005,19.10.2005,3.0,2005
CHMF,21.10.2013,31.10.2013,2.01,2013
CHMF,21.10.2024,17.12.2024,49.06,2024
CHMF,22.04.2015,05.06.2015,12.81,2015
CHMF,22.05.2012,15.05.2012,4.07,2012
CHMF,22.07.2024,10.09.2024,31.06,2024
CHMF,22.10.2015,21.12.2015,13.17,2015
CHMF,22.10.2020,08.12.2020,37.34,2020
CHMF,23.04.2020,16.06.2020,27.35,2020
CHMF,23.04.2024,18.06.2024,38.3,2024
CHMF,23.07.2015,28.09.2015,12.63,2015
CHMF,23.07.2020,08.09.2020,15.44,2020
CHMF,23.08.2011,24.08.2011,4.37,2011
CHMF,23.11.2007,14.11.2007,2.5,2007
CHMF,25.02.2014,23.06.2014,3.83,2014
CHMF,25.04.2006,21.04.2006,4.0,2006
CHMF,25.10.2016,13.12.2016,24.96,2016
CHMF,27.07.2012,10.08.2012,1.52,2012
CHMF,28.02.2013,26.04.2013,1.89,2013
CHMF,28.05.2007,18.05.2007,2.6,2007
CHMF,28.08.2008,20.08.2008,18.35,2008
CHMF,30.01.2020,16.06.2020,26.26,2020
CHMF,30.04.2014,23.06.2014,2.43,2014
CHMF,30.07.2014,22.09.2014,2.14,2014
CHMF,30.10.2012,09.11.2012,3.18,2012
FEES,10.04.2020,29.05.2020,0.0094943,2020
FEES,13.05.2011,16.05.2011,0.0020524,2011
FEES,22.05.2014,16.07.2014,0.0003427,2014
FEES,24.05.2019,16.07.2019,0.016,2019
FEES,25.05.2018,18.07.2018,0.0148,2018
FEES,27.05.2021,16.07.2021,0.0161,2021
FEES,27.11.2019,13.01.2020,0.0088096,2019
FEES,29.05.2015,16.07.2015,0.0006648,2015
FEES,30.05.2016,11.07.2016,0.0133,2016
FEES,30.05.2017,19.07.2017,0.0143,2017
FLOT,15.04.2021,05.07.2021,6.67,2021
FLOT,17.11.2023,07.01.2024,6.32,2023
FLOT,18.04.2023,05.07.2023,4.29,2023
FLOT,29.05.2024,20.07.2024,11.27,2024
GAZP,04.02.2011,12.05.2011,3.85,2011
GAZP,05.02.2013,13.05.2013,5.99,2013
GAZP,06.02.2012,10.05.2012,8.97,2012
GAZP,11.04.2019,18.07.2019,16.61,2019
GAZP,13.04.2017,20.07.2017,8.04,2017
GAZP,14.04.2016,20.07.2016,7.89,2016
GAZP,15.04.2008,08.05.2008,2.66,2008
GAZP,15.05.2014,17.07.2014,7.2,2014
GAZP,15.05.2015,16.07.2015,7.2,2015
GAZP,16.04.2010,07.05.2010,2.39,2010
GAZP,16.05.2018,19.07.2018,8.04,2018
GAZP,20.04.2006,12.05.2006,1.5,2006
GAZP,20.05.2021,15.07.2021,12.55,2021
GAZP,22.05.2007,11.05.2007,2.54,2007
GAZP,22.05.2020,16.07.2020,15.24,2020
GAZP,23.04.2009,08.05.2009,0.36,2009
GAZP,30.08.2022,11.10.2022,51.03,2022
GCHE,02.10.2017,07.10.2017,59.82,2017
GCHE,03.03.2021,05.04.2021,13.58,2021
GCHE,05.03.2026,07.04.2026,229.37,2026
GCHE,09.04.2015,17.04.2015,54.6,2015
GCHE,11.02.2021,05.04.2021,120.42,2021
GCHE,12.04.2017,01.05.2017,13.65,2017
GCHE,13.02.2020,07.04.2020,60.92,2020
GCHE,13.02.2025,07.04.2025,98.92,2025
GCHE,14.02.2019,07.04.2019,101.63,2019
GCHE,14.08.2024,29.09.2024,142.11,2024
GCHE,15.02.2018,03.04.2018,75.07,2018
GCHE,15.09.2014,21.11.2014,34.44,2014
GCHE,17.08.2021,03.10.2021,85.27,2021
GCHE,17.08.2023,01.10.2023,118.43,2023
GCHE,17.11.2022,12.12.2022,148.05,2022
GCHE,19.02.2024,07.04.2024,205.38,2024
GCHE,19.08.2020,05.10.2020,48.79,2020
GCHE,20.08.2015,09.10.2015,22.75,2015
GCHE,21.08.2019,07.10.2019,48.79,2019
GCHE,22.08.2018,08.10.2018,20.48,2018
GCHE,27.04.2016,03.05.2016,22.75,2016
GMKN,02.06.2006,15.05.2006,0.5349,2006
GMKN,02.11.2007,13.11.2007,1.08,2007
GMKN,03.11.2020,24.12.2020,6.23,2020
GMKN,03.11.2023,26.12.2023,9.15,2023
GMKN,04.08.2015,25.09.2015,3.05,2015
GMKN,05.06.2007,15.05.2007,1.2,2007
GMKN,06.04.2011,16.05.2011,1.8,2011
GMKN,06.10.2006,05.10.2006,0.56,2006
GMKN,07.04.2020,25.05.2020,5.57,2020
GMKN,09.04.2021,01.06.2021,10.21,2021
GMKN,09.06.2005,12.05.2005,0.2513,2005
GMKN,10.04.2015,25.05.2015,6.7,2015
GMKN,10.11.2015,30.12.2015,3.22,2015
GMKN,11.10.2004,08.10.2004,0.3716,2004
GMKN,11.11.2016,28.12.2016,4.44,2016
GMKN,11.11.2019,27.12.2019,6.04,2019
GMKN,14.08.2018,01.10.2018,7.76,2018
GMKN,19.04.2013,30.04.2013,4.01,2013
GMKN,20.08.2019,07.10.2019,8.84,2019
GMKN,21.05.2012,24.05.2012,1.96,2012
GMKN,22.04.2022,14.06.2022,11.66,2022
GMKN,23.11.2021,14.01.2022,15.23,2021
GMKN,25.04.2014,17.06.2014,2.48,2014
GMKN,25.05.2018,17.07.2018,6.08,2018
GMKN,25.08.2017,19.10.2017,2.24,2017
GMKN,25.10.2013,01.11.2013,2.21,2013
GMKN,26.04.2019,21.06.2019,7.93,2019
GMKN,26.05.2008,26.05.2008,1.12,2008
GMKN,27.05.2010,21.05.2010,2.1,2010
GMKN,28.04.2016,21.06.2016,2.3,2016
GMKN,28.04.2017,23.06.2017,4.46,2017
GMKN,31.10.2005,11.11.2005,0.386,2005
GMKN,31.10.2014,22.12.2014,7.62,2014
