date,mibid_1,mibor_1,miacr_1,mibid_7,mibor_7,miacr_7,mibid_30,mibor_30,miacr_30,mibid_90,mibor_90,miacr_90,mibid_180,mibor_180,miacr_180,mibid_360,mibor_360,miacr_360
2000-08-01,2.74,5.55,2.94,3.93,6.91,6.8,6.11,10.23,11.91,9.79,14.84,7.75,14.16,16.82,,17.32,22.77,
2000-08-02,1.89,4.17,2.67,3.7,6.63,3.79,5.56,9.83,8.97,9.34,14.12,8.19,13.48,16.82,,17.37,22.77,
2000-08-03,1.68,3.76,2.5,3.52,6.2,17.51,5.6,9.31,8.12,9.34,14.17,9.12,13.37,16.82,,17.37,22.77,
2000-08-04,1.28,3.21,1.53,3.46,5.98,7,5.31,9.05,3.06,10.19,14.85,11.25,14.45,17.82,,18.45,23.68,
2000-08-07,1.5,3.51,1.99,3.33,5.87,5.85,4.83,9.03,10.44,9.29,14.17,18,13.37,16.82,,17.37,22.77,
2000-08-08,1.32,3.25,2.2,3.25,5.84,5.92,5.43,9.39,2.4,9.9,14.37,,14.45,17.82,,18.45,23.68,
2000-08-09,1.41,3.32,2.43,3.23,5.83,5.72,4.73,9.04,9,9.17,13.98,,13.41,16.82,,17.37,22.77,
2000-08-10,1.59,3.53,3.49,3.35,6.2,5.14,4.83,8.91,8.04,9.19,14.23,9,13.34,16.82,,17.37,22.77,
2000-08-11,1.3,3.3,2.35,3.18,5.84,4.26,4.68,9.05,5.33,9.07,13.98,18,13.26,16.33,,17.08,22.21,
2000-08-14,1.54,3.55,2.66,3.35,5.83,5.66,4.6,9.15,7.06,9.07,13.98,8.9,13.26,15.93,,17.08,22.01,
2000-08-15,1.64,3.68,7.2,3.28,5.99,6.04,4.68,9.08,9,9.07,13.98,9.86,13.23,15.93,,17.08,22.01,
2000-08-16,3.96,8.05,9.01,4.67,8.12,6.14,5.68,11.19,8.78,9.64,15.73,,14.13,20.13,5,17.65,23.61,
2000-08-17,3.15,6.78,4.24,4.44,7.52,5.88,5.78,10.42,6.98,9.54,15.61,,13.73,19.93,,17.65,24.61,
2000-08-18,2,4.65,6.26,3.71,6.99,7.37,5.41,10.52,12.18,9.24,15.28,,13.95,19.93,20,17.65,24.61,
2000-08-21,2.74,5.65,8.6,4.22,7.55,6.61,6.01,10.54,14.19,9.34,15.39,,13.95,19.93,,17.65,24.61,26
2000-08-22,4.03,7.46,7.86,5.65,8.76,7.87,6.63,11.33,11,10.64,16.28,,14.38,19.53,19.5,18.65,24.61,
2000-08-23,3.94,7.29,5.53,5.68,8.97,12.22,6.7,11.18,2.35,10.6,16.34,14,14.32,19.32,,18.61,24.5,
2000-08-24,3.39,6.25,4.53,5.34,8.51,8.64,6.65,11.16,14.4,10.37,16.2,12,14.32,19.32,,18.61,24.5,
