ticker,emitter_id,isin,regnumber,full_name,short_name,latname,security_type,list_level,issue_size,face_value,face_unit,issue_date,primary_boardid
ABIO,1142,RU000A0JNAB6,1-01-08902-A,"ПАО ""Артген""",iАРТГЕН ао,ARTGEN ao,common_share,2,92645451,0.1,SUR,2006-05-23,TQBR
ABRD,4787,RU000A0JS5T7,1-02-12500-A,Абрау-Дюрсо ПАО ао,АбрауДюрсо,Abrau-Durso ao,common_share,3,108889117,1,SUR,2012-10-02,TQBR
AFKS,777,RU000A0DQZE3,1-05-01669-A,"АФК ""Система"" ПАО ао",Система ао,AFK Sistema,common_share,1,9650000000,0.09,SUR,2007-12-12,TQBR
AFLT,1242,RU0009062285,1-01-00010-A,Аэрофлот-росс.авиалин(ПАО)ао,Аэрофлот,Aeroflot,common_share,1,3975771215,1,SUR,2004-02-13,TQBR
AKAI,1318,RU000A109PQ9,6527,БПИФ Антиинфляционный,AKAI ETF,AKAI ETF Anti-inflationary,exchange_ppif,1,,,,2024-10-16,TQTF
AKBC,1318,RU000A10B6F8,6911,БПИФ Альфа Индекс голуб фишек,AKBC ETF,AKBC ETF blue chip Index,exchange_ppif,1,,,,2025-04-07,TQTF
AKCN,1318,RU000A10CKV9,7246,БПИФ Альфа Индекс потреб сект,AKCN ETF,AKCN ETF consumer sector index,exchange_ppif,1,,,,2025-09-10,TQTF
AKFB,1318,RU000A109T66,6541,БПИФ Альфа Обл с перем купоном,AKFB ETF,AKFB ETF floating rate bonds,exchange_ppif,1,,,,2024-10-23,TQTF
AKFN,1318,RU000A10CKU1,7245,БПИФ Альфа Индекс финансов,AKFN ETF,AKFN ETF finance index,exchange_ppif,1,,,,2025-09-10,TQTF
AKGD,1318,RU000A1045N8,4713,БПИФ Альфа Капитал Золото,AKGD ETF,AKGD ETF Gold,exchange_ppif,1,,,,2021-12-21,TQTF
AKGP,1318,RU000A10BJF6,6996,БПИФ АльфаКап Управ валют обл,AKGP ETF,AKGP ETF Currency bonds,exchange_ppif,1,,,,2025-06-25,TQTF
AKHT,1318,RU000A109VF0,6580,БПИФ Альфа Капитал ИТ Лидеры,AKHT ETF,AKHT ETF Alfa IT Leaders,exchange_ppif,1,,,,2024-11-11,TQTF
AKIE,1318,RU000A109JU4,6467,БПИФ Альфа Упр Акции с доходом,ETF AKIE,ETF Alfa Managed Income Shares,exchange_ppif,1,,,,2024-09-26,TQTF
AKMB,1318,RU000A101PN3,4039,БПИФ Альфа Управляем облигации,ETF AKMB,ETF AKMB Alfa Managed Bonds,exchange_ppif,1,,,,2020-06-02,TQTF
AKME,1318,RU000A102E78,4213,БПИФ Альфа Управляем Акции,ETF AKME,ETF AKME Alfa Managed Equties,exchange_ppif,1,,,,2020-12-18,TQTF
