ticker,split_date,ratio
ABRD,2012-10-02,100
AFKS,2007-11-14,1000
AKRN,2005-11-25,5800
ALRS,2011-10-13,2700.5
ALRS,2011-10-14,10
BLNG,2009-01-15,100
CHMF,2004-12-10,25
GAZA,2007-03-23,1.081
GAZAP,2007-03-23,1.081
GCHE,2007-09-10,100
GMKN,2024-04-04,100
IRAO,2014-12-25,0.01
MSTT,2010-09-15,200
NVTK,2006-08-15,1000
PHOR,2012-03-26,10
PLZL,2025-03-27,10
RGSS,2016-04-27,15.002
RNFT,2016-11-16,2000
ROLO,2023-01-17,10
SBER,2007-03-30,1.006
SBER,2007-07-20,1000
SBERP,2007-03-30,1.006
SBERP,2007-07-18,20
SBERP,2007-07-20,1000
SFIN,2015-10-07,1000
TRNFP,2024-02-21,100
USBN,2009-09-25,1
VTBR,2024-07-15,0.0002
