date_start,date_end,event
2006-01-01,,Муниципальная реформа в РФ.
2006-01-01,,Деноминация азербайджанского маната в 5000 раз.
2006-01-01,,"ОАО Газпром отключил Украину от российского газа в связи с тем, что не была достигнута договорённость о цене на поставляемый на Украину газ."
2006-01-01,,В США появился новый консолидированный город Хелена — Уэст-Хелена образованный при слиянии двух городов Арканзаса — Хелены и Западной (Уэст) Хелены.
2006-01-12,,"В давке в мекке, начавшейся во время церемонии «побивания дьявола», погибли 364 паломника и более 300 были ранены."
2006-01-15,,"Прошёл второй тур президентских выбор в чили (первый состоялся 15 декабря 2005 года), в результате которых победу одержала мишель бачелет."
2006-01-19,,"С космодрома канаверал с помощью ракеты-носителя атлас v запущена американская амс new horizons, предназначенная для исследования плутона."
2006-01-24,,Из космического центра танэгасима с помощью ракеты-носителя h-iia запущен спутник дзз alos.
2006-01-25,,"В палестинской автономии прошли парламентские выборы. победила радикальная исламская группировка «хамас», которая получила 74 из 132 мест в парламенте. правящая партия «фатх» — всего 45 мест."
2006-02-01,,Президент сша дж. буш декларировал необходимость быть независимым от импортной нефти.
2006-02-03,,Массовые протесты в исламском мире против публикации карикатур на пророка мухаммеда (карикатурный скандал 2005—2006 годов).
2006-02-05,,"Президент ирана приказал возобновить обогащение урана. это вызвало негативную реакцию в мире. лидеры сша в ответ на это объявили, что «любые средства» в отношении ирана «должны рассматриваться»."
2006-02-08,,Израиль объявил о готовности отказаться от иудеи и самарии. поводом для этого являлось желание отделиться от палестинцев после победы на выборах в пна экстремистской группировки «хамас».
2006-02-10,,В турине (италия) начались хх зимние олимпийские игры (завершились 26 февраля).
2006-02-23,,Обрушение басманного рынка (москва). 68 погибших.
2006-03-02,,Индия и сша подписали соглашение о сотрудничестве в области использования ядерной энергии. индия стала членом ядерного клуба — получила доступ к иностранным ядерным технологиям.
2006-03-11,,"В гаагской тюрьме умер бывший президент союзной республики югославии слободан милошевич. вскрытие установило, что причина смерти — инфаркт миокарда."
2006-03-12,,В россии прошёл первый единый день голосования.
2006-03-16,,Запуск канала матч! премьер.
2006-03-19,,Состоялись третьи по счёту выборы президента беларуси. победу одержал действующий президент александр лукашенко. сопровождались протестами.
2006-03-25,,В культурном центре в районе капитол-хилл в сиэтле убиты семь человек.
2006-03-26,,"На Украине прошли выборы в Верховную Раду, областные и местные советы, а также выборы глав городов (см. Региональные выборы на Украине (2006))."
2006-03-26,,Начало работы социальной сети Одноклассники.
2006-03-30,,"Премьер-министр Франции Доминик де Вильпен заявил о своей «полной готовности» внести «некоторые изменения» в текст закона о контракте первого найма. Этот закон вызвал массовые волнения во Франции. «Сложившаяся ситуация является неприемлемой, она несправедлива, её можно назвать даже отчаянной», — отметил Д. де Вильпен. На 4 апреля 2006 года уже назначены очередные манифестации и забастовки. Новый закон о первоначальном найме вызвал недовольство не только среди молодёжи. За его отмену выступает подавляющее число французов (83 %). Лишь 12 % респондентов ответили, что поддерживают принятие закона в том виде, в котором он сформулирован в настоящее время. Порядка 5 % респондентов затруднились ответить."
2006-03-30,,"Старт космического корабля Союз ТМА-8. Экипаж старта — П. В. Виноградов, Д. Уильямс (США) и М. Понтис (Бразилия)."
2006-04-04,2006-04-24,"массовые демонстрации в Катманду и других городах Непала. Протестующие выступали за отмену монархии и установление парламентской республики в стране. Против демонстрантов в столице полицией было применено оружие, что повлекло многочисленные жертвы."
2006-04-06,,"США объявили о планах по созданию к 2015 году мегацентра производства ядерного оружия, способного производить до 125 ядерных боезарядов в год."
2006-04-06,,"В Москве задержан сектант Григорий Грабовой. Он известен в связи с событиями в Беслане. Тогда Грабовой объявил себя мессией и за деньги предлагал воскресить погибших детей. Его действия расцениваются как мошенничество, так как деньги он собрал, а «работу» не выполнил."
2006-04-08,,"Приземление космического корабля союз тма-7. экипаж посадки — в. и. токарев, у. макартур (сша) и м. понтис (бразилия)."
2006-04-09,,1-й тур парламентских выборов в венгрии.
2006-04-10,,Во франции отменён скандальный закон о трудоустройстве. президент франции жак ширак под давлением со стороны студентов и профсоюзных движений согласился заменить принятую редакцию «договора первого найма» на другой законопроект.
2006-04-23,,"2-й тур парламентских выборов в венгрии, социал-демократы ференца дьюрчаня удержались у власти."
2006-04-25,,Иран заявил о готовности предоставить ядерные технологии в распоряжение других стран.
2006-04-27,,Открыт астероид 2006 hz51.
2006-05-02,,Президент боливии эво моралес объявил о национализации нефтегазовой отрасли страны.
2006-05-03,,"В 2.15 по московскому времени в районе сочи разбился пассажирский самолёт а-320 армянской авиакомпании «армавиа», выполнявший рейс ереван—сочи. все 113 человек, находившиеся на борту, погибли. самолёт, выполняя заход на посадку в сложных метеоусловиях, упал в море."
2006-05-10,,В сша на аэс от облучения пострадали более 100 рабочих.
2006-05-11,,На сахалине разбился вертолёт ми-14 в охотском море.
2006-05-14,,"После победы на президентских выборах на гаити рене преваля, временный президент бонифас александр ушёл в отставку."
2006-05-15,,США ввели санкции против Венесуэлы «за недостаточное сотрудничество в борьбе с терроризмом». Было принято решение ввести эмбарго на экспорт вооружений в Венесуэлу.
