date_start,date_end,event
2000-01-01,,Деноминация белорусского рубля;
2000-01-01,,"В связи с «проблемой-2000», в Иране объявлен нерабочий день;"
2000-01-01,,"Вступление в силу закона в Великобритании, согласно которому вес всех продуктов, имеющихся в продаже, обозначается в метрической системе, а не в традиционных для страны унциях и фунтах."
2000-01-02,,"Крушение украинского сухогруза типа «река-море» «тикси» (порт приписки николаев, под флагом камбоджи) с грузом зерна на борту на траверсе мыса джубга около туапсе. во время шторма судно разломилось пополам, экипажу удалось высадиться на плоты. один человек погиб."
2000-01-03,,"Обстрел из гранатомёта территории российского посольства в Ливане, Бейрут;"
2000-01-03,,"Победа коалиции социал-демократов-социал-либералов, вместе с блоком из четырёх других партий (во главе с Крестьянской партией) на парламентских выборах в Хорватии, набравших две трети голосов в парламенте, что в дальнейшем позволило изменить конституцию и превратить республику из полу-президентской в парламентскую."
2000-01-08,,Первая рождественская литургия в храме христа спасителя. литургию отслужил патриарх московский и всея руси алексий ii.
2000-01-09,,"Переизбрание Ислама Каримова президентом Республики Узбекистан (91,9 % голосов избирателей);"
2000-01-09,,"Проведение в трёх субъектах России повторных выборов глав регионов. Губернатором Московской области избран генерал Борис Громов («Отечество»)(48 %); губернатором Тверской области переизбран Владимир Платов («Единство»)(46,5 %); губернатором Новосибирской области избран мэр Новосибирска Виктор Толоконский (44,3 %);"
2000-01-09,,"Вторая чеченская война: прорыв боевиков в Шали и Аргун. Контроль федеральных сил над Шали был восстановлен 11 января, над Аргуном — 13 января."
2000-01-10,,Крушение авиалайнера «Saab 340» авиакомпании «Crossair» у деревни Нассенвиль в Нидерхасли (Швейцария). Погибли все находившиеся на его борту 10 человек — 7 пассажиров и 3 члена экипажа;
2000-01-10,,"Демонстрация более 100 000 израильтян против возвращения Голанских высот в Тель-Авиве, Сирия;"
2000-01-10,,Объявление компаний «AOL» и «Time Warner» о планах слияния с компанией «AOL Time Warner».
2000-01-13,,Вынесение приговора членам одной из самых жестоких опг новейшей криминальной истории россии — «слоновской опг».
2000-01-14,,На пост президента гватемалы назначен альфонсо портильо кабрера.
2000-01-15,,"Убийство сербского военного и политического деятеля, участника югославских войн желько ражнатовича в холле белградского отеля «интерконтиненталь»."
2000-01-16,,Первый тур президентских выборов в Финляндии;
2000-01-16,,Во 2-м туре президентских выборов в Чили избран кандидат от Коалиции партий за демократию Рикардо Лагос (51 % голосов избирателей).
2000-01-17,,Лидер афганского движения «талибан» мулла мухаммед омар сообщил о признании чечни независимым государством. это стало первым и единственным признанием суверенитета чечни.
2000-01-18,,"В 8:43 жители канадской территории юкон, части аляски и северо-западных территорий видели вхождение в атмосферу земли метеорита массой более 150 тонн и диаметром около 5 метров. его обломки упали в районе озера тагиш и были разбросаны на территории длиной 16 км и шириной 3 км. позже было собрано около пятисот осколков метеорита. изучением метеорита занимались учёные университета калгари, университета западного онтарио и nasa (по своему составу он относится к h-хондритам)."
2000-01-20,2000-01-27,проведение в Таджикистане переписи населения.
2000-01-21,,"Начало народных волнений в эквадоре, перешедших в военный переворот и свержение президента хамиля мауада. 22 января вице-президент густаво нобоа бехарано был приведён к президентской присяге."
2000-01-21,2000-02-01,"раскол Верховной Рады Украины, при котором большинство (255 депутатов) переходят в группу «Украинский дом», избрание председателем Верховной Рады Украины Ивана Плюща."
2000-01-24,,"Победа в первом туре Степана Месича на президентских выборах в Хорватии (56,01 %);"
2000-01-24,,Захват больницы в западном Таиланде десятью бирманскими мятежниками из движения «Армия Бога» (до 2000 заложников). На следующий день силы безопасности Таиланда взяли больницу штурмом.
2000-01-24,,В ночь с 25 на 26 января — крушение поезда на Веребьинском обходе главного хода Октябрьской железной дороги в результате столкновения пассажирского поезда с грузовым.
2000-01-26,,"Вступление в силу договора о создании союзного государства, подписанного президентами российской федерации и беларуси 8 декабря 1999 года. первое заседание высшего государственного совета союзного государства в москве."
2000-01-27,,Назначение ивицы рачана новым премьер-министром хорватии.
2000-01-30,,"Катастрофа A310 под Абиджаном, погибло 169 человек;"
2000-01-30,,"Выброс в Дунай более 100 тыс. кубометров тяжёлых металлов на заводе румыно-австралийской компании «Аурул». В результате аварии было выловлено более 100 тонн мёртвой рыбы, а катастрофу окрестили «вторым Чернобылем»."
2000-01-31,,"Падение авиалайнера «mcdonnell douglas md-83» авиакомпании «alaska airlines» рейса as 261 по маршруту пуэрто-вальярта—сан-франциско—сиэтл при подлёте к сан-франциско в 4,5 километрах от побережья острова анакапа (калифорния). погибли все находившиеся на его борту 88 человек — 83 пассажира и 5 членов экипажа."
2000-02-06,,"Штурм Национального автономного университета Мексики полицией и арест более 600 студентов, забаррикадировавшихся там после девяти месяцев противостояния, возникшего из-за решения руководства университета поднять плату за обучение. Пострадавших нет;"
2000-02-06,,"Избрание во втором туре президентских выборов в Финляндии президентом социал-демократа Тарья Халонен (51,6 % голосов);"
2000-02-06,,Вторая чеченская война: Взятие Грозного российской армией. Объявление исполняющего обязанности Президента РФ Владимира Путина о завершении операции по освобождению Грозного;
2000-02-06,,"Железнодорожная авария ночного экспресса Амстердам-Базель под Кёльном. 9 погибших, 149 раненых."
2000-02-07,,"Взрыв трёх зарядов (каждый мощностью около 400 граммов тротила) в центре Душанбе (Таджикистан) недалеко от здания государственного налогового комитета, между гостиницей «Авесто» (где размещается российское посольство) и культурным центром Кохи Вахдат, а также у жилого многоэтажного дома в центре города;"
