date_start,date_end,event
2011-01-01,,"Эстония перешла на евро, став 17-м членом еврозоны."
2011-01-01,,Венгрия стала государством-председателем Совета Европейского союза.
2011-01-01,,"Специальные муниципалитеты Нидерландов: Бонайре, Синт-Эстатиус и Саба (Карибские Нидерланды) перешли с антильского гульдена на доллар США."
2011-01-01,,Литва стала государством-председателем ОБСЕ.
2011-01-01,,В России запрещена продажа ламп накаливания мощностью 100 ватт и более.
2011-01-01,,Дилма Русеф вступила в должность президента Бразилии (первая женщина-президент в истории страны).
2011-01-01,,"Взрыв в коптской церкви в Александрии (Египет). Погибли 23 человека, ранены 97 человек."
2011-01-01,,"В Сургуте (Россия) при взлёте загорелся и взорвался самолёт Ту-154. 3 человека погибли, 44 пострадали."
2011-01-02,,"В чили произошло землетрясение магнитудой 6,5. жертв и разрушений нет."
2011-01-07,,В омске прошёл xx рождественский марафон.
2011-01-08,,"В городе тусон (сша) во время выступления перед избирателями совершено покушение на члена палаты представителей сша от штата аризона габриэль гиффордс, которая с тяжёлым ранением головы доставлена в госпиталь. погибли 6, ранены 14 человек."
2011-01-09,,В Российской Федерации запрещена покупка иностранцами земель на приграничных территориях.
2011-01-09,,В результате авиакатастрофы в Иране погибли 77 и ранены 26 человек.
2011-01-09,2011-01-15,референдум в Южном Судане о независимости от Судана.
2011-01-10,,Южная осетия полностью запретила хождение на своей территории грузинского лари.
2011-01-13,2011-01-16,"9-й международный фестиваль духовной музыки «Серебряные колокола» (Даугавпилс, Латвия)."
2011-01-14,,"Парламент Казахстана принял решение о проведении референдума о продлении полномочий президента страны Нурсултана Назарбаева до 2020 года, вопреки его указу об отклонении данного предложения."
2011-01-14,,Государственный переворот в Тунисе. В результате волнений в Тунисе президент Туниса Зин эль-Абидин Бен Али бежал из страны.
2011-01-16,,"Российская команда «камаз-мастер» в десятый раз стала победительницей ралли дакар 2011 (буэнос-айрес, аргентина)."
2011-01-17,,Президент казахстана нурсултан назарбаев не подписал поправки в конституцию о проведении референдума по продлению его полномочий до 2020 года и направил их на рассмотрение в конституционный совет.
2011-01-19,,"Землетрясение магнитудой 7,4 произошло на юго-западе Пакистана."
2011-01-19,,В России впервые возбуждено уголовное дело в отношении интернет-пользователя по факту нарушения авторских прав.
2011-01-20,,"В городе макеевка (донецкая область, украина) произошло несколько взрывов. пострадавших нет."
2011-01-21,,Александр Лукашенко официально вступил в должность президента Республики Беларусь в четвёртый раз.
2011-01-21,,Массовое убийство в Ставрополе.
2011-01-23,,На президентских выборах в Португалии победил действующий глава государства Анибал Каваку Силва.
2011-01-23,,"На юге Пакистана пассажирский автобус столкнулся с бензовозом. Погибли 32 человека, 9 пострадали."
2011-01-24,,"В результате теракта в аэропорту домодедово погибли 37, ранены 180 человек."
2011-01-25,,Государственная дума России окончательно ратифицировала договор об СНВ-3.
2011-01-25,,Начало массовых антиправительственных выступлений в Египте против режима Хосни Мубарака.
2011-01-26,2011-01-30,"41-й Всемирный экономический форум (Давос, Швейцария)."
2011-01-27,2011-02-06,"25-я зимняя Универсиада (Эрзурум, Турция)."
2011-01-28,,Государственная дума россии приняла закон «о полиции».
2011-01-29,,В результате волнений в египте мародёры уничтожили две мумии египетских фараонов и пытались разгромить редчайшую коллекцию египетских древностей в национальном музее в центре каира.
2011-01-30,,"Сша призвали своих граждан покинуть египет «быстро, насколько возможно»."
2011-01-30,2011-02-06,"VII Зимние Азиатские игры (Азиада-2011) (Астана, Казахстан)."
2011-01-31,,"Конституционный совет республики казахстан, рассмотрев обращение президента страны, признал незаконным проведение референдума по продлению его полномочий до 2020 года. нурсултан назарбаев согласился с этим решением и предложил провести досрочные президентские выборы."
2011-02-01,,В екатеринбурге в день 80-летия со дня рождения первого президента россии состоялось открытие памятника борису ельцину.
2011-02-02,2011-02-04,"Архиерейский собор Русской православной церкви (Храм Христа Спасителя, Москва, Россия)."
2011-02-03,,"Президент рф дмитрий медведев упразднил федеральную службу по надзору за соблюдением законодательства в области охраны культурного наследия, подписав соответствующий указ."
2011-02-05,,Вступил в силу договор об снв-3.
2011-02-06,,"В арлингтоне (штат техас, сша) прошёл супербоул xlv."
2011-02-07,,Президент Судана Омар аль-Башир признал независимость Южного Судана.
2011-02-07,,Президент РФ Дмитрий Медведев подписал федеральный закон «О полиции».
2011-02-08,,Президент рф дмитрий медведев объявил об отмене в россии перехода на «зимнее время».
2011-02-09,,Отмена визового режима между украиной и израилем.
2011-02-09,2011-02-13,"международный авиационно-космический салон Aero India (Аэро Индия) (Бангалор, Индия)."
2011-02-10,,"Пожар на складе ооо «кама-трейд» в перми, в результате которого 18 человек погибли, двое ранены, 1 — спасся."
2011-02-11,,Президент египта хосни мубарак покинул свой пост.
2011-02-13,,В Чаде прошли парламентские выборы.
2011-02-13,,Высший совет Вооружённых сил Египта отменил действие конституции в стране и распустил обе палаты парламента.
2011-02-15,,"Американский межпланетный зонд Stardust-NeXT совершил пролёт вблизи поверхности кометы Tempel 1, минимальное расстояние до небесного тела составляло 181 км."
2011-02-15,,Начало гражданской войны в Ливии между сторонниками и противниками Муамара Каддафи.
2011-02-17,,"Во Вьетнаме затонуло судно с иностранными туристами. Погибли 11 человек, из них две гражданки России."
2011-02-17,,Дмитрий Медведев встретился с папой римским Бенедиктом XVI.
2011-02-17,,В Кыргызстане появился пик Владимира Путина.
2011-02-18,,"В Кабардино-Балкарии обстрелян автобус с московскими туристами. Трое туристов погибли, двое ранены."
2011-02-18,,Южно-Африканская Республика официально присоединилась к группе развивающихся государств БРИК.
2011-02-20,,В городе хаапсалу (эстония) произошёл пожар в детском доме для инвалидов. погибли 10 детей.
2011-02-22,,Перу и Ливия расторгли дипломатические отношения в связи с беспорядками в Ливии.
2011-02-22,,"В результате разрушительного землетрясения в Крайстчерче (Новая Зеландия) магнитудой 6,3 погибли 166 человек, 122 — пропали без вести."
2011-02-23,,"Президент россии дмитрий медведев вручил мэрам городов тихвин, тверь и владивосток грамоты о присвоении звания город воинской славы."
2011-02-24,,"133-й старт (STS-133) по программе Спейс Шаттл. 39-й полёт шаттла Дискавери. Экипаж — Стивен Линдси, Эрик Боу, Элвин Дрю, Майкл Барратт, Стивен Боуэн, Николь Стотт. Продолжение строительства Международной космической станции. Последний полёт шаттла Дискавери."
2011-02-24,,Крупнейший аэропорт мира Аль-Мактум в Дубае открыт для пассажирских лайнеров.
2011-02-27,,В лос-анджелесе (сша) состоялась 83-я церемония вручения премий оскар. лучшим фильмом года американская киноакадемия признала картину «король говорит!».
2011-02-28,,"В японии завершился первый в мире марафонский забег, участие в котором принимали роботы."
2011-03-01,,В России вступил в силу закон «О полиции».
2011-03-01,,В России начали действовать водительские права международного образца.
2011-03-01,,"Упрощён визовый режим между Грузией и ЕС (кроме Дании, Великобритании и Ирландии)."
2011-03-04,,"Президентом торгово-промышленной палаты россии избран сергей катырин после того, как 21 февраля её предыдущий президент евгений примаков объявил о своей отставке и об отказе от переизбрания на новый срок."
2011-03-06,,"В Эстонии прошли парламентские выборы. Победу одержала Партия реформ, которую возглавляет премьер-министр Эстонии Андрус Ансип."
2011-03-06,,В Техасе (США) прошли крупные митинги за независимость штата.
2011-03-07,,Президент России Дмитрий Медведев подписал закон о либерализации уголовного законодательства.
2011-03-07,,В столице Анголы Луанде разогнана антиправительственная демонстрация во главе с рэпером Иконокластой.
2011-03-09,,"Официально введён в эксплуатацию суперкомпьютер, построенный в РФЯЦ-ВНИИЭФ — самый мощный, на сегодняшний день, суперкомпьютер в России."
2011-03-09,,"Шатл «Дискавери» завершил свою 27-летнюю карьеру, совершив успешное приземление в космическом центре имени Кеннеди во Флориде."
2011-03-11,,"Землетрясение магнитудой от 9,0 до 9,1 произошло у северо-восточного побережья японии. землетрясение вызвало разрушительное цунами в японии. высота волны достигала 10 м. произошли сбои в работе нескольких ядерных реакторов. 15 597 погибших, 5694 раненых, 4980 пропавших без вести (на 20 июля). экономический ущерб, по приблизительной оценке, составил до 309 млрд usd."
2011-03-12,,"На японской аэс «фукусима-1», пострадавшей в результате землетрясения, произошёл взрыв. уровень радиации возле станции превысил норму в 20 раз."
2011-03-13,,Единый день голосования (Россия).
2011-03-13,,Колумбия отменила визовый режим для граждан России.
2011-03-14,,В бахрейн прибыли больше тысячи военнослужащих из саудовской аравии и полицейские силы из оаэ.
