<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
АЛРОСА ао;D;20111129;000000;35;40.609;35;39;19200;0
АЛРОСА ао;D;20111130;000000;48.32;54.6;42;54.6;76800;0
АЛРОСА ао;D;20111201;000000;64.5;76.44;64.5;76.44;11900;0
АЛРОСА ао;D;20111202;000000;103.558;107.016;45.864;45.864;1898700;0
АЛРОСА ао;D;20111205;000000;38;41.985;36.7;37.1;1552200;0
АЛРОСА ао;D;20111206;000000;37;37.1;34.75;34.8;831100;0
АЛРОСА ао;D;20111207;000000;34.701;36;34.501;35.3;467700;0
АЛРОСА ао;D;20111208;000000;35.3;35.55;34.75;35.55;181400;0
АЛРОСА ао;D;20111209;000000;34.999;35.24;34.2;34.575;631800;0
АЛРОСА ао;D;20111212;000000;34.304;34.797;33.3;33.49;225800;0
АЛРОСА ао;D;20111213;000000;33.003;34;30.501;33.9;665500;0
АЛРОСА ао;D;20111214;000000;33.033;34;32.62;34;104200;0
АЛРОСА ао;D;20111215;000000;33.3;33.5;32.03;33.208;358600;0
АЛРОСА ао;D;20111216;000000;33.1;33.1;31.757;32.198;134400;0
АЛРОСА ао;D;20111219;000000;32.157;32.157;30.71;31.304;133500;0
АЛРОСА ао;D;20111220;000000;31.02;31.499;30.351;31.347;150500;0
АЛРОСА ао;D;20111221;000000;31.287;31.998;30.55;31.049;236800;0
АЛРОСА ао;D;20111222;000000;31;31;30.353;30.657;107700;0
АЛРОСА ао;D;20111223;000000;30.885;30.9;30.3;30.301;149400;0
АЛРОСА ао;D;20111226;000000;30.013;30.495;30.012;30.347;181900;0
АЛРОСА ао;D;20111227;000000;30.051;30.3;30;30;18400;0
АЛРОСА ао;D;20111228;000000;30.379;30.4;30;30.111;595400;0
АЛРОСА ао;D;20111229;000000;30.021;30.548;29.4;30.2;404900;0
АЛРОСА ао;D;20111230;000000;30.48;31;30.48;31;572000;0
АЛРОСА ао;D;20120103;000000;31;31;30.354;30.99;143900;0
АЛРОСА ао;D;20120104;000000;30.711;31.384;30.6;31;41600;0
АЛРОСА ао;D;20120105;000000;30.998;31;29.4;29.995;314300;0
АЛРОСА ао;D;20120106;000000;30.349;30.349;29.7;30.093;44700;0
АЛРОСА ао;D;20120109;000000;30.048;30.083;29.8;30.07;20200;0
АЛРОСА ао;D;20120110;000000;30.6;30.6;30.1;30.44;180300;0
АЛРОСА ао;D;20120111;000000;30.649;30.649;30.104;30.112;81900;0
АЛРОСА ао;D;20120112;000000;30.106;30.75;29.702;30.699;264700;0
АЛРОСА ао;D;20120113;000000;30.501;30.75;30.135;30.4;25100;0
АЛРОСА ао;D;20120116;000000;30.479;30.479;29.561;30.15;106400;0
АЛРОСА ао;D;20120117;000000;30.15;30.47;29.799;29.9;408100;0
АЛРОСА ао;D;20120118;000000;29.851;29.95;29.7;29.8;201700;0
АЛРОСА ао;D;20120119;000000;29.8;29.9;29.74;29.85;440700;0
АЛРОСА ао;D;20120120;000000;30;30.5;29.701;30.2;1640200;0
АЛРОСА ао;D;20120123;000000;30.25;30.375;30;30.12;472300;0
АЛРОСА ао;D;20120124;000000;30.02;30.143;29.85;30.05;309000;0
АЛРОСА ао;D;20120125;000000;29.901;30;29.811;29.94;100500;0
АЛРОСА ао;D;20120126;000000;29.999;30.179;29.921;29.996;250900;0
