<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Сургнфгз;D;20020108;000000;10.32;10.99;10.25;10.581;16023100;0
Сургнфгз;D;20020109;000000;10.909;10.909;10.425;10.65;12299100;0
Сургнфгз;D;20020110;000000;10.6;10.775;10.35;10.63;12180000;0
Сургнфгз;D;20020111;000000;9.791;10.68;9.791;10.679;9208300;0
Сургнфгз;D;20020114;000000;10.205;10.55;10.045;10.05;7961400;0
Сургнфгз;D;20020115;000000;9.92;10.19;9.815;10.179;10632900;0
Сургнфгз;D;20020116;000000;10.101;10.3;9.98;10.02;7859000;0
Сургнфгз;D;20020117;000000;10;10.36;10;10.266;12565300;0
Сургнфгз;D;20020118;000000;10.4;10.405;10.04;10.201;8758700;0
Сургнфгз;D;20020121;000000;10.205;10.36;10.12;10.253;4204200;0
Сургнфгз;D;20020122;000000;10.2;10.8;10.2;10.749;13230800;0
Сургнфгз;D;20020123;000000;9.225;10.71;9.225;10.18;17097400;0
Сургнфгз;D;20020124;000000;9.97;10;9.7;9.771;23862800;0
Сургнфгз;D;20020125;000000;9.889;9.95;9.631;9.685;14800700;0
Сургнфгз;D;20020128;000000;9.8;9.979;9.702;9.96;6276000;0
Сургнфгз;D;20020129;000000;9.989;10.401;9.989;10.351;18027100;0
Сургнфгз;D;20020130;000000;10.138;10.138;9.751;9.832;15775500;0
Сургнфгз;D;20020131;000000;10;10.13;9.837;9.98;10753500;0
Сургнфгз;D;20020201;000000;10.1;10.15;9.95;9.98;8963600;0
Сургнфгз;D;20020204;000000;10.055;10.179;9.901;10.039;8414200;0
Сургнфгз;D;20020205;000000;9.862;9.98;9.81;9.943;8631300;0
Сургнфгз;D;20020206;000000;9.97;10.2;9.97;10.13;10516300;0
Сургнфгз;D;20020207;000000;10;10.199;9.964;10.086;12322500;0
Сургнфгз;D;20020208;000000;10.175;10.175;9.886;9.969;11224800;0
Сургнфгз;D;20020211;000000;10.065;10.09;9.921;9.982;8039300;0
Сургнфгз;D;20020212;000000;10.261;10.5;10.25;10.35;22743600;0
Сургнфгз;D;20020213;000000;10.243;10.4;10.201;10.29;7753000;0
Сургнфгз;D;20020214;000000;10.251;10.435;9.98;10.25;17866800;0
Сургнфгз;D;20020215;000000;10.327;10.463;10.303;10.31;9224700;0
Сургнфгз;D;20020218;000000;10.304;10.39;10.17;10.239;5472800;0
Сургнфгз;D;20020219;000000;9.69;10.32;9.69;10.152;7166600;0
Сургнфгз;D;20020220;000000;10.072;10.075;9.825;9.955;10408400;0
Сургнфгз;D;20020221;000000;10;10.229;10;10.105;6310300;0
Сургнфгз;D;20020222;000000;10.095;10.199;9.865;10.088;12834000;0
Сургнфгз;D;20020226;000000;10.17;10.17;9.712;9.789;15361700;0
Сургнфгз;D;20020227;000000;9.781;9.89;9.29;9.427;17191300;0
Сургнфгз;D;20020228;000000;9.625;9.625;9.102;9.276;13244900;0
Сургнфгз;D;20020301;000000;9.3;10;9.15;9.98;14993200;0
Сургнфгз;D;20020304;000000;10.2;10.391;10.165;10.22;12744400;0
Сургнфгз;D;20020305;000000;10.225;10.61;10.155;10.498;20974900;0
Сургнфгз;D;20020306;000000;10.49;10.7;10.36;10.61;13297000;0
Сургнфгз;D;20020307;000000;10.8;11.298;10.78;11.194;17395000;0
Сургнфгз;D;20020311;000000;11.201;11.28;10.75;10.8;16743900;0
Сургнфгз;D;20020312;000000;10.9;11.034;10.72;10.76;10571900;0
Сургнфгз;D;20020313;000000;10.905;11.193;10.901;11.001;10202900;0
Сургнфгз;D;20020314;000000;11.099;11.59;11.051;11.49;19117100;0
Сургнфгз;D;20020315;000000;11.62;11.885;11.52;11.74;14987300;0
Сургнфгз;D;20020318;000000;11.94;12.154;11.749;12.15;8710200;0
Сургнфгз;D;20020319;000000;12.075;12.349;11.86;12.075;13798100;0
Сургнфгз;D;20020320;000000;12.003;12.069;11.87;11.964;7543200;0
Сургнфгз;D;20020321;000000;11.876;12.1;11.77;12;8064300;0
Сургнфгз;D;20020322;000000;12.1;12.285;12.04;12.25;11031500;0
Сургнфгз;D;20020325;000000;12.201;12.399;11.741;11.75;8105400;0
Сургнфгз;D;20020326;000000;11.8;11.948;11.7;11.75;6192100;0
Сургнфгз;D;20020327;000000;12.001;12.001;11.07;11.18;20869000;0
Сургнфгз;D;20020328;000000;11.195;11.44;11.05;11.4;23307700;0
Сургнфгз;D;20020329;000000;11.495;11.6;11.35;11.42;12410300;0
Сургнфгз;D;20020401;000000;11.429;11.54;11.28;11.47;4228700;0
Сургнфгз;D;20020402;000000;11.51;11.57;11.101;11.11;11035900;0
Сургнфгз;D;20020403;000000;11.199;11.25;10.71;10.899;16042500;0
Сургнфгз;D;20020404;000000;10.78;10.893;10.77;10.85;8236000;0
Сургнфгз;D;20020405;000000;10.899;11.237;10.86;11.171;12031600;0
Сургнфгз;D;20020408;000000;11.023;11.329;10.95;11.19;9052000;0
Сургнфгз;D;20020409;000000;11.5;11.78;11.42;11.6;17867000;0
Сургнфгз;D;20020410;000000;11.511;11.777;11.511;11.609;14132000;0
Сургнфгз;D;20020411;000000;11.6;11.69;11.181;11.36;17959100;0
Сургнфгз;D;20020412;000000;11.2;11.374;10.85;10.891;10670300;0
Сургнфгз;D;20020415;000000;10.96;11.42;10.932;11.29;13520400;0
Сургнфгз;D;20020416;000000;11.316;11.497;11.15;11.186;11968900;0
Сургнфгз;D;20020417;000000;11.354;11.427;11.161;11.199;10414600;0
Сургнфгз;D;20020418;000000;11.235;11.65;11.155;11.442;21005200;0
Сургнфгз;D;20020419;000000;11.445;11.59;11.35;11.445;10821500;0
Сургнфгз;D;20020422;000000;11.375;11.495;11.2;11.241;7092700;0
Сургнфгз;D;20020423;000000;10.976;11.56;10.96;11.43;13647300;0
Сургнфгз;D;20020424;000000;11.37;11.598;11.35;11.454;8597100;0
Сургнфгз;D;20020425;000000;9.176;11.74;9.176;11.525;14256100;0
Сургнфгз;D;20020426;000000;11.605;12.18;11.605;12.169;30058400;0
Сургнфгз;D;20020427;000000;12.139;12.238;12.08;12.17;6533000;0
Сургнфгз;D;20020429;000000;12.235;12.395;11.94;11.98;14273900;0
Сургнфгз;D;20020430;000000;12.075;12.075;11.76;11.889;11363200;0
Сургнфгз;D;20020506;000000;11.95;11.97;11.61;11.78;6495300;0
Сургнфгз;D;20020507;000000;11.605;11.66;11.216;11.29;13699100;0
Сургнфгз;D;20020508;000000;11.36;11.733;11.36;11.71;8187100;0
Сургнфгз;D;20020513;000000;11.855;12.07;11.56;12.01;14778100;0
Сургнфгз;D;20020514;000000;12.205;12.79;12.205;12.74;26463900;0
Сургнфгз;D;20020515;000000;12.755;13.05;12.623;12.73;18822600;0
Сургнфгз;D;20020516;000000;12.665;12.915;12.505;12.802;14917500;0
Сургнфгз;D;20020517;000000;12.853;13.748;12.741;13.683;34363800;0
Сургнфгз;D;20020518;000000;13.648;13.726;13.521;13.7;5500900;0
Сургнфгз;D;20020520;000000;13.581;14.46;13.54;14.165;19443900;0
Сургнфгз;D;20020521;000000;14.133;14.36;13.82;14.151;12136000;0
Сургнфгз;D;20020522;000000;14.105;14.15;13.856;14.07;10433400;0
Сургнфгз;D;20020523;000000;14.2;14.79;14.182;14.27;17215700;0
Сургнфгз;D;20020524;000000;14.2;14.23;13.56;13.75;13339200;0
Сургнфгз;D;20020527;000000;13.64;13.78;13.44;13.764;7799700;0
Сургнфгз;D;20020528;000000;13.78;14.15;12.811;13;23766700;0
Сургнфгз;D;20020529;000000;13.097;13.458;12.6;13.4;18004400;0
Сургнфгз;D;20020530;000000;13.5;13.95;12.95;13.19;23671200;0
Сургнфгз;D;20020531;000000;13.15;13.5;12.75;13.451;14039500;0
Сургнфгз;D;20020603;000000;13.52;13.8;13.401;13.5;7468500;0
Сургнфгз;D;20020604;000000;13.5;13.528;13.15;13.332;13303500;0
Сургнфгз;D;20020605;000000;13.363;13.98;13.21;13.888;19402300;0
Сургнфгз;D;20020606;000000;13.975;14.547;13.77;14.394;24696500;0
Сургнфгз;D;20020607;000000;14.245;14.54;14.131;14.52;18595900;0
Сургнфгз;D;20020610;000000;14.515;14.947;14.501;14.735;17988500;0
Сургнфгз;D;20020611;000000;14.76;14.829;14.41;14.65;13905400;0
Сургнфгз;D;20020613;000000;14.718;14.8;13.79;13.8;18512400;0
Сургнфгз;D;20020614;000000;13.97;13.97;12.71;12.907;35015200;0
Сургнфгз;D;20020617;000000;12.964;13.19;12.78;13.05;17063100;0
Сургнфгз;D;20020618;000000;13.177;13.19;12.35;12.445;19005700;0
Сургнфгз;D;20020619;000000;12.405;12.405;11.871;12.066;18105900;0
Сургнфгз;D;20020620;000000;12;12.4;11.54;11.654;22885100;0
Сургнфгз;D;20020621;000000;11.61;12.09;11.25;12.07;22986200;0
Сургнфгз;D;20020624;000000;12.012;12.222;11.721;11.795;14005400;0
Сургнфгз;D;20020625;000000;11.91;12.27;11.85;12.058;10802600;0
Сургнфгз;D;20020626;000000;11.555;11.81;11.385;11.649;17773300;0
Сургнфгз;D;20020627;000000;11.84;12.24;11.7;12.162;18202400;0
Сургнфгз;D;20020628;000000;12.226;12.349;11.85;12.22;15162100;0
Сургнфгз;D;20020701;000000;12.29;12.621;12.12;12.568;13607600;0
Сургнфгз;D;20020702;000000;9.745;12.54;9.745;12.418;13567000;0
Сургнфгз;D;20020703;000000;12.4;12.57;12.111;12.465;13598300;0
Сургнфгз;D;20020704;000000;12.52;12.839;12.52;12.8;13365300;0
