<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Роснефть;D;20060719;000000;220.32;220.32;203.03;203.95;517741;0
Роснефть;D;20060720;000000;204.95;205.1;203.15;203.26;1141288;0
Роснефть;D;20060721;000000;204.3;204.6;200;202;1864106;0
Роснефть;D;20060724;000000;203.67;203.67;199.25;201.99;794152;0
Роснефть;D;20060725;000000;203;203.75;201.27;202.69;1674834;0
Роснефть;D;20060726;000000;203;203.25;202.01;203.1;1009200;0
Роснефть;D;20060727;000000;203.1;203.75;202.5;203.5;2198736;0
Роснефть;D;20060728;000000;203.01;203.5;202.6;202.8;523310;0
Роснефть;D;20060731;000000;204;204;202.55;202.6;175111;0
Роснефть;D;20060801;000000;202.5;203;202.11;202.75;384136;0
Роснефть;D;20060802;000000;204.05;204.05;201.5;201.99;176071;0
Роснефть;D;20060803;000000;201.95;202.4;200.1;200.75;1889098;0
Роснефть;D;20060804;000000;200.73;201.5;200.5;200.99;1377711;0
Роснефть;D;20060807;000000;200.93;201.5;199.7;200.3;1181552;0
Роснефть;D;20060808;000000;200.8;200.99;195.9;196.85;1975449;0
Роснефть;D;20060809;000000;196.78;198.5;196;198.24;983353;0
Роснефть;D;20060810;000000;198;200;195.96;200;1822726;0
Роснефть;D;20060811;000000;201.5;202.3;199.12;201.22;1375209;0
Роснефть;D;20060814;000000;200.2;202;197.77;198;1433941;0
Роснефть;D;20060815;000000;199.35;199.7;197;199.51;1095570;0
Роснефть;D;20060816;000000;198.75;201.9;198.12;201;1004449;0
Роснефть;D;20060817;000000;201;201.34;199.3;199.89;555145;0
Роснефть;D;20060818;000000;199.9;199.9;198.5;199.4;1133805;0
Роснефть;D;20060821;000000;199.87;199.87;197.98;198;540462;0
Роснефть;D;20060822;000000;203.05;203.05;198;199.9;853942;0
Роснефть;D;20060823;000000;199.31;199.9;198.85;199.75;294694;0
Роснефть;D;20060824;000000;199;200;198.3;200;779842;0
Роснефть;D;20060825;000000;200.34;202.87;199.01;202.29;877052;0
Роснефть;D;20060828;000000;202.2;202.2;201.3;201.3;531327;0
Роснефть;D;20060829;000000;201.29;202.2;200.8;200.8;967370;0
Роснефть;D;20060830;000000;200.8;201.39;199;199.5;526325;0
Роснефть;D;20060831;000000;199.8;201.69;197.5;197.7;876903;0
Роснефть;D;20060901;000000;194;200.4;194;200.3;504755;0
Роснефть;D;20060904;000000;200.95;202;199;199.51;105974;0
Роснефть;D;20060905;000000;199.8;201.9;198.8;201.9;839769;0
Роснефть;D;20060906;000000;201.3;201.9;200.33;201;502486;0
Роснефть;D;20060907;000000;200.3;201;199.8;200.7;1245896;0
Роснефть;D;20060908;000000;200.3;202.4;200.3;201.35;675568;0
Роснефть;D;20060911;000000;201.26;201.89;199.8;199.8;1459010;0
Роснефть;D;20060912;000000;200.5;200.9;199.8;200.5;378880;0
Роснефть;D;20060913;000000;200.3;201.4;199.3;201;488235;0
Роснефть;D;20060914;000000;195.63;201.35;195.63;201;2318428;0
Роснефть;D;20060915;000000;200.31;205;200.21;204.2;1183822;0
Роснефть;D;20060918;000000;203.48;205.8;203;205;888776;0
Роснефть;D;20060919;000000;205;207.7;204.3;207.2;1206167;0
Роснефть;D;20060920;000000;206.53;217;205.5;215;4269186;0
Роснефть;D;20060921;000000;214;215.88;206.01;209.96;1547261;0
Роснефть;D;20060922;000000;208.09;210;204.3;205.8;2255789;0
Роснефть;D;20060925;000000;205.4;205.4;200.25;202.03;1876336;0
Роснефть;D;20060926;000000;202.95;205.12;202;205.12;1782398;0
Роснефть;D;20060927;000000;206.13;210.54;205;207.28;1079367;0
Роснефть;D;20060928;000000;210;214.8;208.4;214.55;2474703;0
Роснефть;D;20060929;000000;212.3;215.95;210.01;211.99;1405493;0
Роснефть;D;20061002;000000;217.42;217.42;207;211.35;392008;0
Роснефть;D;20061003;000000;210.96;212;208;208;699622;0
Роснефть;D;20061004;000000;207.13;210;206.34;209.39;421524;0
Роснефть;D;20061005;000000;211.13;213.4;209.6;212.5;710988;0
Роснефть;D;20061006;000000;212.2;213.25;210.25;212.99;509685;0
Роснефть;D;20061009;000000;212.75;213.7;211.12;213.2;427601;0
Роснефть;D;20061010;000000;213.2;214.1;207.01;213.9;484795;0
Роснефть;D;20061011;000000;212.26;213.5;211.25;212.5;265840;0
Роснефть;D;20061012;000000;206.57;213.25;206.57;211.92;245349;0
Роснефть;D;20061013;000000;211.6;214;211.3;214;407182;0
Роснефть;D;20061016;000000;213.71;214.5;212;213;465545;0
Роснефть;D;20061017;000000;214.63;219.2;213;218.56;4043116;0
Роснефть;D;20061018;000000;218;225.8;217.5;225.59;3546291;0
Роснефть;D;20061019;000000;224.61;226.6;222;226.59;955690;0
Роснефть;D;20061020;000000;227;228.2;223.51;224.89;1210516;0
Роснефть;D;20061023;000000;224.08;226.89;221;223.79;754044;0
Роснефть;D;20061024;000000;224.27;224.39;221.51;222.55;279120;0
Роснефть;D;20061025;000000;228.84;229.49;222.5;229.39;1765672;0
Роснефть;D;20061026;000000;230;233.2;227.25;230.3;3103874;0
Роснефть;D;20061027;000000;230.65;234.25;228.99;234.24;1142553;0
Роснефть;D;20061030;000000;233.9;233.99;225.25;225.75;1060916;0
Роснефть;D;20061031;000000;225.53;230.97;225.25;229.8;1300378;0
Роснефть;D;20061101;000000;230.75;232.5;229.5;231.2;1399887;0
Роснефть;D;20061102;000000;231;232.4;228.31;229;807709;0
Роснефть;D;20061103;000000;230.58;231.98;228.8;231.38;640751;0
Роснефть;D;20061107;000000;232;233.22;231.38;231.66;748706;0
Роснефть;D;20061108;000000;231.4;232.8;229.51;231.97;754854;0
Роснефть;D;20061109;000000;232.1;240.6;231.31;238.45;3074114;0
Роснефть;D;20061110;000000;238;250.9;237.51;249.5;6026737;0
Роснефть;D;20061113;000000;249.95;264.95;247.26;247.81;21004858;0
Роснефть;D;20061114;000000;249.95;253.8;244.5;248.59;7001095;0
Роснефть;D;20061115;000000;245;248;239.25;247.4;6247600;0
Роснефть;D;20061116;000000;247.2;247.89;242.82;243.49;2972060;0
Роснефть;D;20061117;000000;242.13;243.2;238.6;242.45;3916387;0
Роснефть;D;20061120;000000;242.45;242.5;239.4;240.53;1053469;0
Роснефть;D;20061121;000000;242;245.7;240.55;244.53;1416341;0
Роснефть;D;20061122;000000;246.42;246.89;239.26;239.79;2940125;0
Роснефть;D;20061123;000000;240.11;242.75;240;241.88;856910;0
Роснефть;D;20061124;000000;241;242.11;240.1;241.7;550208;0
Роснефть;D;20061127;000000;243.4;244.1;240.5;241.54;1062666;0
Роснефть;D;20061128;000000;243.63;243.63;239.5;240.2;1161581;0
Роснефть;D;20061129;000000;241.47;243;241;242.9;2160153;0
Роснефть;D;20061130;000000;243.28;244.8;238.5;240.45;3067985;0
Роснефть;D;20061201;000000;240.99;241.2;237.43;237.7;1987920;0
Роснефть;D;20061204;000000;238.9;240;238;238.75;865608;0
Роснефть;D;20061205;000000;239.62;244.8;238;242;4360151;0
Роснефть;D;20061206;000000;244.55;248.23;241.25;247.91;3863041;0
Роснефть;D;20061207;000000;248.28;252.16;246.2;246.99;4032450;0
Роснефть;D;20061208;000000;246.15;249.4;245.25;248.52;1359559;0
Роснефть;D;20061211;000000;248.19;249.1;245.52;246.35;1623352;0
Роснефть;D;20061212;000000;247;249.99;244.31;245.4;1425957;0
Роснефть;D;20061213;000000;245.1;245.83;238.25;242.84;2927933;0
Роснефть;D;20061214;000000;243.01;246.03;241.05;245.58;1344853;0
Роснефть;D;20061215;000000;246.45;249.25;246;249.01;1928497;0
Роснефть;D;20061218;000000;249.08;249.8;245.25;246;1138974;0
Роснефть;D;20061219;000000;245.13;245.28;240;240.61;1305735;0
Роснефть;D;20061220;000000;241.87;245.6;241.31;242.4;1255947;0
Роснефть;D;20061221;000000;242.7;243;240;242.87;1436451;0
Роснефть;D;20061222;000000;242.24;243.94;240.25;243.1;701015;0
Роснефть;D;20061225;000000;243.41;243.41;240.21;241.04;1115961;0
Роснефть;D;20061226;000000;242;243.5;240.05;241.99;672105;0
Роснефть;D;20061227;000000;241.5;243.75;240.45;243.6;2163037;0
Роснефть;D;20061228;000000;246.75;246.75;241.5;243.95;2203923;0
Роснефть;D;20061229;000000;242.96;244.91;242.96;243.31;706968;0
Роснефть;D;20070109;000000;237.87;237.87;226.25;227.05;3895459;0
Роснефть;D;20070110;000000;226.08;229;224.01;227;2703782;0
Роснефть;D;20070111;000000;226.21;230;224.73;227.9;2337908;0
Роснефть;D;20070112;000000;225.15;226.5;224;226.04;2200897;0
Роснефть;D;20070115;000000;227.26;240.62;227.1;240.49;5440731;0
Роснефть;D;20070116;000000;240.46;243.2;234.2;234.2;4745987;0
Роснефть;D;20070117;000000;233.95;235.23;230.25;232.3;3759308;0
Роснефть;D;20070118;000000;234.38;237.94;233.5;234.52;2512021;0
Роснефть;D;20070119;000000;232.71;239.11;232.71;237.88;2177706;0
Роснефть;D;20070122;000000;239.95;242.5;236.25;238.5;3445141;0
Роснефть;D;20070123;000000;237.51;239.95;234.1;236.51;2906951;0
Роснефть;D;20070124;000000;237.53;241.75;236.91;237.67;3548915;0
Роснефть;D;20070125;000000;239.91;241.1;238.5;239.51;2006265;0
Роснефть;D;20070126;000000;236.95;239.3;236.95;237.91;945512;0
Роснефть;D;20070129;000000;240;240.25;235.25;235.56;1032538;0
Роснефть;D;20070130;000000;235.18;236.25;232.31;236.24;1299828;0
Роснефть;D;20070131;000000;237.43;239.25;233.3;234.7;2033826;0
Роснефть;D;20070201;000000;237.56;240;235.45;238.3;2355168;0
Роснефть;D;20070202;000000;238.9;242.23;237.5;239.82;2499249;0
Роснефть;D;20070205;000000;241.77;241.77;238.25;239.26;1873650;0
Роснефть;D;20070206;000000;238.95;241.52;237.64;239.8;2634517;0
Роснефть;D;20070207;000000;240.05;240.99;238.05;238.69;834623;0
Роснефть;D;20070208;000000;237.12;237.9;232.5;232.81;2012553;0
Роснефть;D;20070209;000000;236.2;236.25;230;233.99;1750087;0
Роснефть;D;20070212;000000;232.5;232.97;226;226.25;2252088;0
Роснефть;D;20070213;000000;226;229.93;224.32;229.22;2130251;0
Роснефть;D;20070214;000000;230.38;231;228.11;228.9;702789;0
Роснефть;D;20070215;000000;228.7;230.02;226.21;226.5;1046775;0
Роснефть;D;20070216;000000;226.87;227.23;225.01;226.35;1321365;0
Роснефть;D;20070219;000000;227.15;229.25;226.25;226.4;1204147;0
Роснефть;D;20070220;000000;226.44;226.89;225.2;226.28;804413;0
Роснефть;D;20070221;000000;227;234.25;226.51;232;4736854;0
Роснефть;D;20070222;000000;233.26;237.9;233.23;236.39;4040173;0
Роснефть;D;20070226;000000;237.24;239.7;233.82;234.85;2854614;0
Роснефть;D;20070227;000000;233.5;233.89;226.11;227.5;3623405;0
Роснефть;D;20070228;000000;223;224.74;216;221.5;5266744;0
Роснефть;D;20070301;000000;219.9;224.9;206;211;6505821;0
Роснефть;D;20070302;000000;212.5;214.49;208.2;211.55;5538113;0
Роснефть;D;20070305;000000;206.95;208.3;198.5;201.51;4690773;0
Роснефть;D;20070306;000000;203;205.5;203;204.1;3477015;0
Роснефть;D;20070307;000000;206.38;215.75;204.5;212.5;4608389;0
Роснефть;D;20070309;000000;216.36;219;214.62;217.95;3989491;0
Роснефть;D;20070312;000000;216.96;219.47;212.3;213.56;2836103;0
Роснефть;D;20070313;000000;220.25;220.25;212.25;213.99;2488850;0
Роснефть;D;20070314;000000;205;206.99;200;205.7;5012567;0
Роснефть;D;20070315;000000;208.15;210;206.1;207.4;2124419;0
Роснефть;D;20070316;000000;208;213;205.25;209.69;3269786;0
Роснефть;D;20070319;000000;212.45;216.25;210.78;215.9;2751440;0
Роснефть;D;20070320;000000;216.25;219.01;212.58;213.89;6662852;0
Роснефть;D;20070321;000000;214.89;218;214.53;216.3;4085579;0
Роснефть;D;20070322;000000;218.28;219.25;214.86;216;6972335;0
Роснефть;D;20070323;000000;217;219;214.25;218.16;9548784;0
Роснефть;D;20070326;000000;219.28;222.25;218.6;219.39;10530366;0
Роснефть;D;20070327;000000;219.1;221.97;215.14;216;8104254;0
Роснефть;D;20070328;000000;216.45;218.5;216;216.3;5413420;0
Роснефть;D;20070329;000000;216.48;217.47;215.7;217.47;3551833;0
Роснефть;D;20070330;000000;219.36;219.36;215.25;216.2;5573560;0
Роснефть;D;20070402;000000;216;217.52;214.3;217.5;2364497;0
Роснефть;D;20070403;000000;218;219.25;215.81;217;5743637;0
Роснефть;D;20070404;000000;218.1;218.5;216.26;216.26;2896323;0
Роснефть;D;20070405;000000;217;217.78;215.5;215.97;1754804;0
Роснефть;D;20070406;000000;216;216.25;214.8;215.45;1539888;0
Роснефть;D;20070409;000000;215.48;216.3;214.81;215.1;3154335;0
Роснефть;D;20070410;000000;214.6;214.6;210.88;213.86;6112744;0
Роснефть;D;20070411;000000;214.33;215.5;214;214.06;3853877;0
Роснефть;D;20070412;000000;213.15;220.99;212.52;217.8;11481332;0
Роснефть;D;20070413;000000;221.57;230.5;219;230.21;40279587;0
Роснефть;D;20070416;000000;232.95;235.99;229.3;234.6;38497090;0
Роснефть;D;20070417;000000;234.57;235;227.02;229.25;24007911;0
Роснефть;D;20070418;000000;229;229.6;225.1;227.16;8249366;0
Роснефть;D;20070419;000000;225;225;219.15;220;10546022;0
